Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(1),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_7s1/2(2),J_total_Am_relativistic
0.0,0.007020522583666204,0.025467098210267398,0.012149177170711654,0.01469191185672108,0.05590779914556535,0.03243212751219508,0.03652476847102503,0.023372819106836158,0.024241438820289018,0.10999082833879326,0.06876159205900069,0.07678253689035709,0.05635579197100445,0.05811288236871668,0.044670155955158775,0.04534150366277338,0.2205252826251273,0.14436227189527207,0.16251180206144253,0.13470238221904904,0.13955446989941142,0.1937121692464212,0.24461808960423123,0.5258238149550893,0.36822214485184396,0.44254384004729475,2.063296610234679,14.426958766305747
0.05,0.007020518141689122,0.025466923701588,0.012149177168570006,0.014691911856253941,0.05590566232203831,0.03243212749015655,0.0365247684312203,0.023372819106835988,0.02424143882028881,0.10997266823904762,0.06876159105495303,0.07678253514357535,0.05635579197093784,0.05811288236863465,0.04467015595515877,0.045341503662773376,0.2203749768813808,0.14436222981587166,0.16251172564704783,0.13470238218695765,0.13955446985776085,0.19371216486176054,0.24461646609887863,0.5239485754945304,0.3682176186273522,0.4425322641710482,1.9766326345078682,14.249481367528286
0.1,0.007020504815782948,0.025466400183567463,0.01214917716085941,0.014691911852049783,0.05589925236821563,0.03243212729182649,0.036524768073014864,0.02337281910683041,0.024241438820281888,0.10991820680188087,0.06876158202211463,0.07678251942960095,0.05635579196874075,0.05811288236592913,0.04467015595515821,0.045341503662772745,0.21992470478515427,0.14436185171228982,0.16251103933634226,0.13470238113134392,0.13955446848808584,0.19371171556624603,0.24450123295765108,0.5183656349174584,0.36817735915664307,0.4424299267118596,1.7395903527427001,13.762596167790154
0.15000000000000002,0.007020482606022898,0.02546552768025808,0.012149177143723065,0.01469191183570083,0.055888570834161495,0.032432126520643687,0.036524766680220346,0.023372819106783977,0.024241438820224233,0.10982750058166323,0.06876154691470893,0.07678245836282438,0.05635579195044646,0.05811288234340245,0.04467015595514826,0.04534150366276145,0.21917639725251645,0.14436038503435059,0.16250837899392448,0.1347023723782738,0.13955445713569675,0.193705979563533,0.243598220463496,0.5092016564682182,0.3680236516471473,0.442042897142819,1.4104935964444107,13.081566556733238
0.2,0.007020451512534336,0.02546430623174472,0.012149177110733508,0.014691911793195622,0.055873620302612385,0.032432124515946764,0.036524763059807376,0.023372819106570183,0.02424143881995866,0.1097006437296209,0.068761455710757,0.07678229975135416,0.056355791866253696,0.05811288223973856,0.04467015595506857,0.045341503662671,0.2181332575581704,0.14435658564282655,0.16250149449230558,0.1347023323271424,0.1395544052215704,0.19367571620828586,0.24080290895449177,0.49666227611802344,0.36763448098605545,0.4410761653741195,1.0584918487460326,12.342453296336702
0.25,0.007020411535492764,0.0254627358941414,0.012149177052893407,0.01469191170492127,0.055854404387921754,0.03243212035338493,0.036524755542831876,0.023372819105870406,0.02424143881908928,0.1095377678350174,0.06876126649337436,0.07678197077273077,0.05635579159095079,0.05811288190079619,0.04467015595466395,0.04534150366221181,0.21679973911245057,0.144348732829236,0.16248728442208082,0.1347022023411904,0.13955423686306856,0.19358061058581819,0.2357971564128444,0.48102423262098026,0.3668539596101542,0.4391711757764301,0.7398465970865264,11.656019065102328
0.30000000000000004,0.007020362675123827,0.025460816739586504,0.012149176958636694,0.0146919115456666,0.0558309277345835,0.032432112845492606,0.03652474198573064,0.02337281910403268,0.024241438816805985,0.10933904170334137,0.06876092556423492,0.07678137821898331,0.056355790868926274,0.058112881011962936,0.04467015595313546,0.04534150366047732,0.2151815146572098,0.14433465005259483,0.16246184382211679,0.1347018645781499,0.13955379980326532,0.19336798333883654,0.22943008540975374,0.4626249898446981,0.365505374734139,0.435949874164348,0.48594891903617476,11.08437819048106
0.35000000000000003,0.007020304931703306,0.02545854885623661,0.01214917681383,0.014691911284626217,0.05580319601533507,0.03243210054242753,0.03652471977198512,0.023372819099890484,0.024241438811659327,0.10910467107203324,0.068760367588852,0.0767804088100912,0.0563557892441791,0.05811287901210887,0.04467015594844128,0.04534150365515097,0.21328543718373855,0.14431173110825718,0.16242052408906896,0.1347011128783532,0.1395528282075992,0.1929911530526905,0.22280444447569034,0.44185042907025607,0.36340556290777076,0.4310589247494567,0.3041936856303131,10.642122467064002
0.4,0.007020238305557118,0.025455932348258967,0.012149176601774418,0.014691910885405437,0.05577121592884139,0.032432081732871765,0.03652468581415177,0.023372819091541826,0.024241438801286097,0.10883489826443156,0.06875951577322865,0.07677892957465338,0.056355785975854306,0.05811287498982497,0.044670155936066706,0.04534150364111155,0.21111949295549776,0.14427697137114753,0.16235800401797773,0.13469962005591776,0.13955090119369867,0.19242216733657538,0.2165995578910982,0.4191212723295127,0.3603792686485411,0.42420835889409975,0.18609452239940638,10.312106447121248
0.45,0.007020162797061307,0.025452967335822595,0.012149176303207596,0.014691910306026146,0.05573499519696089,0.03243205444509492,0.036524636556257276,0.023372819076088985,0.024241438782086084,0.10853000178276712,0.06875828207133386,0.07677678829631308,0.05635577993993901,0.05811286756277272,0.04467015590705032,0.045341503608195693,0.20869274709302515,0.14422700368901364,0.16226837074130193,0.13469690310567278,0.13954739917527875,0.19165305493482482,0.21104662270405347,0.3948789322258862,0.35627225148456326,0.41520042119250833,0.11633074798206994,10.063637311411739
0.5,0.007020078406642044,0.025449653955088032,0.012149175896306126,0.014691909498933536,0.055694542561595436,0.032432016448178926,0.03652456797655633,0.023372819049339327,0.024241438748850565,0.10819029584117697,0.06875656742276694,0.07677381402423852,0.056355769517857555,0.05811285474110617,0.044670155845025254,0.04534150353784555,0.20601528224694776,0.14415813844190076,0.1621452091763125,0.13469228793788643,0.13954146021530262,0.1906899751777341,0.20612865572855618,0.36957146966906973,0.35096214163233413,0.40394635241550964,0.07920689849086049,9.865619432811704
