Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(1),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_7s1/2(2),J_total_Bk_relativistic
0.0,0.006773127490090309,0.024657510678536745,0.01172695426423024,0.014342152525655063,0.0541714827767389,0.03138699816141053,0.03558047544776289,0.02275018976767632,0.02363395026871705,0.10611378405992232,0.0662985213574794,0.07439547783810271,0.05449017784689893,0.05624478875072466,0.04298910101041628,0.04365375503055821,0.210658320311139,0.1377644887620956,0.15598401174079005,0.1285608567876822,0.1333898433376305,0.17292024620497837,0.19026236816725667,0.5047903975666448,0.3529553441043861,0.43091862773783896,2.055087125073554,14.28794071016312
0.05,0.006773123445086096,0.024657351850899692,0.01172695426198384,0.014342152525240058,0.05416953807903475,0.03138699814266332,0.0355804754127969,0.02275018976767618,0.023633950268716876,0.10609743795374965,0.06629852051993904,0.0743954763436746,0.05449017784684675,0.05624478875065999,0.04298910101041628,0.04365375503055821,0.21052622778984795,0.13776445515094118,0.15598394885346167,0.12856085676442866,0.1333898433070912,0.1729202457537321,0.19026234630994224,0.5031285960288924,0.3529516511268806,0.43090837125675474,1.9703091478672143,14.114711253235775
0.1,0.006773111310095112,0.024656875374856668,0.011726954254151725,0.014342152521505084,0.05416370442764891,0.031386997973952675,0.03558047509813394,0.022750189767671573,0.02363395026871111,0.10604841547087898,0.06629851298495995,0.0743954628994842,0.05449017784512587,0.05624478874852695,0.04298910101041591,0.04365375503055779,0.210130472110359,0.13776415309612589,0.15598338394741781,0.1285608559993055,0.13338984230250703,0.17292019538922168,0.19026031533572352,0.4981782399211903,0.35291877512096426,0.43081764085351565,1.7380891447421265,13.639030321871187
0.15000000000000002,0.006773091085182316,0.024656081271011508,0.011726954237455274,0.014342152506980654,0.05415398314759168,0.03138699731793713,0.035580473874633554,0.02275018976763322,0.023633950268663058,0.10596676409335491,0.06629848369809703,0.07439541065110448,0.05449017783079594,0.05624478873076577,0.042989101010409286,0.04365375503055025,0.20947261558946334,0.1377629811553654,0.15598119367100083,0.12856084965212175,0.13338983397225865,0.17291946916162057,0.1902376570290585,0.4900432065783864,0.3527930899332535,0.430474170892927,1.4147426893356279,12.972858220468126
0.2,0.006773062770455973,0.024654969573702105,0.011726954206430546,0.014342152469218892,0.05414037644664841,0.03138699561259948,0.035580470694243374,0.02275018976745665,0.023633950268441714,0.1058525628749826,0.06629840761066846,0.07439527493535954,0.05449017776484236,0.05624478864902504,0.04298910101035623,0.04365375503048988,0.20855525099760594,0.13775994430272992,0.1559755236180724,0.12856082059158128,0.13338979585384583,0.17291505054431616,0.19013497358601067,0.4788924666130699,0.35247425946894073,0.4296150328857914,1.067340724283606,12.249221599387004
0.25,0.006773026366067652,0.024653540330997634,0.011726954153428922,0.014342152390795443,0.05412288741453216,0.03138699207157447,0.035580464090771216,0.022750189766878728,0.02363395026771711,0.10570592231711866,0.06629824974271929,0.07439499342127359,0.05449017754915723,0.05624478838173405,0.04298910101008681,0.04365375503018331,0.20738198502836427,0.13775366489780527,0.15596381479026547,0.12856072619996656,0.13338967213219008,0.17289882384046465,0.1898604410503113,0.4649540826709802,0.35183320616702835,0.4279189297750491,0.7509129080213767,11.576762007486174
0.30000000000000004,0.006772981872212223,0.024651793604694685,0.011726954068618005,0.01434215224931215,0.05410152002169805,0.03138698568460725,0.035580452180965075,0.022750189765361018,0.023633950265814007,0.10552698419516687,0.06629796527091801,0.07439448630669201,0.054490176983415704,0.05624478768070257,0.04298910100906875,0.04365375502902498,0.2059574153659605,0.13774239784880712,0.15594284003536496,0.12856048068437692,0.13338935061975402,0.1728561988876116,0.18933898998327672,0.4485072614893695,0.350722161633411,0.42504430911416935,0.49671895212040124,11.016574436590094
0.35000000000000003,0.00677292928912786,0.024649729470312295,0.011726953939982772,0.01434215201740048,0.05407627911782003,0.031386975218142286,0.03558043266590013,0.02275018976194009,0.023633950261524216,0.10531592133616588,0.06629749964113486,0.07439365656987025,0.05449017571014815,0.056244786103143006,0.04298910100594109,0.04365375502546673,0.20428710155795385,0.1377240497796356,0.1559087498682592,0.1285599336390032,0.13338863501434123,0.1727676628334064,0.18854809599568906,0.4298728717314664,0.34898586738147,0.42066795327263906,0.31280541205609547,10.583595294560194
0.4,0.00677286861709603,0.024647348017085867,0.011726953753326988,0.014342151662725731,0.054047170429930846,0.03138695921604228,0.0355804028326715,0.022750189755045027,0.02363395025287777,0.10507293734796463,0.0662967887053802,0.07439239027513136,0.05449017314839091,0.05624478292961794,0.04298910099769289,0.04365375501608396,0.20237752995507857,0.13769620196176624,0.15585712693259657,0.12855884576049845,0.13338721370655768,0.17261237278505462,0.18751196096390504,0.4094029036232204,0.3464729414539825,0.41451915879886214,0.19161529274832934,10.261963995373286
0.45,0.006772799856441496,0.02464464934795999,0.011726953492274868,0.014342151147991979,0.054014200560226384,0.031386936000436676,0.03558035955639131,0.022750189742282365,0.023633950236873372,0.10479826630058835,0.0662957588827123,0.07439055693150076,0.054490168416378104,0.056244777068520165,0.04298910097834354,0.04365375499407573,0.20023607303183258,0.13765613672653745,0.1557830482281542,0.128556862738596,0.1333846265674296,0.1723716683879223,0.18627581081212546,0.3874693768664833,0.3430464847722041,0.4064058244772748,0.1186487698994515,10.022391668252093
0.5,0.006772723007532311,0.024641633579580147,0.01172695313827301,0.0143421504309478,0.0539773769835355,0.0313869036726991,0.03558029930248837,0.022750189720188833,0.02363395020916848,0.10449217236050326,0.06629432734365615,0.07438800990304013,0.05449016024381357,0.056244766947792284,0.04298910093696191,0.043653754947014026,0.19787094344928285,0.1376008670324904,0.15568115411352046,0.12855348842239256,0.13338023124151863,0.17203111429526946,0.18488495514585748,0.36445320050801466,0.3385931514413608,0.39623038647503617,0.07875168987017624,9.83474712601787
0.55,0.006772638070779813,0.024638300842283356,0.011726952670592556,0.014342149464392748,0.05393670804445678,0.0313868601145531,0.03558021812930849,0.022750189683952215,0.023633950163729562,0.10415494937859145,0.06629240221760864,0.07438458686942154,0.0544901468743346,0.05624475039468765,0.042989100854844836,0.04365375485363956,0.19529114326509137,0.13752716882653643,0.15554572299809302,0.12854805839682257,0.13337317049930608,0.17158094579240413,0.18337523753137205,0.3407334550983964,0.3330301212138292,0.38399520172886004,0.05934328389310102,9.674500321505448
0.6000000000000001,0.0067725450466386205,0.024634651280087655,0.011726952066331647,0.014342148196184587,0.05389220295416396,0.03138680298930539,0.035580111691013105,0.022750189627100764,0.023633950092443047,0.10378692043274794,0.06628988282264174,0.07438011033510786,0.054490125958848216,0.05624472450446336,0.04298910070166271,0.0436537546794865,0.1925064087345067,0.1374316158073613,0.155370750563182,0.12853971509352144,0.13336234216523601,0.17101548666890992,0.18177143185622854,0.3166775085900551,0.3263096563692811,0.3697983865196538,0.051346299456535585,9.524547002838629
0.65,0.006772443935606628,0.024630685050680536,0.011726951300418094,0.01434214656924728,0.053843871786881624,0.03138672974320584,0.035579975240773824,0.022750189541161626,0.02363394998468756,0.10338843732611029,0.06628665991705247,0.07437438818533851,0.05449009444048443,0.05624468549897872,0.04298910043037041,0.043653754371109105,0.1895271511796096,0.13731061617501095,0.1551500323002362,0.1285273855072153,0.13334637303838082,0.17033217029122757,0.18008908935375037,0.2926322996142018,0.3184211670313084,0.3538220849702062,0.04887281815913094,9.374519827949081
0.7000000000000001,0.006772334738225,0.024626402325406263,0.01172695034561233,0.014342144521579737,0.05379172547603325,0.03138663760693312,0.03557980363426011,0.022750189415288773,0.023633949826868134,0.10295988004202593,0.0662826159719493,0.0743672142869598,0.05449004843197037,0.05624462857624798,0.042989099970676396,0.043653753848677174,0.18636439443212427,0.13716045093231566,0.15487724812538356,0.12850976249651544,0.1333235980678151,0.16953057572870692,0.1783371577099036,0.2689170324560147,0.3093909217947039,0.33631561965423584,0.04845763191100511,9.219174695270487
0.75,0.006772217455078162,0.024621803289252096,0.011726949172510603,0.014342141986265315,0.05373577581006386,0.03138652359720515,0.03557959133341708,0.022750189235860998,0.023633949601913153,0.10250165615695433,0.06627762546410688,0.07435836913198862,0.05448998308628244,0.05624454775206445,0.04298909922086141,0.04365375299670661,0.18302970937737037,0.13697731329185625,0.15454604782356246,0.12848529052161925,0.13329204584336224,0.16861166039175798,0.17652027880814175,0.24581743464050385,0.29927970642941476,0.31757601508279665,0.04827476480141954,9.056732149036478
0.8,0.006772092086793799,0.024616888140833414,0.011726947749548427,0.01434213889148206,0.05367603542793938,0.03138638451851317,0.035579332410530205,0.02275018898605057,0.023633949288734718,0.10201420021258947,0.06627155518826665,0.07434762052165637,0.05448989246148193,0.05624443569487333,0.04298909803774081,0.0436537516526952,0.17953514614328103,0.13675734873660392,0.1541501360919576,0.1284521565172466,0.13324943122503966,0.16757722354741617,0.17464049827261682,0.22358163730746505,0.2881788436389177,0.29792809823571453,0.04751084081975243,8.887530431207729
0.8500000000000001,0.006771958634042841,0.02461165709237777,0.011726946043004284,0.01434213516051372,0.053612517814325474,0.03138621696497818,0.03557902055257343,0.02275018864536315,0.023633948861653393,0.1014979730485723,0.06626426458800884,0.0743347242885485,0.05448976938068114,0.056244283555122176,0.04298909622457143,0.04365374959344222,0.17589316448877726,0.1364966952831052,0.15368335599020058,0.12840828642434862,0.13319315567295906,0.1664295672895489,0.17269843854191447,0.20241765608223686,0.27620504113571154,0.27770590253088023,0.04592563323372235,8.713058602706575
0.9,0.00677181709753946,0.02460611036970782,0.011726944017003587,0.014342130711761469,0.05354523729444839,0.031386017322328624,0.03557864906583693,0.02275018818914972,0.02363394828978814,0.1009534610972437,0.06625560610427314,0.07431942505433309,0.05448960528812284,0.05624408079036166,0.04298909351671472,0.0436537465188439,0.1721165629501848,0.1361915235029596,0.15313976966235462,0.1283513477163588,0.13312031556570691,0.16517130251347095,0.17069406696046774,0.18249238005611648,0.26349453992150945,0.257236555100203,0.04357055756295388,8.535316814833429
0.9500000000000001,0.006771667478041062,0.024600248212223196,0.011726941633522876,0.014342125458756424,0.0534742090286408,0.03138578176999783,0.03557821088083067,0.022750187588091164,0.02363394753641245,0.10038117564196439,0.06624542554055929,0.07430145702046197,0.05448939010238497,0.05624381498740326,0.042989089564882586,0.04365374203297447,0.1682184073029023,0.13583807587107208,0.15251373527120454,0.12827875806274083,0.1330277185211603,0.16380525110592586,0.1686271824964871,0.163931921315512,0.25019699998283557,0.23682730481735376,0.04062142528993876,8.356419648989682
1.0,0.006771509776348273,0.024594070872881273,0.011726938852394283,0.01434211931017286,0.053399449006575554,0.03138550628333988,0.03557769855745942,0.0227501868076563,0.02363394655827765,0.09978165204060052,0.06623356244379724,0.07428054478912735,0.054489112067744996,0.05624347168286611,0.0429890839158111,0.043653735622284535,0.1642119588883508,0.1354327050273869,0.15179997917661353,0.1281877000817703,0.13291190747028636,0.16233440661109197,0.16649771483410145,0.1468231382318012,0.23646949872672782,0.2167559080613329,0.03728640915193716,8.178365720922374
1.05,0.006771343993304935,0.02458757861817687,0.011726935631310243,0.014342112169842188,0.0533209740411907,0.03138518663596233,0.035577104290464914,0.02275018580753418,0.023633945304904435,0.09915544891584036,0.06621985049983747,0.07425640421166999,0.0544887576047542,0.05624303418346135,0.04298907599022909,0.04365372663077459,0.1601106033436019,0.13497191056207056,0.15099366249424276,0.12807514195271646,0.13276919199144405,0.16076192702801148,0.16430590075606202,0.13121612216182688,0.22247094027787384,0.19726425690607338,0.03376016178135463,8.002915176976579
1.1,0.006771170129798092,0.02458077172812085,0.01172693192582845,0.01434210393676767,0.05323880176230905,0.03138481840217418,0.03557641991513055,0.022750184541041444,0.023633943717843768,0.09850314731407044,0.06620411794247708,0.0742287432615579,0.054488311161081056,0.056242483387369334,0.04298906505801411,0.04365371423203117,0.15592778025330767,0.1344523739618897,0.15009044128613003,0.12793786349086436,0.1325956861981203,0.15909114257754559,0.1620523809116923,0.11712742799573234,0.20835709158600363,0.17855491262522896,0.030204549435214126,7.831534667969744
1.1500000000000001,0.0067709881867579836,0.024573650496217663,0.011726927689377062,0.014342094505139862,0.05315295060995595,0.03138439695954753,0.03557563691324364,0.022750182954505663,0.023633941729908247,0.09782534983459688,0.06618618797490593,0.07419726292899097,0.05448775506368536,0.056241797608062895,0.042989050210456195,0.043653697398045865,0.15167691422101026,0.13387099138724654,0.14908651975776518,0.12777248714208564,0.13238735229308363,0.15732556794993194,0.15973824497182823,0.10454383208741651,0.19427638221985735,0.1607900833386712,0.026743738857497666,7.665383284313634
1.2000000000000002,0.006770798165158029,0.024566215229441798,0.011726922873260168,0.014342083764352784,0.053063439827378794,0.031383917491591036,0.03557474641931026,0.022750180986625523,0.0236339392643752,0.0971226797310501,0.06616587920242945,0.07416165813413454,0.05448706937337995,0.056240952401918655,0.042989030329580624,0.043653674864773055,0.14737134783001604,0.13322490398436707,0.14797869596462554,0.1275755132307125,0.13214004876083327,0.15546891303716187,0.15736504325194264,0.09342641406316052,0.18036653432261474,0.14409253817179765,0.02346635440392729,7.505322589865775
1.25,0.006770600066014819,0.024558466248213173,0.011726917426663479,0.014342071599020836,0.05297028945377234,0.031383374990533494,0.035573739227017426,0.022750178567808827,0.02363393623416269,0.09639577998685832,0.06614300607530069,0.07412161865594562,0.05448623174282611,0.05623992040093835,0.04298900405451349,0.043653645094419956,0.14302427693324501,0.13251152547483594,0.14676439966193106,0.12734335869785493,0.13184958207019418,0.15352508906519569,0.1549347765323001,0.08371477923597051,0.16675203070264288,0.12854795962153565,0.02043059928757362,7.351940204161295
1.3,0.006770393890388104,0.02455040388637145,0.011726911296660286,0.014342057888996422,0.05287352031671375,0.03138276426021553,0.03557260579593707,0.022750175619489294,0.023633932540979775,0.09564531236671779,0.06611737934047454,0.07407683007352776,0.05448521727899085,0.05623867115187335,0.042988969744908144,0.04365360623450208,0.13864868867730837,0.13172856680436915,0.14544172206203626,0.12707239849838015,0.13151176070032355,0.15149820885672807,0.1524498717056652,0.07533126334801958,0.15354238370296078,0.11420828095156668,0.01767015940204067,7.2055803702220675
1.35,0.006770179639380778,0.024542028491149285,0.011726904428217657,0.0143420425093883,0.052773154024311555,0.03138207991908757,0.03557133625846622,0.02275017205342313,0.023633928074452294,0.0948719564460238,0.06608880650108073,0.0740269747169357,0.054483998411070565,0.0562371709630085,0.04298892544148615,0.04365355607373782,0.13425730262905256,0.13087405767374136,0.1440094373919434,0.12675900878375013,0.13112245028493727,0.1493925810219779,0.14991314832644792,0.06818498885453969,0.1408311351241142,0.10109562003421764,0.015199823542005476,7.066377423466609
1.4000000000000001,0.006769957314138869,0.02453334042314452,0.011726896764202875,0.014342025330580656,0.05266921295707287,0.031381316403311973,0.035569920426997456,0.02275016777096645,0.023633922711225594,0.09407640862025829,0.06605709228240011,0.0739717326243478,0.05448254476485544,0.05623538275981639,0.04298886882378219,0.04365349199489689,0.1298625153334748,0.12994636481648036,0.14246701626666028,0.12639961098396474,0.1306776286884911,0.14721269850508686,0.147327779471137,0.062175670026947856,0.12869549686319043,0.08920649291704073,0.013020371915797404,6.934289615085494
1.4500000000000002,0.006769726915851523,0.024524340056291314,0.011726888245390124,0.014342006218252887,0.05256172025949339,0.031380467969967255,0.03556834780131372,0.022750162662334587,0.023633916314045565,0.09325938109635577,0.06602203910312082,0.07391078250253369,0.05448082304447323,0.05623326595064048,0.04298879716521887,0.0436534109247587,0.12547634859081297,0.1289442069296685,0.14081463101054034,0.12599071591326652,0.1301734398804717,0.1449632222191191,0.14469724927898533,0.05719709126156265,0.11719653130100975,0.07851606118781645,0.011122609432584687,6.809131708098344
1.5,0.006769488445750995,0.02451502777783021,0.011726878810467418,0.014341985033400097,0.052450699831374716,0.031379528700352294,0.035566607576201135,0.0227501566058444,0.023633908730819435,0.0924216008680894,0.06598344755064599,0.07384380268756548,0.05447879692240976,0.056230776303505765,0.042988707285673125,0.043653309281377055,0.12111040169828555,0.12786666620534554,0.13905315316661904,0.1255289670585928,0.1296062455551363,0.14264896065483118,0.1420253088767282,0.05314020800353773,0.10637976781345446,0.06898223183244158,0.009490577812530048,6.690605382628623
1.55,0.006769241905112625,0.02450540398827718,0.011726868396043769,0.014341961632354292,0.052336176318873814,0.03137849250338823,0.03556468864927365,0.022750149467140653,0.023633899793657775,0.09156380867753454,0.06594111685922495,0.07377047210275317,0.054476426938656945,0.056227865835089305,0.042988595501731015,0.043653182918887264,0.11677580785894272,0.12671319645002602,0.13718414353187194,0.1250111822640287,0.12897267354871514,0.14027484637731438,0.13931593191372604,0.04989584187914058,0.09627615510938965,0.06054948407353744,0.008104046860997863,6.578326893683693
1.6,0.0067689872952548325,0.02449546910139157,0.011726856936656597,0.014341935866806299,0.05221817510528953,0.03137735311911581,0.03556257962900274,0.0227501410984077,0.023633889317899233,0.09068675796467643,0.06589484538968274,0.07369047121082932,0.05447367040978779,0.05622448271281045,0.042988457574861604,0.04365302707012911,0.11248319491690754,0.12548362781821168,0.13520983514315793,0.12443439309537101,0.12826966222873254,0.1378459102898719,0.13657327064089644,0.04735696054816613,0.08690325658868563,0.053152343727631335,0.006940404071469484,6.471851699663768
1.6500000000000001,0.006768724617539095,0.02448522354414306,0.011726844364779386,0.014341907583828353,0.05209672230159115,0.03137610412228587,0.03556026884294568,0.02275013133756753,0.023633877101119506,0.08979121380723279,0.06584443110953014,0.07360348295746236,0.054470481348702304,0.056220571170922704,0.042988288657772676,0.043652836287395115,0.1082426505354297,0.12417816822204,0.13313310971356113,0.12379588125281361,0.12749450016518135,0.13536725448708894,0.13380161322753636,0.04542054828977011,0.07826660601339708,0.04671846213793091,0.005976057634771252,6.370695969298547
1.7000000000000002,0.0067684538733699335,0.024474667756677542,0.011726830610829563,0.014341876625897407,0.05197184473669417,0.03137473892604047,0.035557744346165404,0.02275012000746543,0.02363386292212611,0.0888779518527612,0.06578967207224735,0.07350919370324337,0.05446681039572833,0.05621607144140631,0.042988083239241116,0.043652604381646205,0.10406369189211265,0.12279740151296431,0.13095746808140418,0.12309321149312176,0.12664486053549223,0.13284402442176055,0.13100534286247462,0.04398908547965332,0.07036115223281206,0.041171284597314055,0.00518745426967444,6.274355006433787
