Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_4s_one_electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(2),J_total_potassium
0.0,0.043991862184371275,0.16178780487039573,0.5085640544170147,0.09018632221048802,0.3304013208967501,1.9332556011649067,0.08798372436874255,0.32357560974079147,0.5411179332629281,1.0171281088340294,1.9824079253805007,3.8665112023298134,7.818724503916806
0.05,0.043990962601745606,0.16174215576997206,0.5071361123807238,0.09018631765982488,0.330398641378633,1.8632953877459784,0.08798192520349121,0.3234843115399441,0.5411179059589493,1.0142722247614475,1.982391848271798,3.7265907754919567,7.675838991227587
0.1,0.043988263742474144,0.1616053067782199,0.5028794155654053,0.09018627674798142,0.33037479886519977,1.6694789088598028,0.08797652748494829,0.3232106135564398,0.5411176604878886,1.0057588311308105,1.9822487931911987,3.3389578177196055,7.279270243570892
0.15000000000000002,0.0439837651993026,0.16137755737654036,0.4958742570196619,0.09018611791407562,0.3302837120773237,1.3935589857729556,0.0879675303986052,0.3227551147530807,0.5411167074844537,0.9917485140393238,1.9817022724639424,2.787117971545911,6.712408110685317
0.2,0.043977466105686154,0.16105941826734715,0.48625092721365515,0.09018570594357138,0.3300528568412933,1.0874427539214453,0.08795493221137231,0.3221188365346943,0.5411142356614282,0.9725018544273103,1.98031714104776,2.1748855078428906,6.078892507725456
0.25,0.043969365010580186,0.16065161858641805,0.47418479240528116,0.09018485302004835,0.32958916041185027,0.7969486124344967,0.08793873002116037,0.3213032371728361,0.5411091181202901,0.9483695848105623,1.9775349624711016,1.5938972248689933,5.470152857464944
0.30000000000000004,0.04395945990765607,0.16015510271194,0.4598900405427018,0.09018332014606226,0.3287863024213876,0.5518567082110133,0.08791891981531214,0.32031020542388,0.5410999208763736,0.9197800810854035,1.9727178145283257,1.1037134164220266,4.945540358151321
0.35000000000000003,0.04394774845509028,0.15957101424683495,0.4436125302242519,0.09018081889305722,0.327532666737477,0.3641822357751414,0.08789549691018056,0.3191420284936699,0.5410849133583433,0.8872250604485038,1.965196000424862,0.7283644715502828,4.528907971185843
0.4,0.043934228332695925,0.1589006705145316,0.4256221333304876,0.09017701344184292,0.32571919776905045,0.23222590035439017,0.08786845666539185,0.3178013410290632,0.5410620806510575,0.8512442666609752,1.9543151866143027,0.46445180070878034,4.2167431323295705
0.45,0.043918897634703816,0.15814553404750914,0.40620490195704095,0.0901715228815071,0.3232465178831271,0.14658826850799772,0.08783779526940763,0.3162910680950183,0.5410291372890426,0.8124098039140819,1.9394791072987625,0.29317653701599544,3.990223448882308
0.5,0.043901755201772155,0.15730718723414422,0.3856553397466294,0.09016392374339224,0.32003082717028636,0.09536150542958277,0.08780351040354431,0.31461437446828844,0.5409835424603535,0.7713106794932588,1.9201849630217183,0.19072301085916554,3.8256200807063285
0.55,0.04388280083562585,0.15638731376354623,0.36426902016679996,0.09015375275533194,0.3160082961638206,0.06740794492723465,0.0877656016712517,0.31277462752709245,0.5409225165319916,0.7285380403335999,1.8960497769829234,0.1348158898544693,3.7008664529013284
0.6000000000000001,0.043862035385798366,0.15538768759246754,0.3423357623443349,0.09014050980760246,0.31113784426838803,0.05384198704527379,0.08772407077159673,0.3107753751849351,0.5408430588456148,0.6846715246886698,1.866827065610328,0.10768397409054759,3.598525069191692
0.65,0.043839460730907616,0.1543101680868614,0.3201335409701696,0.09012366112477675,0.30540234952768247,0.048310028720768596,0.08767892146181523,0.3086203361737228,0.5407419667486605,0.6402670819403392,1.8324140971660947,0.09662005744153719,3.5063424609321694
0.7000000000000001,0.04381507969113258,0.1531566991075564,0.29792326707168604,0.09010264263663471,0.2988084481050629,0.046660016803859374,0.08763015938226516,0.3063133982151128,0.5406158558198083,0.5958465341433721,1.7928506886303774,0.09332003360771875,3.4165766697986544
0.75,0.04378889590790658,0.15192930985892766,0.2759445318442632,0.09007686353708412,0.29138515306769947,0.04640728866820388,0.08757779181581316,0.3038586197178553,0.5404611812225047,0.5518890636885264,1.748310918406197,0.09281457733640776,3.3249121521873044
0.8,0.0437609137182913,0.15063011585472777,0.25441235921280914,0.09004571001378897,0.28318155660073807,0.04621462103529736,0.0875218274365826,0.30126023170945554,0.5402742600827338,0.5088247184256183,1.6990893396044284,0.09242924207059472,3.2293996193294134
0.8500000000000001,0.043731138040986495,0.1492613190037871,0.2335149678188748,0.09000854912417464,0.27426388546079294,0.04547374283502217,0.08746227608197299,0.2985226380075742,0.5400512947450478,0.4670299356377496,1.6455833127647577,0.09094748567004433,3.129596942907147
0.9,0.043699574281925564,0.14782520636773033,0.21341250267445525,0.08996473278685675,0.26471216462987057,0.04400372897675029,0.08739914856385113,0.29565041273546067,0.5397883967211405,0.4268250053489105,1.5882729877792234,0.08800745795350058,3.0259434091020867
0.9500000000000001,0.043666228261163315,0.14632414751933456,0.1942366629081491,0.08991360185221185,0.25461671611488385,0.04185029695683744,0.08733245652232663,0.2926482950386691,0.5394816111132711,0.3884733258162982,1.5277002966893032,0.08370059391367488,2.9193365790935433
1.0,0.043631106159185196,0.14476059064246652,0.17609112607126004,0.08985449021229915,0.2440746844904687,0.03916111290364843,0.08726221231837039,0.28952118128493304,0.5391269412737949,0.3521822521425201,1.4644481069428124,0.07832222580729686,2.8108629197697277
1.05,0.043594214479195766,0.14313705760504736,0.15905265178319558,0.08978672890883778,0.23318674241547235,0.03611362194460127,0.08718842895839153,0.2862741152100947,0.5387203734530267,0.31810530356639116,1.3991204544928342,0.07222724388920254,2.7016359195699406
1.1,0.04355556002163712,0.1414561382512426,0.14317273782995651,0.08970965019834531,0.22205409101868656,0.03287687262579932,0.08711112004327425,0.2829122765024852,0.5382579011900719,0.28634547565991303,1.3323245461121194,0.06575374525159863,2.5927050647594623
1.1500000000000001,0.043515149867547134,0.13972048413460045,0.1284796994418036,0.08962259153556859,0.2107758338550148,0.029594095140076614,0.08703029973509427,0.2794409682692009,0.5377355492134115,0.2569593988836072,1.264655003130089,0.05918819028015323,2.485009409511556
1.2000000000000002,0.043472991367991626,0.13793280187435497,0.11498104628480098,0.08952489943960408,0.19944677049910822,0.02637719346375558,0.08694598273598325,0.27586560374870994,0.5371493966376245,0.22996209256960196,1.1966806229946494,0.05275438692751116,2.37935808561408
1.25,0.04342909213746365,0.13609584627629642,0.10266604043606692,0.08941593321120249,0.18815562767308297,0.023307559480536866,0.0868581842749273,0.27219169255259285,0.5364955992672149,0.20533208087213384,1.128933766038498,0.04661511896107373,2.27642644196644
1.3,0.0433834600497257,0.13421241332395734,0.09150833094445798,0.08929506847429998,0.1769837225892542,0.02043984253390565,0.0867669200994514,0.26842482664791467,0.5357704108457999,0.18301666188891597,1.0619023355355253,0.0408796850678113,2.1767608400854184
1.35,0.04333610323503956,0.1322853331174895,0.0814685752208585,0.08916170051949146,0.16600403507252093,0.017806752099052178,0.08667220647007912,0.264570666234979,0.5349702031169488,0.162937150441717,0.9960242104351256,0.035613504198104357,2.0807879408969536
1.4000000000000001,0.04328703007808309,0.13031746281638326,0.07249697328940338,0.08901524743171,0.1552806518624561,0.015423867592549156,0.08657406015616619,0.2606349256327665,0.53409148459026,0.14499394657880676,0.9316839111747366,0.030847735185098313,1.9888260633178345
1.4500000000000002,0.04323624921611088,0.12831167962703244,0.06453565686814439,0.08885515298862386,0.14486853789897786,0.013293962859937815,0.08647249843222175,0.2566233592540649,0.5331309179317432,0.12907131373628877,0.8692112273938671,0.02658792571987563,1.9010972424680612
1.5,0.043183769537095545,0.1262708738657609,0.05752089053826254,0.08868088932010036,0.13481358481166347,0.011410656496578677,0.08636753907419109,0.2525417477315218,0.5320853359206021,0.11504178107652507,0.8088815088699808,0.022821312993157355,1.8177392256659781
1.55,0.04312960017770951,0.12419794212108712,0.05138505631311999,0.08849195932246257,0.12515288559881077,0.009761362379022243,0.08625920035541902,0.24839588424217424,0.5309517559347754,0.10277011262623997,0.7509173135928646,0.019522724758044487,1.7388169915095177
1.6,0.04307375052108736,0.12209578053470244,0.04605840533594281,0.0882878988241712,0.11591518589273184,0.008329595209844038,0.08614750104217472,0.24419156106940487,0.5297273929450271,0.09211681067188562,0.695491115356391,0.016659190419688077,1.6643335715045713
1.6500000000000001,0.043016230194359836,0.11996727821809923,0.041470570996316666,0.08806827850202452,0.10712146556890036,0.007096719267131474,0.08603246038871967,0.23993455643619846,0.5284096710121471,0.08294114199263333,0.6427287934134022,0.014193438534262947,1.5942400617773638
1.7000000000000002,0.042957049065980024,0.11781531082041474,0.037551846386746676,0.08783270554902402,0.09878560912935852,0.006043236437525648,0.08591409813196005,0.23563062164082949,0.5269962332941441,0.07510369277349335,0.5927136547761511,0.012086472875051296,1.5284447734916295
1.75,0.04289621724287779,0.1156427342624256,0.03423423576343557,0.08758082509675723,0.09091512871913374,0.0051497046075091165,0.08579243448575558,0.2312854685248512,0.5254849505805433,0.06846847152687115,0.5454907723148024,0.010299409215018233,1.4668215066478418
1.8,0.04283374506748359,0.1134523786514146,0.0314522946578747,0.08731232139655737,0.0835119093604677,0.0043973667547201785,0.08566749013496718,0.2269047573028292,0.5238739283793442,0.0629045893157494,0.5010714561628062,0.008794733509440357,1.4092169548051365
1.85,0.042769643114662186,0.11124704239160789,0.029143776692525006,0.08702691876486533,0.0765729516576069,0.0037685585410778574,0.08553928622932437,0.22249408478321578,0.522161512589192,0.05828755338505001,0.45943770994564137,0.007537117082155715,1.355457264014579
1.9000000000000001,0.042703922188591446,0.10902948650488296,0.02725010720173222,0.08672438229919355,0.07009109257614966,0.0032469498963995694,0.08540784437718289,0.21805897300976593,0.5203462937951613,0.05450021440346444,0.420546555456898,0.006493899792799139,1.3053537808352718
1.9500000000000002,0.04263659331961456,0.10680242917636097,0.025716704677025855,0.0864045183719138,0.0640556897635404,0.002817664954437929,0.08527318663922911,0.21360485835272194,0.5184271102314828,0.05143340935405171,0.3843341385812424,0.005635329908875858,1.2587080330676037
2.0,0.04256766776108578,0.10456854053924958,0.02449317106953187,0.0860671749097968,0.05845325915216236,0.0024673151271894294,0.08513533552217156,0.20913708107849915,0.5164030494587808,0.04898634213906374,0.35071955491297413,0.004934630254378859,1.2153159933658682
2.0500000000000003,0.04249715698622198,0.10233043771284865,0.02353337130224574,0.08571224146784519,0.05326805923257879,0.002183972125427218,0.08499431397244396,0.2046608754256973,0.5142734488070712,0.04706674260449148,0.3196083553954727,0.004367944250854436,1.174971680456031
2.1,0.04242507268496453,0.10009068010695366,0.022795421160519826,0.08533964910650363,0.04848261840444808,0.0019571012434176907,0.08485014536992906,0.2001813602139073,0.5120378946390218,0.04559084232103965,0.2908957104266885,0.003914202486835381,1.1374701554574216
2.15,0.04235142676085003,0.0978517650049871,0.022241601203901954,0.08494937008181082,0.044078204239864006,0.0017774700450142653,0.08470285352170007,0.1957035300099742,0.5096962204908649,0.04448320240780391,0.26446922543918405,0.0035549400900285306,1.1026099719595557
2.2,0.042276231327882795,0.09561612343707217,0.021838212613138286,0.0845414173584864,0.04003523538149248,0.0016370435185684101,0.08455246265576559,0.19123224687414433,0.5072485041509184,0.04367642522627657,0.24021141228895487,0.0032740870371368203,1.0701951382331965
2.25,0.0421994987073982,0.09338611635295413,0.02155538906315152,0.08411584395632452,0.03633363820996239,0.001528873617203898,0.0843989974147964,0.18677223270590826,0.504695063737947,0.04311077812630304,0.21800182925977435,0.003057747234407796,1.0400366484791368
2.3000000000000003,0.042121241424903255,0.09116403110320531,0.021366876882133616,0.08367274214059421,0.032953151419798814,0.0014469886951630794,0.08424248284980651,0.18232806220641062,0.5020364528435652,0.04273375376426723,0.19771890851879287,0.002893977390326159,1.0119536375731688
2.35,0.04204147220687915,0.08895207823555056,0.02124979398278042,0.08321224246742495,0.029873582308354095,0.0013862865395005677,0.0840829444137583,0.1779041564711011,0.4992734548045497,0.04249958796556084,0.17924149385012456,0.0027725730790011355,0.9857742105840958
2.4000000000000004,0.0419602039775299,0.08675238861145464,0.021184376379625676,0.08273451269537886,0.027075018971318227,0.001342433352552432,0.0839204079550598,0.17350477722290927,0.4964070761722732,0.04236875275925135,0.16245011382790936,0.002684866705104864,0.9613359946425079
2.45,0.04187744985546169,0.0845670108463585,0.021153719566254215,0.08223975657457885,0.024538002769125242,0.0013117700599076306,0.08375489971092338,0.169134021692717,0.4934385394474731,0.04230743913250843,0.14722801661475146,0.002623540119815261,0.9384864567181886
2.5,0.041793223150278315,0.08239790907516613,0.02114352063510359,0.0817282125248686,0.022243665431538488,0.001291226616531449,0.08358644630055663,0.16479581815033226,0.4903692751492116,0.04228704127020718,0.13346199258923092,0.002582453233062898,0.9170830266926016
2.5500000000000003,0.041707537359079803,0.08024696104280309,0.021141825787926127,0.08120015221452602,0.02017383504620089,0.001278244492834108,0.08341507471815961,0.16049392208560617,0.4872009132871561,0.04228365157585225,0.12104301027720535,0.002556488985668216,0.8969930609296476
2.6,0.04162040616285323,0.07811595651791473,0.021138786806634644,0.08065587905103376,0.018311114967119478,0.0012707071897760864,0.08324081232570646,0.15623191303582945,0.48393527430620253,0.04227757361326929,0.10986668980271687,0.0025414143795521728,0.8780936774632768
2.6500000000000004,0.041531843422746816,0.07600659602607389,0.021126429126643444,0.08009572659532846,0.0166389394104161,0.0012668784162653177,0.08306368684549363,0.15201319205214778,0.48057435957197076,0.04225285825328689,0.0998336364624966,0.0025337568325306354,0.8602714900179261
2.7,0.04144186317622079,0.0739204898972452,0.02109843336869099,0.07952005691080566,0.015141609200742978,0.0012653474313555765,0.08288372635244158,0.1478409797944904,0.47712034146483395,0.04219686673738198,0.09084965520445787,0.002530694862711153,0.843422264416317
2.75,0.0413504796330709,0.07185915762072063,0.02104993152891771,0.0789292588581507,0.013804310810846609,0.0012649809839086561,0.0827009592661418,0.14371831524144127,0.4735755531489042,0.04209986305783542,0.08282586486507965,0.0025299619678173122,0.8274505175472197
2.8000000000000003,0.04125770717132253,0.06982402749931736,0.02097731848784813,0.07832374634680078,0.012613121512752339,0.001264881255214633,0.08251541434264506,0.13964805499863472,0.4699424780808047,0.04195463697569626,0.07567872907651403,0.002529762510429266,0.8122690759847241
2.85,0.04116356033299587,0.06781643659332068,0.02087807906363479,0.07770395655352272,0.011555003142121082,0.0012643492120034564,0.08232712066599174,0.13563287318664136,0.4662237393211363,0.04175615812726958,0.0693300188527265,0.0025286984240069127,0.7977986085777725
2.9000000000000004,0.04106805381974419,0.06583763094347254,0.020750630490367915,0.0770703481182192,0.010617786674676602,0.0012628527983400144,0.08213610763948838,0.1316752618869451,0.46242208870931517,0.04150126098073583,0.0637067200480596,0.002525705596680029,0.7839671448612242
2.95,0.0409712024883695,0.06388876606125553,0.02059417993592613,0.07642339932665874,0.009790149529979862,0.001259999427821871,0.081942404976739,0.12777753212251106,0.45854039595995244,0.04118835987185226,0.05874089717987917,0.002519998855643742,0.7707095889665776
3.0,0.040873021346221075,0.06197090767380321,0.020408596474076744,0.07576360628936565,0.009061587256107922,0.001255512277110001,0.08174604269244215,0.12394181534760643,0.4545816377361939,0.04081719294815349,0.054369523536647535,0.002511024554220002,0.7579672368152636
3.0500000000000003,0.04077352554648392,0.060085032709985685,0.020194296781683,0.07509148112541264,0.0084223810104029,0.0012492099244820556,0.08154705109296784,0.12017006541997137,0.45054888675247584,0.040388593563366,0.0505342860624174,0.0024984198489641112,0.7456873027401626
3.1,0.040672730383365295,0.05823203051356865,0.01995214373438135,0.07440755015933576,0.007863562036726989,0.0012409889203158927,0.08134546076673059,0.1164640610271373,0.44644530095601453,0.0399042874687627,0.047181372220361936,0.0024819778406317853,0.7338224602796388
3.1500000000000004,0.040570651287188245,0.05641270426882583,0.01968335701450293,0.07371235213884451,0.007376874148143397,0.0012308089185398899,0.08114130257437649,0.11282540853765166,0.44227411283306706,0.03936671402900586,0.04426124488886038,0.0024616178370797798,0.7223304007000412
3.2,0.040467303819401806,0.05462777262359339,0.019389434815951737,0.07300643648043648,0.006954735054640835,0.0012186800380859467,0.08093460763880361,0.10925554524718678,0.43803861888261886,0.038778869631903475,0.04172841032784501,0.0024373600761718934,0.7111734118045296
3.25,0.04036270366751805,0.05287787149448448,0.019072085725856364,0.0722903615494492,0.006590197227069221,0.0012046521606452851,0.0807254073350361,0.10575574298896896,0.43374216929669523,0.03814417145171273,0.03954118336241533,0.0024093043212905702,0.700317978756119
3.3000000000000003,0.04025686663998633,0.05116355603882933,0.018733169876659437,0.07156469298050079,0.0062769088592801925,0.001188805905254814,0.08051373327997266,0.10232711207765866,0.4293881578830048,0.037466339753318874,0.03766145315568115,0.002377611810509628,0.6897344079601458
3.35,0.0401498086610153,0.049485302777861444,0.018374648490327005,0.07083000204368635,0.006009075378881947,0.001171245051340347,0.0802996173220306,0.09897060555572289,0.4249800122621181,0.03674929698065401,0.03605445227329168,0.002342490102680694,0.679396474496498
3.4000000000000004,0.04004154576535308,0.047843511855728355,0.01799854097473698,0.07008686406131809,0.0057814218613139595,0.0011520902098587458,0.08008309153070615,0.09568702371145671,0.42052118436790853,0.03599708194947396,0.03468853116788376,0.0023041804197174915,0.6692810931471465
3.45,0.039932094093036004,0.046238509419058146,0.017606888777899617,0.06933585687942513,0.0055891566204444385,0.0011314735672491361,0.07986418818607201,0.09247701883811629,0.4160151412765508,0.035213777555799235,0.033534939722666635,0.0022629471344982723,0.6593680127137033
3.5,0.03982146988411594,0.04467055010205092,0.017201725255914638,0.06857755939766891,0.0054279361799852675,0.001109534549211425,0.07964293976823188,0.08934110020410184,0.41146535638601345,0.034403450511829275,0.032567617079911605,0.00221906909842285,0.6496395330485109
3.5500000000000003,0.03970968947337579,0.04313981960238246,0.01678505086342349,0.06781255016078627,0.0052938317721981315,0.0010864162710939392,0.07941937894675158,0.08627963920476492,0.40687530096471763,0.03357010172684698,0.03176299063318879,0.0021728325421878783,0.6400802440184578
3.6,0.039596769285042584,0.04164643733359429,0.016358813029144104,0.06704140601414663,0.005183297462236619,0.0010622626591168928,0.07919353857008517,0.08329287466718859,0.40224843608487976,0.03271762605828821,0.031099784773419712,0.0021245253182337856,0.6306767854720953
3.6500000000000004,0.039482725827506705,0.04019045914009424,0.01592489013261434,0.06626470082550523,0.005093139956759523,0.0010372161420094054,0.07896545165501341,0.08038091828018848,0.3975882049530314,0.03184978026522868,0.03055883974055714,0.002074432284018811,0.621417627178038
3.7,0.03936757568805564,0.03877188006139607,0.015485079050558377,0.06548300427455432,0.005020490123009898,0.0010114158261112923,0.07873515137611128,0.07754376012279214,0.3928980256473259,0.030970158101116755,0.03012294073805939,0.0020228316522225846,0.6122928676376282
3.75,0.039251335527629806,0.03739063713277679,0.015041085791616133,0.06469688071141821,0.004962776218352421,0.0009849960787902362,0.07850267105525961,0.07478127426555357,0.3881812842685093,0.030082171583232266,0.029776657310114522,0.0019699921575804724,0.6032940506402497
3.8000000000000003,0.039134022075607566,0.036046612210120677,0.014594518786037099,0.06390688808481035,0.004917698809383373,0.0009580854553384405,0.07826804415121513,0.07209322442024135,0.3834413285088621,0.029189037572074198,0.029506192856300236,0.001916170910676881,0.5944139984193699
3.85,0.03901565212462591,0.03473963480734041,0.014146884441998816,0.0631135769401693,0.004883207343365447,0.0009308059135122157,0.07803130424925182,0.06947926961468082,0.3786814616410158,0.028293768883997632,0.02929924406019268,0.0018616118270244314,0.5856466602761631
3.9000000000000004,0.03889624252544269,0.03346948493541224,0.013699584622265252,0.06231748948771867,0.0048574783221859786,0.0009032722677186438,0.07779248505088537,0.06693896987082448,0.373904936926312,0.027399169244530504,0.029144869933115873,0.0018065445354372876,0.5769869755611055
3.95,0.038775810181845734,0.032235895932728416,0.013253915733855684,0.061519158740052655,0.004838895019675052,0.0008755918416750491,0.07755162036369147,0.06447179186545683,0.36911495244031595,0.02650783146771137,0.02903337011805031,0.0017511836833500982,0.5684307499385761
4.0,0.03865437204561368,0.031038557277146994,0.012811069159236585,0.060719107718534136,0.00482602867641443,0.0008478642842940614,0.07730874409122736,0.06207711455429399,0.3643146463112048,0.02562213831847317,0.02895617205848658,0.0016957285685881228,0.559974543902274
4.05,0.03853194511153262,0.029877117370805333,0.012372132790328463,0.059917848727507064,0.004817621101658158,0.0008201815186903345,0.07706389022306524,0.059754234741610665,0.3595070923650424,0.024744265580656927,0.028905726609948945,0.001640363037380669,0.5516155725577049
