Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(4),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_7s1/2(2),J_total_Cf_relativistic
0.0,0.006652058841492344,0.02426300294305755,0.011520435728228497,0.014172695342624999,0.05333000974809288,0.03087926432225765,0.03512450612064247,0.02244976906869718,0.02334114769324626,0.10425196098283807,0.06511436356345823,0.07325325728383257,0.0536013995626536,0.05535565353745599,0.042200974435602015,0.04286312944824435,0.20604633154290733,0.13468083604741002,0.15296840264506822,0.12576415223849877,0.13059421282797368,0.16590925277258367,0.1809112632116477,0.49536938337696185,0.34616722447036724,0.4263482587943475,2.042807077497336,14.227851198387992
0.05,0.0066520549812050895,0.024262851399114015,0.011520435725925537,0.014172695342233504,0.053328153923422265,0.03087926430495989,0.03512450608783725,0.022449769068697053,0.0233411476932461,0.10423644233748759,0.06511436279765369,0.07325325589923586,0.053601399562607274,0.055355653537398374,0.042200974435602015,0.04286312944824435,0.20592225802755304,0.13468080590008905,0.15296834532751688,0.12576415221849552,0.13059421280153188,0.16590925253642255,0.1809112540292074,0.49379837669597354,0.34616385894853,0.42633847621221116,1.9598043570073989,14.058374340701953
0.1,0.006652043400363452,0.024262396773641864,0.011520435718009002,0.014172695338710125,0.05332258685803541,0.030879264149293633,0.03512450579261857,0.02244976906869286,0.023341147693240825,0.1041899009275062,0.06511435590801265,0.07325324344294883,0.05360139956107928,0.055355653535497956,0.04220097443560171,0.042863129448244004,0.20555050837315778,0.13468053495669335,0.1529678304181198,0.12576415156023601,0.13059421193162252,0.1659092256851209,0.18091036318692677,0.4891173040802847,0.3461338872130665,0.4262519193532173,1.732155692893581,13.592453648665945
0.15000000000000002,0.006652024099027817,0.024261639085715974,0.01152043570145604,0.014172695325008523,0.053313309777655166,0.030879263543998565,0.03512450464471862,0.02244976906865795,0.02334114769319688,0.10411238030905146,0.06511432912898428,0.07325319503287883,0.05360139954835519,0.055355653519673254,0.042200974435596256,0.04286312944823779,0.20493249236522162,0.13467948362037133,0.15296583377335896,0.12576414609850461,0.13059420471669805,0.16590882791601952,0.18089982118768197,0.4814208916187994,0.34601924035321446,0.42592413871018553,1.4143676039367499,12.938478085910898
0.2,0.006651997077298822,0.024260578367126136,0.01152043567122895,0.014172695289385978,0.05330032472464615,0.030879261970502836,0.03512450166082865,0.022449769068497223,0.023341147692994467,0.10400395300225837,0.06511425955505774,0.07325306928344337,0.05360139948979032,0.0553556534468418,0.042200974435552555,0.04286312944818799,0.20407055003976773,0.1346767588981761,0.15296066416821652,0.12576412108536644,0.1305941716928584,0.16590632793975232,0.18084879337827567,0.470863354200261,0.34572817505111725,0.4251038488501614,1.0716453001024666,12.22584003324918
0.25,0.006651962335317361,0.024259214662374587,0.011520435620275752,0.014172695215405142,0.05328363455725486,0.03087925870321593,0.035124495465304904,0.022449769067971175,0.023341147692331816,0.10386472038121435,0.06511411519626575,0.07325280843211973,0.05360139929825897,0.05535565320867213,0.04220097443533063,0.042863129447935085,0.202967937361525,0.13467112382356736,0.1529499865569422,0.12576403981214337,0.1305940644686611,0.16589680780934304,0.18070252095165487,0.4576531037629719,0.345142323708976,0.423483410889211,0.7579135453489767,11.56108417494943
0.30000000000000004,0.006651919873264579,0.024257548028672526,0.011520435539530994,0.014172695081936509,0.053263242948546355,0.030879252809938418,0.03512448429115608,0.022449769066589704,0.023341147690591417,0.10369481252025615,0.06511385505567514,0.07325233851599929,0.05360139879584274,0.055355652583979315,0.042200974434491924,0.042863129446979405,0.20162880634811575,0.1346610104887555,0.15293085412250876,0.12576382832793614,0.13059378570544783,0.16587082044749504,0.18040454529422553,0.4420457278283329,0.3441256169775407,0.4207348737545376,0.5042976165895827,11.005098159767222
0.35000000000000003,0.006651869691361873,0.024255578535935646,0.011520435417916782,0.014172694863161575,0.05323915438503821,0.030879243152388307,0.03512446598131158,0.022449769063475847,0.02334114768666833,0.10349438799691994,0.065113429228651,0.07325156959773459,0.05360139766501546,0.05535565117810381,0.0422009744319149,0.04286312944404322,0.20005817981251336,0.13464453653063557,0.15289974861155456,0.12576335687065238,0.13059316492466932,0.16581470963327213,0.17992150186925301,0.4243355911730454,0.3425342752109453,0.4165465686894317,0.319381701878145,10.573879981553473
0.4,0.006651811789870885,0.024253306266778667,0.011520435242344047,0.01417269452857671,0.05321137416503235,0.030879228386843635,0.03512443799016934,0.02244976905719965,0.023341147678760905,0.10326363365196814,0.0651127790236213,0.07325039604009705,0.053601395389652556,0.05535564834970654,0.04220097442511766,0.04286312943629943,0.19826192094177147,0.13461952487350137,0.15285262832522248,0.12576241875880959,0.1305919312069709,0.16571252757827296,0.1792492984737281,0.4048464693516532,0.34022701483769163,0.41065566042295387,0.19636865966113357,10.253025523253427
0.45,0.006651746169093506,0.024250731316508886,0.011520434997714032,0.01417269404299773,0.05317990839664575,0.030879206964900905,0.03512439738542202,0.02244976904558236,0.023341147664124186,0.10300276430700872,0.06511183710400992,0.07324869682819596,0.05360139118626148,0.05535564312550302,0.04220097440916898,0.042863129418131946,0.1962466979732263,0.13458352649413172,0.15278498302233806,0.12576070759486208,0.1305896839847076,0.16554846098989845,0.17840381268340835,0.3839216510330589,0.33707465845533435,0.4028731720520188,0.12141226304619077,10.014469844265465
