Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(1),J_3d(10),J_4p(5),J_total_Br
0.0,0.02480203980080134,0.09092380740865384,0.045925579103033035,0.23616608290457203,0.14365936217183572,0.7711476303566466,0.10690263172054791,0.5492858275449614,7.199044223520846
0.05,0.024801878352007214,0.09091616239275242,0.04592557895670061,0.23601495357941696,0.14365931951995767,0.7662173241059045,0.10690263170100602,0.5492524680865326,7.188698685162835
0.1,0.024801394016431992,0.09089323052139511,0.04592557763945195,0.23556223675749627,0.14365893677182107,0.7516364086961246,0.106902631059001,0.5489607729651699,7.157123801866393
0.15000000000000002,0.024800586826412747,0.09085502143063007,0.04592557251536585,0.23480993784620263,0.1436574550533271,0.7280184184225141,0.10690262574582789,0.5478761874629643,7.102873289236777
0.2,0.024799456835567325,0.09080155152445801,0.045925559187867615,0.23376137276146744,0.1436536275156615,0.6963330111519392,0.10690260149898234,0.5452317324444033,7.024050581979878
0.25,0.0247980041183923,0.09073284444786818,0.04592553149635886,0.23242112968044423,0.14364574491368462,0.6578333358076823,0.10690252307469102,0.5401810606232446,6.918928820432168
0.30000000000000004,0.024796228769726904,0.09064893166973109,0.04592548151447164,0.23079501810823744,0.14363166900654065,0.6139665916111738,0.10690232014473569,0.5319579695881322,6.7865694928318305
0.35000000000000003,0.02479413090410757,0.09054985310980174,0.04592539955209244,0.22889000748185404,0.14360887189832736,0.5662775294551302,0.1069018707443092,0.5200086317248398,6.627290536671596
0.4,0.024791710655042116,0.09043565774201906,0.04592527416299639,0.22671415769195202,0.14357447948630064,0.51631450024112,0.10690098329899368,0.5040738012615902,6.442889413853937
0.45,0.024788968174234864,0.09030640411263387,0.045925092159300504,0.22427654382066226,0.14352531744947333,0.4655462205917924,0.10689937833054651,0.4842132147310422,6.236598588011966
0.5,0.024785903630794824,0.0901621607248618,0.04592483863316324,0.2215871771168639,0.14345795858878546,0.4152951078116143,0.1068966709412816,0.46077823968736753,6.0128153897496155
0.55,0.024782517210457815,0.0900030062592879,0.04592449698541012,0.21865692382691854,0.14336877071649987,0.3666903345888145,0.10689235510943608,0.434347997961333,5.776688710883443
0.6000000000000001,0.024778809114850763,0.08982902961834349,0.04592404896019339,0.2154974230453401,0.14325396460757264,0.3206411471804273,0.10688579070196436,0.4056474988293726,5.533656300491026
0.65,0.02477477956082241,0.08964032980119606,0.045923474684472665,0.21212100431668285,0.14310964172845558,0.2778288416733673,0.10687619393941919,0.3754646338897165,5.289013718024481
0.7000000000000001,0.024770428779859723,0.08943701563024947,0.045922752711036796,0.20854060536120042,0.14293184154571534,0.2387143051632599,0.10686263184498841,0.34457820172166354,5.047569602467854
0.75,0.024765757017603907,0.08921920536084667,0.04592186006392667,0.20476969004480564,0.1427165882116208,0.20355724799593422,0.10684402099216918,0.31370355815347833,4.813412491180749
0.8,0.024760764533474245,0.08898702621122816,0.045920772285385845,0.20082216657834207,0.14245993636293017,0.17244310124598933,0.10681913064816274,0.28345759039940216,4.589789627506602
0.8500000000000001,0.02475545160040257,0.08874061385059792,0.04591946348378224,0.19671230590294742,0.14215801568926426,0.14531387769997348,0.1067865902062352,0.25434127951763075,4.3790816727966275
0.9,0.024749818504676238,0.08848011188008699,0.04591790638224268,0.1924546602748964,0.14180707385753802,0.12199991684963991,0.1067449006207347,0.22673626752390766,4.182849240284169
0.9500000000000001,0.02474386554588322,0.0882056713355934,0.04591607236798124,0.18806398217557926,0.1414035173365308,0.10225018953062079,0.10669244941077621,0.20091129455411483,4.001925922280762
1.0,0.024737593036949435,0.08791745023410429,0.04591393154246226,0.18355514381017188,0.14094394965758028,0.08575959584828297,0.10662752868714695,0.1770346743331555,3.8365355115965194
1.05,0.024731001304256074,0.08761561317726248,0.04591145277262088,0.17894305759563944,0.14042520667214453,0.07219236427839283,0.1065483555830442,0.155189711766962,3.686416144044946
1.1,0.02472409068782296,0.08730033101850773,0.04590860374337837,0.17424259815479964,0.13984438841821248,0.061201204588369494,0.10645309443149314,0.13539082144153297,3.550939453391141
1.1500000000000001,0.024716861541543317,0.08697178059371821,0.04590535101165642,0.16946852641533458,0.13919888727687713,0.05244226922135441,0.10633988002731258,0.11759889103718793,3.429217560734168
1.2000000000000002,0.024709314233455345,0.08663014451025304,0.045901660062031564,0.16463541645494,0.1384864121795555,0.04558624574658146,0.1062068413344788,0.1017350625859716,3.3201944016146285
1.25,0.024701449146036624,0.08627561098577201,0.04589749536409461,0.15975758573611246,0.13770500870840088,0.04032605790134566,0.10605212504506094,0.08769255919294529,3.2227204783888426
1.3,0.024693266676508563,0.08590837372612604,0.04589282043150362,0.15484902934054068,0.13685307501225377,0.036381720287063615,0.10587391845769491,0.075346484693958,3.135611760769761
1.35,0.024684767237139617,0.08552863183079241,0.04588759788264995,0.14992335875045967,0.13592937353462667,0.03350289713338189,0.10567047121616653,0.06456170274641701,3.057694364300957
1.4000000000000001,0.024675951255537672,0.0851365897145274,0.04588178950280077,0.1449937456406114,0.13493303861678055,0.03146968057529327,0.10544011552696737,0.05519899511528942,2.987837033935548
1.4500000000000002,0.024666819174923842,0.08473245703485902,0.045875356307539354,0.14007287104765748,0.13386358009707996,0.03009204594801196,0.10518128455430557,0.04711973606142579,2.924973530688805
1.5,0.02465737145438173,0.08431644861648611,0.04586825860729647,0.13517288018129386,0.13272088307736965,0.02920837345387737,0.10489252876849417,0.04018932301207181,2.8681169002653757
1.55,0.0246476085690779,0.08388878436536155,0.04586045607275094,0.1303053430390207,0.1315052040683854,0.028683355908768665,0.10457253009627288,0.03427958840457883,2.8163673875968986
1.6,0.024637531010450884,0.08344968916703302,0.04585190780087221,0.12548122088922142,0.1302171637596948,0.028405546594302482,0.10422011378763849,0.029270393534826404,2.7689155102359346
1.6500000000000001,0.02462713928636741,0.08299939276555401,0.04584257238138132,0.12071083859822113,0.12885773668594291,0.028284742557923997,0.10383425797208119,0.025050578252555435,2.7250415518036673
1.7000000000000002,0.024616433921245746,0.08253812962086467,0.045832407963415464,0.11600386269838271,0.12742823808084966,0.028249348344568766,0.10341410092726444,0.02151841365910864,2.6841125030039024
1.75,0.024605415456146928,0.0820661387439167,0.04582137232219494,0.11136928502707034,0.12593030822404253,0.028243823322437533,0.1029589461251315,0.01858168020324497,2.645577270644108
1.8,0.024594084448835506,0.0815836635099505,0.045809422925506646,0.10681541171064826,0.12436589459395442,0.028226282015600016,0.10246826515450105,0.016157471431584733,2.6089607971897695
1.85,0.02458244147381184,0.08109095145122001,0.045796516999834974,0.10234985722317975,0.12273723214318681,0.0281662903454066,0.1019416986459876,0.0141718043202869,2.5738575839066775
1.9000000000000001,0.02457048712231847,0.08058825403111325,0.04578261159598821,0.09797954321533477,0.12104682201142762,0.02804288042157739,0.10137905534524566,0.012559100525506706,2.539924987305173
1.9500000000000002,0.024558222002323205,0.08007582640205586,0.04576766365408434,0.09371070178416559,0.11929740898570113,0.027842791498243192,0.10078030949485069,0.011261588853472426,2.506876558428157
2.0,0.024545646738481763,0.07955392714984062,0.04575163006777595,0.08954888283772136,0.11749195800888347,0.027558933959816442,0.1001455966943565,0.010228667528124518,2.4744756144158644
2.0500000000000003,0.02453276197208264,0.07902281802712738,0.04573446774760768,0.08549896519879087,0.11563363002550299,0.02718906586160757,0.09947520841294706,0.009416255171158856,2.4425291687431456
2.1,0.02451956836097694,0.07848276367883797,0.045716133683412215,0.08156517108829033,0.1137257574393139,0.026734666869259488,0.09876958533030747,0.008786151553054723,2.410882297799434
2.15,0.024506066579495594,0.07793403136205679,0.045696585005662135,0.07775108362994135,0.11177181944042515,0.02619999178455709,0.0980293096794918,0.008305422880694323,2.3794129845870144
2.2,0.02449225731835629,0.0773768906628671,0.04567577904570416,0.07405966702302767,0.10977541744131486,0.02559128468906976,0.09725509676120746,0.00794582142813775,2.348027453061519
2.25,0.024478141284562206,0.07681161321232793,0.04565367339481098,0.07049328903839974,0.10774025084127313,0.02491613465805296,0.09644778579254605,0.007683245480043132,2.3166559871288666
2.3000000000000003,0.024463719201294313,0.07623847240354545,0.04563022596199262,0.0670537455038637,0.10567009331808438,0.024182954659854747,0.09560833024518475,0.0074972426497843594,2.285249214918348
2.35,0.024448991807798883,0.075657743111531,0.045605395030515306,0.06374228645809485,0.10356876982445058,0.02340056640074339,0.09473778781882046,0.0073705574851936125,2.253774830300304
2.4000000000000004,0.024433959859271537,0.07506970141727784,0.04557913931308066,0.0605596436667961,0.10144013444510501,0.02257787530434945,0.09383731018539579,0.007288722734251948,2.2222147185697216
2.45,0.024418624126738963,0.07447462433723827,0.045551418005622395,0.05750605921060906,0.09928804924908552,0.02172362138287826,0.09290813262880426,0.007239692582417157,2.190562450843305
2.5,0.024402985396939227,0.07387278955914915,0.045522190839680746,0.054581314870959734,0.09711636425049883,0.020846193359136303,0.09195156369345996,0.0072135154842979995,2.158821111269536
2.5500000000000003,0.024387044472201434,0.07326447518493989,0.04549141813331832,0.05178476205733228,0.09492889857056336,0.019953494961860285,0.0909689749435952,0.00720204380542936,2.1270014220390565
2.6,0.024370802170325268,0.07264995948126664,0.04545906084054303,0.0491153520371891,0.09272942287397448,0.01905285379445191,0.0899617909235906,0.007198677292121414,2.095120132950084
2.6500000000000004,0.024354259324460885,0.07202952063804875,0.045425080599206163,0.04657166624771398,0.09052164313387433,0.018150964540469793,0.08893147939820692,0.00719813734057699,2.0631986445848236
2.7,0.024337416782989413,0.07140343653524052,0.04538943977734569,0.04415194648658856,0.08830918576207447,0.01725385950345816,0.08787954194041729,0.007196269095076238,2.0312618367326283
2.75,0.02432027540940429,0.07077198451794968,0.04535210151794632,0.04185412479697813,0.08609558412478617,0.01636690057916736,0.08680750492375144,0.007189868533901534,1.999337076370416
