Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_3d_one_electron,J_4s_one_electron,J_4p_one electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(1),J_3d(10),J_4p(5),J_total_Br
0.0,0.02480203980080134,0.09092380740865384,0.23616608290457203,0.045925579103033035,0.14365936217183572,0.10690263172054791,0.7711476303566466,0.5492858275449614,0.04960407960160268,0.18184761481730768,0.27555347461819824,0.47233216580914406,0.8619561730310143,1.5422952607132931,1.069026317205479,2.7464291377248067,7.199044223520846
0.05,0.024801878352007214,0.09091616239275242,0.23601495357941696,0.04592557895670061,0.14365931951995767,0.10690263170100602,0.7662173241059045,0.5492524680865326,0.04960375670401443,0.18183232478550485,0.27555347374020367,0.4720299071588339,0.861955917119746,1.532434648211809,1.0690263170100602,2.746262340432663,7.188698685162835
0.1,0.024801394016431992,0.09089323052139511,0.23556223675749627,0.04592557763945195,0.14365893677182107,0.106902631059001,0.7516364086961246,0.5489607729651699,0.049602788032863984,0.18178646104279023,0.2755534658367117,0.47112447351499254,0.8619536206309264,1.5032728173922492,1.06902631059001,2.7448038648258493,7.157123801866393
0.15000000000000002,0.024800586826412747,0.09085502143063007,0.23480993784620263,0.04592557251536585,0.1436574550533271,0.10690262574582789,0.7280184184225141,0.5478761874629643,0.04960117365282549,0.18171004286126013,0.2755534350921951,0.46961987569240526,0.8619447303199627,1.4560368368450283,1.069026257458279,2.7393809373148215,7.102873289236777
0.2,0.024799456835567325,0.09080155152445801,0.23376137276146744,0.045925559187867615,0.1436536275156615,0.10690260149898234,0.6963330111519392,0.5452317324444033,0.04959891367113465,0.18160310304891603,0.2755533551272057,0.4675227455229349,0.861921765093969,1.3926660223038785,1.0690260149898234,2.726158662222016,7.024050581979878
0.25,0.0247980041183923,0.09073284444786818,0.23242112968044423,0.04592553149635886,0.14364574491368462,0.10690252307469102,0.6578333358076823,0.5401810606232446,0.0495960082367846,0.18146568889573636,0.2755531889781532,0.46484225936088847,0.8618744694821077,1.3156666716153647,1.0690252307469101,2.700905303116223,6.918928820432168
0.30000000000000004,0.024796228769726904,0.09064893166973109,0.23079501810823744,0.04592548151447164,0.14363166900654065,0.10690232014473569,0.6139665916111738,0.5319579695881322,0.04959245753945381,0.18129786333946218,0.27555288908682984,0.4615900362164749,0.8617900140392438,1.2279331832223477,1.0690232014473569,2.659789847940661,6.7865694928318305
0.35000000000000003,0.02479413090410757,0.09054985310980174,0.22889000748185404,0.04592539955209244,0.14360887189832736,0.1069018707443092,0.5662775294551302,0.5200086317248398,0.04958826180821514,0.18109970621960347,0.27555239731255465,0.45778001496370807,0.8616532313899641,1.1325550589102604,1.069018707443092,2.600043158624199,6.627290536671596
0.4,0.024791710655042116,0.09043565774201906,0.22671415769195202,0.04592527416299639,0.14357447948630064,0.10690098329899368,0.51631450024112,0.5040738012615902,0.04958342131008423,0.18087131548403812,0.27555164497797835,0.45342831538390405,0.8614468769178039,1.03262900048224,1.069009832989937,2.520369006307951,6.442889413853937
0.45,0.024788968174234864,0.09030640411263387,0.22427654382066226,0.045925092159300504,0.14352531744947333,0.10689937833054651,0.4655462205917924,0.4842132147310422,0.04957793634846973,0.18061280822526773,0.275550552955803,0.4485530876413245,0.86115190469684,0.9310924411835848,1.068993783305465,2.421066073655211,6.236598588011966
0.5,0.024785903630794824,0.0901621607248618,0.2215871771168639,0.04592483863316324,0.14345795858878546,0.1068966709412816,0.4152951078116143,0.46077823968736753,0.04957180726158965,0.1803243214497236,0.27554903179897944,0.4431743542337278,0.8607477515327128,0.8305902156232285,1.068966709412816,2.3038911984368378,6.0128153897496155
0.55,0.024782517210457815,0.0900030062592879,0.21865692382691854,0.04592449698541012,0.14336877071649987,0.10689235510943608,0.3666903345888145,0.434347997961333,0.04956503442091563,0.1800060125185758,0.2755469819124607,0.4373138476538371,0.8602126242989991,0.733380669177629,1.0689235510943609,2.171739989806665,5.776688710883443
0.6000000000000001,0.024778809114850763,0.08982902961834349,0.2154974230453401,0.04592404896019339,0.14325396460757264,0.10688579070196436,0.3206411471804273,0.4056474988293726,0.049557618229701526,0.17965805923668698,0.27554429376116035,0.4309948460906802,0.8595237876454358,0.6412822943608546,1.0688579070196436,2.0282374941468633,5.533656300491026
0.65,0.02477477956082241,0.08964032980119606,0.21212100431668285,0.045923474684472665,0.14310964172845558,0.10687619393941919,0.2778288416733673,0.3754646338897165,0.04954955912164482,0.17928065960239212,0.275540848106836,0.4242420086333657,0.8586578503707335,0.5556576833467346,1.0687619393941918,1.8773231694485826,5.289013718024481
0.7000000000000001,0.024770428779859723,0.08943701563024947,0.20854060536120042,0.045922752711036796,0.14293184154571534,0.10686263184498841,0.2387143051632599,0.34457820172166354,0.049540857559719445,0.17887403126049894,0.2755365162662208,0.41708121072240084,0.857591049274292,0.4774286103265198,1.068626318449884,1.7228910086083178,5.047569602467854
0.75,0.024765757017603907,0.08921920536084667,0.20476969004480564,0.04592186006392667,0.1427165882116208,0.10684402099216918,0.20355724799593422,0.31370355815347833,0.049531514035207815,0.17843841072169334,0.27553116038356,0.40953938008961127,0.8562995292697249,0.40711449599186844,1.0684402099216919,1.5685177907673917,4.813412491180749
0.8,0.024760764533474245,0.08898702621122816,0.20082216657834207,0.045920772285385845,0.14245993636293017,0.10681913064816274,0.17244310124598933,0.28345759039940216,0.04952152906694849,0.1779740524224563,0.27552463371231506,0.40164433315668413,0.854759618177581,0.34488620249197866,1.0681913064816275,1.4172879519970107,4.589789627506602
0.8500000000000001,0.02475545160040257,0.08874061385059792,0.19671230590294742,0.04591946348378224,0.14215801568926426,0.1067865902062352,0.14531387769997348,0.25434127951763075,0.04951090320080514,0.17748122770119584,0.27551678090269344,0.39342461180589483,0.8529480941355856,0.29062775539994695,1.067865902062352,1.2717063975881537,4.3790816727966275
0.9,0.024749818504676238,0.08848011188008699,0.1924546602748964,0.04591790638224268,0.14180707385753802,0.1067449006207347,0.12199991684963991,0.22673626752390766,0.049499637009352476,0.17696022376017398,0.2755074382934561,0.3849093205497928,0.8508424431452282,0.24399983369927983,1.067449006207347,1.1336813376195383,4.182849240284169
0.9500000000000001,0.02474386554588322,0.0882056713355934,0.18806398217557926,0.04591607236798124,0.1414035173365308,0.10669244941077621,0.10225018953062079,0.20091129455411483,0.04948773109176644,0.1764113426711868,0.27549643420788744,0.37612796435115853,0.8484211040191849,0.20450037906124158,1.066924494107762,1.0045564727705742,4.001925922280762
1.0,0.024737593036949435,0.08791745023410429,0.18355514381017188,0.04591393154246226,0.14094394965758028,0.10662752868714695,0.08575959584828297,0.1770346743331555,0.04947518607389887,0.17583490046820857,0.27548358925477356,0.36711028762034376,0.8456636979454817,0.17151919169656593,1.0662752868714696,0.8851733716657775,3.8365355115965194
1.05,0.024731001304256074,0.08761561317726248,0.17894305759563944,0.04591145277262088,0.14042520667214453,0.1065483555830442,0.07219236427839283,0.155189711766962,0.04946200260851215,0.17523122635452495,0.2754687166357253,0.3578861151912789,0.8425512400328672,0.14438472855678566,1.0654835558304419,0.7759485588348101,3.686416144044946
1.1,0.02472409068782296,0.08730033101850773,0.17424259815479964,0.04590860374337837,0.13984438841821248,0.10645309443149314,0.061201204588369494,0.13539082144153297,0.04944818137564592,0.17460066203701546,0.2754516224602702,0.3484851963095993,0.8390663305092749,0.12240240917673899,1.0645309443149316,0.6769541072076648,3.550939453391141
1.1500000000000001,0.024716861541543317,0.08697178059371821,0.16946852641533458,0.04590535101165642,0.13919888727687713,0.10633988002731258,0.05244226922135441,0.11759889103718793,0.049433723083086634,0.17394356118743642,0.2754321060699385,0.33893705283066916,0.8351933236612628,0.10488453844270881,1.0633988002731258,0.5879944551859396,3.429217560734168
1.2000000000000002,0.024709314233455345,0.08663014451025304,0.16463541645494,0.045901660062031564,0.1384864121795555,0.1062068413344788,0.04558624574658146,0.1017350625859716,0.04941862846691069,0.17326028902050608,0.2754099603721894,0.32927083290988,0.8309184730773331,0.09117249149316292,1.062068413344788,0.508675312929858,3.3201944016146285
1.25,0.024701449146036624,0.08627561098577201,0.15975758573611246,0.04589749536409461,0.13770500870840088,0.10605212504506094,0.04032605790134566,0.08769255919294529,0.04940289829207325,0.17255122197154402,0.2753849721845677,0.3195151714722249,0.8262300522504054,0.08065211580269133,1.0605212504506094,0.4384627959647264,3.2227204783888426
1.3,0.024693266676508563,0.08590837372612604,0.15484902934054068,0.04589282043150362,0.13685307501225377,0.10587391845769491,0.036381720287063615,0.075346484693958,0.049386533353017126,0.1718167474522521,0.2753569225890217,0.30969805868108136,0.8211184500735227,0.07276344057412723,1.0587391845769492,0.37673242346978997,3.135611760769761
1.35,0.024684767237139617,0.08552863183079241,0.14992335875045967,0.04588759788264995,0.13592937353462667,0.10567047121616653,0.03350289713338189,0.06456170274641701,0.049369534474279234,0.17105726366158483,0.2753255872958997,0.29984671750091935,0.8155762412077601,0.06700579426676379,1.0567047121616653,0.3228085137320851,3.057694364300957
1.4000000000000001,0.024675951255537672,0.0851365897145274,0.1449937456406114,0.04588178950280077,0.13493303861678055,0.10544011552696737,0.03146968057529327,0.05519899511528942,0.049351902511075345,0.1702731794290548,0.2752907370168046,0.2899874912812228,0.8095982317006833,0.06293936115058654,1.0544011552696737,0.2759949755764471,2.987837033935548
1.4500000000000002,0.024666819174923842,0.08473245703485902,0.14007287104765748,0.045875356307539354,0.13386358009707996,0.10518128455430557,0.03009204594801196,0.04711973606142579,0.049333638349847685,0.16946491406971803,0.2752521378452361,0.28014574209531495,0.8031814805824797,0.06018409189602392,1.0518128455430558,0.23559868030712894,2.924973530688805
1.5,0.02465737145438173,0.08431644861648611,0.13517288018129386,0.04586825860729647,0.13272088307736965,0.10489252876849417,0.02920837345387737,0.04018932301207181,0.04931474290876346,0.16863289723297223,0.2752095516437788,0.27034576036258773,0.796325298464218,0.05841674690775474,1.0489252876849418,0.20094661506035905,2.8681169002653757
1.55,0.0246476085690779,0.08388878436536155,0.1303053430390207,0.04586045607275094,0.1315052040683854,0.10457253009627288,0.028683355908768665,0.03427958840457883,0.0492952171381558,0.1677775687307231,0.27516273643650563,0.2606106860780414,0.7890312244103124,0.05736671181753733,1.0457253009627288,0.17139794202289416,2.8163673875968986
1.6,0.024637531010450884,0.08344968916703302,0.12548122088922142,0.04585190780087221,0.1302171637596948,0.10422011378763849,0.028405546594302482,0.029270393534826404,0.04927506202090177,0.16689937833406604,0.27511144680523325,0.25096244177844285,0.7813029825581688,0.056811093188604965,1.042201137876385,0.14635196767413203,2.7689155102359346
1.6500000000000001,0.02462713928636741,0.08299939276555401,0.12071083859822113,0.04584257238138132,0.12885773668594291,0.10383425797208119,0.028284742557923997,0.025050578252555435,0.04925427857273482,0.16599878553110803,0.27505543428828794,0.24142167719644225,0.7731464201156575,0.056569485115847994,1.038342579720812,0.12525289126277717,2.7250415518036673
1.7000000000000002,0.024616433921245746,0.08253812962086467,0.11600386269838271,0.045832407963415464,0.12742823808084966,0.10341410092726444,0.028249348344568766,0.02151841365910864,0.04923286784249149,0.16507625924172933,0.27499444778049276,0.23200772539676542,0.7645694284850979,0.05649869668913753,1.0341410092726444,0.1075920682955432,2.6841125030039024
1.75,0.024605415456146928,0.0820661387439167,0.11136928502707034,0.04582137232219494,0.12593030822404253,0.1029589461251315,0.028243823322437533,0.01858168020324497,0.049210830912293856,0.1641322774878334,0.2749282339331697,0.2227385700541407,0.7555818493442552,0.056487646644875066,1.029589461251315,0.09290840101622484,2.645577270644108
1.8,0.024594084448835506,0.0815836635099505,0.10681541171064826,0.045809422925506646,0.12436589459395442,0.10246826515450105,0.028226282015600016,0.016157471431584733,0.04918816889767101,0.163167327019901,0.27485653755303985,0.21363082342129652,0.7461953675637265,0.05645256403120003,1.0246826515450105,0.08078735715792366,2.6089607971897695
1.85,0.02458244147381184,0.08109095145122001,0.10234985722317975,0.045796516999834974,0.12273723214318681,0.1019416986459876,0.0281662903454066,0.0141718043202869,0.04916488294762368,0.16218190290244003,0.27477910199900984,0.2046997144463595,0.7364233928591208,0.0563325806908132,1.0194169864598759,0.07085902160143451,2.5738575839066775
1.9000000000000001,0.02457048712231847,0.08058825403111325,0.09797954321533477,0.04578261159598821,0.12104682201142762,0.10137905534524566,0.02804288042157739,0.012559100525506706,0.04914097424463694,0.1611765080622265,0.2746956695759293,0.19595908643066953,0.7262809320685657,0.05608576084315478,1.0137905534524565,0.06279550262753353,2.539924987305173
1.9500000000000002,0.024558222002323205,0.08007582640205586,0.09371070178416559,0.04576766365408434,0.11929740898570113,0.10078030949485069,0.027842791498243192,0.011261588853472426,0.04911644400464641,0.16015165280411173,0.274605981924506,0.18742140356833117,0.7157844539142068,0.055685582996486384,1.0078030949485068,0.05630794426736213,2.506876558428157
2.0,0.024545646738481763,0.07955392714984062,0.08954888283772136,0.04575163006777595,0.11749195800888347,0.1001455966943565,0.027558933959816442,0.010228667528124518,0.049091293476963525,0.15910785429968125,0.27450978040665575,0.17909776567544272,0.7049517480533009,0.055117867919632885,1.001455966943565,0.051143337640622594,2.4744756144158644
2.0500000000000003,0.02453276197208264,0.07902281802712738,0.08549896519879087,0.04573446774760768,0.11563363002550299,0.09947520841294706,0.02718906586160757,0.009416255171158856,0.04906552394416528,0.15804563605425476,0.2744068064856461,0.17099793039758174,0.693801780153018,0.05437813172321514,0.9947520841294706,0.04708127585579428,2.4425291687431456
2.1,0.02451956836097694,0.07848276367883797,0.08156517108829033,0.045716133683412215,0.1137257574393139,0.09876958533030747,0.026734666869259488,0.008786151553054723,0.04903913672195388,0.15696552735767594,0.2742968021004733,0.16313034217658065,0.6823545446358834,0.053469333738518976,0.9876958533030746,0.04393075776527361,2.410882297799434
2.15,0.024506066579495594,0.07793403136205679,0.07775108362994135,0.045696585005662135,0.11177181944042515,0.0980293096794918,0.02619999178455709,0.008305422880694323,0.04901213315899119,0.15586806272411358,0.2741795100339728,0.1555021672598827,0.6706309166425509,0.05239998356911418,0.980293096794918,0.041527114403471614,2.3794129845870144
2.2,0.02449225731835629,0.0773768906628671,0.07405966702302767,0.04567577904570416,0.10977541744131486,0.09725509676120746,0.02559128468906976,0.00794582142813775,0.04898451463671258,0.1547537813257342,0.274054674274225,0.14811933404605535,0.6586525046478892,0.05118256937813952,0.9725509676120746,0.03972910714068875,2.348027453061519
