Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_3d(10),J_4s(1),J_4p(1),J_total_Ga
0.0,0.028069916882139678,0.10420525608159159,0.05282524177854204,0.2846499316800462,0.17570756958970754,0.14564548875746586,1.173374176336233,0.9143182950703993,6.922568612814576
0.05,0.028069682557550272,0.10419371399886644,0.05282524147047415,0.2843887326965597,0.17570744909602384,0.1456454884424056,1.1572535151750514,0.9139265609191647,6.889388877598264
0.1,0.02806897960092248,0.10415909335525729,0.052825238696432845,0.28360682082768235,0.17570636883403887,0.14564547815394127,1.1103743632050689,0.9106555770270878,6.790718517727193
0.15000000000000002,0.028067808063533803,0.10410141156301748,0.052825227901098865,0.28230921522959995,0.1757021929710101,0.1456453937936909,1.0369340554636062,0.8993166843014024,6.62976012811048
0.2,0.02806616803038071,0.10402069950490912,0.05282519981172647,0.28050416535509726,0.17569142844634716,0.14564501368426627,0.9431562687672896,0.8742540172904888,6.413298526996948
0.25,0.0280640596195243,0.10391700389900824,0.05282514143342785,0.27820299174620455,0.17566931953590903,0.14564380427484205,0.8363382084705965,0.8319906638469585,6.152439999882066
0.30000000000000004,0.028061482981258153,0.10379038987008397,0.05282503606577808,0.27541988825022656,0.17562997103423175,0.1456407371494111,0.723852824788375,0.7726071745732812,5.861993760447338
0.35000000000000003,0.028058438297170522,0.10364094322341609,0.052824863348719754,0.2721717030448683,0.17556649376639116,0.14563410408850777,0.6123040668946454,0.6995011638310089,5.558540650326953
0.4,0.02805492577917856,0.1034687720221432,0.05282459933680477,0.26847771274838267,0.17547116682343977,0.14562135695201817,0.5069608245784728,0.6180547790034346,5.257967415741438
0.45,0.028050945668610022,0.10327400724737076,0.05282421659372514,0.26435939854697305,0.17533561175600484,0.14559899544709562,0.4115055029181363,0.534051799630059,4.973380432961576
0.5,0.028046498235398204,0.10305680251705117,0.052823684296502485,0.2598402274819124,0.1751509745166659,0.14556251925283042,0.3280575640976577,0.45247453839569646,4.71394986846705
0.55,0.02804158377744102,0.1028173330062443,0.05282296834045622,0.25494543734438957,0.17490811113846746,0.145506452708101,0.25738865610766243,0.3769064809777003,4.484743505403727
0.6000000000000001,0.02803620262015687,0.10255579381720561,0.052822031440176276,0.24970182092097373,0.17459777314298547,0.1454244416728041,0.19923590413049505,0.30945524030772753,4.2872779275124016
0.65,0.028030355116251043,0.10227239808445839,0.052820833225966264,0.24413750477292318,0.17421078870265702,0.1453094144653746,0.15263427012979075,0.2509852525926707,4.120418185025003
