Q,J_numerical,J_exact,Absolute_difference,Percent_difference
0.000000000000000e+00,8.477642659898776e-01,8.488263631567752e-01,1.062097166897535e-03,1.251253746346436e-01
5.000000000000000e-02,8.414613343368623e-01,8.424918642882230e-01,1.030529951360659e-03,1.223192763091309e-01
1.000000000000000e-01,8.229228209207867e-01,8.238625053812187e-01,9.396844604320220e-04,1.140584083259391e-01
1.500000000000000e-01,7.932150182915789e-01,7.940153704745085e-01,8.003521829296201e-04,1.007980717616744e-01
2.000000000000000e-01,7.539753874449947e-01,7.546035459902487e-01,6.281585452539984e-04,8.324351887714503e-02
2.500000000000000e-01,7.072313168631648e-01,7.076720503745473e-01,4.407335113825184e-04,6.227934410427158e-02
3.000000000000000e-01,6.551948064653745e-01,6.554496950699753e-01,2.548886046007670e-04,3.888759221614335e-02
3.500000000000000e-01,6.000655802694854e-01,6.001500001622160e-01,8.441989273055839e-05,1.406646550158133e-02
4.000000000000000e-01,5.438682492290108e-01,5.438071230605850e-01,6.112616842579577e-05,1.124041334393955e-02
4.500000000000000e-01,4.883382926804208e-01,4.881615895407669e-01,1.767031396539553e-04,3.619767377031590e-02
5.000000000000000e-01,4.348603448967258e-01,4.345990979362689e-01,2.612469604568735e-04,6.011217273515455e-02
5.500000000000000e-01,3.844532913691999e-01,3.841365783771565e-01,3.167129920433887e-04,8.244801715613519e-02
6.000000000000001e-01,3.377913089754734e-01,3.374443294403778e-01,3.469795350955485e-04,1.028257122207340e-01
6.500000000000000e-01,2.952481975561786e-01,2.948913504940367e-01,3.568470621419517e-04,1.210096740864456e-01
7.000000000000001e-01,2.569532688827922e-01,2.566020102355794e-01,3.512586472128043e-04,1.368885017269830e-01
7.500000000000000e-01,2.228495157401750e-01,2.225147381433697e-01,3.347775968053635e-04,1.504518755021347e-01
8.000000000000000e-01,1.927477394263274e-01,1.924364406251304e-01,3.112988011970130e-04,1.617670749810992e-01
8.500000000000001e-01,1.663730550226087e-01,1.660891137986960e-01,2.839412239126760e-04,1.709571551190402e-01
9.000000000000000e-01,1.434023541037563e-01,1.431472914511401e-01,2.550626526162392e-04,1.781819621108924e-01
9.500000000000001e-01,1.234927876804664e-01,1.232664427651040e-01,2.263449153624419e-04,1.836224931011953e-01
1.000000000000000e+00,1.063022057853948e-01,1.061032953945969e-01,1.989103907978906e-04,1.874686267359984e-01
1.050000000000000e+00,9.150289453857055e-02,9.132945082029426e-02,1.734437182762949e-04,1.899099542573337e-01
1.100000000000000e+00,7.879003805232035e-02,7.863973448951911e-02,1.503035628012406e-04,1.911292856937006e-01
1.150000000000000e+00,6.788623077086930e-02,6.775661348611500e-02,1.296172847543020e-04,1.912983516817348e-01
1.200000000000000e+00,5.854317211367835e-02,5.843181554546242e-02,1.113565682159257e-04,1.905752323052251e-01
