Q,J_1s_one_electron,J_2s_one_electron,J_2p_one_electron,J_1s(2),J_2s(2),J_2p(2),J_total_carbon
0,0.153200233,0.804765627,0.479715658,0.306400465,1.609531254,0.959431317,2.875363036
0.05,0.153161112,0.799597149,0.479691918,0.306322225,1.599194298,0.959383836,2.864900359
0.1,0.153043841,0.784330294,0.479484555,0.306087682,1.568660589,0.95896911,2.83371738
0.15,0.152848686,0.759659055,0.478714732,0.305697371,1.519318111,0.957429463,2.782444945
0.2,0.15257609,0.726670847,0.476841474,0.305152181,1.453341695,0.953682949,2.712176824
0.25,0.152226674,0.686753259,0.473271626,0.304453347,1.373506519,0.946543251,2.624503117
0.3,0.151801224,0.641482403,0.467471846,0.303602447,1.282964806,0.934943693,2.521510946
0.35,0.151300694,0.59250699,0.459058358,0.302601387,1.185013979,0.918116717,2.405732083
0.4,0.150726197,0.541441053,0.447849526,0.301452394,1.082882106,0.895699053,2.280033552
0.45,0.150078999,0.489775093,0.433877929,0.300157998,0.979550186,0.867755858,2.147464043
0.5,0.149360511,0.43881134,0.417368205,0.298721023,0.877622679,0.834736411,2.011080113
0.55,0.14857228,0.389624736,0.398692433,0.29714456,0.779249472,0.797384865,1.873778898
0.6,0.147715981,0.343047858,0.378315895,0.295431961,0.686095716,0.756631789,1.738159467
0.65,0.146793405,0.299675702,0.356743979,0.293586811,0.599351404,0.713487959,1.606426173
0.7,0.145806456,0.259885154,0.334477324,0.291612912,0.519770308,0.668954649,1.480337869
0.75,0.144757134,0.223863818,0.311978598,0.289514269,0.447727636,0.623957196,1.361199102
0.8,0.143647531,0.191643439,0.289651362,0.287295063,0.383286878,0.579302724,1.249884665
0.85,0.142479819,0.163134113,0.267829569,0.284959639,0.326268227,0.535659138,1.146887004
0.9,0.141256243,0.138156559,0.246775357,0.282512486,0.276313118,0.493550714,1.052376318
0.95,0.13997911,0.116470724,0.226682631,0.27995822,0.232941447,0.453365262,0.966264929
1,0.138650783,0.097799877,0.207684181,0.277301566,0.195599755,0.415368363,0.888269683
1.05,0.137273671,0.081849967,0.189860556,0.274547343,0.163699933,0.379721111,0.817968387
1.1,0.135850223,0.068324458,0.173249392,0.271700447,0.136648917,0.346498783,0.754848146
1.15,0.134382917,0.056935163,0.157854366,0.268765835,0.113870325,0.315708733,0.698344892
1.2,0.132874255,0.047409645,0.143653272,0.26574851,0.09481929,0.287306544,0.647874344
1.25,0.131326754,0.039495879,0.130604983,0.262653508,0.078991758,0.261209966,0.602855233
1.3,0.12974294,0.032964746,0.118655265,0.259485881,0.065929493,0.23731053,0.562725903
1.35,0.128125341,0.027610925,0.107741464,0.256250681,0.055221849,0.215482927,0.526955458
1.4,0.126476477,0.023252628,0.0977962,0.252952954,0.046505255,0.1955924,0.495050609
1.45,0.124798859,0.019730559,0.088750195,0.249597718,0.039461118,0.177500391,0.466559226
1.5,0.123094978,0.016906376,0.080534377,0.246189955,0.033812751,0.161068754,0.44107146
1.55,0.1213673,0.014660879,0.073081392,0.2427346,0.029321758,0.146162784,0.418219142
1.6,0.119618263,0.012892089,0.066326655,0.239236526,0.025784177,0.13265331,0.397674013
1.65,0.117850268,0.011513319,0.060209026,0.235700535,0.023026637,0.120418053,0.379145225
1.7,0.116065674,0.010451322,0.054671214,0.232131348,0.020902645,0.109342428,0.362376421
1.75,0.114266798,0.009644561,0.049659963,0.228533596,0.019289123,0.099319926,0.347142644
1.8,0.112455903,0.009041616,0.045126092,0.224911806,0.018083233,0.090252184,0.333247223
1.85,0.110635202,0.008599758,0.04102442,0.221270403,0.017199516,0.08204884,0.320518759
1.9,0.108806846,0.008283673,0.037313621,0.217613692,0.016567345,0.074627242,0.308808279
1.95,0.106972929,0.008064344,0.033956025,0.213945857,0.016128688,0.06791205,0.297986596
2,0.105135478,0.007918075,0.030917394,0.210270955,0.015836149,0.061834788,0.287941893
2.05,0.103296455,0.00782564,0.028166681,0.206592909,0.01565128,0.056333362,0.278577552
2.1,0.101457752,0.00777156,0.025675785,0.202915504,0.01554312,0.051351569,0.269810194
2.15,0.099621191,0.007743475,0.02341931,0.199242383,0.015486949,0.046838621,0.261567953
2.2,0.097788522,0.007731613,0.021374335,0.195577045,0.015463227,0.042748671,0.253788942
2.25,0.09596142,0.007728345,0.019520188,0.19192284,0.015456689,0.039040376,0.246419905
2.3,0.094141486,0.007727795,0.017838241,0.188282973,0.015455589,0.035676481,0.239415043
2.35,0.092330247,0.007725528,0.016311716,0.184660493,0.015451055,0.032623432,0.23273498
2.4,0.090529151,0.007718278,0.014925508,0.181058303,0.015436555,0.029851017,0.226345875
2.45,0.088739576,0.007703723,0.013666022,0.177479152,0.015407445,0.027332044,0.220218641
2.5,0.08696282,0.007680299,0.012521019,0.17392564,0.015360598,0.025042038,0.214328276
2.55,0.085200109,0.007647045,0.011479486,0.170400218,0.015294091,0.022958971,0.20865328
2.6,0.083452593,0.007603476,0.010531509,0.166905185,0.015206952,0.021063019,0.203175156
2.65,0.081721349,0.007549472,0.009668166,0.163442698,0.015098945,0.019336332,0.197877975
2.7,0.080007384,0.0074852,0.008881421,0.160014769,0.0149704,0.017762841,0.19274801
2.75,0.078311632,0.007411035,0.008164036,0.156623265,0.01482207,0.016328072,0.187773407
2.8,0.076634959,0.007327509,0.007509492,0.153269918,0.014655018,0.015018985,0.18294392
2.85,0.074978162,0.007235259,0.006911914,0.149956323,0.014470519,0.013823827,0.17825067
2.9,0.073341972,0.007134997,0.006366002,0.146683943,0.014269994,0.012732003,0.173685941
2.95,0.071727056,0.007027473,0.005866978,0.143454112,0.014054945,0.011733956,0.169243013
3,0.070134019,0.006913455,0.00541053,0.140268039,0.013826911,0.01082106,0.164916009
3.05,0.068563406,0.006793715,0.004992764,0.137126812,0.01358743,0.009985529,0.160699771
3.1,0.067015702,0.006669007,0.004610165,0.134031404,0.013338013,0.00922033,0.156589747
3.15,0.065491337,0.006540063,0.004259553,0.130982673,0.013080125,0.008519106,0.152581904
3.2,0.063990685,0.006407583,0.003938055,0.127981371,0.012815166,0.00787611,0.148672647
3.25,0.062514072,0.006272231,0.003643071,0.125028144,0.012544463,0.007286143,0.144858749
3.3,0.06106177,0.00613463,0.003372249,0.12212354,0.012269261,0.006744498,0.141137298
3.35,0.059634006,0.005995361,0.003123456,0.119268012,0.011990722,0.006246913,0.137505646
3.4,0.05823096,0.005854961,0.002894763,0.11646192,0.011709922,0.005789525,0.133961368
3.45,0.056852771,0.005713925,0.002684416,0.113705542,0.01142785,0.005368833,0.130502224
3.5,0.055499534,0.005572704,0.00249083,0.110999069,0.011145408,0.004981659,0.127126137
3.55,0.054171309,0.00543171,0.00231256,0.108342618,0.01086342,0.00462512,0.123831158
3.6,0.052868115,0.005291313,0.002148299,0.105736231,0.010582625,0.004296597,0.120615453
3.65,0.05158994,0.005151846,0.001996855,0.10317988,0.010303691,0.00399371,0.117477282
3.7,0.050336737,0.005013606,0.001857147,0.100673475,0.010027212,0.003714294,0.114414981
3.75,0.04910843,0.004876858,0.00172819,0.09821686,0.009753715,0.003456381,0.111426956
3.8,0.047904913,0.004741832,0.001609089,0.095809826,0.009483664,0.003218178,0.108511668
3.85,0.046726054,0.004608732,0.001499027,0.093452107,0.009217464,0.002998054,0.105667625
3.9,0.045571695,0.004477733,0.00139726,0.091143391,0.008955465,0.00279452,0.102893376
3.95,0.044441658,0.004348985,0.00130311,0.088883315,0.008697969,0.002606219,0.100187504
4,0.043335739,0.004222615,0.001215958,0.086671478,0.00844523,0.002431915,0.097548623
4.05,0.042253717,0.00409873,0.001135239,0.084507435,0.008197459,0.002270478,0.094975372
4.1,0.041195354,0.003977415,0.001060437,0.082390707,0.007954831,0.002120875,0.092466413
4.15,0.040160391,0.003858742,0.000991081,0.080320782,0.007717483,0.001982163,0.090020428
4.2,0.039148559,0.003742762,0.00092674,0.078297117,0.007485523,0.00185348,0.08763612
4.25,0.03815957,0.003629514,0.000867018,0.076319141,0.007259029,0.001734036,0.085312206
4.3,0.037193129,0.003519026,0.000811555,0.074386258,0.007038052,0.00162311,0.08304742
4.35,0.036248926,0.003411311,0.00076002,0.072497851,0.006822622,0.001520039,0.080840512
4.4,0.035326641,0.003306373,0.000712109,0.070653282,0.006612746,0.001424218,0.078690247
4.45,0.034425948,0.003204208,0.000667545,0.068851896,0.006408415,0.001335091,0.076595403
4.5,0.033546511,0.003104802,0.000626073,0.067093023,0.006209603,0.001252146,0.074554772
4.55,0.032687989,0.003008134,0.000587458,0.065375977,0.006016268,0.001174917,0.072567162
4.6,0.031850033,0.002914179,0.000551486,0.063700065,0.005828357,0.001102973,0.070631395
4.65,0.031032291,0.002822903,0.000517959,0.062064582,0.005645806,0.001035919,0.068746307
4.7,0.030234407,0.00273427,0.000486696,0.060468815,0.005468541,0.000973392,0.066910747
4.75,0.029456023,0.002648239,0.000457529,0.058912046,0.005296479,0.000915057,0.065123582
4.8,0.028696776,0.002564766,0.000430304,0.057393552,0.005129532,0.000860608,0.063383692
4.85,0.027956304,0.002483802,0.00040488,0.055912608,0.004967604,0.000809761,0.061689973
4.9,0.027234243,0.002405299,0.000381127,0.054468485,0.004810597,0.000762254,0.060041337
4.95,0.026530228,0.002329203,0.000358925,0.053060456,0.004658406,0.000717849,0.058436711
5,0.025843896,0.002255462,0.000338161,0.051687793,0.004510925,0.000676323,0.05687504
5.05,0.025174885,0.002184022,0.000318735,0.05034977,0.004368044,0.000637471,0.055355285
5.1,0.024522833,0.002114826,0.000300552,0.049045666,0.004229652,0.000601104,0.053876422
5.15,0.02388738,0.002047819,0.000283525,0.04777476,0.004095638,0.000567049,0.052437447
5.2,0.023268169,0.001982944,0.000267572,0.046536338,0.003965888,0.000535144,0.05103737
5.25,0.022664846,0.001920145,0.00025262,0.045329691,0.00384029,0.00050524,0.04967522
