Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(1),J_7s1/2(2),J_total_Ac_relativistic
0.0,0.0078029729810683455,0.028065181408483936,0.013498758003891248,0.01583656694675785,0.06156927399953055,0.03583499167968348,0.03964664975240936,0.02543603838360122,0.02625987838065739,0.12296945542436985,0.07701396391412484,0.08487691927561582,0.06276988011955034,0.06455135069539811,0.05077523473311109,0.0514856243108433,0.2566148976881921,0.1686117518253693,0.1872174193010368,0.15913787234834167,0.16431349403535306,0.6077796212902817,0.42708500136029776,0.4909593501101813,0.15913787234834167,2.1070945303542294,14.49782619871123
0.05,0.007802967099357627,0.028064949579889472,0.01349875800198702,0.015836566946081872,0.061566425075382604,0.035834991643579193,0.03964664969265166,0.025436038383600913,0.02625987838065702,0.1229442832298909,0.0770139621483908,0.08487691640378071,0.06276988011940332,0.06455135069522015,0.05077523473311107,0.05148562431084328,0.25638510939715736,0.16861166307062295,0.1872172694375097,0.1591378722447842,0.16431349390469877,0.6049265019133777,0.4270758808829068,0.4909407861558813,0.1591378722447842,2.0111604395272726,14.299642393688059
0.1,0.007802949454264498,0.028064254106904215,0.013498757994177692,0.015836566939998232,0.061557879137191254,0.03583499131867421,0.039646649154897996,0.025436038383590737,0.026259878380644714,0.12286879910763673,0.07701394626428115,0.08487689057156036,0.0627698801145547,0.064551350689352,0.050775234733108784,0.0514856243108407,0.2556970390557901,0.16861086602865646,0.18721592432748477,0.1591378688429673,0.1643134896142205,0.5964522496880151,0.4269950361502385,0.4907771429958374,0.1591378688429673,1.7506260545522718,13.759256074873417
0.15000000000000002,0.0078029200459060356,0.02806309502792127,0.013498757974173653,0.01583656691634056,0.06154363868730104,0.03583499005535613,0.039646647064034986,0.025436038383505995,0.026259878380542185,0.12274310037275085,0.0770138845373023,0.08487679020021476,0.06276988007419132,0.06455135064050405,0.0507752347330679,0.051485624310794495,0.25455455833392837,0.1686077770843946,0.18721071562877895,0.15913784069425782,0.16431345413080606,0.582607871583852,0.42668803236638747,0.4901610342180835,0.15913784069425782,1.3940582538431707,13.012758155032657
0.2,0.007802878874477365,0.02806147240692478,0.013498757931493272,0.015836566854834075,0.061523707894910004,0.035834986771484084,0.039646641629300865,0.02543603838311575,0.026259878380069938,0.12256734898933021,0.07701372421391944,0.08487652956285474,0.06276987988849207,0.0645513504157877,0.050775234732740815,0.05148562431042483,0.25296408042101803,0.16859978577465035,0.18719725639636436,0.15913771226594636,0.16431329235494047,0.5637976680157569,0.4259167102856822,0.48863197898622934,0.15913771226594636,1.020878236391986,12.217470373862394
0.25,0.007802825940251657,0.02805938633348337,0.013498757851464455,0.01583656672709938,0.06149809259400648,0.035834979953207786,0.039646630345925075,0.02543603838183838,0.026259878378524074,0.1223417712294331,0.07701339169199109,0.08487598913977247,0.06276987928152028,0.06455134968136121,0.050775234731081954,0.0514856243085502,0.25093450118454286,0.16858329755720616,0.18716953003321116,0.159137297007058,0.16431276975986564,0.540559268027461,0.42438531680569075,0.48564418075609567,0.159137297007058,0.6929600979948732,11.49542550779776
0.30000000000000004,0.0078027612435801275,0.028056836922740996,0.013498757715226857,0.015836566496657718,0.06146680028048267,0.03583496765611334,0.03964660999742121,0.025436038378483905,0.026259878374464404,0.1220666571971295,0.07701279277238561,0.08487501611353962,0.06276987769044945,0.06455134775643542,0.05077523472482349,0.051485624301478516,0.24847711787940674,0.16855379255404807,0.18712001189306224,0.15913622293961802,0.16431141962544793,0.5135377642768507,0.4217721456946368,0.4806439467054298,0.15913622293961802,0.44165481412982566,10.907736077741975
0.35000000000000003,0.007802684784892027,0.028053824315405144,0.013498757499734705,0.015836566118937766,0.06142984010842713,0.03583494750669454,0.03964657665853084,0.025436038370923425,0.02625987836531452,0.12174236021902621,0.07701181298079371,0.0848734250015259,0.06276987411228528,0.06455134342812295,0.05077523470563229,0.0514856242797967,0.24560552647245026,0.168505899167904,0.1870398207116843,0.1591338456522183,0.16430843539414247,0.483455774453201,0.41776278145720486,0.47314424057753174,0.1591338456522183,0.27062407582574377,10.46056630964737
0.4,0.0078025965646946385,0.028050348677732446,0.013498757177760251,0.015836565541283914,0.0613872228855989,0.03583491670414852,0.03964652569881511,0.025436038355686422,0.026259878346874564,0.12136929610309824,0.07701031795847764,0.08487099842284393,0.06276986691955991,0.06455133472901223,0.050775234655131146,0.05148562422275089,0.24233549891752773,0.16843348120220178,0.1869188963818658,0.15912915440021133,0.164302555725846,0.4510814476496856,0.4120811396869239,0.4627856836182618,0.15912915440021133,0.16666699951469452,10.127027132362603
0.45,0.007802496583573268,0.028046410201511655,0.013498756717897853,0.01583656470296607,0.061338961068086485,0.03583487202249404,0.03964645178689016,0.02543603832748661,0.026259878312747707,0.12094794226804972,0.0770081539204307,0.0848674879960977,0.06276985364677347,0.06455131867972703,0.05077523453695303,0.051485624089282395,0.23868484196427078,0.1683297368777325,0.18674620002759726,0.15912067748138897,0.16429195036150626,0.41719644111511167,0.4045151323763477,0.4493769215227145,0.15912067748138897,0.11064200651961076,9.869168246779147
0.5,0.007802384842191236,0.02804200910404404,0.013498756084568679,0.015836563535190945,0.06128506875415564,0.03583480981301057,0.03964634889530188,0.025436038278677204,0.026259878253681375,0.12047883674581027,0.07700514817916096,0.0848626153637049,0.06276983074964032,0.0645512909990887,0.05077523428490828,0.05148562380468639,0.2346732393037272,0.1681873079398007,0.18650993188898105,0.15910639313791092,0.1642741149010799,0.3825657294198564,0.3949347874891395,0.4329115938144253,0.15910639313791092,0.08460137409420988,9.652290660402633
0.55,0.007802261341289869,0.028037145628121152,0.013498755238026041,0.015836561961114826,0.061225561677290354,0.035834726006995984,0.03964621030603475,0.025436038198636678,0.026259878156824606,0.11996257706014492,0.07700110973206253,0.08485607333798116,0.06276979333945981,0.06455124578482857,0.05077523378628324,0.05148562324179446,0.2303220790430286,0.16799839689148444,0.18619776221177922,0.15908365194220092,0.16424578207969917,0.34791080698244414,0.38330180822019755,0.4135631487177756,0.15908365194220092,0.07487617042701594,9.451061233278505
0.6000000000000001,0.007802126081688489,0.028031820041999993,0.013498754134361348,0.015836559895857878,0.06116045719843217,0.03583461611884039,0.039646028616648864,0.02543603807308609,0.026259878004902922,0.119399818984716,0.07699582991009651,0.0848475271636205,0.06276973489517247,0.06455117516809926,0.050775232859258244,0.05148562219555131,0.22565426865634436,0.16775489027464388,0.18579707014994018,0.1590491159895802,0.16420285614368332,0.3138874503343195,0.36967066681663124,0.39166171591603766,0.1590491159895802,0.07246252486676177,9.2501505562471
0.65,0.007801979064284399,0.028026032639375593,0.013498752725510686,0.01583655724651991,0.06108977429742336,0.03583447524941335,0.03964579574703855,0.025436037883339306,0.026259877775312346,0.11879127518428188,0.07698908308527425,0.08483661589068436,0.06276964695587935,0.06455106894530238,0.050775231223433005,0.05148562034986076,0.22069403967860715,0.16744848585208197,0.18529518563722416,0.15899871929803455,0.16414037557244826,0.28106876717614176,0.35418223517879455,0.36765886571440864,0.15899871929803455,0.07215413269180161,9.042310766334394
0.7000000000000001,0.007801820290052872,0.028019783739350983,0.013498750959262007,0.01583655391219763,0.061013533563660266,0.03583429808976154,0.03964550294680533,0.02543603760548748,0.02625987743913435,0.11813771374304972,0.07698062743421784,0.08482295385172377,0.06276951879679285,0.06455091419098455,0.050775228462480095,0.05148561723561797,0.21546674449060935,0.16707082152209757,0.1846796292620333,0.15892765267616943,0.16405250777165858,0.2499338217261958,0.33705157035614175,0.34208640241307464,0.15892765267616943,0.07137294488496765,8.825825625202532
0.75,0.007801649760047135,0.028013073686404582,0.013498748779262961,0.015836549784003395,0.060931757185963414,0.03583407892511343,0.0396451408032374,0.02543603720951933,0.02625987696007366,0.11743995658451503,0.0769702057548685,0.0848061322362085,0.06276933709175125,0.06455069485575131,0.050775223978011,0.05148561217892246,0.2099986475886126,0.16661360381967316,0.1839383453804841,0.15883037504419775,0.16393257759632993,0.2208617291190364,0.31855177508789434,0.3155146651424106,0.15883037504419775,0.06915015298802729,8.602262602142662
