Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(1),J_total_Au_relativistic
0.0,0.00929239354599891,0.03313351672281408,0.01610925795017296,0.018137641387225338,0.07296204490378466,0.04265969942115044,0.0460577381131329,0.02969915035182458,0.030450369117535837,0.15026165982501816,0.09443912363737866,0.10219503783974969,0.07700774777977759,0.07888545929466738,0.06712982184936621,0.06805857333346793,0.3522216652458887,0.2356891132793251,0.2612863783911353,0.28834403516838264,0.3107791510389289,1.4726322488174057,10.245017508476113
0.05,0.009292384061043048,0.03313313905339047,0.016109257948317097,0.018137641385901952,0.0729573250490431,0.04265969933540247,0.04605773798737577,0.029699150351823644,0.030450369117534747,0.15021643783246777,0.09443911873790055,0.10219503056994783,0.0770077477790914,0.07888545929385465,0.06712982184936557,0.06805857333346718,0.35166268505918785,0.23568863346037627,0.2612855619416971,0.28834399755767126,0.31077906886683726,1.439807325470909,10.210969058272493
0.1,0.009292355606259017,0.03313200607377484,0.01610925793791004,0.018137641373991865,0.0729431674184611,0.042659698563787075,0.046057736855748724,0.02969915035179278,0.030450369117498852,0.15008085795470155,0.09443907467362905,0.10219496519546237,0.07700774775647226,0.07888545926706601,0.06712982184928368,0.06805857333337155,0.34999142072282274,0.2356843354686247,0.2612782577944236,0.2883428091182865,0.31077650415066027,1.3462289478347882,10.113688043433466
0.15000000000000002,0.009292308181897491,0.03313011786992872,0.016109257904434376,0.018137641327677218,0.0729195778116252,0.04265969556374094,0.046057732456119806,0.02969915035153567,0.030450369117199814,0.14985517822005,0.09443890350131345,0.10219471128929607,0.07700774756830132,0.07888545904422813,0.06712982184782235,0.06805857333166564,0.3472248021389217,0.2356677446434445,0.261250118419309,0.2883335373048769,0.3107568579365931,1.205246232621228,9.96636759348879
0.2,0.00929224178837625,0.03312747458510795,0.01610925782369774,0.018137641207268015,0.07288656589004294,0.042659687766161615,0.04605772102138467,0.029699150350351606,0.030450369115822606,0.14953982777255626,0.09443845916212726,0.10219405236533526,0.07700774670339347,0.07888545802010186,0.06712982183618978,0.0680585733180908,0.34339071916320457,0.23562506865585833,0.2611779421267434,0.28829445435287343,0.31067600994006234,1.0352018144606414,9.786933792202092
0.25,0.009292156426280175,0.033124076419842594,0.016109257661837816,0.018137640957211758,0.07284414517044263,0.04265967157815971,0.04605769728413509,0.029699150346476227,0.030450369111315063,0.14913540552154597,0.094437538248258,0.10219268720994665,0.07700774387980694,0.07888545467725798,0.0671298217775725,0.06805857324971623,0.3385275405763122,0.23553768060803465,0.2610306981547964,0.28818006473629737,0.3104462325629332,0.8552114043249244,9.593708933793234
0.30000000000000004,0.00929205209636124,0.033119923631908806,0.016109257375329315,0.018137640506106955,0.07279233301540247,0.042659642386907046,0.04605765448318538,0.029699150336300568,0.03045036909947967,0.1486426782596611,0.09443588106956485,0.10219023173282554,0.07700773648938176,0.07888544592944677,0.06712982155816327,0.06805857299392105,0.33268345819073275,0.23538276614863957,0.2607708825309507,0.2879172748477551,0.3099359184130026,0.6816057941769923,9.401841976183952
0.35000000000000003,0.009291928799538492,0.03311501653629272,0.016109256910992957,0.01813763976672047,0.07273115062131892,0.0426595945645759,0.04605758437194707,0.029699150313370486,0.030450369072810093,0.14806257825792785,0.09443317301379762,0.10218622132385545,0.077007719898837,0.07888542629633571,0.06712982089162199,0.06805857221733223,0.3259156728664679,0.23513410739477567,0.2603561324723762,0.28740919312160346,0.3089852254221677,0.5258931609368273,9.221386311779314
0.4,0.009291786536898038,0.03310935550514631,0.01610925620600644,0.0181376386360087,0.07266062300372621,0.042659521474363124,0.0460574772286397,0.02969915026716899,0.030450369019075548,0.14739620034878662,0.09442904619209921,0.10218011369916555,0.07700768661853347,0.07888538692340363,0.06712981915648479,0.06805857019718374,0.3182894429385131,0.23476297138331906,0.25974101571225916,0.28654557588778745,0.30743145286412066,0.39434062675794546,9.057082395489891
0.45,0.00929162530969302,0.033102940967735195,0.0161092551879174,0.018137636995142634,0.07258077897998227,0.0426594154775914,0.04605732186832271,0.02969915018168468,0.030450368919656808,0.1466447985103,0.09442308135980639,0.10217129221615212,0.07700762535210787,0.07888531446336054,0.06712981514546076,0.06805856553112767,0.3098770185649471,0.23423906745355372,0.2588789054635358,0.2852165604536732,0.30513471339839765,0.28873101335605356,8.909330742911857
