Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_6s1/2(1),J_total_Ba_relativistic
0.0,0.014330182041148994,0.05122374940629198,0.025329921640971673,0.02675385178090082,0.11751948128861456,0.06939910542765715,0.07205896674934756,0.047596661001359314,0.04820066921618003,0.2542828009738155,0.16279806513979536,0.16916568032104654,0.13630485148285412,0.1380153537143823,0.640230130504688,0.4458001378575236,0.468269820537799,2.2697906589886014,12.89930393161482
0.05,0.014330149437563777,0.051222375981650324,0.025329921633291893,0.02675385177161896,0.11750022231419112,0.0693991044620124,0.07205896558529735,0.047596661001330594,0.048200669216148996,0.2540715190391739,0.16279799244559817,0.16916559209295384,0.1363048514408004,0.13801535366836912,0.6370458224270896,0.44578886376035154,0.4682553035696101,2.153422918789607,12.659654819734612
0.1,0.014330051627427603,0.05121825595234317,0.025329921566161793,0.02675385168808817,0.11744246543825747,0.06939909577453736,0.07205895511313493,0.04759666100038341,0.04820066921512552,0.2534387869968717,0.1627973395741796,0.16916479984744112,0.13630485005831455,0.13801535215587704,0.627594394059334,0.44568912801349264,0.4681271361120166,1.841203016048903,12.014206053606546
0.15000000000000002,0.014329888612598875,0.051211390052143424,0.02532992130733084,0.026753851363282514,0.11734627076714249,0.06939906201016283,0.07205891441425485,0.04759666099249626,0.04820066920660324,0.25238793627010386,0.16279480901319193,0.16916172989826017,0.13630483860546208,0.13801533962805665,0.6121747176171235,0.4453115525310983,0.4676434241621207,1.4239794174719076,11.143903662057074
0.2,0.014329660396174846,0.051201779503737783,0.025329920636453878,0.026753850518924434,0.11721173835921814,0.06939897429889466,0.0720588086956698,0.04759666095619656,0.04820066916738127,0.2509244864869192,0.1627882609613524,0.16915378924487212,0.136304786267912,0.1380152823909121,0.5912666654955339,0.4443670764901082,0.46643878184016474,1.0023527110866888,10.248864966874883
0.25,0.014329366982491496,0.05118942601832453,0.02532991924519971,0.026753848765633165,0.11703900804696506,0.06939879233829784,0.0720585893967686,0.04759666083749129,0.04820066903912333,0.24905609681104515,0.16277474696312366,0.16913740965625385,0.1363046166871929,0.13801509698867298,0.5655053275882738,0.44250251316089273,0.46407418331617667,0.6484046401051909,9.472055505324454
0.30000000000000004,0.014329008377123354,0.05117433179505085,0.025329916737403008,0.026753845603132397,0.11682825918852283,0.06939846450857974,0.0720581943382302,0.0475966605261408,0.048200668702729,0.24679249869025777,0.16275055611974557,0.16910810814315025,0.13630417693644264,0.13801461638216184,0.5356479027123606,0.43934263462485607,0.46009473233197945,0.39199624859815185,8.872134224729752
0.35000000000000003,0.014328584586883273,0.0511564995202898,0.02532991262925944,0.02675384042051701,0.11657971034938051,0.06939792801988043,0.07205754791254909,0.04759665982544514,0.0482006679457037,0.24414541088843242,0.1627112730244348,0.1690605626126297,0.13630320062778326,0.13801354982165884,0.5025358355190718,0.43453294524369984,0.4540865494047337,0.22897415893242712,8.440103267246325
0.4,0.014328095619822151,0.051135932366757446,0.02532990634956394,0.026753832496578735,0.1162936189150461,0.0693971090912683,0.07205656131547669,0.04759665841575866,0.048200666422765166,0.24112843788813632,0.16265184636139898,0.16898870120833448,0.13630126716534968,0.1380114386645253,0.46705498354753316,0.4277777453487408,0.4457250231920353,0.13781815908101364,8.132792474836439
0.45,0.014327541485228608,0.05111263399247049,0.025329897239991926,0.02675382100019048,0.11597028063571369,0.069395923160833,0.07205513281753569,0.04759665581199306,0.04820066360997323,0.23775695295216612,0.16256666692511665,0.16888580358745486,0.13629775936642088,0.13800761061305425,0.4300965325311653,0.418869353303925,0.43480897336076046,0.0937087944317255,7.90111138243226
