Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(1),J_total_Bi_relativistic
0.0,0.008663871775201738,0.030976197954498255,0.015000843233465901,0.01714871974266676,0.06805992202095872,0.039724514883817535,0.04328141991123898,0.027847480217704217,0.02862755361834875,0.13838617205129516,0.08683741455284319,0.09462012344979773,0.07069040230445937,0.07252175376669519,0.05926877705047302,0.06007150111305008,0.3083851035877597,0.20435350457280366,0.22647900627078452,0.20990227830751415,0.218204585323849,0.9387447071357158,0.7678850671925425,0.9513023841379702,11.677522770337035
0.05,0.00866386395819905,0.030975888206105903,0.015000843231656203,0.017148719741664733,0.06805608310645235,0.039724514823630444,0.04328141981888632,0.027847480217703627,0.028627553618348053,0.1383506237306282,0.08683741133579587,0.09462011850907068,0.07069040230410098,0.0725217537662673,0.059268777050472905,0.06007150111304995,0.3080005172528085,0.20435327315207472,0.22647861781330622,0.2099022771721805,0.2182045837564828,0.9291818737533893,0.7676866302253496,0.9507576199360789,11.656604825849737
0.1,0.008663840507252317,0.030974958981575033,0.01500084322278062,0.017148719732646745,0.0680445677338057,0.03972451428201745,0.04328141898783354,0.027847480217684177,0.02862755361832509,0.13824403642641356,0.08683738239953538,0.09462007407349622,0.07069040229228472,0.07252175375216006,0.059268777050457765,0.06007150111303267,0.3068497992760893,0.2043511973672785,0.22647513633223804,0.20990224012877384,0.21820453268578385,0.9011421912915905,0.766007531136061,0.9462759421681942,11.590127266021446
0.15000000000000002,0.008663801422545523,0.030973410342841665,0.015000843196500326,0.017148719697578387,0.06802538001480782,0.0397245121761589,0.043281415756701844,0.02784748021752218,0.028627553618133777,0.13806658295807195,0.08683726997355605,0.09461990145753857,0.07069040219395185,0.0725217536347706,0.05926877705018702,0.06007150111272371,0.3049420324216239,0.2043431674339542,0.22646168609153108,0.2099019367875729,0.2182041153419398,0.8564915737733559,0.7600671447686319,0.9310721214104636,11.469454933956126
0.2,0.008663746704385307,0.03097124239312401,0.015000843135586016,0.017148719606406668,0.06799852679968048,0.039724506702473385,0.04328140735854447,0.027847480216776143,0.028627553617252655,0.1378185508454368,0.08683697805608273,0.09461945336651685,0.07069040174177015,0.07252175309501198,0.059268777048025106,0.06007150111025697,0.30229222101458353,0.2043224486133305,0.22642704676812608,0.2099005724300885,0.21820224351508782,0.7980870183368126,0.7465513520973561,0.8984172593793371,11.286906427264277
0.25,0.008663676353200955,0.03096845527690974,0.015000843015921033,0.01714871941706655,0.06796401767294065,0.039724495338293385,0.04328138992387086,0.027847480214334273,0.02862755361436859,0.13750034154202373,0.08683637283616259,0.09461852466515774,0.07069040026470266,0.07252175133210254,0.05926877703708757,0.06007150109777972,0.29892109325009986,0.20427984995715162,0.22635600289022348,0.2098962413000054,0.21819632283084947,0.729447610858113,0.7228905342504266,0.8451961997802502,11.041204252852868
0.30000000000000004,0.008663590369544394,0.03096504917993819,0.015000842806505738,0.017148719075490107,0.06792186494761322,0.03972447484420867,0.043281358484874924,0.027847480207922156,0.028627553606795333,0.1371124693657392,0.08683528328158438,0.09461685344706396,0.07069039639581866,0.07252174671526213,0.05926877699594745,0.06007150105085955,0.29485482981186867,0.20420395347887535,0.22622981469273765,0.20988528779883228,0.21818141472128935,0.654380581120201,0.6881084563703926,0.7731502167380502,10.739661608944594
0.35000000000000003,0.008663488754090183,0.030961024329177442,0.015000842469463115,0.01714871851561826,0.067872083657799,0.03972444126707479,0.043281306980862196,0.027847480193471632,0.0286275535897283,0.13665556013113317,0.08683350188963924,0.0946141223986535,0.07069038770310224,0.07252173634402789,0.059268776870245406,0.060071500907538,0.2901247240123958,0.20408139700999692,0.22602679311215645,0.20986167631330033,0.21814944221337595,0.5766216411175925,0.6430081007120877,0.6877909705741517,10.396743583508279
0.4,0.008663371507635501,0.03095638099279635,0.015000841960045636,0.017148717659415162,0.06781469154960461,0.03972438994368339,0.043281228264868646,0.027847480164352352,0.02862755355533735,0.13613034948843722,0.08683078559691737,0.09460996044936802,0.07069037024800336,0.0725217155231383,0.05926877654083426,0.06007150053207861,0.2847667799137194,0.2038972025272556,0.22572295817211355,0.2098164682497663,0.21808857786338756,0.4995373785494979,0.5897993095668322,0.5962185598883102,10.030542001065523
0.45,0.00866323863110013,0.030951119480131496,0.015000841226643358,0.017148716416885153,0.06774970907044238,0.03972431550509028,0.04328111411146282,0.02784748011046773,0.028627553491699646,0.13553768097573773,0.08682685684353918,0.09460394469825531,0.07069033807740432,0.07252167715908911,0.0592687757736028,0.06007149965792597,0.278821255964833,0.20363514057170398,0.22529275751011954,0.20973748835441633,0.21798292148079476,0.4259183890318327,0.5314530633525583,0.5051225786756726,9.659070721793467
