Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(1),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_5d3/2(1),J_6s1/2(2),J_total_Ce_relativistic
0.0,0.013751227010354427,0.049089169553642,0.024244923244394995,0.025717562908831905,0.11188955264711116,0.06601731006359397,0.06872125334885017,0.04524554612485303,0.045858554520866825,0.239136011343287,0.15272852324824557,0.159044371868273,0.1264228978954157,0.1280744609325939,0.1280744609325939,0.5864557042072082,0.40446396681987884,0.4256722297002615,0.5462081903925902,2.0545184864428907,12.54333109147662
0.05,0.01375119808408546,0.04908795945956868,0.024244923238106217,0.025717562901226062,0.11187288284932612,0.06601730931197207,0.06872125243122411,0.045245546124833357,0.04585855452084546,0.23895903231284754,0.1527284703511475,0.15904430697589095,0.12642289787168273,0.12807446090655142,0.12807446090655142,0.5839719756483979,0.40445705654222475,0.4256632527574956,0.5462058686106867,1.9661331766387093,12.361150818103265
0.1,0.013751111305787827,0.04908432937545576,0.024244923183745746,0.025717562832777957,0.11182288921735421,0.06601730254971445,0.06872124417565292,0.04524554612418441,0.04585855452014083,0.23842892508886743,0.15272799515309285,0.15904372411162984,0.12642289709097518,0.12807446004994757,0.12807446004994757,0.576588003529461,0.40439572279228414,0.42558370883678215,0.5461376674738224,1.724841088515028,11.86211867956891
0.15000000000000002,0.013750966676989313,0.0490782798955645,0.02424492297484722,0.025717562566618325,0.11173961900991482,0.06601727626626393,0.06872121208936345,0.04524554611878023,0.04585855451427299,0.23754817276455806,0.1527261524975471,0.1590414645279363,0.12642289061695078,0.12807445294753445,0.12807445294753445,0.5645022940747968,0.4041623335151101,0.4252818104262172,0.5456594108362497,1.3911595809663135,11.166478188179472
0.2,0.013750764200236163,0.049069812010130776,0.024244922434020145,0.025717561874706522,0.11162315090683325,0.06601720798271811,0.06872112873536937,0.04524554609390527,0.045858554487264336,0.23632089220731353,0.15272138159859702,0.15903561625560111,0.12642286099107763,0.1280744204522811,0.1280744204522811,0.5480354627556742,0.40357423189807196,0.4245238969382604,0.5439025630384667,1.036486470128695,10.415494888284783
0.25,0.013750503879092983,0.049058927105065805,0.02424492131303005,0.025717560437942717,0.11147359488219305,0.066017066309744,0.06872095580874735,0.0452455460125483,0.04585855439893115,0.23475280188710793,0.15271152750694514,0.15902354266209487,0.12642276482801282,0.12807431500154157,0.12807431500154157,0.5276156399151701,0.4024020789911138,0.42302058355777494,0.5395445414060677,0.7183449687905921,9.722128396235696
0.30000000000000004,0.013750185718142613,0.04904562696153741,0.02424491929291061,0.025717557846324807,0.11129109202717402,0.066016811028409,0.06872064424307008,0.04524554579911834,0.04585855416720752,0.23285117735268382,0.15269387067465617,0.1590019217281107,0.12642251491249637,0.12807404103221307,0.12807404103221307,0.5037594591790628,0.4003923252654981,0.42045824761049,0.5312402958074668,0.4680910938819055,9.147011266699707
0.35000000000000003,0.013749809722985945,0.04902991375543193,0.024244915984107707,0.02571755359915005,0.11107581432299897,0.06601639319368074,0.06872013434664435,0.04524554531868606,0.04585855364561659,0.23062479486217038,0.15266516414323136,0.15896679535640038,0.12642195861269245,0.12807343141130517,0.12807343141130517,0.4770498833304657,0.39729122990373367,0.41653185000980814,0.5181118613953911,0.2921419423522786,8.70152959846012
0.4,0.013749375900241723,0.04901179005669713,0.024244910926655348,0.025717547105261203,0.11082796436453078,0.06601575526027796,0.06871935596810448,0.045245544351882806,0.04585855259603538,0.22808386380575998,0.15262167776083793,0.1589136278578303,0.1264208535915992,0.12807222098365087,0.12807222098365087,0.4481122681522474,0.39286785580362876,0.41097524823004855,0.49999862537607725,0.18069479805586175,8.365630457180455
0.45,0.013748884257546279,0.048991258828566364,0.024244903590383306,0.025717537683337083,0.11054777503517806,0.06601483123048776,0.06871822869081524,0.04524554256561668,0.04585855065693016,0.22523994867914016,0.1525592487279577,0.15883737260945643,0.1264188419203233,0.12807001847247163,0.12807001847247163,0.4175900891401166,0.38693382021877387,0.40358586955165493,0.47740634954984146,0.11726485133869094,8.106935731033735
0.5,0.013748334803553261,0.0489683234266643,0.02424489337515641,0.025717524562227336,0.110235509133882,0.06601354682349757,0.06871666205544508,0.04524553947979192,0.04585854730726867,0.22210588147574106,0.15247333767836974,0.15873254575140047,0.12641542377000747,0.12806627804595883,0.12806627804595883,0.3861216663853652,0.3793581817832972,0.3942416863525767,0.4512754651899701,0.0853836580670604,7.893958458453192
0.55,0.0137477275479333,0.0489429875979948,0.02424487961114529,0.025717506881331186,0.10989145895506924,0.06601181966572557,0.06871455580997898,0.04524553443024298,0.04585854182634327,0.2186956654619805,0.15235908942590964,0.158593305685861,0.1264099318809227,0.12806027188178928,0.12806027188178928,0.3543190382772538,0.37007657126231824,0.3829096383116041,0.42271902672699213,0.07185653078729497,7.7023654929645
0.6000000000000001,0.013747062501373643,0.04891525547981123,0.0242448615591285,0.02571748369101999,0.10951594582256438,0.06600955950157113,0.068711800186353,0.04524552652811867,0.04585853324976594,0.21502437138129388,0.1522113974481076,0.15841353706448552,0.12640150797818464,0.12805106502242763,0.12805106502242763,0.3227498818806083,0.3590944017246862,0.3696457665462116,0.3928212149181375,0.06752839223652148,7.516278927103441
0.65,0.013746339675577757,0.0488851315983699,0.02424483841082576,0.025717453953103278,0.10910931957856168,0.06600666842394602,0.06870827620280752,0.04524551461597442,0.04585852032192043,0.21110802719884103,0.15202497113642535,0.15818693790062874,0.1263890822266924,0.12803749372092274,0.12803749372092274,0.29192308751306595,0.3464846222757513,0.35458820657591344,0.3625206997351114,0.06676067872461862,7.327052413898846
