Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_6s1/2(1),J_total_Cs_relativistic
0.0,0.014634248361493494,0.05234780072660855,0.02590131205534156,0.027300949730736948,0.12052318807702947,0.0712029253851747,0.07384292564523792,0.04885859658607032,0.04945866269145556,0.2633353495837506,0.1688506509451219,0.1753482283297852,0.14284513938766513,0.14464347099901947,0.6962446927190905,0.49667564828694166,0.5252989939414534,2.6217048982397455,11.579728667147496
0.05,0.014634213705288876,0.05234633565582946,0.02590131204682155,0.027300949720457626,0.12050244416857869,0.07120292428635591,0.07384292432855924,0.04885859658603533,0.04945866269141783,0.26310174407516024,0.16885056346489818,0.17534812244596135,0.14284513932550105,0.14464347093086194,0.6922069207045843,0.49665512543997953,0.5252715250652092,2.451887308213023,11.40117230692859
0.1,0.014634109737359688,0.052341940715905505,0.02590131197201169,0.027300949627950592,0.12044023513507332,0.0712029144009799,0.07384291248356002,0.04885859658488115,0.049458662690173474,0.2624022446334053,0.16884977794107586,0.17534717184513884,0.14284513728310336,0.1446434686918357,0.6802457173779367,0.49647465621790554,0.5250307337615966,2.0088650117052973,10.931365622605583
0.15000000000000002,0.01463393645975989,0.052334616723983055,0.02590131168318787,0.027300949268242926,0.12033662900955802,0.07120287598216446,0.07384286645087407,0.048858596575270814,0.04945866267981244,0.26124078998405204,0.16884673407578057,0.17534348939156605,0.14284512037875138,0.14464345016370028,0.6608072633818413,0.4957977377631314,0.5241319173602065,1.4487980083648435,10.324906233252484
0.2,0.014633693875912655,0.05232436504166087,0.02590131093422779,0.027300948333160713,0.12019173903890493,0.07120277618462366,0.07384274688320372,0.04885859653104334,0.04945866263213125,0.2596239030905735,0.1688388610289289,0.1753339686419111,0.14284504322544975,0.1446433656222525,0.6346023777147218,0.49412657171554364,0.5219280911019983,0.9274036695323141,9.73534461517588
0.25,0.014633381990610221,0.052311187574522446,0.02590130938073773,0.027300946391500377,0.12000572347192404,0.07120256916369348,0.07384249887244412,0.04885859638642577,0.049458662476225074,0.25756062939752544,0.1688226212698306,0.17531434112375457,0.1428447936431351,0.14464309223630048,0.6025607920174488,0.49088282106332987,0.5176879928829883,0.5346858613337067,9.250455137469098
0.30000000000000004,0.014633000810013695,0.052295086771481716,0.025901306580229908,0.027300942889268386,0.11977878526354374,0.07120219621346761,0.07384205212696995,0.04885859600715145,0.04945866206736003,0.25506245158250435,0.1687935707207183,0.17527925476008066,0.14284414772506754,0.14464238502091653,0.5657736091465339,0.48549699033681654,0.5107221883648498,0.2865921108682058,8.884461115742035
0.35000000000000003,0.014632550341652782,0.05227606562394237,0.025901301992350318,0.02730093714998916,0.11951117169588364,0.07120158594354553,0.07384132119840112,0.04885859515370373,0.049458661147366766,0.25214318200012836,0.1687464339830308,0.17522237173491667,0.14284271708562896,0.14464081941920887,0.5254293102904339,0.47749047361490005,0.5004924994419115,0.15385406558961143,8.607348867019004
0.4,0.014632030594425478,0.05225412766477126,0.025901294979156882,0.02730092837508094,0.11920317391727128,0.07120065449375747,0.07384020575697493,0.04885859343696416,0.04945865929686195,0.2488188342997933,0.16867519314676507,0.17513648369214768,0.14283989160029567,0.14463772921889367,0.48274886103607817,0.46653775379179496,0.4866870714819535,0.09470157687137694,8.377876453187206
0.45,0.014631441578597693,0.05222927696708655,0.025901284805447775,0.027300915644299397,0.11885512640047968,0.07119930578609529,0.07383859091446716,0.04885859026660171,0.049458655879667385,0.2451074759692018,0.16857318843133504,0.17501364181510545,0.14283478122441332,0.14463214380307624,0.4389249979756525,0.4525018038841115,0.46925343097861155,0.07412739860946935,8.16291980367594
0.5,0.01463078330580281,0.05220151814286104,0.025901270639139634,0.027300897916248623,0.11846740632168315,0.07119743181294687,0.07383634759342454,0.048858584792594424,0.04945864997985682,0.2410290637928812,0.16843322869898794,0.1748452990573348,0.14282616053454444,0.14462272877742482,0.395069794658266,0.43544167845851145,0.4483915455188296,0.06952561802670913,7.9429935838844665
0.55,0.014630055789041203,0.0521708563413417,0.025901251551695495,0.027300874028959192,0.11804043286184349,0.07119491296060415,0.07383333294129793,0.04885857584032686,0.04945864033191715,0.2366052644151443,0.1682477097233221,0.174622461591135,0.1428124194791927,0.14460773381526812,0.3521733093199667,0.4155961322531069,0.4245158054710632,0.06897922415460823,7.710271196877752
0.6000000000000001,0.014629259042679687,0.052137297247286,0.025901226518602105,0.027300842700532825,0.11757466643244685,0.07119161836689247,0.07382939078789856,0.048858561839755225,0.04945862524456382,0.23185926235717297,0.1680087379886594,0.17433584641369498,0.14279152347368423,0.14458495114177877,0.3110747219520371,0.3933500629680529,0.39819807957148123,0.06750456506435334,7.464476708278256
0.65,0.014628393082450905,0.052100847079016153,0.02590119441989634,0.027300802529853275,0.11707060782771232,0.07118740631165127,0.0738243521444411,0.048858540749176636,0.04945860251879901,0.22681555795604344,0.16770825774217302,0.17397604200194944,0.14276098545805385,0.14455168747590252,0.27244606532653265,0.36919154063910353,0.370103914996225,0.06380842474715834,7.209268457003323
