Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(1),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Eu_relativistic
0.0,0.012452367319577107,0.04433742560681666,0.021828748027602752,0.023424866405671724,0.09974513965297793,0.058718536664812936,0.06155912915151748,0.04024496205449458,0.040886304611235845,0.21204388091439855,0.13476666960202768,0.14163931847720407,0.1111458901680942,0.11295207877326015,0.1308137138301077,0.13392663755007447,0.5470706297948457,0.3786576286602294,0.4055572655221428,2.0914413220547363,12.178249644550245
0.05,0.012452345597751954,0.04433653138165592,0.02182874802358558,0.023424866400918655,0.09973324798530725,0.05871853624550618,0.06155912862085733,0.040244962054486216,0.04088630461122664,0.21191940324492262,0.13476664082149278,0.1416392814939973,0.11114589015800116,0.11295207876191196,0.13081371377259032,0.13392663741819683,0.5450890171280536,0.3786525404052013,0.4055500233657372,2.001480358531783,11.994050567399082
0.1,0.01245228043259555,0.04433384882591594,0.021828747990390977,0.023424866358143358,0.09969758197223468,0.05871853247278161,0.06155912384633256,0.04024496205421043,0.0408863046109229,0.2115464342901401,0.1347663821725363,0.1416389491802367,0.111145889825773,0.11295207838840361,0.13081370704609033,0.13392662235533112,0.5391904533066905,0.37860732718930873,0.40548580828751296,1.7559508071034637,11.490022352348785
0.15000000000000002,0.012452171825065044,0.04432937829879384,0.021828747864597462,0.023424866191809154,0.0996381685720134,0.05871851780733903,0.06155910528738953,0.04024496205191342,0.04088630460839311,0.21092636331231615,0.13476537860698592,0.14163766011081957,0.11114588706803906,0.11295207528845845,0.1308136031821055,0.13392639772729154,0.5295118669825285,0.37843497493104805,0.40524183210135606,1.416517069907881,10.789100823663478
0.2,0.012452019776755656,0.04432312039885287,0.02182874754052846,0.023424865759393537,0.09955505267653664,0.05871847970070808,0.06155905706668428,0.04024496204133826,0.040886304596746456,0.21006149611289016,0.1347627779334149,0.14163432076359928,0.11114587443107452,0.11295206108616372,0.13081291654813174,0.1339249745653429,0.5162752779508069,0.3779995641191681,0.40462839595398553,1.0557153558760297,10.03576635618728
0.25,0.012451824289900621,0.04431507596387455,0.021828746870291158,0.023424864861446106,0.0994482970536216,0.058718400620750004,0.061558957005385294,0.040244962006741256,0.040886304558644906,0.20895504067161944,0.13475740006654155,0.14162741866650033,0.11114583333972637,0.11295201491671626,0.130810147640232,0.13391950613248108,0.499778908819662,0.3771288108300298,0.4034091774348305,0.7317397318762566,9.345699636209655
0.30000000000000004,0.012451585367371119,0.044305246070651776,0.021828745663830834,0.02342486324166962,0.09931798226636064,0.05871825808727367,0.06155877667246677,0.04024496191594937,0.04088630445865908,0.20761108722546706,0.13474774981004017,0.14161504054115026,0.11114572631422798,0.11295189470304264,0.1308021107176407,0.13390443640349003,0.48038551190041767,0.37562957311330036,0.4013257617039506,0.47614020336774354,8.781278702982117
0.35000000000000003,0.012451303012676189,0.04429363203472284,0.02182874368900071,0.02342486058702414,0.09916420656969319,0.05871802471767985,0.061558481447862363,0.04024496171149293,0.04088630423350662,0.20603458296852428,0.1347320330097291,0.14159489518650303,0.11114548745783,0.11295162651491258,0.13078363462261108,0.13387158674073088,0.4585086008029144,0.37330465152390124,0.39812338038583256,0.29531082708824297,8.354662456907262
0.4,0.012450977229962613,0.0442802354100467,0.02182874067164722,0.023424856527854213,0.09898708578439461,0.05871766828252356,0.06155803059931292,0.040244961299857496,0.04088630378022246,0.20423130160211272,0.13470817587217535,0.14156434078077323,0.1111450115605658,0.11295109241082787,0.1307478519897989,0.13381121404703303,0.434597368187294,0.36996919149654284,0.3935749268285401,0.1794454908511645,8.045803684295473
0.45,0.012450608024014792,0.044265057988619363,0.021828736295710735,0.023424850638039004,0.09878675314872117,0.058717151770860544,0.061557377372705925,0.040244960538907804,0.040886302942320873,0.20220780800920052,0.13467384720518172,0.1415204162206791,0.11114414221417593,0.11295011721940125,0.13068693603999415,0.13371345047054745,0.40912110139097846,0.365465189735868,0.38750083670318863,0.11215385286446986,7.8217641352988805
