Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(6),J_7s1/2(2),J_7p1/2(2),J_total_Fl_relativistic
0.0,0.004869473770642438,0.018635556606145826,0.008519157944393311,0.011867170102341649,0.041686976621291505,0.02378646613588527,0.029024782837595228,0.018446818531603123,0.019463084014928952,0.07963973843816993,0.04937741445443181,0.05857020133739329,0.04236205693290518,0.04416115775466396,0.032765488998156234,0.033424335264483344,0.1484846668495669,0.09624183155966418,0.11500492988922041,0.09100103564373578,0.09522165233682266,0.08810385833540896,0.09027451765710398,0.31333903074439484,0.21041576325713188,0.267402306784678,0.26377289224794365,0.29055770440004636,0.9810099530684927,0.8388311935138305,13.630711721570611
0.05,0.004869471979728796,0.018635485812270716,0.008519157940841996,0.011867170102176855,0.041686089690149065,0.02378646613106983,0.029024782824791623,0.018446818531603088,0.019463084014928907,0.0796327285608328,0.04937741426048717,0.058570200876624456,0.04236205693289658,0.044161157754652576,0.032765488998156234,0.033424335264483344,0.14843614047903078,0.09624182571716655,0.11500491555068665,0.09100103564184366,0.09522165233420965,0.088103858335407,0.09027451765710144,0.31290728718723204,0.21041548156489348,0.2674013784456738,0.26377288523493525,0.2905576870069155,0.9699410202442041,0.8385173376007508,13.606965184940542
0.1,0.004869466606994043,0.018635273432477156,0.00851915792992313,0.011867170100693736,0.04168342901624798,0.02378646608781057,0.02902478270956673,0.018446818531602023,0.019463084014927468,0.07961170280480925,0.04937741251598073,0.058570196730781454,0.042362056932612864,0.044161157754276974,0.03276548899815621,0.03342433526448332,0.14829066130792734,0.09624177317235835,0.11500478663702535,0.09100103557948562,0.09522165224810532,0.08810385833515512,0.09027451765677422,0.3116158139059893,0.21041295529714849,0.2673930728131059,0.2637726585651988,0.2905571293320716,0.9375702492108935,0.8358945986258957,13.534013281695419
0.15000000000000002,0.0048694576524567,0.018634919472260373,0.008519157910841966,0.011867170094926176,0.04167899495813965,0.0237864659196785,0.029024782261516054,0.018446818531593204,0.019463084014915456,0.07957667279460975,0.049377405734509106,0.05857018061463473,0.04236205693024957,0.04416115775114839,0.0327654889981558,0.03342433526448284,0.1480485288307845,0.09624156906137851,0.11500428611852921,0.09100103506089124,0.09522165153217681,0.0881038583306602,0.09027451765093704,0.30947582952896646,0.21040318539558825,0.26736107231496103,0.2637708289607273,0.29055268234870507,0.8862898307842525,0.8267875897830453,13.408210500383067
0.2,0.004869445116147634,0.018634423940778775,0.008519157882273986,0.011867170079931008,0.041672788113318655,0.02378646548265814,0.029024781096757886,0.01844681853155267,0.01946308401486013,0.07952765789291215,0.04937738811077774,0.05857013873738981,0.04236205691936775,0.044161157736743485,0.03276548899815252,0.03342433526447899,0.1477102411166856,0.09624103923694566,0.1150029878214896,0.09100103267829812,0.09522164824391505,0.08810385829487415,0.09027451760449126,0.30650585439499445,0.21037798710446057,0.2672789823022064,0.26376275916311276,0.2905333858471663,0.8197255249366859,0.8065927660348013,13.227430949813337
0.25,0.004869428998110058,0.018633786850853516,0.008519157842365,0.01186717004878853,0.04166480931808622,0.023786464575196724,0.02902477867812191,0.018446818531420113,0.019463084014678986,0.07946468518331753,0.049377351528658825,0.0585700518295283,0.04236205688376124,0.04416115768961188,0.03276548899813584,0.033424335264459426,0.14727649318179137,0.09623994120314401,0.11500029972176119,0.09100102490460953,0.09522163751932604,0.08810385811451252,0.09027451737057492,0.30273144830924076,0.21032620572661123,0.26711148860154116,0.2637377706726616,0.290474846615187,0.7422748665911464,0.7723499475195076,12.994246271933822
0.30000000000000004,0.004869409298399529,0.018633008218967854,0.008519157788731269,0.011867169992603257,0.041655059647359084,0.023786462938273096,0.0290247743154131,0.018446818531072138,0.019463084014203172,0.07938778944623874,0.04937728557245455,0.05856989518030323,0.0423620567902997,0.044161157565908236,0.03276548899807273,0.03342433526438541,0.1467481747212726,0.09623796541626446,0.1149954685156951,0.09100100457258098,0.09522160948226525,0.08810385743925504,0.09027451649559132,0.2981848509276963,0.21023400936374625,0.26681589244670295,0.26367643885491776,0.2903346253961073,0.658596076463005,0.7238310274995806,12.717048382857016
0.35000000000000003,0.004869386017083954,0.018632088065266363,0.008519157718459677,0.01186716990050486,0.04164354041442385,0.023786460255486207,0.02902476716575075,0.01844681853028793,0.01946308401313048,0.07929701312795175,0.04937717754134821,0.058569638685806766,0.04236205657977646,0.04416115728728984,0.03276548899787854,0.033424335264157674,0.14612636721097882,0.0962347369439118,0.11498758542890239,0.09100095896934254,0.095221546632076,0.08810385538737477,0.09027451383960193,0.2929045320436075,0.2100852497652575,0.26634394423761504,0.2635487305509447,0.29005062434482815,0.573135582820284,0.6634020637869236,12.408818724423238
0.4,0.0048693591542435825,0.018631026413553936,0.008519157628107937,0.011867169759649333,0.041630253170636976,0.02378645615316324,0.029024756233982433,0.018446818528707352,0.019463084010968,0.07919240630284899,0.04937701246702045,0.058569246907505486,0.0423620561557978,0.04416115672623249,0.03276548899736549,0.03342433526355604,0.14541234039201154,0.09622981747246301,0.11497559321274739,0.09100086758236987,0.09522142076411698,0.08810385004441576,0.09027450693194819,0.28693466077616336,0.20986188048083887,0.26564388454606763,0.26331351554987253,0.2895432301363398,0.48975992765769244,0.5950670833085067,12.084498518301967
0.45,0.004869328709971008,0.01862982329129463,0.008519157513704832,0.011867169555220365,0.04161519970507041,0.023786450200487263,0.029024740373172705,0.018446818525781547,0.01946308400696449,0.07907402662894164,0.04937677313440308,0.05856867914111562,0.04236205537175867,0.04416115568882855,0.032765488996159435,0.033424335262141835,0.14460754815413376,0.096222707650909,0.11495829426844455,0.09100069953965645,0.09522118948757782,0.08810383768958609,0.09027449098079822,0.28032450414341875,0.2095444199954166,0.26466259364787753,0.2629196468683382,0.2887208326997427,0.4115254249825499,0.5233087463654134,11.758255151473564
