Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(1),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/3(1),J_6s1/2(2),J_total_Gd_relativistic
0.0,0.012214821983301843,0.043478561531706796,0.021391563087967608,0.023013086987875752,0.09760467463050995,0.05743479658818523,0.06030472791591614,0.03938046344041811,0.040027853700645565,0.20670988337839946,0.13125771398363345,0.1381357821909535,0.10790879411284716,0.10969627739553066,0.1161352050703529,0.11785106740801723,0.5229136432732863,0.3593175563397378,0.38446135368904505,0.547630474832799,1.9252426489912646,12.0285861201642
0.05,0.01221480143068637,0.043477717744916516,0.021391563084256847,0.02301308698352761,0.09759351960942951,0.0574347962126443,0.06030472743701125,0.039380463440410976,0.04002785370063769,0.20659433352751627,0.13125768877487162,0.13813574958961175,0.10790879410482243,0.1096962773864957,0.11613520506906154,0.11785106740629736,0.521170085312371,0.3593136974533169,0.3844559005425657,0.5476269750299738,1.853134796506191,11.88059494707764
0.1,0.012214739773131512,0.04347518649326948,0.02139156305398063,0.023013086944396372,0.09756006262865771,0.05743479283366478,0.06030472312809309,0.03938046344017568,0.040027853700377786,0.20624809387838836,0.1312574622072389,0.13813545662445612,0.10790879384062652,0.10969627708906592,0.11613520490759548,0.11785106719185871,0.5159767318851791,0.3592793544538482,0.38440745731053877,0.547526168415558,1.653992955006847,11.47079505937121
0.15000000000000002,0.012214637011511962,0.04347096810291128,0.021391562939713924,0.02301308679223184,0.09750432792564341,0.057434779698554435,0.06030470637867691,0.039380463438215864,0.040027853698213066,0.20567239170949614,0.13125658300852158,0.1381343200402342,0.10790879164697262,0.10969627461979511,0.11613520214865422,0.11785106354381053,0.5074441547749011,0.3591481202163143,0.38422286574017356,0.5468387139318881,1.3722166446789792,10.887211036554788
0.2,0.0122144931472855,0.04346506311733175,0.02139156264577088,0.02301308639665111,0.09742635586295366,0.05743474556740923,0.06030466285835842,0.03938046342919281,0.04002785368824676,0.20486926439916048,0.13125430421231152,0.1381313751419573,0.10790878159080412,0.10969626330221931,0.11613518141571579,0.1178510362856118,0.49575208683672556,0.3588154280626327,0.38375680224626585,0.5444000055824681,1.0623485763738556,10.237331279408963
0.25,0.012214308182492962,0.04345747229723577,0.021391562038238655,0.023013085575189676,0.09732620287856555,0.05743467473495251,0.06030457254736504,0.03938046339967227,0.040027853655640946,0.20384154737054258,0.1312495908233823,0.13812528678596037,0.10790874887436656,0.10969622649073218,0.11613508417418937,0.11785090932625918,0.4811428602609168,0.3581470656686464,0.3828254515876697,0.5385914821673756,0.7715971095102547,9.61343260002836
0.30000000000000004,0.012214082119758171,0.0434481966203625,0.02139156094502471,0.023013084093372986,0.09720394141640176,0.0574345470610391,0.060304409779219324,0.039380463322198155,0.04002785357007224,0.20259285736117344,0.13124113041917804,0.13811436456008394,0.10790866360720296,0.10969613057910312,0.11613474997814212,0.11785047650397559,0.4639127350445057,0.3569898780559862,0.3812233777821195,0.5280023776109283,0.5296163667906466,9.07287330312375
0.35000000000000003,0.01221381496228786,0.04343723728125302,0.02139155915591763,0.02301308166480832,0.09705965983723591,0.05743433800975402,0.060304143295406724,0.039380463147720875,0.040027853377372094,0.20112757116143504,0.13122734655981613,0.1380965819500027,0.10790847316483781,0.10969591643769638,0.1161338294402382,0.11784929496055956,0.4444015837128858,0.35518363961231186,0.378741746355749,0.512007410506822,0.34729582007590454,8.636325400050927
0.4,0.012213506713871575,0.04342459569096655,0.021391556422661346,0.023013077951297055,0.09689346231012999,0.057434018697015456,0.06030373631190964,0.039380462796416105,0.04002785298939197,0.19945080000470558,0.13120641484597845,0.1380695992368049,0.10790809339123482,0.10969548957795637,0.11613168074747604,0.11784656357231772,0.4229814675358385,0.35257302538038027,0.37518603582098675,0.4909072281479857,0.2215429794757546,8.297551607798452
0.45,0.012213157378881557,0.04341027347674533,0.021391552459042822,0.02301307256296715,0.09670546868460086,0.05743355594657246,0.06030314659743986,0.03938046214693705,0.04002785227214245,0.19756835982800663,0.13117628143351331,0.13803078982337286,0.10790739894069733,0.10969470938671838,0.11612726956621817,0.11784101266169847,0.4000446700829657,0.3490186849317475,0.3703915998582053,0.46568636382434064,0.14181956558923955,8.036295383177624
0.5,0.012212766962272609,0.04339427248162823,0.021391546940993107,0.023013065058425892,0.09649581434374768,0.057432912354268395,0.060302326563172436,0.0393804610241509,0.04002785103226348,0.19548673765554075,0.13113468378594512,0.1379772696446955,0.10790621308354868,0.1096933778050022,0.11611909329443881,0.11783083014132147,0.3759917461879277,0.3444065963890374,0.3642358445196465,0.4376369214759501,0.09553369705733326,7.828731952299447
