Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(2),J_6s1/2(2),J_total_Hf_relativistic
0.0,0.010526413722100676,0.03744024206853326,0.01831366678274082,0.020144577991513302,0.08297997282423208,0.04865879534681447,0.05179679154637779,0.033558586890915613,0.03426004775554505,0.17467114588823385,0.11020126519833133,0.11790809514318443,0.09059285225424252,0.09257398273097313,0.09139797068457615,0.0931538421657561,0.44884763408443895,0.3059307332177561,0.3348259481920591,0.4814976362693837,1.676079553775322,11.440224270781561
0.05,0.010526400269746947,0.037439700273631825,0.01831366678047418,0.02014457798928139,0.0829730623841999,0.048658795181947635,0.051796791321052915,0.03355858689091336,0.0342600477555425,0.17460082994340476,0.1102012545396488,0.11790808018066919,0.09059285225184785,0.09257398272817288,0.09139797068448244,0.09315384216562463,0.4477504858340057,0.3059290076019917,0.33482321439488244,0.4814957722662562,1.6277989636562018,11.341295033911791
0.1,0.010526359912832392,0.03743807494102495,0.0183136667647026,0.02014457796919498,0.08295233471103197,0.04865879369843182,0.051796789293553976,0.03355858689083902,0.03426004775545819,0.17439006194852902,0.11020115870500473,0.11790794566866353,0.09059285217295514,0.0925739826359261,0.09139797067258841,0.0931538421489671,0.44447628436517106,0.30591360302521886,0.3347988537141731,0.48144126086034267,1.4919978297272212,11.062440023732115
0.15000000000000002,0.010526292651796896,0.03743536622699565,0.018313666708513407,0.020144577891086073,0.08291780074224891,0.04865878793090039,0.05179678141143211,0.033558586890219816,0.03426004775475587,0.17403938065322425,0.11020078658480308,0.11790742348534396,0.0905928515172085,0.09257398186927883,0.09139797046455199,0.09315384185843126,0.4390762864248314,0.30585445590398824,0.3347055814922218,0.48106138410634725,1.2927773032359986,10.651168968488317
0.2,0.010526198487373592,0.037431574391984815,0.018313666567060006,0.020144577688021366,0.08286947869617131,0.0486587729416709,0.05179676092768201,0.03355858688736843,0.03426004775152178,0.1735496814142835,0.11019982121301318,0.11790606925874333,0.0905928485067546,0.09257397835030674,0.09139796885230105,0.09315383961521166,0.4316343626790801,0.30570347899921657,0.3344684572748791,0.479676610947939,1.0617484594715676,10.169116100438988
0.25,0.01052607742058884,0.037426699800544985,0.01831366627757362,0.020144577266322315,0.08280739405561428,0.04865874182762996,0.05179671841134233,0.03355858687803723,0.034260047740938306,0.17292221237365002,0.1101978220781065,0.11790326608738189,0.09059283869411948,0.09257396688274265,0.09139796099766728,0.09315382873725489,0.42226472981761504,0.30539743106388983,0.33399031422954906,0.47627133405129624,0.8294571625327599,9.675054232491677
0.30000000000000004,0.010525929452762208,0.03742074292127567,0.01831366575937975,0.020144576505593204,0.08273157954509001,0.04865868572985621,0.05179664176230858,0.033558586853540434,0.03426004771315463,0.1721585691410902,0.11019422833051373,0.11789822969753952,0.09059281306016496,0.09257393693393419,0.09139793276909867,0.09315378985845789,0.4111089073118364,0.3048616337570848,0.3331586641559244,0.4698413228732593,0.6190898969922796,9.213030195133928
0.35000000000000003,0.010525754585506433,0.03741370432674022,0.018313664913919333,0.020144575258757194,0.08264207510154829,0.048658593845965235,0.051796516230331074,0.033558586798350686,0.034260047650561586,0.17126068801472566,0.11018836285911945,0.11789001498635182,0.09059275564765938,0.09257386987981883,0.09139785097902556,0.09315367791964756,0.39833202133233137,0.3040142710930077,0.3318534836275172,0.45976507801914923,0.4439464620970004,8.808085116987511
0.4,0.010525552820727391,0.037405584693364274,0.018313663624774566,0.020144573352100393,0.08253892783869383,0.04865845344515626,0.05179632443816246,0.0335585866871779,0.034260047524480336,0.17023083778156645,0.11017943720198435,0.1178775238865123,0.09059264078706243,0.09257373578201593,0.09139764917273024,0.09315340365636608,0.3841186008708064,0.30277097701105965,0.3299552439520541,0.44597230284064077,0.3082139102658892,8.468171893327892
0.45,0.010525324160624046,0.03739638480131582,0.018313661757699426,0.02014457058532386,0.08242219200492724,0.04865824988593559,0.05179604640881207,0.03355858648154041,0.03426004729127623,0.16907161014880848,0.11016655724954115,0.11785951447577696,0.09059242998081009,0.09257348977778342,0.09139720953750491,0.09315281069934289,0.36866802566705303,0.3010494131665096,0.32735257207675206,0.4288799179587543,0.2095573162621406,8.18923915139681
