Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_total_Krypton_relativistic_ready
0.0,0.03822459472830202,0.17478237475280403,0.06393646024560287,0.12787292049120574,0.10479182001763465,0.27423036884039087,0.5484607376807817,0.402660561037754,0.603990841556631,0.31163629725999215,1.0108824788914519,2.0217649577829038,5.683234413285454
0.05,0.03822439929175238,0.17477049929807623,0.0639364600475095,0.127872920095019,0.10473725267733917,0.27423030584777947,0.5484606116955589,0.4026605609904617,0.6039908414856926,0.3099447737713763,1.0108380199721865,2.021676039944373,5.681342685117125
0.1,0.03822381297824978,0.17473487042818125,0.06393645826492285,0.1278729165298457,0.10457373647743755,0.27422973997278993,0.5484594799455799,0.4026605594358132,0.6039908391537198,0.3049780839664533,1.010447602151906,2.020895204303812,5.675003303608712
0.15000000000000002,0.038222835776652336,0.1746754805200982,0.06393645133422914,0.12787290266845827,0.10430182949217848,0.2742275457838298,0.5484550915676596,0.40266054655731714,0.6039908198359757,0.2970494213040246,1.0089863212770387,2.0179726425540774,5.662351888671539
0.2,0.03822146766976084,0.1745923165335978,0.06393643332058767,0.12787286664117534,0.1039224637083785,0.2742218649455672,0.5484437298911344,0.402660487708046,0.6039907315620691,0.2866473211819798,1.0053898432802624,2.0107796865605247,5.640679213003084
0.25,0.038219708636284544,0.17448535956843222,0.06393639592523771,0.12787279185047543,0.10343694723190643,0.274210131789178,0.548420263578356,0.4026602970391468,0.6039904455587202,0.2743900533804242,0.9984373101309455,1.996874620261891,5.606934324950998
0.30000000000000004,0.03821755865342195,0.1743545843568598,0.06393632849667014,0.12787265699334027,0.10284696627935291,0.2741891081514175,0.548378216302835,0.402659802625932,0.603989703938898,0.26097011188758024,0.9869511887844296,1.9739023775688591,5.558268604039597
0.35000000000000003,0.03821501769990532,0.17419995878761002,0.06393621804634726,0.12787243609269452,0.1021545860287758,0.2741549266330767,0.5483098532661534,0.40265870498213263,0.603988057473199,0.2470954425705299,0.9699765586370419,1.9399531172740838,5.49251487749155
0.4,0.038212085759339945,0.17402144356424093,0.06393604926955608,0.12787209853911216,0.101362249353513,0.2741031413146073,0.5482062826292146,0.402656531185095,0.6039847967776425,0.23343393051494638,0.9469110569971807,1.8938221139943614,5.40852177989881
0.45,0.03820876282366551,0.17381899209646354,0.06393580457176755,0.1278716091435351,0.10047277252790184,0.2740287849130943,0.5480575698261886,0.4026525870343463,0.6039788805515195,0.2205666403925563,0.9175705870442992,1.8351411740885983,5.306304165013936
