Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(6),J_7s1/2(2),J_7p1/2(2),J_7p3/2(1),J_total_Mc_relativistic
0.0,0.004764818910055635,0.018316898150684525,0.008344369040367249,0.0117444350131513,0.04104876657744866,0.023391478619877993,0.028705194018963057,0.018237793275475006,0.019262007438606347,0.07835148841864298,0.0485452654480905,0.05782907974394466,0.041802866282091185,0.04360673046858656,0.03231714334653886,0.032977053328495834,0.14563429002851755,0.09433831943645288,0.11313030542303404,0.08934825388697945,0.09352539319852934,0.08577850649757358,0.08786639424370205,0.3041671223786914,0.20388787352298746,0.25902275213535997,0.2477376769711616,0.2693941823647094,0.8821274937188565,0.7055448508958287,1.2045854717224642,14.021796329480958
0.05,0.00476481720722781,0.018316830757477556,0.008344369036718289,0.011744435012994594,0.04104791986208496,0.02339147861543732,0.028705194006837978,0.018237793275474975,0.019262007438606305,0.07834481002241234,0.04854526526984313,0.05782907931110309,0.04180286628208336,0.04360673046857616,0.03231714334653886,0.032977053328495834,0.14558840813535057,0.09433831414106861,0.11313029219032104,0.08934825388532591,0.09352539319624205,0.08577850649757218,0.08786639424370024,0.3037696402914084,0.20388763251592895,0.25902196395987953,0.2477376733987958,0.2693941749165793,0.8738797587963162,0.7054122549308423,1.2030267107228572,14.002571230940612
0.1,0.0047648120987500535,0.01831662857954743,0.008344369025528877,0.011744435011584255,0.041045379826635316,0.02339147857556332,0.028705193897719267,0.01823779327547399,0.019262007438604966,0.07832477840954141,0.0485452636665975,0.05782907541651472,0.041802866281825196,0.043606730468232914,0.03231714334653884,0.03297705332849581,0.14545085354156967,0.09433826651539122,0.11313017321467825,0.08934825383082767,0.09352539312086558,0.08577850649739212,0.08786639424346869,0.3025804710093172,0.20388547059903706,0.25901490910971026,0.24773755734809028,0.26939393411059104,0.8496469584270827,0.7042798411514931,1.1907006905333268,13.936780733400198
0.15000000000000002,0.004764803584639527,0.018316291621966414,0.00834436900607143,0.011744435006099728,0.041041146802999556,0.023391478420608836,0.02870519347341147,0.01823779327546584,0.019262007438593808,0.07829140430440897,0.04854525743427684,0.0578290602769148,0.04180286627967474,0.0436067304653738,0.032317143346538485,0.0329770533284954,0.14522189921738007,0.09433808150452926,0.11312971125639767,0.0893482533775585,0.09352539249407459,0.08577850649417688,0.08786639423933565,0.3006094014290967,0.20387710659889413,0.2589877082415329,0.2477366133624133,0.2693919895228614,0.8109031080150969,0.7002173246023286,1.1512485440454436,13.807096626440275
0.2,0.004764791664924827,0.01831581989318803,0.008344368977133372,0.01174443499184041,0.04103522134426229,0.023391478017857917,0.02870519237037204,0.01823779327542839,0.019262007438542415,0.07824470557070246,0.048545241237530436,0.057829020936605954,0.041802866269772816,0.04360673045220936,0.032317143346535626,0.03297705332849204,0.14490199915786703,0.09433760122832852,0.11312851288700847,0.08934825129483656,0.09352538961483399,0.0857785064685592,0.087866394206421,0.2978725970857952,0.20385552259012446,0.25891785859204947,0.24773240602950874,0.26938340741684463,0.7599242056751094,0.6907942625708395,1.0729611185150292,13.601388783836502
0.25,0.004764776339645993,0.018315213405046642,0.008344368937017203,0.01174443496222615,0.041027604224570295,0.023391477181569753,0.028705190079886086,0.01823779327530594,0.01926200743837416,0.07818470719601553,0.04854520761689177,0.057828939292037286,0.041802866237371894,0.043606730409135486,0.0323171433465211,0.03297705332847497,0.14449178695451437,0.09433660579507763,0.11312603142850053,0.08934824449845928,0.09352538022261407,0.0857785063393192,0.08786639404046931,0.29439238616368063,0.20381113642397405,0.25877514628428994,0.2477192044253209,0.26935681282219737,0.6995495878314718,0.6738959245462969,0.9571932567276142,13.322273286313273
0.30000000000000004,0.0047647576088545,0.018314472172756897,0.008344368883540629,0.01174443490879793,0.04101829643896088,0.02339147567304019,0.02870518594831088,0.018237793274984506,0.019262007437932195,0.07811144127031062,0.048545146998784816,0.05782879212614184,0.04180286615232223,0.04360673029607875,0.03231714334646614,0.032977053328410375,0.1439920738041108,0.09433481443413647,0.11312157103374344,0.08934822671908886,0.09352535566341738,0.08577850585487522,0.08786639341887811,0.2901969629317512,0.20373203636661677,0.2585228618066859,0.24768628482738997,0.269291482791505,0.6329045207915773,0.6483490474453378,0.8169385379133661,12.98636436106274
0.35000000000000003,0.004764735472613265,0.01831359621491301,0.008344368814036704,0.011744434821218763,0.04100729920314133,0.023391473200680753,0.02870517917738999,0.01823779327426013,0.019262007436935805,0.07802494695827301,0.04854504770836326,0.0578285511523594,0.041802865960740634,0.043606730041431854,0.032317143346297005,0.03297705332821162,0.1434038459637636,0.09433188694098385,0.1131142918740371,0.08934818683191921,0.09352530059525883,0.08577850438072192,0.08786639152905518,0.28532001624122666,0.2036042712473734,0.25811926155936915,0.24761647847042592,0.26915532010588616,0.5631245107998096,0.6141824092674123,0.6695863840724361,12.616988966921824
0.4,0.0047647099309966415,0.018312585553487876,0.008344368725354009,0.011744434687274765,0.040994613953219475,0.023391469420115173,0.02870516882463687,0.018237793272800173,0.019262007434927127,0.07792527046558982,0.04854489598516317,0.05782818306825113,0.04180286557489454,0.043606729528626105,0.03231714334585012,0.0329770533276865,0.14272826166314223,0.09432742542640274,0.1131032163906075,0.08934810687791063,0.0935251902789691,0.08577850053584053,0.08786638660503555,0.2798002900786758,0.20341218804675273,0.2575192082555271,0.24748527798167463,0.26890428230306995,0.4931160001284739,0.5725248324089401,0.5301441181283969,12.236725601460808
0.45,0.004764680984090419,0.01831144021383204,0.008344368613856876,0.011744434492876437,0.04098024234538552,0.023391463934293387,0.02870515380378767,0.018237793270097665,0.01926200743120833,0.0778124649991949,0.04854467600154556,0.057827649618592,0.041802864861341014,0.04360672858039765,0.03231714334479953,0.03297705332645208,0.141966647487415,0.09432097635980086,0.11308723655818378,0.08934795981250071,0.0935249875085281,0.08577849162865774,0.08786637521099472,0.2736810843460982,0.2031388076686969,0.256675916819709,0.24726070591144708,0.2684834896968247,0.4253768412161311,0.5252667742823804,0.4080303545420563,11.863174669483712
0.5,0.004764648631991826,0.018310160224672484,0.00834436847542563,0.011744434222060146,0.04096418625554511,0.02339145629362294,0.028705132885323035,0.018237793265418755,0.01926200742476929,0.07768659072152789,0.04854436988390076,0.05782690766780736,0.04180286362736709,0.043606726940814196,0.032317143342547254,0.03297705332380592,0.14112049424660256,0.09431203289501551,0.11306512210064817,0.08934770702269323,0.09352463924242528,0.08577847284457797,0.08786635121318963,0.26700970501132926,0.20276622877612716,0.25554273043585335,0.24690401113520707,0.2678298767047104,0.36188667968694427,0.47464526516910244,0.30708947509370255,11.50794909238186
0.55,0.004764612874809525,0.018308745618111275,0.008344368305456873,0.011744433856989788,0.04094644777890395,0.02339144599611776,0.02870510469705858,0.0182377932577433,0.019262007414205844,0.07754771469886272,0.048543957736582835,0.05782590928160006,0.04180286160578463,0.043606724255138285,0.032317143338065915,0.032977053318541324,0.14019145234924332,0.09430003746538419,0.11303552959121982,0.0893472956577077,0.0935240730036534,0.08577843614244607,0.08786630438985425,0.2598368735183928,0.20227604904524243,0.25407485346301545,0.24637112508761053,0.26687597324545836,0.30406531113424,0.4228768238841016,0.22716949695692154,11.17746980982371
0.6000000000000001,0.004764573712663616,0.01830719642962404,0.008344368098863793,0.011744433377958665,0.04092702922950391,0.023391432487564243,0.028705067724803735,0.018237793245698644,0.01926200739762872,0.07739591084376833,0.048543417668537654,0.05782460181759534,0.041802858438139245,0.04360672004761245,0.03231714332968182,0.03297705330869279,0.13918132670033434,0.09428438463338745,0.11299701236278813,0.08934665582187266,0.09352319312076535,0.0857783688262477,0.08786621864122154,0.25221610585498194,0.20164979301887262,0.25223097368284597,0.24561470465295712,0.265554255500675,0.252788297257497,0.37190183732489407,0.1659076541421609,10.874311710096766
0.65,0.004764531145685631,0.018305512698058284,0.00834436785007652,0.011744432763391537,0.040905933139710936,0.02339141516170456,0.028705020313088567,0.018237793227486667,0.0192620073725632,0.07723125985177098,0.0485427258225847,0.057822928024812134,0.041802853656399186,0.043606713697260456,0.032317143314785746,0.03297705329119665,0.13809207114546465,0.0942644241787986,0.11294803114791555,0.08934569768111202,0.0935218768858827,0.0857782517704264,0.0878660697783757,0.2442030719376509,0.20086933590513084,0.24997471517472658,0.2445865260347169,0.2638014914035642,0.20844439701495668,0.32325033468241393,0.12009137403830898,10.598452018424394
