Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(3),J_7s1/2(2),J_total_Mt_relativistic
0.0,0.005400442324878153,0.020274954996425017,0.009408792792905862,0.01251486385449442,0.04500824713257708,0.02582985566315518,0.03071930837388556,0.019556027396132228,0.020532743901548092,0.08644864591032364,0.053758823412624036,0.06254569908542078,0.04537391761662226,0.047151886553625275,0.035211678390356174,0.035866732562347965,0.16388196635275418,0.10652096843485888,0.1252321293432597,0.1001722730780846,0.10464360011996861,0.10252195531485564,0.10530358782697276,0.36450706573369784,0.24714676086180049,0.3110210302818035,0.3577467419651208,0.4215818224291577,1.3265528749473394,13.423485977190136
0.05,0.005400440034533631,0.020274864852994477,0.009408792789809443,0.01251486385428117,0.04500713054276691,0.025829855655961912,0.030719308356955723,0.01955602739613218,0.02053274390154803,0.08643970722931076,0.05375882311684083,0.06254569844923344,0.045373917616608236,0.04715188655360709,0.035211678390356174,0.035866732562347965,0.1638174734784182,0.10652095881207733,0.12523210759964146,0.10017227307424263,0.10464360011470591,0.1025219553148419,0.10530358782695362,0.3638508683198812,0.24714614312106564,0.311019071329554,0.35774660314946993,0.4215811581676267,1.3010594065906977,13.371025635660839
0.1,0.005400433163509041,0.020274594425418863,0.009408792780113036,0.012514863852361937,0.045003780948702166,0.02582985559126014,0.030719308204598363,0.019556027396130583,0.02053274390154592,0.08641289699342299,0.05375882045594596,0.06254569272524375,0.04537391761614557,0.04715188655300721,0.035211678390356126,0.03586673256234791,0.16362415487938292,0.10652087228336725,0.12523191214785184,0.10017227294766724,0.1046435999413539,0.10252195531308153,0.10530358782450278,0.36188976193333283,0.2471406111420177,0.31100158659978216,0.35774228291963417,0.4215611907749858,1.2278509144570278,13.220079755760496
0.15000000000000002,0.005400421711831322,0.020274143721846015,0.009408792762595217,0.01251486384489844,0.04499819887643359,0.025829855339701203,0.030719307612165767,0.01955602739611734,0.020532743901528344,0.0863682326180256,0.05375881011222318,0.06254567047564585,0.04537391761229199,0.047151886548010946,0.03521167839035528,0.035866732562346924,0.16330248999306665,0.10652053624860032,0.1252311535262611,0.10017227189557497,0.10464359850083184,0.10252195528180996,0.10530358778101231,0.3586460618997939,0.24711926577002397,0.31093446977906086,0.35770933032402585,0.4214164286131968,1.1159745802238241,12.988213852741781
0.2,0.0054004056795453675,0.020273512755855167,0.009408792735220392,0.012514863825494044,0.044990385202556944,0.025829854685761464,0.03071930607209784,0.019556027396056438,0.02053274390144737,0.08630574310844523,0.053758783232538486,0.06254561266566595,0.045373917594549805,0.047151886525008915,0.035211678390348486,0.035866732562339035,0.1628532757703684,0.10651966430795463,0.1252291866235176,0.10017226706546595,0.10464359188984734,0.10252195503437925,0.10530358743739844,0.35415649025880647,0.24706439271157354,0.31076321376739874,0.357574486853709,0.42086157884520015,0.9782246020134969,12.699685763359756
0.25,0.005400385066714029,0.020272701546456166,0.009408792695138963,0.012514863785194515,0.04498034115397994,0.02582985332782848,0.030719302874201115,0.019556027395857187,0.020532743901182274,0.08622546902957809,0.0537587274429107,0.0625454927058422,0.04537391753650258,0.04715188644975801,0.03521167839031397,0.03586673256229894,0.16227762352081115,0.1065178581526068,0.12522511662182795,0.10017225132130274,0.1046435703508775,0.10252195379709805,0.10530358572229215,0.3484714842151299,0.2469521180239737,0.31041623136548935,0.35719390780195637,0.4194138525195932,0.828546854027334,12.380127963208505
0.30000000000000004,0.005400359873418115,0.020271710118088395,0.009408792638687562,0.012514863712489083,0.04496806830759602,0.025829850878321577,0.030719297106039125,0.019556027395334023,0.02053274390048596,0.08612746246340458,0.053758626868872256,0.06254527651106825,0.04537391738416109,0.04715188625228283,0.0352116783901834,0.03586673256214729,0.16157695452032994,0.10651461019200405,0.12521780723060505,0.10017221019117309,0.10464351411503434,0.10252194920898389,0.10530357937639394,0.3416542548406787,0.24675328513551595,0.30980915432193246,0.35635550736859944,0.4164946314816476,0.6796571227844774,12.05211546328349
0.35000000000000003,0.00540033009975639,0.020270538500619408,0.009408792561389349,0.012514863593311797,0.04495356858986515,0.02582984686384679,0.030719287653433864,0.01955602739415487,0.02053274389891621,0.08601178695447308,0.053758462161582324,0.06254492257625326,0.04537391704107317,0.047151885807593476,0.03521167838978177,0.035866732561680846,0.16075299440607188,0.10650930689823845,0.12520589112490602,0.10017211806931148,0.10464338824715237,0.1025219354236395,0.10530356035919304,0.33377962165850844,0.24643451554602094,0.30884980255454925,0.3548076827226307,0.41159267330957144,0.5414273205781275,11.732562374453702
0.4,0.005400295745845572,0.02026918672934322,0.009408792457954384,0.012514863411043188,0.044936844276301825,0.02582984072538607,0.03071927320107805,0.019556027391778162,0.020532743895751826,0.08587851744343343,0.05375821052964373,0.062544382068409,0.04537391635026688,0.04715188491231641,0.03521167838872106,0.03586673256044903,0.15980776638922706,0.10650123284279088,0.12518778248055737,0.1001719337631885,0.10464313662872175,0.10252189998916918,0.10530351162146255,0.32493265436580104,0.24595940832713842,0.3074434807961217,0.35230261340058455,0.40439702659282734,0.4202234243761207,11.43199053599194
0.45,0.005400256811820336,0.020267654844978316,0.009408792322280056,0.01251486314651223,0.04491789799087042,0.025829831818520697,0.030719252233257752,0.019556027387378577,0.020532743889893717,0.08572774018871852,0.05375784577656448,0.06254359893493475,0.0453739150731114,0.04715188325735566,0.03521167838622861,0.035866732557554765,0.15874358332332997,0.10648957539588526,0.12516169147674058,0.10017159549208644,0.10464267523707106,0.10252181923540857,0.10530340091795845,0.31520715742446925,0.24528982895733578,0.3054982558659721,0.34863773479612037,0.39484763112854926,0.3190565837977988,11.155169996155102
