Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(3),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_6s1/2(2),J_total_Nd_relativistic
0.0,0.013207909397395808,0.04709126151944337,0.023229477280457596,0.02475091648852739,0.10672051748317343,0.0629083777318713,0.06566446872721536,0.04309891539512427,0.04372274634255352,0.22793566508723212,0.1452861000757062,0.15188269940310847,0.12024318738311891,0.12198456776921482,0.12198456776921482,0.57952116009956,0.4016545070940667,0.4262666212687194,2.1487413523358323,12.433353638621
0.05,0.0132078836559964,0.04709019203170808,0.02322947727525172,0.02475091648225728,0.10670600952915285,0.06290837714081071,0.06566446799550822,0.04309891539511048,0.04372274634253847,0.22778186464114378,0.14528605848472612,0.1518826473677668,0.12024318736577472,0.12198456774996741,0.12198456774996741,0.5771567474007999,0.4016477324289819,0.42625742517161397,2.050584576665562,12.231921823977201
0.1,0.013207806432219039,0.04708698372978047,0.02322947723090981,0.024750916425829706,0.10666249817948838,0.0629083718229374,0.06566446141237113,0.043098915394655726,0.04372274634204194,0.2273211218944089,0.14528568479455944,0.1518821799114442,0.1202431867951008,0.12198456711673226,0.12198456711673226,0.5701255199816241,0.4015876182521919,0.4261759895851169,1.7841572351106731,11.683540832307468
0.15000000000000002,0.0132076777273263,0.04708163709745054,0.023229477061270983,0.024750916206410047,0.10659002095297833,0.06290835115246286,0.06566443582488546,0.04309891539086844,0.04372274633790681,0.22655540789548886,0.14528423538660093,0.15188036727693494,0.1202431820611373,0.12198456186456957,0.12198456186456957,0.5586106738658501,0.4013589624253471,0.42586720493726093,1.4198384769766652,10.928481414021896
0.2,0.013207497543422419,0.04707415294088532,0.023229476622773502,0.024750915635997617,0.10648864031968172,0.06290829744733678,0.0656643693485813,0.04309891537343426,0.04372274631887168,0.2254879920211436,0.14528048129350585,0.15187567411116878,0.12024316038758334,0.12198453782340728,0.12198453782340728,0.5429082795134729,0.4007831150816791,0.4250930418084365,1.0388337515064212,10.128426229033543
0.25,0.013207265883453227,0.04706453238840456,0.023229475714514385,0.024750914451511164,0.106358443609151,0.06290818601056224,0.06566423142291186,0.04309891531640639,0.04372274625660862,0.2241234185938321,0.1452727236325424,0.15186598058503598,0.12024308999322711,0.121984459759712,0.121984459759712,0.5234140678871279,0.3996362094454138,0.4235601290973729,0.7040317831360938,9.408295877847845
0.30000000000000004,0.013206982751206043,0.04705277689016677,0.023229474078332812,0.024750912314908485,0.10619954288223772,0.06290798518787573,0.06566398288868322,0.04309891516677811,0.04372274609324952,0.22246747449030732,0.14525881489120096,0.1518486114792562,0.1202429069063715,0.12198425679169031,0.12198425679169031,0.5006062043750951,0.39767140162616116,0.4209526919154739,0.4469961072441125,8.830368951619064
0.35000000000000003,0.013206648151309544,0.04703888821776586,0.02322947139891727,0.02475090881334011,0.10601207476674977,0.06290765644163179,0.06566357608720638,0.04309891482990268,0.04372274572547422,0.22052714807963725,0.14523618575136857,0.15182037276658267,0.12024249898981598,0.12198380475444118,0.12198380475444118,0.4750251757131784,0.3946425014914115,0.4169664875381463,0.2711997838703696,8.40089802075752
0.4,0.013206262089233601,0.04702286846373842,0.023229467303936394,0.024750903459336945,0.10579620025731715,0.0629071544406869,0.06566295498087331,0.043098914151844366,0.04372274498525371,0.21831057991707725,0.14520187705910634,0.15177759510345318,0.12024168785098689,0.12198290628347877,0.12198290628347877,0.4472520464391795,0.39032641484183794,0.4113396346029542,0.1632368243931152,8.092667613680563
0.45,0.013205824571289087,0.04700472004098197,0.023229461364193453,0.0247508956910318,0.10555210447990028,0.06290642716603317,0.06566205529479476,0.04309891289876131,0.043722743617361025,0.21582700570230237,0.14515257647520954,0.1517161835391519,0.12024020940019746,0.12198126948338817,0.12198126948338817,0.4178863643301435,0.3845422067473674,0.4038770971340634,0.10390034644959498,7.867253356029948
0.5,0.013205335604627659,0.0469844456820844,0.023229453093804368,0.024750884872414624,0.10527999642145085,0.06290541603188957,0.06566080467907523,0.04309891073343855,0.04372274125378163,0.213086692085368,0.14508465927855446,0.1516316726596401,0.12023769387655046,0.12197848610941954,0.12197848610941954,0.38752491538505984,0.3771652321534848,0.39446682166927,0.07528720818567594,7.689288569207781
0.55,0.013204795197241503,0.04696204843856487,0.023229441950399176,0.024750870293621354,0.10498010862530914,0.06290405602191551,0.06565912289123958,0.04309890718910519,0.04372273738517308,0.21010086597042318,0.14499423274080203,0.1515192863080972,0.1202336461840321,0.12197401021181413,0.12197401021181413,0.35674236517279245,0.36813552981236475,0.3830868599365714,0.06379147436911324,7.5324599673678385
