Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(6),J_7s1/2(2),J_7p1/2(1),J_total_Nh_relativistic
0.0,0.004974521765756104,0.01895708205488127,0.008694828772625498,0.011992131781547254,0.04233333982071233,0.024185647537508983,0.029350567071908716,0.018659939836346395,0.019668268320276086,0.0809510385728665,0.05022331115782195,0.05932853101769004,0.04293488394979725,0.04472937988249686,0.033226609206938845,0.03388443231132151,0.15140638391784836,0.09819231176017382,0.11693244198376603,0.09270907709320916,0.09697515068719081,0.09058506515658431,0.09284885693195932,0.32287310199207,0.2172324049642163,0.27609582332244015,0.282983014338139,0.3179020068142879,1.0915136059324952,0.9895415664131905,13.568947558843416
0.05,0.004974519883081307,0.01895700771375907,0.008694828769169641,0.011992131781373885,0.042332410898761524,0.02418564753228868,0.02935056705838239,0.01865993983634636,0.019668268320276037,0.08094368056045934,0.05022331094681087,0.05932853052687748,0.04293488394978778,0.044729379882484384,0.033226609206938845,0.03388443231132151,0.15135504815489245,0.09819230531148637,0.11693242643249771,0.09270907709103939,0.09697515068419924,0.09058506515658152,0.09284885693195565,0.32240382305604715,0.21723207510355758,0.27609472883817276,0.28298299899528695,0.3179019579469355,1.0766617762408544,0.9888655087751759,13.53750441628728
0.1,0.004974514235063576,0.018956784692376008,0.008694828758512945,0.011992131779813592,0.04232962426200275,0.02418564748537477,0.02935056693665361,0.01865993983634521,0.019668268320274483,0.08092161072473375,0.05022330904872582,0.05932852611074119,0.04293488394947564,0.04472937988207291,0.03322660920693882,0.03388443231132148,0.15120115056485656,0.09819224731661419,0.1169322866205312,0.09270907701953493,0.09697515058562649,0.09058506515622243,0.09284885693148348,0.3210002992527393,0.21722911762748634,0.276084941605318,0.2829825068420475,0.31790041232783933,1.0334682895061598,0.9833512443950555,13.442381160962476
0.15000000000000002,0.004974504821722888,0.018956412996682583,0.008694828739788059,0.011992131773745923,0.042324980297686526,0.024185647303019267,0.029350566463313733,0.018659939836335657,0.019668268320261542,0.08088484166631102,0.050223301670228246,0.059328508944066036,0.04293488394687561,0.044729379878645587,0.033226609206938346,0.03388443231132093,0.15094501987142228,0.09819202204538255,0.11693174381918056,0.09270907642493105,0.09697514976611209,0.09058506514981857,0.09284885692306727,0.3186754044080244,0.2172176847990507,0.2760472619752019,0.28297857970801543,0.3178883368391037,0.9657883384301034,0.964879482229582,13.283039396735473
0.2,0.00497449164309254,0.018955892636595965,0.008694828711549467,0.011992131757970504,0.042318479651129,0.024185646829012267,0.029350565232817535,0.01865993983629175,0.01966826832020193,0.08083339437334339,0.050223282495140756,0.0593284643377495,0.04293488393490398,0.04472937986286548,0.03322660920693457,0.03388443231131651,0.15058720270644985,0.09819143733366179,0.11693033595991453,0.09270907369347951,0.09697514600261818,0.09058506509888119,0.09284885685616952,0.3154503790304352,0.21718821500769453,0.2759507114506997,0.28296152347445835,0.3178373426758715,0.8793388656076809,0.9258807899341249,13.063032721042964
0.25,0.004974474699219148,0.018955223625999492,0.008694828671773595,0.011992131725207605,0.042310123225559895,0.024185645844737053,0.029350562677686907,0.018659939836148155,0.019668268320006763,0.08076729820220695,0.0502232426935171,0.05932837176813948,0.04293488389573235,0.044729379811235585,0.03322660920691538,0.033884432311294045,0.15012846175475,0.09819022565787851,0.11692742132984046,0.09270906478307267,0.09697513373035169,0.09058506484245579,0.09284885651969337,0.31135451145993676,0.2171277032428819,0.27575400225694374,0.28290972069993414,0.3176877653634767,0.7808266458087302,0.8636399007310784,12.792480704690833
0.30000000000000004,0.004974453990162646,0.01895440598274198,0.008694828617858957,0.011992131666098934,0.042299912181909746,0.024185644069247197,0.029350558068795843,0.01865993983577118,0.01966826831949412,0.0806865908505066,0.05022317093431951,0.0593282049180151,0.04293488379291582,0.04472937967572951,0.03322660920684275,0.03388443231120904,0.14956977316909584,0.09818804562990723,0.11692218369878417,0.09270904148282812,0.09697510165460904,0.09058506388378652,0.09284885526309526,0.30642470122462867,0.21702006713729638,0.2754074759745573,0.2827854625947612,0.3173433054515314,0.6770379857026461,0.7813592242179511,12.487270581075098
0.35000000000000003,0.004974429515996283,0.018953439728636806,0.008694828546626343,0.011992131569208654,0.042287847938536426,0.024185641159365636,0.0293505505157366,0.018659939834921584,0.019668268318338403,0.08059131832242836,0.050223053401682885,0.05932793172911859,0.04293488356132817,0.044729379370539134,0.03322660920661929,0.0338844323109475,0.14891232326771173,0.09818448390300583,0.11691363883199538,0.09270898923511706,0.09697502977071011,0.09058506097560105,0.0928488514559451,0.30070491400317206,0.21684659661067904,0.2748554032789372,0.2825333860338046,0.3166756367523683,0.5740695010547995,0.6863148865796663,12.165705236345817
0.4,0.004974401276806628,0.018952324889460838,0.00869482845431905,0.01199213142102463,0.042273932170891135,0.02418563670980569,0.029350538967266745,0.018659939833209203,0.019668268316008562,0.08048153488648377,0.0502228738147394,0.05932751446612064,0.042934883094945656,0.0447293787559986,0.03322660920602895,0.033884432310256625,0.14815750452984094,0.09817905747691578,0.11690064233026054,0.09270888456321064,0.09697488585714904,0.0905850534175044,0.09284884157592095,0.2942455397906067,0.216586472614816,0.2740385202174616,0.2820822081700171,0.3155379261003717,0.47681139642040804,0.5869641144643021,11.844675093796344
0.45,0.004974369272693564,0.018951061494953122,0.008694828336603155,0.011992131205959902,0.04225816681112392,0.02418563025331396,0.029350522211836913,0.0186599398300394,0.01966826831169525,0.08035730302570127,0.05022261345097149,0.05932690979187589,0.042934882232530225,0.044729377619756386,0.03322660920464131,0.03388443230863277,0.1473069109082588,0.09817121638779634,0.11688189872760413,0.092708692155575,0.09697462151866229,0.09058503597854815,0.09284881881691427,0.2871026677277195,0.216217338548295,0.2728966685720912,0.28134946214103806,0.31378303174206085,0.38871325941906365,0.4906327788239516,11.537015612827702
