Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_7s1/2(2),J_total_No_relativistic
0.0,0.006181144940344072,0.02274259376486755,0.010721413692092518,0.01352806798126407,0.05011734034010359,0.028937400929550793,0.03340021257489639,0.021315022726773145,0.02223719283561183,0.09725354480330993,0.06065936118699192,0.0689955854553399,0.05030828580954642,0.0520663534833543,0.03934407836004086,0.040000254455388316,0.18928290202470627,0.12347638295704078,0.1421774254705287,0.11590891419371675,0.12078853521834504,0.144908903201657,0.15638832517924103,0.4610659076615137,0.32126908862482656,0.41034066047889906,1.9960704627260788,14.0066308017378
0.05,0.006181141740972327,0.022742468182052514,0.010721413689535948,0.013528067980952374,0.05011579919969822,0.028937400916990007,0.033400212549315335,0.021315022726773054,0.022237192835611715,0.09724089328060216,0.06065936064836756,0.06899558442444023,0.05030828580951706,0.05206635348331725,0.03934407836004086,0.040000254455388316,0.18918541094657135,0.1234763631080276,0.1421773849933612,0.11590891418224196,0.12078853520274528,0.14490890316386013,0.15638832392398191,0.4597992687942625,0.3212667416443546,0.41033240847157454,1.9194245424648932,13.850544139093774
0.1,0.006181132142872119,0.022742091438279072,0.010721413681138872,0.013528067978147167,0.050111176078371435,0.028937400803957895,0.03340021231910575,0.021315022726770144,0.022237192835607985,0.09720294905772714,0.06065935580254457,0.06899557514969504,0.05030828580854863,0.052066353482095235,0.03934407836004072,0.04000025445538815,0.1888932545750773,0.12347618467976561,0.14217702128244594,0.11590891380447843,0.1207885346893112,0.1449088986877169,0.15638819207338747,0.45602172923265083,0.3212458130867436,0.41025934053430013,1.708250267394593,13.419633214920246
0.15000000000000002,0.006181116146088531,0.022741463547561888,0.01072141366471926,0.013528067967238338,0.05010347187569254,0.028937400364442686,0.03340021142396805,0.021315022726745927,0.022237192835576923,0.09713974315674001,0.06065933696645506,0.06899553910171383,0.05030828580048349,0.05206635347191856,0.03934407836003807,0.04000025445538512,0.1884073818381895,0.12347549209048522,0.1421756104088725,0.11590891066809163,0.12078853042816158,0.14490882826375479,0.15638644901248405,0.44979973751160995,0.3211655935473849,0.40998232328511164,1.4107804137411655,12.809844542329627
0.2,0.006181093750696702,0.022740584533257665,0.01072141363664064,0.013528067938876558,0.05009268809061489,0.02893739922188309,0.03340020909706835,0.021315022726634457,0.022237192835433833,0.09705132723545959,0.060659288024242405,0.06899544545395458,0.050308285763357476,0.05206635342507528,0.039344078360016896,0.040000254455360824,0.18772936875897245,0.1234736962327543,0.14217195548208342,0.11590889629172602,0.12078851090657797,0.14490835174812228,0.15637687382505663,0.44124179740449937,0.3209613308300701,0.40928792663076785,1.08562733267182,12.137581828214394
0.25,0.0061810649568018235,0.022739454428063504,0.010721413591812473,0.013528067879974563,0.05007882682098273,0.02893739684935571,0.03340020426553634,0.02131502272626965,0.022237192834965388,0.09693777351914845,0.0606591864610895,0.06899525116620753,0.050308285641919595,0.052066353271864124,0.039344078359909315,0.0400002544552374,0.1868614102133569,0.1234699797290609,0.14216440099655356,0.11590884952640323,0.12078844744808652,0.14490637789950767,0.15634543802566445,0.430495210430988,0.32054859981848,0.4079132050904815,0.7826287896931544,11.501471600931186
0.30000000000000004,0.0061810297645391405,0.022738073274014645,0.010721413523690654,0.013528067773708945,0.050061890762841246,0.02893739256983725,0.0334001955511618,0.021315022725311654,0.022237192833735007,0.09679917470504448,0.06065900341046544,0.06899490110111396,0.0503082853233029,0.052066352869921395,0.03934407835950259,0.0400002544547708,0.18580630847673738,0.12346330421474098,0.14215085264013677,0.11590872766481794,0.12078828222837826,0.1449004780100803,0.15627192609056828,0.4177417244873413,0.31982890176368883,0.40557518079414073,0.5321589503779801,10.961115019129037
0.35000000000000003,0.00618098817407395,0.02273644112248155,0.010721413424278185,0.013528067599522454,0.05004188320954993,0.028937385556541396,0.03340018127128915,0.021315022723152315,0.02223719283096145,0.09663564383992261,0.06065870371467813,0.0689943281733636,0.0503082846059887,0.052066351965113146,0.03934407835825228,0.040000254453336534,0.18456745864409288,0.12345241957451467,0.14212880229289007,0.11590845554446384,0.12078791366308217,0.14488649190916783,0.15613578469449865,0.4031922814518917,0.31869604456801137,0.4020010614493245,0.3444749651499517,10.535948557042097
0.4,0.0061809401856015985,0.02273455803416632,0.010721413284125977,0.013528067333126816,0.05001880805069986,0.02893737483333015,0.03340015943990949,0.02131502271879992,0.022237192825370747,0.09644731417091591,0.06065824599858866,0.06899345353111402,0.050308283162245726,0.052066350144236606,0.039344078354952544,0.040000254449551645,0.18314883103106425,0.12343587503945257,0.14209535787586355,0.11590791301941056,0.12078717972186498,0.14485855350860458,0.15592154153803237,0.38708109008349567,0.31704281599003326,0.39695550702618027,0.21537131090075895,10.216706706861917
0.45,0.006180885799347482,0.0227324240790985,0.010721413092333812,0.013528066946506061,0.04999266977083536,0.028937359275199373,0.033400127768949156,0.021315022710743297,0.022237192815021723,0.09623433896987497,0.06065758275631244,0.06899218676907824,0.05030828049426391,0.05206634677982604,0.03934407834720523,0.04000025444066617,0.18155495068509617,0.12341203203293345,0.1420472776458919,0.11590692123161377,0.12078583980183387,0.14480952674480452,0.1556208006351008,0.3696592703738354,0.31476747033890645,0.3902620937263,0.13334775448543873,9.979862560030094
