Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(6),J_7s1/2(2),J_7p1/2(2),J_7p3/2(4),J_total_Og_relativistic
0.0,0.004454930134703744,0.017380264297675554,0.007824693010317017,0.011388420084856521,0.03918509434358315,0.02222996374362759,0.027781547291740788,0.01763398196147924,0.018682249756262915,0.07462556425049074,0.046126039616457705,0.05570268719781041,0.04020214525855342,0.042021266175550576,0.031043201274818886,0.031706844043998636,0.13750147363731038,0.08889264669464302,0.1078076574931696,0.08470123458212345,0.08875823838417879,0.07959488962530317,0.08148610953709702,0.27888190948588265,0.1860372153694164,0.23665919641201744,0.21485948386554532,0.2306198938214848,0.719122782217259,0.532453451022831,0.913925019557796,15.001939613343124
0.05,0.004454928674352531,0.017380206256710783,0.007824693006362696,0.011388420084721464,0.03918435813764056,0.02222996374015123,0.027781547281415853,0.017633981961479216,0.018682249756262884,0.07461978712454483,0.04612603947817976,0.05570268683767934,0.04020214525854749,0.04202126617554258,0.031043201274818886,0.031706844043998636,0.13746262665641001,0.08889264274362872,0.10780764703350343,0.08470123458100538,0.08875823838262381,0.0795948896253026,0.0814861095370963,0.27856964234835496,0.18603706151200866,0.23665869217931607,0.21485948287375167,0.23061989206862518,0.7144219397174255,0.5324222004615239,0.9134662051967042,14.989922405214902
0.1,0.004454924293303429,0.01738003213514285,0.00782469299431472,0.011388420083505974,0.03918214960747753,0.022229963709004253,0.027781547188497027,0.017633981961478435,0.018682249756261805,0.0746024585559041,0.04612603823463769,0.05570268359726044,0.04020214525835178,0.04202126617527891,0.031043201274818872,0.03170684404399862,0.13734615485638735,0.08889260720617184,0.10780755298151604,0.08470123454415018,0.08875823833137184,0.07959488962522895,0.08148610953700343,0.27763504197110717,0.18603568054041003,0.23665417426877397,0.21485945045582006,0.23061983489630855,0.7005193533423446,0.5321487036431972,0.9096695612118318,14.944220317387177
0.15000000000000002,0.004454916991570053,0.017379741936950823,0.007824692973618059,0.011388420078779167,0.039178469016070576,0.022229963588039196,0.02778154682718016,0.017633981961471975,0.018682249756252826,0.07457358696996026,0.04612603340071098,0.05570267100027874,0.040202145256721514,0.04202126617308256,0.031043201274818633,0.03170684404399834,0.1371522654705795,0.08889246913726034,0.10780718774259394,0.08470123423754868,0.08875823790507749,0.07959488962391235,0.08148610953534345,0.27608468644883594,0.18603033288880352,0.23663672712152536,0.21485918426324627,0.23061936697193225,0.677999866053113,0.5311303496978602,0.8966781457801111,14.841538625089763
0.2,0.004454906769175092,0.017379335668766312,0.0078246929433477,0.011388420066489836,0.03917331680165475,0.022229963273697737,0.027781545887884708,0.01763398196144232,0.01868224975621146,0.07453318640170384,0.046126020837877896,0.05570263826560869,0.04020214524921448,0.04202126616296921,0.03104320127481672,0.031706844043996076,0.1368813032396495,0.08889211065542416,0.1078062400703541,0.08470123282829223,0.0887582359461444,0.0795948896134053,0.08148610952210034,0.27392945630477705,0.1860165142908179,0.23659182118932118,0.21485798250976518,0.2306172639059316,0.6477900021001485,0.5286422071613925,0.8684453146557234,14.658037592118895
0.25,0.004454893626150311,0.017378813339873154,0.007824692902208705,0.011388420040966853,0.03916669357763499,0.022229962621041852,0.027781543937393273,0.01763398196134539,0.018682249756076023,0.07448127648473926,0.046125994759229405,0.055702570326247085,0.040202145224648614,0.04202126612987638,0.031043201274807003,0.031706844043984585,0.1365337494419002,0.08889136748113834,0.10780427717241796,0.08470122822764342,0.08875822955304925,0.07959488956028846,0.08148610945517891,0.2711844114409136,0.18598804679847805,0.23649979412849945,0.2148541493019104,0.23061059416754237,0.6110913865228086,0.5238766622559887,0.8217624004922571,14.381584156400672
0.30000000000000004,0.004454877562536551,0.017378174962207026,0.007824692848536294,0.011388419994919732,0.039158600132462036,0.02222996144379743,0.027781540419046798,0.01763398196109099,0.01868224975572026,0.07441788243592296,0.04612594773647906,0.055702447855822776,0.040202145160160484,0.04202126604301029,0.031043201274770223,0.03170684404394109,0.1361102205410233,0.08889002968675667,0.10780074763623287,0.08470121618603836,0.08875821282650549,0.07959488936068271,0.08148610920382249,0.26786862164112873,0.1859372032615821,0.2363364983930805,0.21484439877803638,0.2305937464414632,0.5692980611690241,0.5160899099829546,0.7575205203128045,14.016921053792778
0.35000000000000003,0.004454858578383725,0.01737742055035492,0.007824692780295947,0.011388419919439343,0.039149037429472934,0.022229959514410307,0.027781534652995408,0.01763398196051775,0.018682249754918185,0.07434303503564128,0.04612587070895923,0.055702247302590956,0.040202145014882465,0.042021265847336446,0.031043201274657036,0.03170684404380725,0.13561146645656127,0.0888878426541733,0.10779498515292733,0.08470118915445003,0.08875817529551343,0.07959488875147123,0.08148610843711636,0.26400495332796403,0.185854862423453,0.23607409069798047,0.21482323833099776,0.2305574814538125,0.5239062149050988,0.5047252622336431,0.6800489820198878,13.583081404137143
0.4,0.004454836673750826,0.01737655012155452,0.007824692695083528,0.011388419803998798,0.03913800660669621,0.02222995656411474,0.0277815258365047,0.017633981959362464,0.018682249753301208,0.07425677060375027,0.046125752994591464,0.055701940930845066,0.040202144722261385,0.042021265453247254,0.031043201274357925,0.031706844043453565,0.1350383684638187,0.08888450823536477,0.10778621301125041,0.08470113493027893,0.08875810005099143,0.07959488715704272,0.08148610643186055,0.2596198159444199,0.18573069111941565,0.23568193391750697,0.2147824138389323,0.23048816300055103,0.47642488893777546,0.4894929661773706,0.5954059560061045,13.106529074043056
0.45,0.004454811848705917,0.017375563695693458,0.007824692590125438,0.011388419636454495,0.03912550897662177,0.022229952283014234,0.02778151304431735,0.017633981957223998,0.018682249750307522,0.07415913097120341,0.046125582302815896,0.055701496869664975,0.0402021441810463,0.04202126472444694,0.0310432012736546,0.03170684404262198,0.13439193673138802,0.0888796861099498,0.10777354932796808,0.08470103510939457,0.08875796161985944,0.07959488344889501,0.08148610177186012,0.25474287193131273,0.18555334949469032,0.23512757847074822,0.21471049204536377,0.23036729567780914,0.42829516902731385,0.47039920118630757,0.5096519657011815,12.61414832515743
