Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_total_Pd_relativistic
0.0,0.01792862411984446,0.0647365661745347,0.032202375068201096,0.03338898189687196,0.15520171887699857,0.09215638403709331,0.09465636472901141,0.0640813715833485,0.06465899468027239,0.37545516376785454,0.24714934470381328,0.2554786281764632,0.2884522433224667,0.2972907146084587,7.085588968061714
0.05,0.017928561336901235,0.06473380735547507,0.0322023750437014,0.03338898186842934,0.15515809553938625,0.09215637999142678,0.09465636010868114,0.06408137158306906,0.06465899467997645,0.3748055978303383,0.24714871755458015,0.255477880974372,0.2884521625578197,0.2972906036448565,7.0841916876221
0.1,0.01792837298989079,0.06472553168116228,0.03220237482423119,0.033388981612474555,0.1550273040025036,0.09215634360573609,0.09465631855612355,0.06408137157385682,0.06465899467022054,0.37286421535251013,0.2471431047960416,0.25547119685521374,0.2884496524653216,0.29728717538389376,7.079961599080797
0.15000000000000002,0.01792805908427071,0.06471174149978294,0.03220237397199355,0.033388980617270504,0.15480957944916926,0.09215620226024301,0.09465615714849561,0.06408137149720844,0.06465899458905076,0.3696528166852579,0.24712146861905906,0.2554454492622562,0.28843054477776847,0.29726130513885995,7.072696294719014
0.2,0.017927619629136613,0.06469244072360943,0.03220237175771525,0.03338897803040097,0.15450531303508516,0.09215583534216953,0.09465573818623971,0.06408137114483355,0.06465899421590254,0.3652072547078285,0.24706592482442435,0.25537941900326455,0.2883525505913994,0.29715689860555045,7.061841104793208
0.25,0.017927054637221558,0.06466763482694315,0.032202367161228755,0.033388972659488494,0.15411505066936906,0.09215507487322892,0.09465486994732812,0.0640813699941751,0.06465899299746468,0.35957672872377544,0.2469524827256636,0.2552447423765137,0.28813305514961723,0.2968670778331853,7.046361252727252
0.30000000000000004,0.017926364124895285,0.06463733084323746,0.03220235887228617,0.03338896297319831,0.153639491315324,0.09215370638256255,0.09465330773618341,0.06408136698150638,0.06465898980751203,0.3528228261239728,0.24675202645657857,0.2550071627500105,0.2876509903222413,0.29624041938369533,7.024791826437518
0.35000000000000003,0.0179255481121632,0.06460153736140263,0.03220234529160437,0.03338894710252728,0.15307948481940556,0.09215147001962676,0.09465075522032661,0.06408136021591122,0.06465898264426236,0.34501834043527047,0.2464314877909418,0.2546280168297853,0.2867636743722268,0.2951062751748166,6.995462989538412
0.4,0.017924606622665127,0.06456026452129593,0.032202324532140246,0.033388922842376476,0.15243602927853173,0.09214806190004245,0.09464686604592404,0.06408134663831203,0.06465896826973358,0.3362459003856421,0.24595515249121375,0.2540658764379752,0.2853314457347882,0.2933075438425882,6.956801582934498
0.45,0.01792353968367388,0.06451352400840059,0.03220229442059463,0.033388887653405634,0.15171026795799752,0.09214313567598584,0.09464124572159913,0.06408132163050465,0.06465894179642996,0.32659644918391423,0.2452860379309516,0.25327826182149044,0.28324061996518973,0.290727883901003,6.907592799076393
