Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(6),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_7s1/2(2),J_total_Ra_relativistic
0.0,0.007940699443023279,0.028526914201970174,0.013737412599259237,0.016042549597831416,0.0625885001226777,0.03644591564991914,0.04021357485618733,0.025811245349483005,0.02662776312308506,0.12536153435470462,0.07853474786719854,0.0863800665941822,0.06397765813380918,0.06576594067869998,0.05199663869646467,0.052717898275890435,0.26422094090072196,0.1737894446176729,0.19287529750518773,0.165612395294872,0.17110944653443594,0.64810121606436,0.46099211349336533,0.535324328092448,2.3706499501293328,15.361469160987651
0.05,0.007940693277492632,0.028526671014733176,0.01373741259738188,0.016042549597110912,0.06258550839790693,0.0364459156106597,0.04021357479206906,0.02581124534948266,0.02662776312308465,0.12533490408621356,0.07853474592048654,0.08638006345986297,0.06397765813363972,0.06576594067849538,0.05199663869646465,0.05271789827589041,0.26397154344645507,0.17378934151220085,0.19287512376766874,0.16561239515130444,0.1711094463518514,0.6446973843029681,0.4609785163315032,0.5352950166074909,2.240072678384215,15.092803056505451
0.1,0.007940674780942741,0.028525941466870555,0.01373741258947382,0.01604254959062654,0.06257653412864501,0.036445915257362835,0.04021357421507711,0.025811245349471365,0.02662776312307104,0.1252550489299497,0.07853472840863811,0.08638003526718101,0.06397765812805145,0.06576594067174839,0.05199663869646163,0.05271789827588699,0.26322483362523075,0.17378841573611054,0.19287356466734798,0.1656123904379333,0.17110944035996645,0.6346002058092965,0.46085837981170286,0.5350379481931632,1.8924948462308222,14.37450362026008
0.15000000000000002,0.007940643953499756,0.028524725599925967,0.01373741256870745,0.01604254956541055,0.06256158002958033,0.03644591388365729,0.04021357197166257,0.02581124534937728,0.026627763122957677,0.12512207575546952,0.07853466035811783,0.08637992572783265,0.06397765808153294,0.06576594061558765,0.05199663869640755,0.05271789827582583,0.26198524459550765,0.17378482872868506,0.19286752910454374,0.16561235147185546,0.17110939085518853,0.6181460236829379,0.4604044533455202,0.534077682184113,1.4352420649565882,13.419530894689162
0.2,0.00794060079537392,0.028523023483133975,0.013737412523704596,0.016042549499852773,0.06254065062365097,0.03644591031287207,0.040213566140451684,0.025811245348944006,0.026627763122435543,0.12493616241870753,0.07853448361820285,0.08637964129714318,0.06397765786753018,0.06576594035724821,0.051996638695974935,0.05271789827533658,0.260260116937141,0.17377555206314185,0.19285193988797247,0.16561217391043934,0.1711091654648054,0.5958739597458199,0.4592721378655506,0.5317209183203152,0.9837289561725182,12.456316934255707
0.25,0.007940545306859573,0.02852083521341273,0.013737412438538278,0.01604254936370474,0.06251375223973218,0.03644590289895748,0.04021355403405614,0.025811245347525807,0.02662776312072639,0.12469755737284333,0.07853411706814153,0.08637905157641801,0.06397765716810729,0.06576593951301037,0.05199663869378148,0.05271789827285625,0.2580596273327603,0.1737564204441643,0.19281984371869748,0.1656116007084739,0.17110843867122585,0.5684956790043143,0.4570448221785411,0.5271814051733033,0.6160621838750808,11.638501205283154
0.30000000000000004,0.007940477488335143,0.028518160915353755,0.01373741229273517,0.01604254911808545,0.06248089300940124,0.03644588952777341,0.04021353220160464,0.02581124534380153,0.026627763116237962,0.1244065791252243,0.07853345690598802,0.08637798987345152,0.06397765533489004,0.06576593730051962,0.05199663868550897,0.05271789826350303,0.2553966901232399,0.1737222043966203,0.1927625612767055,0.16561012105474082,0.1711065651062738,0.5368566972739941,0.4532868828424163,0.5197146420536652,0.3596863720049741,11.018789228199157
0.35000000000000003,0.00794039734026314,0.028515000741208787,0.013737412061278771,0.016042548715488804,0.06244208286278209,0.03644586761874362,0.04021349643199298,0.02581124533540768,0.026627763106121895,0.12406361554204454,0.07853237701793224,0.08637625391843172,0.06397765121269412,0.06576593232627062,0.05199663866015216,0.05271789823483811,0.25228683310663874,0.1736667011844311,0.19266987366970365,0.16560685374249887,0.17110243468518047,0.5018923456684866,0.4475965615336149,0.5087363933044305,0.2042236060399334,10.575122665302366
0.4,0.007940304863190155,0.028511354870873726,0.013737411714613266,0.01604254809979264,0.06239733352347302,0.036445834126874556,0.04021344175784901,0.025811245318491452,0.026627763085735178,0.1236691230029534,0.07853072942661818,0.08637360673171897,0.06397764292761564,0.0657659223305146,0.051996638593457906,0.05271789815945637,0.2487480492961886,0.17358284214621758,0.19253024064311308,0.16560042357315277,0.17109432108796246,0.46458174152722415,0.4396517130548433,0.49390588566625737,0.12239431090653388,10.252852691652844
0.45,0.007940200057746843,0.02850722351186965,0.0137374112186481,0.01604254720626945,0.062346658502561055,0.0364457855451368,0.04021336246020812,0.025811245287184474,0.026627763048006296,0.1232236254082319,0.07852834481662453,0.08636977763923978,0.06397762764172055,0.06576590389230304,0.05199663843747007,0.05271789798318594,0.24480062666689315,0.17346281432787922,0.19233104523383315,0.16558883992067452,0.17107973564774856,0.42590300486454147,0.42924330683577044,0.4751646737300855,0.08595490478559374,9.996747719578513
