Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(1),J_6s1/2(2),J_total_Re_relativistic
0.0,0.009974164854515622,0.035501613128077175,0.017322584815083,0.019236429795701216,0.07843210684604611,0.04593470336835886,0.0491815503692698,0.031793969875214004,0.03251664413958822,0.16363499060277775,0.10304848526002168,0.11078971186025918,0.0843597548355389,0.08629580879870483,0.07828761584546703,0.07947674297969143,0.4013271015822856,0.27058785128233,0.2969779489240823,0.348345504049969,0.3716334410411477,1.5082821673288636,11.220878814558095
0.05,0.009974153296336493,0.0355011501270489,0.017322584813056728,0.019236429793928,0.07842625849302828,0.04593470324453151,0.049181550195055365,0.03179396987521248,0.03251664413958647,0.16357694317180319,0.10304847766226446,0.1107897009433622,0.08435975483416162,0.08629580879708623,0.07828761584546141,0.07947674297968459,0.4005242454316552,0.27058691770753185,0.2969764471596315,0.34834537159600076,0.37163319758383184,1.4724182045781313,11.147407728754297
0.1,0.009974118621913903,0.03549976116411361,0.01732258480012062,0.019236429777969622,0.07840871619676051,0.045934702130278386,0.04918154862742139,0.031793969875162094,0.03251664413952872,0.16340293144393717,0.10304840934022692,0.1107896027872705,0.08435975478877442,0.08629580874375004,0.07828761584474077,0.0794767429788083,0.39812595529336675,0.27057856763760085,0.296963034344325,0.3483412516467333,0.3716257143368428,1.3704563597058463,10.938206650594381
0.15000000000000002,0.009974060831592236,0.03549744635971348,0.017322584755704414,0.019236429715912814,0.07837948824338757,0.045934697798209106,0.049181542532874996,0.031793969874742374,0.03251664413904762,0.1631133466254562,0.10304814399550098,0.11078922165480207,0.08435975441135779,0.0862958083002809,0.07828761583194549,0.07947674296325923,0.39416283906902905,0.27054641035215665,0.29691149538786626,0.3483098525459568,0.37156967078493464,1.217685809869787,10.623642744413777
0.2,0.009973979925945457,0.03549420591456408,0.017322584645529725,0.019236429554578487,0.07833858843577865,0.04593468653908153,0.049181526693856024,0.031793969872809504,0.03251664413683208,0.16270883909983563,0.10304745542156998,0.11078823290993303,0.08435975267764478,0.08629580626344667,0.0782876157307725,0.07947674284041538,0.388685160696936,0.27046397102604675,0.29677979421114403,0.3481815042401166,0.3713457229840078,1.0349431949039671,10.244870236352478
0.25,0.0099738759057771,0.03549004010962217,0.01732258442161816,0.01923642921953625,0.07828603608247844,0.04593466316640971,0.049181493816120365,0.031793969866483744,0.03251664412958128,0.16219031599659522,0.10304602893260091,0.11078618539233814,0.08435974702217039,0.08629579962044309,0.07828761522527992,0.07947674222730268,0.3817617424303535,0.2702959050362087,0.29651243528693944,0.34781973181593445,0.37073155969153393,0.8436526316754226,9.843813468554044
0.30000000000000004,0.009973748772120249,0.035484949306040806,0.017322584022302627,0.01923642861512475,0.07822185598225687,0.045934621022905485,0.04918143453905927,0.0317939698498756,0.03251664411054485,0.16155893780625838,0.10304346334892034,0.11078250471315343,0.08435973223390329,0.0862957822540353,0.0782876133526972,0.07947673995898005,0.37347847901414477,0.2699996013932953,0.2960435374721028,0.3470239595564154,0.3694220434433386,0.6617333517901677,9.455025654254207
0.35000000000000003,0.00997359852623752,0.03547893394511146,0.017322583372241906,0.019236427624477796,0.07814607840427569,0.04593455198874429,0.04918133744893746,0.03179396981245461,0.03251664406765367,0.1608161140598331,0.10303927352451099,0.11077649744374721,0.08435969907446887,0.08629574332467847,0.07828760773300027,0.07947673316195891,0.36393651188224824,0.26952708743512527,0.29530041386025113,0.3455572460978955,0.36708834086071596,0.5013688774580526,9.101411763550074
0.4,0.009973425169621032,0.03547199454819344,0.01732258238243843,0.019236426109556285,0.07805873906389547,0.04593444649164299,0.049181189095027805,0.03179396973706562,0.03251664398124726,0.15996349809624477,0.10303289339791584,0.11076735616176062,0.0843596326464854,0.08629566536343575,0.07828759330711058,0.07947671574397576,0.3532501213591557,0.2688271333193659,0.29420742606120887,0.3431875503319162,0.36344761792304314,0.36869728321133843,8.793859194437317
0.45,0.009973228703992369,0.03546413171663047,0.0173225809502593,0.019236423911185886,0.07795987909415135,0.04593429351873484,0.049180974008615735,0.0317939695975985,0.032516643821404574,0.15900298094599852,0.10302367954416358,0.1107541653115465,0.08435951054449263,0.08629552211552975,0.07828756047946048,0.07947667618386946,0.3415444021305939,0.26784744831091034,0.2926898755060693,0.3397268275061303,0.35831516586937834,0.2648413621649428,8.533521893542014
