Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(5),J_7s1/2(2),J_total_Rg_relativistic
0.0,0.005186202144414995,0.01960912473521583,0.00904928356443727,0.012248800263474342,0.043651772933547994,0.02499761687133792,0.030021449452732937,0.019099004140295077,0.02009151668057177,0.08364661208035144,0.05195891571572278,0.06089867793887945,0.04412361414471723,0.04590943103881288,0.034189596805671255,0.03484579056200523,0.1574766800622844,0.10224511991937364,0.1209572542084107,0.09630502209281776,0.10066782131021537,0.09606846318985743,0.09855064411639479,0.34274614218795085,0.2314635102422768,0.29302431869917406,0.32243110083047377,0.3775717912381354,1.2596694708053422,13.396429277377061
0.05,0.00518620006645764,0.019609042833657622,0.009049283561165565,0.012248800263282225,0.043650754349012666,0.024997616865207628,0.030021449437615005,0.019099004140295035,0.020091516680571714,0.0836385038428537,0.05195891546594172,0.060898677380871215,0.04412361414470574,0.045909431038797854,0.034189596805671255,0.03484579056200523,0.1574191810705546,0.10224511205176812,0.12095723586181209,0.0963050220899467,0.10066782130627067,0.09606846318985153,0.09855064411638684,0.34219242149186846,0.23146306041780948,0.29302284530352174,0.3224310403360753,0.37757149411452473,1.2376417541081834,13.3511243702082
0.1,0.005186193832593314,0.019608797131305655,0.0090492835510069,0.012248800261553203,0.04364769874590233,0.024997616810086012,0.03002144930156314,0.019099004140293682,0.020091516680569906,0.08361418406825184,0.051958913218982945,0.060898672360207094,0.04412361414432663,0.04590943103830228,0.03418959680567122,0.03484579056200519,0.15724681643624638,0.10224504130070752,0.12095707093148367,0.09630502199534438,0.10066782117631119,0.0960684631890943,0.09855064411536572,0.3405369238523859,0.23145902960599601,0.2930096821228712,0.32242913415086105,0.3775624080202709,1.1741519833829464,13.220319252366856
0.15000000000000002,0.005186183442845233,0.01960838763512779,0.009049283532930634,0.01224880025482939,0.04364260657566624,0.024997616595794643,0.030021448772530785,0.019099004140282455,0.02009151668055485,0.08357366756537092,0.05195890448430221,0.060898652844015314,0.04412361414116892,0.04590943103417459,0.03418959680567059,0.03484579056200445,0.15695998269645295,0.10224476650795124,0.12095643068915901,0.0963050212088279,0.10066782009609575,0.0960684631756122,0.09855064409719869,0.3377965466593818,0.23144346110360758,0.2929590800437332,0.3224143248886204,0.377494867857964,1.076417197687345,13.018069500222314
0.2,0.005186168897252088,0.019607814356736704,0.009049283505219123,0.012248800237348072,0.04363547859059423,0.02499761603874879,0.030021447397265786,0.019099004140230826,0.020091516680485488,0.08351697899942925,0.05195888178532997,0.060898602134314396,0.044123614126630004,0.04590943101517057,0.03418959680566555,0.03484579056199858,0.15655933913032374,0.10224405336278153,0.1209547703896907,0.09630501759679942,0.10066781513690753,0.09606846306860994,0.09855064395315681,0.3339991347445114,0.23140338141058261,0.29282969126917524,0.3223522459306727,0.37722756489479736,0.9547778863484113,12.764075044064615
0.25,0.005186150195868047,0.01960707731238929,0.009049283465467855,0.012248800201042374,0.04362631584362846,0.024997614882026363,0.03002144454154846,0.019099004140061937,0.0200915166802584,0.08344415286782672,0.05195883467096374,0.06089849690316204,0.04412361407906041,0.04590943095299568,0.034189596805639946,0.03484579056196872,0.15604580534377296,0.10224257582470403,0.12095133394211187,0.09630500581813432,0.1006677989721398,0.09606846253145718,0.09855064323097519,0.32918301236768943,0.23132122011945946,0.2925668106993344,0.32217179592995826,0.3765028864653821,0.8207389072113194,12.479593863553294
0.30000000000000004,0.005186127338762753,0.019606176522985772,0.009049283410585628,0.012248800135542163,0.04361511968809981,0.02499761279546441,0.030021439390524682,0.019099004139618517,0.020091516679661907,0.08335523346629549,0.05195874973162936,0.06089830724174703,0.04412361395420866,0.04590943078982378,0.03418959680554307,0.034845790561855786,0.15542055790544437,0.10223991810163896,0.12094516038575273,0.09630497503150912,0.10066775674367713,0.09606846053012565,0.09855064054438342,0.32339634413773516,0.23117537512277161,0.2921053044572615,0.32176056411688514,0.37497751495614695,0.6851068487497477,12.183862962278157
0.35000000000000003,0.005186100326021324,0.019605112014068605,0.009049283336794795,0.012248800028175227,0.04360189177738927,0.02499760937578308,0.03002143094913378,0.01909900413861914,0.020091516678317177,0.08325027484545985,0.05195861061988338,0.06089799672330797,0.04412361367300829,0.04590943042235116,0.034189596805245054,0.034845790561508355,0.1546850260511627,0.10223557717015185,0.1209350921089633,0.09630490603393563,0.10066766216303374,0.09606845448340975,0.09855063244189485,0.3166963403484827,0.2309409018589208,0.2913730383120666,0.3209726007970782,0.37229612132157086,0.5566436271022539,11.891818594659119
0.4,0.0051860691577443555,0.019603883815821097,0.009049283239631552,0.012248799863968712,0.04358663406451424,0.024997604146737053,0.030021418042630994,0.019099004136604824,0.02009151667560635,0.0831293407578655,0.05195839807552069,0.060897522479730286,0.04412361310676065,0.04590942968246162,0.03418959680445785,0.03484579056059069,0.15384088647882188,0.10222896582062536,0.12091978473145004,0.09630476789264165,0.1006674729405544,0.09606843884126544,0.09855061152502627,0.3091483257280047,0.23059030107820935,0.29029459401776486,0.3196462122148175,0.3681709853305838,0.44140956409877774,11.613266251873954
0.45,0.005186033834047913,0.019602491963065818,0.009049283113946283,0.01224879962565082,0.04356934880164004,0.024997596559294327,0.030021399317204173,0.019099004132876074,0.02009151667058779,0.08299250459555135,0.05195808995514388,0.06089683529164044,0.04412361205977882,0.0459094283145938,0.03418959680260775,0.034845790558434155,0.15289005726023147,0.1022194162067708,0.12089771855563856,0.09630451414349192,0.10066712565214049,0.09606840293765509,0.0985505636256606,0.300824693491239,0.2300943765876231,0.28879505383835374,0.31762585054878056,0.3624350875460978,0.3427371527244265,11.353195933708378
