Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_total_Rn_relativistic
0.0,0.008222612248931989,0.029477008535792815,0.01422811247071727,0.016469190975773196,0.06469867799884588,0.03771058768344368,0.04139215513691419,0.026592307872179023,0.02739422622202201,0.13034744366065948,0.08170924486357764,0.08952443942522932,0.06652016021306446,0.06832363850061167,0.05464603110898013,0.055393329852466935,0.280521349162473,0.1849621904486149,0.20509571898708,0.18042943393240754,0.1867541763969991,0.7599474513316019,0.5800965611267336,0.7250119413010238,12.213838942628882
0.05,0.008222605472343604,0.029476740808957368,0.014228112468881178,0.016469190974952915,0.0646953759162791,0.03771058763694994,0.0413921550629146,0.0265923078721786,0.027394226222021503,0.13031759836749465,0.08170924249089995,0.08952443567903845,0.0665201602128377,0.06832363850033915,0.05464603110898009,0.05539332985246689,0.2802263985766023,0.18496204991097465,0.20509548286603285,0.18042943363106698,0.18675417600283045,0.7546019094206332,0.5800469149702936,0.7248578570230642,12.201774235193726
0.1,0.008222585142627305,0.029475937644679588,0.014228112460688728,0.016469190967570574,0.06468547073531705,0.03771058721855511,0.04139215439700701,0.02659230787216462,0.0273942262220048,0.13022810558264872,0.08170922114803526,0.0895244019841928,0.06652016020536008,0.06832363849135331,0.054646031108974605,0.05539332985246068,0.27934350455213286,0.18496078847284642,0.20509336487066357,0.18042942375534332,0.1867541630933859,0.7388130810481385,0.5796155467081792,0.7235468193919539,12.162112167518718
0.15000000000000002,0.00822255125992965,0.029474599091643346,0.01422811243808784,0.016469190938862673,0.064668965655592,0.037710585591752055,0.04139215180790839,0.02659230787204819,0.02739422622186565,0.1300790944880295,0.0817091382155657,0.08952427107611488,0.0665201601431207,0.06832363841656514,0.05464603110887649,0.05539332985234946,0.27787851878391656,0.18495590357557645,0.20508517135004414,0.18042934233247396,0.1867540567660914,0.713303689166545,0.5780269701167996,0.7188697867217322,12.085900139635285
0.2,0.008222503824494904,0.02947272523098235,0.014228112387659855,0.016469190864226674,0.06464586600788236,0.03771058136314086,0.041392145078291226,0.02659230787151199,0.02739422622122475,0.12987078004703825,0.08170892284447225,0.0895239311940901,0.06652015985683843,0.06832363807259272,0.05464603110809207,0.05539332985146045,0.27584112275790856,0.18494328027879242,0.20506402933296927,0.18042897268264643,0.1867535747243856,0.6792120543634854,0.5742051609986291,0.7081050531007038,11.962356839703538
0.25,0.008222442836665027,0.029470316176271043,0.01422811229062174,0.016469190709225947,0.06461617925120139,0.03771057258359598,0.04139213110699806,0.02659230786975691,0.027394226219126887,0.1296034624961144,0.08170847623029219,0.08952322659969186,0.06652015892136523,0.0683236369487374,0.05464603110411756,0.05539332984695659,0.2732447219363705,0.1849172738614975,0.20502055760220209,0.18042778510453153,0.18675202883809172,0.6380016478307573,0.5670277698715851,0.6889863967037941,11.783071146636303
0.30000000000000004,0.008222368296879678,0.029467372073511855,0.014228112122829185,0.016469190429596676,0.06457991496872462,0.037710556749898684,0.041392105912138155,0.026592307865148056,0.027394226213617832,0.12927752663531902,0.08170767199522752,0.08952195829869665,0.06652015647003451,0.06832363400418773,0.05464603108914043,0.05539332982998748,0.2701062999770719,0.18487082273686692,0.2049430991467805,0.18042473752786084,0.1867480704691271,0.5913505553980489,0.5555705943343116,0.6604050428425685,11.545076393845015
0.35000000000000003,0.0082222802056762,0.029463893101118813,0.014228111854780574,0.01646918997125675,0.06453708486255925,0.037710530806833044,0.04139206463506268,0.026592307854760855,0.02739422620120191,0.12889344092036276,0.0817063566765033,0.08951988496264071,0.06652015095951033,0.06832362738605115,0.05464603104327834,0.0553933297780357,0.26644623528447375,0.18479558905315163,0.20481800826240473,0.1804180546617307,0.18673941281564788,0.5410334677806767,0.5392840648517313,0.622648637582193,11.251921729255336
0.4,0.008222178563689618,0.02945987946989752,0.01422811145162184,0.016469189270316632,0.06448770274735982,0.03771049114974355,0.041392001545213775,0.026592307833828197,0.027394226176181403,0.12845175635915412,0.08170435031880627,0.08951672404511493,0.06652013988774162,0.0683236140915046,0.054646030922789336,0.055393329641578434,0.26228808276098503,0.18468212373962614,0.20462998408879127,0.18040500718771293,0.1867225598516259,0.48880839630881756,0.5180727856596188,0.5772107784262219,10.91284146958364
0.45,0.008222063371652622,0.02945533142302151,0.014228110873152202,0.01646918825309218,0.0644317845427951,0.037710433627551714,0.041391910045841744,0.02659230779508974,0.02739422612987919,0.12795310521659783,0.08170144716817625,0.08951215308687274,0.06652011946814514,0.06832358957800723,0.05464603064135232,0.05539332932292396,0.25765832413508827,0.18452005223861886,0.20436244119310135,0.18038171251371274,0.18669257070325948,0.436318215249915,0.4922805001271735,0.5263488591899321,10.540758639029018
