Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_7s1/2(2),J_total_Sg_relativistic
0.0,0.005729252722380469,0.02130585443735123,0.009960000268119188,0.012932655445892536,0.04712650290735584,0.027121844090782058,0.031820457909833684,0.02027781642818357,0.021231075017670815,0.09088040828436779,0.05659368568878322,0.06517125578004783,0.04737521527995277,0.04914311925694779,0.03686811150396685,0.037522600585809245,0.1741849375260721,0.11339280657657826,0.13212627254846915,0.10651305158201892,0.1111674907506934,0.11505713180355288,0.1186426632057176,0.40220846138730415,0.27490796684775737,0.34467603808435415,0.45516495057912915,1.4765373280228238,13.514252632400083
0.05,0.005729250076030896,0.021305750451874113,0.009960000265268488,0.012932655445642323,0.04712522116668654,0.027121844081646293,0.03182045788969374,0.020277816428183507,0.021231075017670735,0.09087004716722712,0.05659368530706282,0.06517125500133024,0.04737521527993368,0.04914311925692333,0.03686811150396685,0.037522600585809245,0.174108095931304,0.11339279349469567,0.13212624427164738,0.10651305157593825,0.1111674907423897,0.1150571318034778,0.11864266320560063,0.4013470367637344,0.2749069252073901,0.3446728029974941,0.4551639260546372,1.4422081021736313,13.443674884228955
0.1,0.005729242136993386,0.021305438498872786,0.0099600002561931,0.01293265544339044,0.04712137616531984,0.027121843999448447,0.03182045770844849,0.020277816428181453,0.021231075017668057,0.09083897123891545,0.05659368187292718,0.06517124799512795,0.04737521527930393,0.04914311925611648,0.03686811150396677,0.037522600585809154,0.17387778497408027,0.11339267587569317,0.13212599013041265,0.10651305137566332,0.11116749046894996,0.11505713179389701,0.11864266319069874,0.39877448703433893,0.2748976090964413,0.34464398645494443,0.45513340085768256,1.344481393141846,13.242287973730415
0.15000000000000002,0.005729228905301564,0.021304918588637107,0.009960000239323218,0.01293265543463335,0.04711496856511503,0.02712184367984092,0.031820457003692945,0.02027781642816439,0.021231075017645745,0.0907872027601731,0.05659366852363136,0.0651712207625662,0.04737521527405893,0.04914311924939669,0.03686811150396542,0.037522600585807586,0.17349464518105137,0.1133922191880847,0.13212500393885002,0.10651304971168761,0.11116748819778229,0.1150571316249169,0.1186426629285463,0.3945257158444459,0.2748617346475836,0.3445337202470989,0.4549149125877683,1.1976828758999774,12.937917911277484
0.2,0.005729210381011471,0.02130419073831613,0.009960000212042654,0.012932655411865784,0.04710599946895674,0.027121842848991235,0.031820455171656166,0.020277816428085887,0.02123107501754296,0.09071477880361231,0.056593633835186195,0.0651711500097355,0.047375215249912186,0.04914311921846202,0.03686811150395457,0.03752260058579505,0.17295974092067543,0.11339103450298353,0.13212244785455032,0.10651304207692283,0.11116747778146072,0.1150571303006955,0.11864266088125598,0.38865800912262366,0.2747697780875002,0.3442536375805944,0.45409106016827094,1.0214440921840289,12.567858116687335
0.25,0.005729186564201565,0.021303254971917058,0.009960000170689074,0.012932655364581687,0.04709447042043373,0.02712184112370227,0.03182045136755727,0.020277816427829012,0.02123107501720645,0.09062175121083398,0.05659356184320673,0.06517100320390684,0.04737521517091811,0.04914311911726886,0.0368681115038994,0.03752260058573132,0.17227455566026614,0.1133885814120291,0.13211716100823964,0.10651301720967302,0.11116744387299668,0.11505712375887032,0.11864265081113125,0.38124973633104703,0.27458234378691193,0.343689525945158,0.45198282142133595,0.836125053231781,12.169730592727188
0.30000000000000004,0.005729157454972719,0.021302111320303733,0.009960000110554324,0.01293265527927554,0.047080383403389416,0.027121838011580513,0.03182044450610336,0.020277816427154493,0.021231075016322574,0.09050818653248935,0.056593432072039616,0.06517073865201868,0.04737521496362564,0.04914311885174572,0.03686811150369077,0.03752260058549031,0.17144098536765115,0.11338417207775892,0.13210767144326221,0.10651295230747594,0.11116735543375524,0.11505709985391166,0.11864261420420784,0.37239859363033356,0.2742519718682052,0.34270976630697425,0.4478229780813206,0.6589716736662268,11.774528245173993
0.35000000000000003,0.005729123053448219,0.02130075982119476,0.009960000025884857,0.012932655139444051,0.047063740841344286,0.027121832911252215,0.03182043326212923,0.020277816425634154,0.021231075014330046,0.09037416595138476,0.05659321957210935,0.0651703056012221,0.04737521449684406,0.04914311825390245,0.03686811150304916,0.03752260058474919,0.17046133009880907,0.11337697638214375,0.13209221122544046,0.10651280710488405,0.11116715773291619,0.11505702925015691,0.11864250673494948,0.36221944690788743,0.27372528721440037,0.3411748139822555,0.4409968421697214,0.501940773152861,11.403265518579458
0.4,0.005729083359773766,0.021299200519161163,0.009959999909882243,0.01293265492558824,0.04704454559679047,0.02712182511262737,0.0318204160713783,0.020277816422569723,0.02123107501031351,0.09021978518875497,0.056592894965406176,0.0651696443612107,0.04737521355712477,0.04914311705047727,0.03686811150135509,0.037522600582792554,0.1693382838240722,0.11336602812983593,0.13206873454753545,0.10651251697986841,0.11116676308361337,0.11505685126544477,0.11864223764900728,0.35084184447036093,0.2729453762309185,0.33894692596339304,0.4312097096576519,0.37129394870306476,11.066874375288203
0.45,0.00572903837411747,0.021297433465623624,0.009959999754703786,0.012932654615215882,0.047022800970358776,0.027121813797211364,0.031820391131424236,0.020277816416897097,0.021231075002878082,0.09004515439385814,0.056592424499021826,0.06516868644800337,0.0473752118200849,0.04914311482629383,0.03686811149737563,0.0375226005781967,0.16807492255626139,0.11335023225397163,0.13203493861880122,0.10651198528062471,0.11116604059970453,0.1150564543226668,0.11864164199678982,0.3384072779306736,0.2718542699724865,0.3358993742629832,0.4185208687340045,0.2684676798591568,10.768116523060453
0.5,0.005728988096669854,0.021295458718849327,0.009959999551463223,0.012932654182844333,0.04699851069985851,0.02712179803846412,0.031820356402732675,0.020277816407076193,0.021231074990005015,0.08985039801707255,0.05659177010662286,0.06516735474878979,0.047375208817719804,0.049143110982529735,0.03686811148885199,0.03752260056835382,0.16667469085436887,0.1133283729642062,0.13198828709943797,0.10651107508644471,0.11116480528744345,0.11505565143862284,0.11864044686474834,0.3250662751458004,0.2703954123914676,0.33192449295836857,0.4032716680455981,0.19153595596207162,10.504251820679414
0.55,0.005728932527643847,0.021293276343948342,0.009959999290231518,0.01293265360000374,0.04697167895919057,0.027121776802206576,0.03182030960986229,0.020277816390966485,0.02123107496888866,0.08963565466670162,0.056590889477734906,0.06516556370739257,0.04737520390187236,0.04914310469012604,0.03686811147190933,0.03752260054879105,0.165141386786044,0.11329912276912993,0.1319260358125206,0.10650960063246095,0.11116280680735831,0.11505415195694396,0.11863823386044187,0.3109754108952131,0.2685159999734631,0.32694006759955047,0.38596964241147536,0.13670046786237353,10.269578942017402
0.6000000000000001,0.005728871667274785,0.021290886412869615,0.00995999896003776,0.01293265283524061,0.04694231035713415,0.02712174894707428,0.0318202482428044,0.02027781636568839,0.021231074935754927,0.0894010769497202,0.05658973613469549,0.06516321952984482,0.04737519620404673,0.04914309483859399,0.03686811144024591,0.037522600512235486,0.16347914544108844,0.11326105229838335,0.13184526044255956,0.1065073186381262,0.1111597182529175,0.11505153137459406,0.11863440089516986,0.2962943194325415,0.2661690928346058,0.3208937647948436,0.36717930308655355,0.09948555164822921,10.057403899038022
0.65,0.005728805515820407,0.021288289004396527,0.009959998548870143,0.012932651854121766,0.04691040993600772,0.02712171322501786,0.03182016955846012,0.020277816327470673,0.021231074885661488,0.08914683129672059,0.05658825951711754,0.06516022040952864,0.04737518459177296,0.04914307998050077,0.03686811138405581,0.03752260044737242,0.16169242109636375,0.11321264084373105,0.1317428859105281,0.10650391978309004,0.11115512529394522,0.11504720151776059,0.11862812664808264,0.28118278836703753,0.263315415992887,0.31376549245120966,0.34744371804001617,0.07553580511233901,9.861328367752593
0.7000000000000001,0.005728734073560856,0.021285484204142016,0.00995999804367704,0.012932650619238673,0.04687598317020474,0.02712166828185009,0.03182007058225418,0.020277816271484023,0.021231074812279933,0.08887309777134189,0.05658640507369039,0.06515645677126901,0.04737516762174679,0.049143058271940016,0.03686811128863695,0.037522600337241516,0.15978596813989632,0.11315228753311518,0.13161571710017464,0.10649902057170531,0.11114851602441632,0.1150403834438318,0.11861834096541019,0.26579800595191144,0.2599247912923839,0.3055677562201833,0.3272399963119485,0.061052765546907126,9.675943379913223
0.75,0.005728657340798671,0.021282472104543315,0.00995999743036818,0.012932649090212134,0.04683903596460477,0.02712161265783933,0.03181994810988416,0.02027781619166101,0.021231074707660207,0.08858006986449099,0.05658411436113076,0.0651518115337277,0.04737514348998586,0.04914302740931511,0.036868111132634135,0.03752260015721352,0.15776482086847674,0.11307832304733915,0.1314604705998669,0.10649215581893987,0.11113927183669917,0.11503008528633062,0.11860370391435762,0.25029202429566805,0.25597716359780276,0.2963442199394172,0.30696147028003495,0.05296497055778056,9.49708911920501
0.8,0.005728575317858788,0.02127925280485623,0.009959996693815906,0.012932647223697363,0.0467995746528607,0.02712154478834897,0.03181979870920399,0.02027781608050264,0.021231074561977564,0.08826795427368693,0.05658132515008157,0.06514616038939512,0.0473751099792587,0.04914298456278399,0.03686811088586566,0.03752259987248875,0.15563427227865548,0.11298902178556072,0.13127380711814954,0.10648277197635676,0.1111266596182906,0.1150150868672202,0.11858259539823207,0.234809489859429,0.25146320773336234,0.2861667787794549,0.28691701663030506,0.048930724581152635,9.321842568527229
0.8500000000000001,0.005728488005088536,0.02127582641114902,0.009959995817856532,0.012932644973389428,0.046757605995562716,0.027121463004522568,0.031819618722240525,0.020277815928871706,0.021231074363262385,0.08793697066788393,0.05657797153774321,0.06513937210143293,0.047375064404057615,0.04914292630673292,0.03686811050668146,0.03752259943505817,0.15339985197569583,0.11288261438322489,0.13105236422962244,0.1064702214975764,0.11110982553359838,0.11499393235087818,0.11855311629470382,0.21948568047381353,0.24638452378990305,0.2751315113632869,0.2673394714342494,0.0472531392838861,9.148361541516584
