Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Sm_relativistic
0.0,0.01269686312163805,0.045225828144762205,0.02228071798044875,0.023851779092069408,0.10197726557517994,0.060058941797651574,0.06287046855465754,0.04115373772276747,0.04178905960934092,0.21707435572893768,0.1380930431563037,0.14486932839780373,0.11399104040700966,0.11577405152308301,0.11577405152308301,0.557321710109328,0.38592218004960316,0.4120556882243137,2.107858721755623,12.254383595311882
0.05,0.012696840149781839,0.045224879663196375,0.022280717976083636,0.023851779086864575,0.10196457357564473,0.06005894132848817,0.06287046796536423,0.04115373772275763,0.04178905960933012,0.216941020423148,0.1380930107232876,0.14486928710236882,0.11399104039500477,0.11577405150964594,0.11577405150964594,0.5552237225897152,0.3859165987617313,0.4120478715199171,2.0155599736207903,12.065253463058578
0.1,0.012696771234562722,0.04522203435056749,0.022280717939602197,0.023851779040023717,0.10192650759500846,0.060058937107229114,0.06287046266336625,0.04115373772243315,0.04178905960897381,0.21654153449078217,0.1380927192702407,0.14486891606753163,0.11399103999989457,0.11577405106744078,0.11577405106744078,0.5489806287578115,0.3858670261890967,0.4119785895867021,1.7640490160043667,11.548485992125196
0.15000000000000002,0.012696656377029237,0.04521729260304742,0.022280717800855075,0.02385177885788092,0.10186309767371673,0.0600589206985553,0.0628704420545138,0.04115373771973071,0.04178905960600629,0.2158774544890947,0.13809158854903253,0.14486747695811308,0.11399103672083219,0.11577404739806117,0.11577404739806117,0.5387428766156791,0.3856781845363909,0.41171552556744806,1.4174405884628316,10.831889890659848
0.2,0.012696495578928907,0.045210655080809486,0.0222807174429565,0.023851778384370213,0.10177439383433065,0.06005887806354452,0.06287038850921554,0.04115373770728943,0.04178905959234489,0.21495136338689957,0.13808865882917096,0.1448637495372303,0.11399102169898127,0.115774030591456,0.115774030591456,0.5247541584799859,0.3852015818871639,0.41105468322724426,1.0507396681201573,10.064843500533229
0.25,0.012696288842708186,0.04520212270785894,0.02228071670232899,0.023851777401091383,0.10166046601434797,0.06005878958953284,0.06287027740334715,0.041153737666589266,0.04178905954765429,0.21376685373822865,0.1380826018185158,0.14485604698772234,0.11399097286977423,0.1157739759749273,0.1157739759749273,0.5073413051162902,0.3842496672092855,0.40974276713479535,0.723521153699114,9.3657466041722
0.30000000000000004,0.012696036171512378,0.04519169667179555,0.022280715368765934,0.02385177562740205,0.10152140397233997,0.060058630131814644,0.06287007717536501,0.04115373755978724,0.04178905943038443,0.21232850435105335,0.13807173574638978,0.1448422370429443,0.11399084574520847,0.11577383382866852,0.11577383382866852,0.48690104419827646,0.38261325910690075,0.4075041418908427,0.4673988320111563,8.797069473586568
0.35000000000000003,0.012695737569185532,0.04517937842350867,0.022280713185511985,0.023851772720535975,0.10135731716759015,0.060058369067075804,0.0628697493994682,0.04115373731929394,0.041789059166329585,0.21064185067308533,0.13805404440749755,0.14481976861509938,0.11399056217782248,0.11577351687383344,0.11577351687383344,0.4638844311831588,0.38008031541117687,0.40406896098888617,0.28797448915533236,8.369368606391339
0.4,0.012695393040270323,0.04516516967680469,0.022280709849361226,0.02385176827574753,0.1011683346134738,0.06005797035842498,0.06286924887460701,0.04115373683514415,0.041789058634769366,0.20871334917505607,0.13802719991349832,0.14478570353050849,0.11398999753440679,0.11577288602635359,0.11577288602635359,0.43877986428696025,0.3764541027082444,0.3991991992240672,0.17442033745812768,8.060561608303574
0.45,0.012695002590007897,0.045149072407967165,0.022280705010773103,0.02385176182648226,0.10095460470486885,0.06005739263185889,0.06286852372909386,0.04115373594022713,0.04178905765226519,0.20655033606659468,0.13798858885185034,0.1447367529098362,0.11398896676745066,0.11577173497732085,0.11577173497732085,0.41209562472667877,0.3715690696762411,0.3927099358964283,0.1095190751248464,7.836095891569264
