Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(3),J_6s1/2(2),J_total_Ta_relativistic
0.0,0.010338089709315634,0.0367771063256499,0.017974845660172187,0.019833151417676293,0.08141720584072284,0.04772251320662767,0.050896383604595134,0.03294986328739027,0.033658353042392695,0.17090227072465075,0.10775299733419322,0.11547709819544981,0.0884520849601003,0.09041938675465229,0.08629497926102941,0.08778185389942372,0.4319435388342036,0.2931449211787239,0.3209859506923722,0.4192505301961233,1.607700875031181,11.347969592453422
0.05,0.01033807692529074,0.03677659241992701,0.01797484565799852,0.019833151415611365,0.08141067344521052,0.04772251305693169,0.05089638339805771,0.03294986328738829,0.03365835304239045,0.17083632416721672,0.10775298781772559,0.11547708473162235,0.08845208495811203,0.09041938675232337,0.08629497926099984,0.08778185389938527,0.4309582002002499,0.2931435310758545,0.3209837429635226,0.4192499128949409,1.564702257152676,11.259842131069608
0.1,0.010338038573351103,0.03677505075048483,0.01797484564328107,0.019833151397027744,0.08139107957976462,0.0477225117099182,0.05089638153959689,0.03294986328732313,0.03365835304231629,0.17063864605993856,0.10775290224909428,0.11547696368671058,0.08845208489260159,0.09041938667559536,0.08629497925722726,0.08778185389448522,0.4280166061919197,0.2931311123371368,0.320964052280392,0.4192313084509043,1.44322528575,11.010407216383815
0.15000000000000002,0.010337974653901872,0.03677248146049468,0.017974845591432566,0.019833151324762512,0.08135843420479445,0.04772250647301502,0.050896374314546286,0.03294986328678039,0.033658353041698556,0.17030972043691447,0.10775256996733178,0.11547649374678987,0.088452084348002,0.09041938603781814,0.08629497919071975,0.08778185380822803,0.42316165565714264,0.2930833738398468,0.3208885543794415,0.419095918102125,1.2634675582154735,10.639647220995602
0.2,0.010337885167618275,0.03676888478854815,0.017974845461481127,0.019833151136889455,0.08131275391143983,0.04772249286261495,0.05089635553805602,0.03294986328428105,0.0336583530388539,0.16985035182235175,0.107751707856635,0.11547527487042132,0.08845208184727367,0.09041938310971215,0.08629497866985124,0.08778185313401014,0.41646363805264963,0.2929613133333165,0.3206962294142216,0.41857450798196455,1.0523425734046676,10.200399355615698
0.25,0.010337770115445616,0.036764261068616216,0.017974845196080644,0.01983315074673706,0.08125406190727003,0.04772246461008877,0.05089631656447211,0.03294986327610176,0.03365835302954462,0.16926166194544418,0.1077499223137392,0.11547275148999439,0.08845207369382398,0.0904193735648672,0.08629497609866549,0.08778184981403185,0.408018469267005,0.2927133364091122,0.3203073938785295,0.41720639689988404,0.8365362284235289,9.744422446481666
0.30000000000000004,0.010337629498599246,0.03675861072999199,0.017974844721525298,0.019833150042913663,0.08118238799628803,0.04772241367018994,0.05089624630044401,0.032949863254628405,0.03365835300510518,0.1685450851687071,0.10774671197968404,0.11546821695125328,0.08845205238687533,0.09041934862845573,0.08629496671165503,0.0877818377291023,0.39794531655381954,0.2922780219591596,0.3196288758887414,0.4144307444074933,0.6371512641013551,9.311981137184658
0.35000000000000003,0.01033746331856454,0.03675193429721716,0.017974843947768195,0.01983314888933982,0.08109776855326521,0.047722330231837785,0.05089613122173677,0.0329498632062485,0.033658352950044226,0.16770236265700428,0.10774147121370042,0.11546081914927378,0.0884520046459404,0.09041929277285905,0.08629493901573196,0.08778180219508079,0.3863837011813466,0.29158735473988107,0.31855992668570204,0.40974021100100766,0.4672319249664209,8.92738044440246
0.4,0.010337271577096855,0.036744232389992144,0.017974842768444167,0.019833147125287783,0.08100024649243913,0.047722202731261876,0.050895955393717766,0.03294986310878914,0.03365835283913006,0.1667355353218964,0.10773349428098736,0.11544956730810867,0.0884519090888252,0.09041918101455473,0.08629486927738476,0.08778171306486618,0.37349018440881426,0.29057022254166714,0.31699842366378755,0.4028117340410475,0.3319862913672574,8.599827835942266
0.45,0.010337054276221504,0.0367355057230699,0.017974841060896682,0.019833144565428167,0.08088987123061425,0.04772201786748683,0.05089570049548115,0.03294986292850874,0.03365835263396935,0.1656469355830524,0.10772198022048401,0.1154333398409081,0.08845173361532598,0.09041897587595793,0.08629471393877788,0.08778151537243482,0.35943475400827063,0.28915596886028533,0.3148469260027129,0.39356236073172224,0.2306559984087414,8.327364144138583
0.5,0.010336811418233696,0.03672575510613352,0.01797483868620886,0.019833140999883734,0.08076669864471231,0.04772176062013291,0.05089534584756702,0.03294986261665236,0.033658352279090524,0.1644391779952374,0.1077060383534315,0.11541089321766825,0.08845143255534937,0.09041862408374177,0.08629440014900494,0.08778111785112448,0.3443970343967245,0.2872778013168648,0.312018188800707,0.3821302975765881,0.1588811824606726,8.101557748757799
0.55,0.010336543005698487,0.036714981443657625,0.017974835489238623,0.019833136194290283,0.08063079102382609,0.047721414269504166,0.05089486844322561,0.03294986210558168,0.033658351697544844,0.16311514879576827,0.1076846943886129,0.11538087175897535,0.08845094364543059,0.0904180530813111,0.08629381489535255,0.08778038002808958,0.3285624435350536,0.28487587928636937,0.3084398169750165,0.36881195256745536,0.11077151569292824,7.911474706323729
0.6000000000000001,0.01033624904145073,0.03670318573475354,0.017974831298657918,0.019833129889864645,0.08048221701583727,0.04772096041893236,0.050894242983170856,0.03294986130449216,0.03365835078603997,0.1616779944332657,0.10765689707570747,0.11534181826629042,0.08845018490145168,0.09041716743745136,0.08629279345951757,0.08777909886970116,0.3121184144456616,0.2818999380380839,0.3040578350113871,0.35398850703742246,0.08034874436346207,7.746355335326182
0.65,0.010335929528595,0.03669036907299831,0.01797482592699603,0.019833121803479722,0.08032105156866588,0.047720379019341334,0.05089344191376123,0.032949860094731186,0.03365834940962218,0.16013110914398163,0.10762152535423584,0.1152921853925419,0.0884490514577088,0.09041584523564712,0.08629110806715498,0.08777699608510578,0.29525078915727915,0.27831134727296286,0.2988390510528769,0.3380636342453875,0.0623546049314795,7.5970493965050245
0.7000000000000001,0.010335584470505527,0.036676532646247664,0.017974819170686964,0.01983311162774658,0.08014737586622526,0.047719648395992985,0.050892435468540095,0.032949858324732344,0.033658347395924985,0.1584781216469068,0.10757739594214341,0.11523034765112673,0.08844741244331782,0.09041393452914254,0.08628845762973947,0.08777370717605155,0.27814047898805744,0.274084545212562,0.2927721928609648,0.32142058997983136,0.05257456038664331,7.456535423634404
0.75,0.01033521387082612,0.03666167773643291,0.01797481081012089,0.01983309903110355,0.07996127725916331,0.04771874527737275,0.05089119171306173,0.03294985580458211,0.033658344529003445,0.15672288103323048,0.1075232713051957,0.11515461395691338,0.0884451079662946,0.09041124994552564,0.08628445940071787,0.08776877316816227,0.2609604683591387,0.2692078315974206,0.2858678800357785,0.3043980656913774,0.047858303658361745,7.319884661516374
0.8,0.010334817733470085,0.03664580571934184,0.01797480060969961,0.01983308365791228,0.07976284919047699,0.047717644826169144,0.050889676592923636,0.03294985230023658,0.03365834054277464,0.1548694419295063,0.1074578679460649,0.11506324058952538,0.0884419462735481,0.09040756952153538,0.0862786432050343,0.08776163570955625,0.24387322088408175,0.26368354097274804,0.278157565564946,0.28728034934456315,0.04598570722930329,7.183954307324298
