Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(3),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Tb_relativistic
0.0,0.011983663417694954,0.04264198846303804,0.02096589380294658,0.022612691219356336,0.09553313810709324,0.05618992194495823,0.05909143804985822,0.03854158352554056,0.03919545539054643,0.20266954802896067,0.1285788278463121,0.13565620384195723,0.10592766343806964,0.10778411488462927,0.12209050897410657,0.12527351026577246,0.5279346167706567,0.3651420564210345,0.39363309443408695,2.060195853802003,12.035762721537884
0.05,0.011983643960869721,0.04264119194016528,0.020965893799507685,0.022612691215375225,0.0955226653293144,0.05618992160808791,0.05909143761678392,0.038541583525534454,0.03919545539053966,0.20256055421106406,0.12857880498979607,0.13565617390141002,0.10592766343080671,0.1077841148763857,0.12209050894201941,0.1252735101817314,0.5261587952994622,0.36513779288101067,0.393626817198453,1.9745519275090566,11.860648856408986
0.1,0.011983585590660725,0.04263880247033447,0.02096589377184567,0.02261269117954705,0.09549125427445376,0.056189918577019785,0.059091433720179644,0.038541583525332934,0.03919545539031635,0.20223394517533866,0.1285785995536326,0.13565590483510231,0.10592766319168351,0.10778411460500073,0.12209050515494659,0.12527350051638056,0.5208699080096204,0.36509987787189074,0.3935711183385961,1.7401133600370142,11.380172822276112
0.15000000000000002,0.011983488307868054,0.04263482034988538,0.02096589366793043,0.022612691040226306,0.09543892676933821,0.05618990679414149,0.05909141857322068,0.038541583523654416,0.03919545538845639,0.20169083604332042,0.12857780229668594,0.13565486089650858,0.10592766120610796,0.10778411235185781,0.12209044587495069,0.1252733549136556,0.5121822128493778,0.36495516760312996,0.3933592639585228,1.4141047842020515,10.708437740992977
0.2,0.011983352113825166,0.042629246072642325,0.020965893401064778,0.022612690678033936,0.0953657191633587,0.05618987617595475,0.059091379215584224,0.038541583515926216,0.039195455379892906,0.20093307826096427,0.12857573566348257,0.13565215577356307,0.10592765210315672,0.10778410202425993,0.12209004730690853,0.1252724209910524,0.5002813144703788,0.3645889395157554,0.3928257465422518,1.0645327337612371,9.980931499750918
0.25,0.011983177010398844,0.042622080329801144,0.0209658928499139,0.022612689925902495,0.09527168228554199,0.056189812631829705,0.059091297539981755,0.03854158349064103,0.03919545535187545,0.19996324902624663,0.12857146049826668,0.13564656239597506,0.10592762248510365,0.10778406843016158,0.12208840851282206,0.12526878200511352,0.48541722065704784,0.36385483863704954,0.3917631652900458,0.7469754831508613,9.308175418449009
0.30000000000000004,0.011982962999989149,0.04261332400977111,0.020965891858546574,0.02261268856913935,0.09515688138455611,0.056189698090202946,0.05909115032921405,0.03854158342427897,0.03919545527834448,0.19878463661208184,0.12856378533439822,0.13563652648526037,0.1059275452841039,0.10778398089294453,0.12208355000885371,0.12525860253868312,0.4678951848882725,0.36258726964991855,0.38994277643025604,0.4927470597960023,8.752136196033394
0.35000000000000003,0.011982710085529338,0.04260297819797173,0.020965890236488156,0.022612686345507872,0.09502139605175415,0.05618951053216127,0.059090909303658894,0.03854158327481802,0.039195455112743374,0.1974012217070931,0.12855127815082185,0.13562018367095535,0.10592737283330776,0.10778378542649701,0.12207213184593696,0.12523607007685544,0.44806484293587817,0.3606149703271036,0.38713626968315695,0.3096045846950607,8.327731230826974
0.4,0.01198241827048579,0.04259104417658456,0.020965887758785273,0.022612682945326625,0.09486532012739071,0.056189224032337004,0.05909054117907632,0.03854158297386216,0.039195454779300996,0.19581765492934558,0.12853228045922513,0.1355953799512001,0.10592702888203298,0.10778339574013662,0.12204952415123838,0.12519402815199532,0.4263082239751447,0.3577744665054905,0.3831363787617426,0.18958739463059351,8.018594540983772
0.45,0.011982087558857893,0.04257752342426009,0.02096588416608222,0.022612678011586427,0.0946887615901741,0.056188808807024704,0.05909000773459131,0.03854158241742256,0.0391954541628253,0.19403923069893628,0.1285049235594353,0.1355596952343137,0.10592639981925257,0.10778268338277192,0.12201020027773869,0.125124955925,0.40302724593553346,0.35392223186167865,0.37777431503412495,0.11784750492438535,7.794812012772917
0.5,0.011981717955177934,0.04256241761577982,0.02096587916470903,0.022612671140085323,0.09449184243034656,0.05618823126941323,0.05908926589068958,0.03854158145539326,0.039195453097054994,0.19207185768399887,0.12846714677694934,0.1355104696607884,0.10592532539550698,0.10778146736488162,0.12194828090279719,0.12502186118580133,0.3786312914729562,0.3489446230537924,0.3709326205925219,0.07900852075079726,7.62569158463359
0.55,0.011981309464510963,0.04254572862167365,0.020965872426781156,0.022612661879581313,0.09427469850651275,0.056187454091811716,0.05908826779703801,0.03854157987976884,0.03919545135162315,0.1899220260609205,0.12841671747557498,0.13544483237287055,0.10592358924972416,0.1077795036145943,0.12185804709320978,0.12487884263472222,0.3535254095712344,0.34276498324465293,0.3625527414876377,0.060390339616291935,7.486238309087143
0.6000000000000001,0.011980862092454643,0.0425274585077927,0.020965863590310743,0.02261264973196284,0.0940374793864648,0.056186436274732736,0.059086960929918136,0.03854157741165687,0.039195448617693,0.18759677185310472,0.12835125262025512,0.13535973237202692,0.1059209095539911,0.10777647463002901,0.12173431358825901,0.12469129945492938,0.3280996059510215,0.3353476516542254,0.3526373009710613,0.05290380846601836,7.358942224055904
0.65,0.011980375845139083,0.04250760953483777,0.020965852259329447,0.022612634152436896,0.09378034817227897,0.05618513322268139,0.05908528819903827,0.038541573687143664,0.03919544449233214,0.18510363863322377,0.12826824165047204,0.13525197108346868,0.10591693008609732,0.10777197968421713,0.12157263655650412,0.12445588797523706,0.3027195826293478,0.32669893643767745,0.3412476120962549,0.05069760178420287,7.23304670588017
0.7000000000000001,0.011979850729226665,0.04248618415784352,0.020965838004022724,0.022612614549734702,0.09350348130998602,0.05618349682648452,0.05908318806346809,0.03854156824207686,0.039195438461697464,0.18245063689139404,0.12816507041333763,0.1351182362317483,0.10591121202704892,0.10776552592191667,0.12136938283198921,0.12417034673446437,0.2777191732627217,0.3168653681515227,0.3284973549947781,0.05036204297110512,7.1029121053677216
0.75,0.011979286751911842,0.04246318502561861,0.020965820360875544,0.02261259028633483,0.09320706838414278,0.056181475551980435,0.05908059465641818,0.03854156049583312,0.039195429883108236,0.17964620138593812,0.1280390458976694,0.1349551366223683,0.10590322675943686,0.10775652066039097,0.12112170632465975,0.12383328209883195,0.2533946060252339,0.3059297320453457,0.3145435429112279,0.050127646914942196,6.966356531119243
0.8,0.011978683920920927,0.04243861498014203,0.020965798832829473,0.022612560678703684,0.09289131189765744,0.05617901453487636,0.05907743791856692,0.03854154973414402,0.0391954179660902,0.17669914680426854,0.12788742150606425,0.1347592374213405,0.10589234991352228,0.10774426517003594,0.12082747434856944,0.12344396742220343,0.23000061810989708,0.2940054749576239,0.29957593115403774,0.049229678619247964,6.8233226427831
0.8500000000000001,0.011978042244511865,0.042412477055915734,0.02096577288945105,0.022612524997553212,0.09255642703724562,0.05617605568156768,0.05907364373961761,0.03854153509105708,0.039195401752478036,0.1736186220688914,0.12770742260118895,0.1345270955275871,0.10587785687238906,0.10772795016714691,0.12048517501718502,0.12300217821637717,0.20774835197901356,0.2812301041565682,0.2838059230263923,0.04746574927983218,6.674930063276749
