Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(2),J_7s1/2(2),J_total_Th_relativistic
0.0,0.007667909781321337,0.02761304711053221,0.013264402986802083,0.015635231832966456,0.06057426357252608,0.03523757985798578,0.03909384518554668,0.02507050639789937,0.025901684175588573,0.1206466980330608,0.07553601355842147,0.08341820551521333,0.061602902141843635,0.06337820124121805,0.04961652292394068,0.05031733987673319,0.24939166846296262,0.16371310728231378,0.18188674704803606,0.15326203932318952,0.15817359747587223,0.5746912059116143,0.40116233992133726,0.4599649657196195,0.6178752201375426,1.9601790089972422,14.879801457798166
0.05,0.007667904168974807,0.027612826052055693,0.013264402984867044,0.015635231832331824,0.06057154963383809,0.03523757982476659,0.0390938451298087,0.02507050639789909,0.025901684175588236,0.12062289061808348,0.07553601195533292,0.08341820288078008,0.06160290214171575,0.06337820124106289,0.04961652292394066,0.050317339876733175,0.24917955423231322,0.16371303054917177,0.1818866170898244,0.1532620392463879,0.15817359737946696,0.5722400362509119,0.40115565401481257,0.459951549800422,0.6178703967311678,1.881248589592376,14.716483184628242
0.1,0.007667887331971453,0.027612162888459163,0.013264402977130023,0.01563523182662029,0.06056340858724069,0.035237579525823584,0.03909384462822645,0.025070506397889915,0.025901684175577092,0.12055149795963938,0.07553599753411713,0.08341817918352486,0.061602902137498194,0.06337820123594576,0.049616522923938915,0.050317339876731204,0.24854434556674376,0.1637123413710304,0.1818854504463544,0.15326203672232977,0.15817359421207738,0.564952794774718,0.40109627132855746,0.45983295192965035,0.617731616019512,1.6644949720876725,14.266093703292693
0.15000000000000002,0.007667859270419984,0.0276110576552405,0.013264402957795577,0.01563523180440961,0.06054984274076488,0.03523757836344633,0.039093842677992624,0.02507050639781349,0.025901684175484236,0.12043260875717425,0.07553594149051777,0.08341808710473886,0.061602902102386635,0.06337820119334747,0.04961652292390765,0.05031733987669588,0.24748943466604428,0.16370966988539684,0.18188093164300545,0.15326201582190832,0.15817356799653462,0.5530252662055816,0.40087006875293063,0.4593844755704223,0.6167867381371134,1.3612641937536472,13.629239874512066
0.2,0.00766781998450158,0.02760951041155892,0.013264402917205579,0.015635231746665024,0.06053085593990009,0.03523757534193709,0.03909383760875352,0.025070506397461546,0.025901684175056547,0.12026637064321268,0.07553579592263565,0.08341784799014412,0.06160290194083922,0.06337820099736875,0.04961652292365746,0.05031733987641322,0.246020442388432,0.16370275644181448,0.181869250669042,0.15326192037058875,0.15817344834663713,0.5367739020673912,0.4002992273471665,0.4582644805133009,0.6134422588717158,1.0334931321607554,12.92550986749126
0.25,0.00766776947446989,0.027607521240229103,0.013264402841840611,0.015635231626742695,0.06050645356575185,0.03523756906833982,0.03909382708409574,0.025070506396309554,0.025901684173656517,0.12005298988413883,0.07553549398830474,0.0834173521642388,0.06160290141276641,0.06337820035680905,0.04961652292238829,0.05031733987497945,0.24414516946701442,0.16368848634720368,0.1818451755162126,0.1532616113481432,0.15817306129751613,0.5166217275524139,0.3991592958450718,0.45605820824449,0.6054992972926876,0.7330638511723839,12.252994842153752
0.30000000000000004,0.007667707740651028,0.027605090247712974,0.013264402714321935,0.01563523141039455,0.06047664253246425,0.03523755775345988,0.03909380810362531,0.025070506393284304,0.025901684169979785,0.11979273096250417,0.0755349501245887,0.08341645936836682,0.06160290002837565,0.06337819867773015,0.04961652291759856,0.05031733986956915,0.2418735290626286,0.16366293764893386,0.18180215150149345,0.1532608108133696,0.1581720596398046,0.4930799278594322,0.3972002852779059,0.45232938888870794,0.5910712226159832,0.49051953322200376,11.667767572942882
0.35000000000000003,0.0076676347834435665,0.027602217564109126,0.013264402513414014,0.01563523105577449,0.060441431283909094,0.035237539213173595,0.039093777005637126,0.02507050638646576,0.025901684161692844,0.11948591604207066,0.0755340603285729,0.08341499932051233,0.06160289691463893,0.06337819490174318,0.04961652290290591,0.05031733985297499,0.23921746148566764,0.16362144111828564,0.18173242521711583,0.15325903566457721,0.15816984116413776,0.466726284947834,0.3941695065688048,0.44667227580214225,0.5693732182917088,0.31474923291989987,11.185041461195922
0.4,0.007667550603318534,0.027598903343139913,0.013264402214027603,0.015635230513445966,0.060400829789644075,0.035237510870026516,0.03909372947037195,0.0250705063727238,0.02590168414499168,0.1191329243171355,0.07553270249839744,0.08341277239426752,0.061602890654612996,0.06337818731159138,0.04961652286422652,0.05031733980929629,0.23619083213327913,0.16355865138993242,0.1816271904381468,0.1532555251493268,0.15816545999083528,0.4381817820441085,0.3898338213723637,0.43875736458486897,0.54090057936483,0.19944889027052007,10.792629443076747
0.45,0.007667455200819407,0.027595147762136195,0.013264401787223391,0.015635229726390972,0.06035484954014279,0.035237469755119016,0.03909366052385751,0.025070506347290418,0.02590168411408213,0.1187341912480146,0.07553073683325316,0.0834095504138856,0.06160287910109183,0.06337817330591877,0.04961652277366981,0.050317339707052544,0.23280931388473666,0.16346862802894246,0.18147675287751588,0.15324916641543881,0.15815753661095577,0.40808673022416,0.38399922963707867,0.4283657121913179,0.5070801446204745,0.13106077878757527,10.466254203490687
