Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(1),J_total_Tl_relativistic
0.0,0.008972038787882573,0.03203078424432429,0.015543084435598497,0.01763055979592698,0.07044658742688366,0.04115370170980961,0.04463018483240646,0.028745924473119154,0.029511549774220637,0.14415121233025685,0.09052318127132626,0.09829139284281356,0.07373445958994822,0.07558799514308141,0.06290948859505675,0.06376553884648116,0.32948598233475135,0.21933532756848448,0.24319648550392695,0.24020153871291383,0.2519942491504147,1.1714872427415977,1.0589827827046463,11.321107258159188
0.05,0.00897203018120113,0.03203044242277095,0.01554308443377879,0.01763055979477738,0.07044233450161329,0.041153701638078403,0.0446301847248528,0.02874592447311841,0.02951154977421977,0.1441111599192276,0.09052317730941717,0.09829138686368016,0.07373445958945495,0.07558799514249485,0.06290948859505649,0.06376553884648085,0.32902271853398407,0.21933499564673148,0.24319592422910355,0.24020153413909578,0.25199424198350195,1.1538549029203247,1.0580857557313665,11.28392670974544
0.1,0.008972004361228315,0.03202941698240862,0.015543084424239672,0.017630559784431277,0.07042957735156502,0.04115370099258828,0.04463018375701999,0.02874592447309399,0.029511549774191154,0.14399107301886302,0.09052314167523305,0.09829133309213554,0.07373445957319323,0.07558799512315864,0.06290948859502316,0.06376553884644247,0.32763707558703026,0.21933202022148193,0.2431908979563815,0.24020138616162343,0.2519940109009142,1.1027473732735857,1.0508407760126266,11.171399268111852
0.15000000000000002,0.008971961328178686,0.03202770799612716,0.015543084394741955,0.01763055974419837,0.07040832085297545,0.04115369848287877,0.044630179994142954,0.028745924472890566,0.02951154977395276,0.14379116242348108,0.09052300323746926,0.09829112422873938,0.07373445943788669,0.07558799496228341,0.06290948859442748,0.06376553884575664,0.32534143588523234,0.21932052120669135,0.24317150410956007,0.24020018993596925,0.25199215251895635,1.0231968478352058,1.0269206153985064,10.983223296241793
0.2,0.008971901082409832,0.032025315585399054,0.015543084324889617,0.0176305596396001,0.0703785731294003,0.041153691959612215,0.044630170214113564,0.028745924471953732,0.029511549772854827,0.14351177877829438,0.09052264382353457,0.0982905821163979,0.07373445881581364,0.07558799422273989,0.06290948858967685,0.06376553884028818,0.32215622825332324,0.21929089265445192,0.2431216486053824,0.2401949029455495,0.25198399612525646,0.9225677351983173,0.9774060011612794,10.72512516096126
0.25,0.008971823624422367,0.032022239920263394,0.015543084186133744,0.017630559422377574,0.07034034554645996,0.04115367841671666,0.04463014991122759,0.02874592446888743,0.029511549769261215,0.14315341156441955,0.0905218987867036,0.09828945874865772,0.07373445678434778,0.07558799180800521,0.06290948856568067,0.06376553881267398,0.31810962013842575,0.21923008673730499,0.24301964161717526,0.2401784886398725,0.25195889524405574,0.8093263582336216,0.9002771988541156,10.411868874356653
0.30000000000000004,0.008971728954859922,0.032018481219303584,0.015543083941778044,0.017630559030502653,0.07029365270449031,0.04115365399438234,0.04463011330142315,0.028745924460835886,0.02951154975982512,0.1427166876838438,0.09052055779570167,0.09828743767202479,0.07373445146513585,0.07558798548636392,0.06290948847559762,0.06376553870904456,0.31323709637509584,0.21912199705757326,0.24283899375335452,0.24013807331452208,0.2518977373643275,0.6918016596079137,0.8011022552684166,10.065446542118538
0.35000000000000003,0.008971617074509136,0.03201403974961859,0.015543083546985937,0.017630558388192195,0.07023851242910575,0.04115361398290827,0.044630053329003626,0.02874592444269147,0.02951154973856099,0.1422023696502607,0.09051836584233147,0.09828413577311022,0.07373443951863197,0.07558797129150673,0.06290948820098609,0.0637655383932674,0.30758093386028945,0.21894792782581288,0.24254937749285885,0.24005360672480822,0.25177144400061413,0.5771966967112004,0.689931316381448,9.709985046940828
0.4,0.008971487984299637,0.03200891582678787,0.015543082948789219,0.017630557405925465,0.07017494575968347,0.041153552827394364,0.04462996167483568,0.02874592440613048,0.02951154969571496,0.14161135339331904,0.09051502446154985,0.09827910543890847,0.07373441554120051,0.07558794280852434,0.0629094874832609,0.06376553756834209,0.30118958363271703,0.21868713270341167,0.24211771233516494,0.23989738279040798,0.2515409377339323,0.47099179013359155,0.5773055588583174,9.36656334344703
0.45,0.00897134168530403,0.032003109814829914,0.015543082086098284,0.017630555980464688,0.0701029769357798,0.041153464133273594,0.044629828766011306,0.0287459243384791,0.029511549616436643,0.14094466568541622,0.09051019315724185,0.09827183707611618,0.07373437137338758,0.0755878903560111,0.06290948581664108,0.06376553565381984,0.2941169736614101,0.2183174050872505,0.24150932808520328,0.23963457150000636,0.2511586631004693,0.3767512616468798,0.47151674801939736,9.050101182852945
0.5,0.008971178178737872,0.031996622126154416,0.015543080889713932,0.01763055399487876,0.07002263338149174,0.04115334067267755,0.04462964378696049,0.028745924221412342,0.02951154947925566,0.1402034612017045,0.09050349102582525,0.0982617619731188,0.0737342953292272,0.07558780007655116,0.06290948229270875,0.0637655316081315,0.28642174706135326,0.2178157003946597,0.24068915913223116,0.2392246998311657,0.2505713930263172,0.2962518860679364,0.3776355377112684,8.768671574901804
0.55,0.008970997465959656,0.031989453221508146,0.015543079282340718,0.017630551318570085,0.06993394568777833,0.0411531743916281,0.04462939469199955,0.02874592402948903,0.029511549254366682,0.139389019225454,0.09049449856876038,0.0982482554861266,0.07373417135757447,0.07558765294923345,0.06290947538730239,0.06376552368550184,0.27816645143841723,0.2171587705070905,0.23962292345274175,0.23862385122408494,0.24972382194106996,0.229809776527148,0.29780071133867014,8.524478516889035
0.6000000000000001,0.008970799548470784,0.031981603609914463,0.015543077178601886,0.01763054780730456,0.06983694759275873,0.04115295641804652,0.04462906821929775,0.028745923728526458,0.029511548901727334,0.13850274001232454,0.09048275968404364,0.09823064052894885,0.07373397814742846,0.07558742373901434,0.06290946268171442,0.06376550911866703,0.2694166956067497,0.21632379092936646,0.23827824316894508,0.23778725938372516,0.24856237159754835,0.17668617940871312,0.2320495258775397,8.315536184261585
0.65,0.008970584427915537,0.03197307384860649,0.015543074485055841,0.01763054330324467,0.06973167596000561,0.04115267707057077,0.04462864990624332,0.02874592327381857,0.029511548368973746,0.13754614082842934,0.09046778382583583,0.09820819134406861,0.07373368819001228,0.07558707989870127,0.06290944051199364,0.06376548372082053,0.26024029002084825,0.2152889623563023,0.23662566849354524,0.23667195652492284,0.24703869486192417,0.1354825200743194,0.17918367558626985,8.137360177141593
0.7000000000000001,0.00897035210608105,0.03196386454295401,0.01554307110021419,0.0176305376349857,0.06961817075485453,0.04115232586817055,0.04462812410618793,0.028745922608202013,0.029511547589158974,0.1365208516783232,0.09044904832052408,0.09818013753103642,0.07373326681100419,0.0755865804400556,0.06290940354247422,0.06376544140297208,0.2507063869388981,0.21403407011427975,0.23463957336085825,0.2352391826866935,0.24511250602039966,0.10447216761534928,0.1374422553982077,7.984333609209685
0.75,0.008970102584897274,0.03195397634638406,0.01554306691456131,0.017630530617595057,0.06949647501875149,0.04115189154054886,0.044627474006546715,0.028745921659974673,0.029511546478319987,0.13542861074020687,0.0904260008267435,0.09814566830674878,0.07373267118675775,0.0755858747910012,0.06290934426234893,0.0637653736060735,0.24088463561478252,0.21254098724072876,0.23229889850165847,0.2334563460919353,0.24275353835744454,0.08184842238759109,0.10493878843963608,7.85066198053817
0.8,0.008969835866436949,0.03194340996029525,0.015543061810575489,0.017630522052654675,0.06936663484166299,0.04115136203931787,0.04462668164822943,0.028745920340671798,0.029511544932879347,0.13427125952670357,0.09039806192619744,0.09810393697092756,0.07373184935860473,0.0755849016561718,0.06290925240703998,0.06376526865067761,0.2308443667465463,0.21079410964145293,0.2295877256684195,0.23129841930702402,0.2399425876862534,0.06589009067480205,0.07990362500431386,7.73096010175791
0.8500000000000001,0.008969551952915562,0.031932166133965816,0.015543055662751583,0.01763051172830651,0.06922869933257464,0.04115072454993614,0.0446257279463763,0.02874591854270501,0.02951154282688808,0.1330507377905289,0.0903646278315162,0.09805406554907688,0.07373073925940266,0.0755835878980356,0.06290911430915438,0.06376511101038387,0.2206538190415278,0.20878071467917103,0.22649567468565904,0.2287487426520837,0.23667171944916385,0.05505773649945393,0.0607933313955802,7.620559194781227
