Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(7),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Tm_relativistic
0.0,0.011119291839431951,0.039542320835180986,0.019386500858427583,0.02113704017787206,0.08798664553522745,0.05166103260083587,0.05469379709159963,0.03552729860967483,0.036207847395094986,0.1861552649365723,0.11770850143998345,0.1252261187540375,0.096973929703932,0.09894051068156262,0.10922793957659492,0.11295588352207182,0.4936291055177534,0.341035404632369,0.3729249497742507,1.9936086386744065,11.766546920759863
0.05,0.011119276126467976,0.039541683966358834,0.019386500855786654,0.021137040175033546,0.08797842901342955,0.05166103237889836,0.05469379679646679,0.03552729860967144,0.036207847395091176,0.1860704243366895,0.1177084866265371,0.12522609852515312,0.09697392969995587,0.09894051067695668,0.10922793955674791,0.11295588342983084,0.4921851559733751,0.34103234450757464,0.372920096044463,1.9164218530024895,11.60907238275978
0.1,0.01111922898776457,0.03953977342801979,0.019386500836034323,0.021137040149488057,0.08795378431128678,0.05166103038189061,0.05469379414089223,0.03552729860955942,0.03620784739496543,0.18581614842228403,0.11770835345432788,0.1252259166960598,0.09697392956900018,0.09894051052527165,0.10922793721023587,0.11295587298757755,0.48788067841543176,0.3410050943700176,0.3728769773610469,1.7038864055019998,11.17460270401818
0.15000000000000002,0.011119150423887291,0.03953658942453261,0.01938650076368542,0.02113704005015136,0.08791272601366415,0.05166102261831996,0.054693783817451436,0.03552729860862638,0.03620784739391796,0.1853931736543957,0.11770783646985054,0.12522521099097664,0.09697392848100404,0.09894050926523172,0.10922790038361165,0.11295571927463786,0.4807968684716485,0.3409008686397694,0.37271267108275746,1.4048701091885851,10.56059700063958
0.2,0.011119040435778719,0.039532132296467085,0.01938650057960953,0.021137039791901808,0.0878552784123842,0.05166100244267131,0.05469375699077575,0.03552729860433004,0.03620784738909479,0.1848027234943188,0.11770649571693502,0.1252233814424165,0.09697392348926073,0.09894050348527669,0.1092276519686749,0.11295476051552325,0.4710660408577682,0.34063629575570537,0.37229780382243877,1.0786572863094028,9.885197749833518
0.25,0.011118899024758426,0.039526402520526825,0.019386500201048252,0.021137039255608413,0.08778147548182386,0.051660960565852496,0.05469370131303816,0.035527298590271365,0.03620784737331245,0.1840465024727004,0.117703720410639,0.12521959608415498,0.09697390723175492,0.09894048466542944,0.10922662664399527,0.11295114035646135,0.45886727453255993,0.34010384921094133,0.3714686802913298,0.7754988562446596,9.248377506987303
0.30000000000000004,0.011118726192522953,0.03951940070945519,0.01938649952163939,0.021137038288170186,0.08769136084480056,0.05166088506979049,0.0546936009455883,0.035527298553367496,0.03620784733188505,0.18312668794548703,0.1176987340298045,0.12521279883156167,0.09697386480413345,0.09894043556618067,0.10922357392401486,0.11294134630939646,0.44442062796616466,0.33917996471348993,0.3700422151408761,0.5258205260770665,8.71041465749349
0.35000000000000003,0.01111852194114576,0.03951112761191441,0.019386498411448027,0.021137036702566638,0.08758498772879857,0.05166076142615113,0.05469343658669173,0.035527298470235544,0.03620784723856607,0.18204591959522817,0.11769060077816812,0.12520171946104497,0.09697376989221165,0.09894032577060832,0.10921636696903829,0.11292038772261169,0.4279802092379677,0.33773409690967165,0.36783201428580525,0.3396506022160367,8.29081770723484
0.4,0.011118286273077168,0.03950158411233788,0.01938649671700448,0.021137034277919485,0.08746241891260002,0.05166057251914754,0.05469318550531607,0.03552729830280065,0.03620784705062075,0.18080728675196872,0.11767823335070064,0.12518488557736557,0.09697358027259234,0.09894010651067497,0.10920203026768122,0.1128825455340397,0.40982643102194566,0.3356379282281421,0.36466395036228133,0.21243360494262167,7.980023144564333
0.45,0.011118019191144305,0.03949077123075578,0.01938649426134912,0.021137030759565505,0.08732372666339995,0.051660298672394744,0.0546928215808938,0.035527297993145183,0.03620784670304831,0.17941431362296145,0.11766040192944054,0.12516063643618233,0.09697323280753561,0.09893970492944314,0.109176974562523,0.11282226111382038,0.3902578037550116,0.3327739898144396,0.3603897915073119,0.13233631321524228,7.754070494017646
