Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(8),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(4),J_6d5/2(6),J_7s1/2(2),J_7p1/2(2),J_7p3/2(3),J_total_Ts_relativistic
0.0,0.004557544872912326,0.017689242555510357,0.007997224838840645,0.011505084094103005,0.039797908612224285,0.022613420174153097,0.028083725885982423,0.017831472274479346,0.018871723869837275,0.07584474312357804,0.04692011898889816,0.056395794412190337,0.04072329201395211,0.042537153764244745,0.031456408324237704,0.03211872697269254,0.14014339430309952,0.09066471820203574,0.10953146975630608,0.0861987345310499,0.0902934583002547,0.08153078530790042,0.0834793906828951,0.28690381914999374,0.1916777260216329,0.24358444987665373,0.22410332236208286,0.24114213008043453,0.7614141099646974,0.5725023348087515,0.9796038005466727,14.68786829282603
0.05,0.004557543335237619,0.01768918153364607,0.007997224834990123,0.01150508409396114,0.0397971371910568,0.022613420170380046,0.02808372587509401,0.01783147227447932,0.01887172386983724,0.0758386803442872,0.04692011883838462,0.05639579402952449,0.04072329201394561,0.04253715376423603,0.031456408324237704,0.03211872697269254,0.14010234358774473,0.09066471384742907,0.10953145845528597,0.08619873452977914,0.0902934582984908,0.08153078530789966,0.08347939068289414,0.2865659414515206,0.19167754805402745,0.24358386945633917,0.2241033209486349,0.24114212750644115,0.7559161942100149,0.5724571615569622,0.9789772304091345,14.674127999518491
0.1,0.004557538722218402,0.017688998469491957,0.007997224823235859,0.011505084092684373,0.03979482302230834,0.022613420136544698,0.028083725777104312,0.017831472274478476,0.01887172386983608,0.07582049505061947,0.04692011748472532,0.05639579058636055,0.04072329201373119,0.04253715376394843,0.03145640832423769,0.03211872697269252,0.1399792672007614,0.09066467468083231,0.10953135684099653,0.08619873448789224,0.09029345824035556,0.08153078530780221,0.08347939068277065,0.28555481450778286,0.1916759509604425,0.24357867041895404,0.2241032748105389,0.24114204370271497,0.7396816351748775,0.5720637482099581,0.9738436627770337,14.623136390926735
0.15000000000000002,0.004557531033869387,0.017688693367364203,0.007997224802969782,0.011505084087719272,0.039790966390221144,0.022613420005105467,0.028083725396070017,0.0178314722744715,0.018871723869826437,0.07579019637272769,0.04692011222269515,0.05639577720134064,0.0407232920119451,0.04253715376155285,0.03145640832423742,0.0321187269726922,0.13977439219798074,0.0906645225180771,0.10953096225341283,0.08619873413945707,0.09029345775684772,0.08153078530606075,0.08347939068056422,0.2838779267048896,0.1916697681202518,0.24355860205938207,0.22410289673974118,0.24114135970630332,0.7134663253380857,0.5706098432934104,0.9565342744767389,14.511937126394695
0.2,0.004557520270215095,0.017688266234456237,0.00799722477317848,0.011505084074810401,0.039785567768466375,0.02261341966351636,0.02808372440551918,0.01783147227443947,0.018871723869782,0.07574779951933121,0.046920098547353864,0.05639574241933116,0.04072329200372065,0.04253715375052231,0.03145640832423524,0.032118726972689624,0.1394880962686486,0.0906641274654314,0.1095299385010003,0.08619873253807887,0.09029345553525009,0.08153078529216942,0.08347939066297005,0.2815476589700011,0.19165379777000285,0.2435069835304965,0.22410119471576168,0.24113829706762935,0.6784606334336899,0.5670948686564442,0.9196675170213507,14.318697251720964
0.25,0.004557506431289851,0.017687717080838404,0.007997224732443272,0.011505084048000757,0.039778627820045334,0.02261341895426195,0.028083722348601525,0.017831472274334754,0.01887172386963651,0.07569332576542262,0.04692007015969291,0.0563956702320878,0.04072329197680764,0.04253715371442898,0.03145640832422415,0.03211872697267654,0.13912090663286153,0.09066330853712481,0.10952781821055664,0.08619872731091675,0.09029344828597857,0.08153078522198398,0.08347939057411684,0.2785811369819385,0.19162091493961506,0.24340129180666117,0.22409578544968772,0.24112863075243557,0.6361944743828514,0.5604529582395144,0.8602056894819321,14.03512554577869
0.30000000000000004,0.004557489517137791,0.01768704591945753,0.00799722467894029,0.011505083999632359,0.03977014739715117,0.02261341767490632,0.028083718638298737,0.017831472274059915,0.01887172386925434,0.07562680243507676,0.04692001897452975,0.05639554010712804,0.04072329190615969,0.04253715361968916,0.03145640832418219,0.03211872697262702,0.13867349850425004,0.09066183451530471,0.10952400609128142,0.08619871363171674,0.09029342932276616,0.08153078495842128,0.08347939024063881,0.2750000277939376,0.19156222428617656,0.24321395073667554,0.22408208653690442,0.2411043558357678,0.5884211865136755,0.5497739614256714,0.7806799215380078,13.670349052860493
0.35000000000000003,0.0045574695278128565,0.017686252766136324,0.007997224610440607,0.011505083920347025,0.03976012754099115,0.022613415578155927,0.028083712557694672,0.017831472273440587,0.018871723868392743,0.07554826287938161,0.04691993513063856,0.05639532702475277,0.04072329174700947,0.04253715340628541,0.03145640832405306,0.03211872697247464,0.13814669312414185,0.09065942504787954,0.1095177830876634,0.08619868292993281,0.09029338678220573,0.08153078415467525,0.08347938922435676,0.270830284298863,0.19146725009402515,0.24291328926549283,0.2240525107307626,0.241052457998867,0.5369934148509702,0.5344719085038279,0.6877110062450777,13.246557377571673
0.4,0.004557446463378796,0.017685337639572696,0.007997224524310368,0.01150508379908732,0.039748569481569546,0.022613412371936453,0.028083703260305303,0.017831472272192398,0.01887172386665578,0.07545774644951626,0.046919807003103,0.056395001523142446,0.040723291426457524,0.04253715297650297,0.03145640832371183,0.03211872697207202,0.1375414553751604,0.09065575197845861,0.10950831138893682,0.0861986213574072,0.09029330151530705,0.08153078205312629,0.08347938656912597,0.26610184181118945,0.19132415884512854,0.24246463072358487,0.22399578523826702,0.24095401817197096,0.48374381348892187,0.5143726200342744,0.5893926662715039,12.79108520347831
0.45,0.004557420323909164,0.017684300561338902,0.00799722441751097,0.011505083623097661,0.03973547463743124,0.022613407719483506,0.028083689770468233,0.017831472269881937,0.018871723863439972,0.07535529846500641,0.04691962121787354,0.056394529751436544,0.04072329083360577,0.04253715218172573,0.03145640832290954,0.032118726971125416,0.1368588909838949,0.0906504409013883,0.10949464025633039,0.08619850803813713,0.09029314468977528,0.08153077717088046,0.08347938040593725,0.2608482717876336,0.19112000903910045,0.24183147082941542,0.22389650107905337,0.24078382400335221,0.4303812351793508,0.48971763476098007,0.4930413004319503,12.329462147500363
