Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(7),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Yb_relativistic
0.0,0.01091681851280544,0.03882160386473414,0.019018827386766635,0.020795839408437097,0.08625919273039907,0.05062442094518854,0.05369188102665391,0.034844211366336,0.035531695715497434,0.18240772561950636,0.1152473940955371,0.12287926508289902,0.09498094671330819,0.09697621248725008,0.1065981688727109,0.11053770211080449,0.48566306855211205,0.3354673515060438,0.3682641911140917,1.9705595347484532,11.58019759199838
0.05,0.010916803599119881,0.03882100075717136,0.01901882738426818,0.020795839405820596,0.08625144330216439,0.0506244207444822,0.05369188075734749,0.03484421136633305,0.03553169571549411,0.18232783079179748,0.11524738074359775,0.12287924664741863,0.09498094670985693,0.0969762124832306,0.10659816885367743,0.11053770199986905,0.4842894586530907,0.33546452572530694,0.3682596175887699,1.8960147932410751,11.42816031609983
0.1,0.010916758858236439,0.0388191914967211,0.019018827365995895,0.02079583938227309,0.08622819942999133,0.050624418938499526,0.053691878334135724,0.03484421136623561,0.03553169571538435,0.18208836888670282,0.11524726070488668,0.12287908093096225,0.09498094659617957,0.09697621235084923,0.10659816660596584,0.11053768955644368,0.48019382595705323,0.3354393547667836,0.36821897763636197,1.6903707223175868,11.00793786935781
0.15000000000000002,0.010916684290674822,0.038816176270085725,0.019018827299622065,0.0207958392907056,0.08618947434720756,0.05062441191746726,0.053691868913870296,0.034844211365423976,0.03553169571447006,0.18169000659865317,0.1152467946727482,0.12287843771545416,0.09498094565162438,0.09697621125103621,0.1065981313910431,0.11053750882620297,0.4734509429060427,0.33534303587354686,0.3680640543715198,1.3999825393814307,10.411978008272069
0.2,0.010916579897301193,0.03881195538839637,0.019018827131277272,0.020795839052653177,0.08613529009514745,0.05062439367115249,0.053691844433729,0.034844211361686625,0.03553169571026004,0.18113385162661688,0.11524558593673356,0.1228767699996616,0.09498094131729588,0.09697620620525252,0.10659789435735573,0.1105363995815122,0.4641827426598749,0.33509836799759485,0.36767265303135044,1.0814635093755482,9.75310081905259
0.25,0.010916445679328151,0.03880652928715368,0.019018826785565584,0.020795838558300007,0.0860656775018558,0.05062435579793497,0.053691793624834165,0.03484421134945673,0.035531695696483644,0.1804214475113772,0.11524308356228932,0.12287331900416903,0.09498092719797219,0.09697618977248573,0.10659691842221633,0.1105322860244568,0.4525544281485228,0.3346055412540557,0.3668898359681139,0.7833608291069171,9.127892857599697
0.30000000000000004,0.010916281638314703,0.0387998985261449,0.019018826165585787,0.020795837666514445,0.08598067615231554,0.050624287517485635,0.053691702031280215,0.034844211317352235,0.03553169566032037,0.17955476645728036,0.11523858680003525,0.12286712110216745,0.09498089034093282,0.09697614688987155,0.10659402055124205,0.1105213672361131,0.43876929527900227,0.33374946568039765,0.36554178828704303,0.5357167993518225,8.595884719379326
0.35000000000000003,0.010916087776166216,0.03879206378933733,0.019018825152958684,0.0207958362048941,0.08588033435024205,0.0506241756870285,0.05369155203453236,0.03484421124502854,0.035531695578855764,0.17853620018744942,0.1152312506829704,0.12285701660117376,0.09498080786526927,0.09697605096647863,0.10658719822474752,0.1104984459820316,0.4230625178125582,0.33240798211286365,0.3634508040688109,0.34915858957928253,8.177795756835263
0.4,0.010915864095134379,0.03878302588474819,0.01901882360786042,0.02079583396982087,0.08576470907149827,0.05062400482115691,0.053691322883147596,0.03484421109935509,0.03553169541477693,0.17736854889465867,0.1152200927589236,0.12284166028121586,0.09498064303269539,0.09697585934080856,0.10657366435489261,0.11045782101221173,0.4056941817560883,0.3304602580000832,0.3604498738927646,0.22012375654018018,7.866052773245014
0.45,0.010915610597817142,0.03877278574429082,0.019018821369061866,0.020795830726525945,0.08563386590919726,0.0506237571151686,0.05369099072775873,0.03484421082992993,0.03553169511132381,0.17605500836267776,0.11520400089518378,0.12281953357675496,0.09498034086580635,0.09697550823037629,0.10655007513153074,0.11039421787917798,0.38694187866709745,0.3277947075208258,0.3563955412387879,0.1376995419171603,7.638528944052849
0.5,0.010915327287158652,0.03876134442359747,0.01901881825397401,0.020795826209164738,0.08548787901056996,0.05062341247187794,0.053690528661251576,0.03484421036394848,0.035531694586515214,0.17459915534480866,0.11518174208262705,0.12278895827291299,0.09497982343177093,0.09697490731587484,0.10651285023901365,0.11030337700870722,0.3670931697259015,0.3243158764811731,0.35117802708278584,0.089112345139716,7.46956798843952
0.55,0.010915014166449178,0.038748703101818535,0.019018814058699336,0.020795820120901705,0.08532683100568811,0.050622948531857344,0.05368990676405534,0.03484420960044515,0.03553169372667116,0.1730049312974469,0.1151519721579124,0.12274811157164246,0.09497898491829634,0.09697393411254411,0.10645847737533468,0.11018223069253474,0.3464382170026326,0.31994987869218494,0.344728030581024,0.06293602321517504,7.336427166820233
0.6000000000000001,0.010914671239325031,0.03873486308139838,0.019018808558089222,0.02079581213400504,0.08515081292814314,0.05062234070705417,0.05368909215445609,0.0348442084039288,0.03553169237925595,0.1712766245767036,0.11511324635454011,0.1226950423705043,0.09497768663419376,0.09697242828724373,0.10638373558526536,0.1100287943534579,0.32526284756447443,0.3146481390192412,0.33702002991278335,0.05035990383544029,7.221820700153098
0.65,0.010914298509768472,0.038719825787827865,0.019018801505807266,0.020795801889951195,0.08495992412779366,0.050621562217723036,0.05368804904383342,0.03484420659743517,0.03553169034506875,0.16941885121534223,0.11506403058684027,0.12262768858585427,0.094975752068916,0.09697018608130102,0.1062858210560725,0.10984193141323298,0.3038422734028964,0.30838936679436874,0.32807227353880136,0.04526191288230149,7.1140564857477875
0.7000000000000001,0.010913895982107609,0.03870359276937352,0.01901879263439858,0.020795788999539187,0.08475427217570454,0.0506205841326081,0.053686738796710945,0.03484420395502149,0.0355316873698109,0.16743653440544098,0.1150027133653463,0.12254389534359485,0.09497296214406438,0.09696695499652919,0.10616239066525292,0.10962110441638045,0.2824356396175225,0.30117983332826653,0.3179439301775586,0.0437387029954889,7.006073129582694
