Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(1),J_5s1/2(2),J_total_Y_relativistic
0.0,0.04299062007673526,0.15712819190604066,0.07851429618874539,0.16113710895787936,0.39578576768113355,0.23676324029924786,0.48354389649773677,0.34074709421012306,0.5147903765259567,1.042405243592315,0.7028904560251572,1.438280204284692,0.48906286283245154,3.75498289071505,9.839022249793263
0.05,0.042990405537286634,0.15711835971047888,0.07851429605666418,0.16113710866272948,0.3956075489047171,0.23676321113306154,0.48354383177910604,0.34074709419922433,0.5147903765088069,1.0391244571565292,0.7028836045704485,1.4382647809828417,0.48906101819105885,3.620723714821205,9.701269808214159
0.1,0.042989761927759884,0.15708886723424562,0.07851429486923188,0.16113710600682177,0.3950734116252096,0.23676294895273897,0.483543250040277,0.34074709384032054,0.5147903759440621,1.0293490119465871,0.7028226166715,1.438127569654877,0.4890069374876167,3.2486169500415016,9.31857019624275
0.15000000000000002,0.04298868927461164,0.15703972680549924,0.07851429025382987,0.16113709568098702,0.39418491032244013,0.2367619312858672,0.48354099216764,0.34074709085915417,0.5147903712533234,1.013277228142831,0.7025894930312919,1.4376035519271215,0.488628718973055,2.718396242740145,8.770200332717797
0.2,0.04298718762193371,0.1569709589605146,0.07851427825925071,0.1611370688439567,0.3929446269191044,0.23675929257055658,0.4835351383804928,0.3407470771856339,0.5147903497399293,0.99123170060542,0.7019982348742012,1.4362762101906106,0.4872438695424867,2.129264190365337,8.154400184059426
0.25,0.042985257031449224,0.1568825924277131,0.0785142533604283,0.16113701313337075,0.3913561575383937,0.23675383193278585,0.48352302619757404,0.34074703267000384,0.5147902797062738,0.9636478522157954,0.700809708735906,1.4336124788360936,0.4838209427734853,1.5689794427245924,7.557559869283866
0.30000000000000004,0.042982897582507264,0.15677466410533225,0.07851420846505014,0.16113691268116404,0.3894240941101514,0.23674402395390126,0.4835012752996491,0.3407469165523417,0.5147900970434593,0.9310587939838034,0.6987503453433945,1.429006453856261,0.4773219755470317,1.0949004404426446,7.035653098966691
0.35000000000000003,0.042980109372075935,0.15664721903276213,0.07851413492204119,0.16113674813330686,0.3871540009690888,0.23672803230962014,0.4834658190029303,0.3407466569420073,0.5147896887021524,0.8940772937915843,0.6955329021604938,1.4218275260858044,0.46708095141713607,0.7305950720431478,6.611276154884152
0.4,0.04297689251473388,0.1565003103555839,0.07851402253190681,0.1611364966738683,0.38455238662685437,0.23670372613099114,0.48341194198413856,0.34074613862280523,0.5147888735474245,0.8533757753840625,0.6908774331984354,1.4114684472910917,0.45298786014723463,0.4733918116589043,6.281432116668035
0.45,0.042973247142660306,0.15633399928435313,0.0785138595589185,0.16113613205336383,0.38162667093601055,0.2366686989090373,0.48333432382946606,0.3407451895488943,0.5147873811783572,0.8096653229247174,0.6845307365155436,1.3973892175823397,0.43543836647962,0.3057089979904609,6.028852143933742
0.5,0.04296917340562342,0.1561483550471785,0.0785136327451241,0.1611356246213426,0.3783851478978485,0.23662028973864982,0.4832270879175586,0.3407435664344799,0.5147848293530195,0.7636746544813475,0.6762828516340285,1.3791534894179418,0.4151492287728347,0.20491767070820885,5.831705602175187
0.55,0.0429646714709674,0.1559434548361537,0.07851332732616104,0.1611349413631625,0.3748369443971105,0.236555606674058,0.4830838550917637,0.34074093986608817,0.5147807006995613,0.7161299563093815,0.6659795974830239,1.35645525934163,0.39295701345375367,0.14964716759582747,5.669723435908644
0.6000000000000001,0.042959741523597744,0.15571938374770808,0.07851292704884849,0.16113404594089495,0.37099197517479143,0.2364715519481673,0.4828978015299951,0.34073687937921654,0.5147743194137693,0.6677363494773342,0.6535306098764008,1.3291347888984237,0.3696677088748161,0.12270240638205264,5.5269704892160165
0.65,0.042954383765965186,0.15547623471694832,0.07851241419053168,0.16113289873829453,0.36686089437498215,0.23636484879146782,0.482661720182212,0.34073083894130096,0.5147648286424313,0.6191616049869081,0.6389127931096253,1.2971838017685324,0.34597277444727126,0.11168107492138246,5.392371111577854
0.7000000000000001,0.042948598418048024,0.15521410844607156,0.078511769580149,0.16113145690976305,0.3624550440229914,0.23623206957324253,0.4823680851161051,0.34072214327060435,0.5147511692308666,0.5710225481631029,0.6221694929165069,1.2607409241053127,0.3224187823310561,0.10839927513443315,5.259085467218253
0.75,0.04294238571733294,0.15493311332693638,0.07851097262099005,0.1611296744332304,0.3577863998095624,0.23606966497855433,0.4820091180913581,0.34070997539657266,0.514732060473293,0.523874412512439,0.603405995411737,1.2200789976760775,0.299410396457076,0.10790144502027532,5.123494611925436
0.8,0.04293574591879432,0.15463336535788552,0.07851000131511014,0.16112750216686972,0.3528675145697753,0.23587399392901162,0.4815768566718861,0.3406933658325585,0.5147059834481696,0.47820323060391684,0.5827821450689439,1.1755862781402253,0.2772295898582596,0.10747812462523972,4.984203697506646
0.8500000000000001,0.042928679294872006,0.15431498805492092,0.07850883228936444,0.16112488790955784,0.3477114598551275,0.23564135395357944,0.4810632231836622,0.3406711836880013,0.5146711674496317,0.4344211953433078,0.5605029568840106,1.127743651864308,0.25605995303809664,0.1058659436170902,4.84122947642553
