Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_5f7/2(5),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_7s1/2(2),J_total_Es_relativistic
0.0,0.006532255878001609,0.02387423577390253,0.011316729239525411,0.014006640912356105,0.05250402215644683,0.030380812176037792,0.03467884136635098,0.02215628586941597,0.02305530835791462,0.10243635473293888,0.06395942642273869,0.0721435387584575,0.05274007230331084,0.05449456074155328,0.04144443893404898,0.04210449995611552,0.2016154184595593,0.13171909491346326,0.1500906726325848,0.1231137212603221,0.12795016487972805,0.15978240463632376,0.17329379966001576,0.48635453388525984,0.33966550510989657,0.42209944559002277,2.0260775647159335,14.160655044945107
0.05,0.006532252194395238,0.023874091183582025,0.011316729237163052,0.014006640911986588,0.05250225092769606,0.03038081216007399,0.03467884133555274,0.022156285869415853,0.023055308357914476,0.10242161646839824,0.0639594257220619,0.07214353747424751,0.052740072303269624,0.05449456074150184,0.04144443893404898,0.04210449995611552,0.20149875978245704,0.131719067822184,0.15009062026103095,0.12311372124302601,0.12795016485671046,0.159782404502233,0.17329379519139762,0.4848675150826433,0.3396624324685899,0.42209009200731334,1.9452583191792558,13.995732030040735
0.1,0.006532241143594835,0.023873657418507072,0.011316729229147,0.014006640908661005,0.052496937619525154,0.03038081201641308,0.034678841058394465,0.02215628586941203,0.023055308357909646,0.10237741500737546,0.06395941941832477,0.0721435259209282,0.05274007230191014,0.054494560739805076,0.04144443893404873,0.04210449995611523,0.2011492093204975,0.13171882432990156,0.1500901497532264,0.12311372067378752,0.12795016409936477,0.15978238903223246,0.1732933471738973,0.4804356360764028,0.33963505952326917,0.42200731397222246,1.7232558932680555,13.54167377307477
0.15000000000000002,0.006532222725656528,0.02387293449633691,0.01131672921269043,0.014006640895728582,0.05248808336604199,0.030380811457798956,0.0346788399807148,0.02215628586938022,0.023055308357869415,0.10230379032811847,0.06395939491622825,0.07214348101926793,0.05274007229058904,0.05449456072567586,0.04144443893404421,0.04210449995611008,0.20056804127348174,0.13171787942328997,0.15008832509694137,0.12311371594984777,0.12795015781688387,0.159782154903525,0.17328779883062542,0.4731454441275962,0.33953029692344894,0.4216937429621867,1.412401883851297,12.902554158692595
0.2,0.006532196940673863,0.02387192244650212,0.011316729183148985,0.014006640862105776,0.052475690056971724,0.030380810005646075,0.03467883717934243,0.022156285869233766,0.023055308357684105,0.10220080899591621,0.06395933125631847,0.07214336437992526,0.05274007223847984,0.054494560660645334,0.04144443893400802,0.04210449995606877,0.1997573709679397,0.13171543020119889,0.1500836000987915,0.12311369431029037,0.1279501290537413,0.15978064463447617,0.17325952422806823,0.46313795165043686,0.3392641192466109,0.42090865248052295,1.0756409010833499,12.203315224376416
0.25,0.006532163788777805,0.023870621310202376,0.011316729134021278,0.0140066407922779,0.05245976033697511,0.030380806990301303,0.03467883136274214,0.022156285868754438,0.023055308357077448,0.10206856406555455,0.06395919916396224,0.07214312241724728,0.052740072068053416,0.05449456044797583,0.0414444389338242,0.042104499955858965,0.19872014242067637,0.1317103639901315,0.15007383890314346,0.12311362397625822,0.12795003563295265,0.15977472196291326,0.17317390679710937,0.45060395850521073,0.3387278153140937,0.41935681231995847,0.7655311785724095,11.547859443659254
0.30000000000000004,0.006532123270136732,0.02386903114040334,0.011316729056949616,0.014006640666301397,0.05244029760469465,0.030380801551410243,0.0346788208719186,0.022156285867495663,0.023055308355484097,0.1019071749450387,0.06395896111773051,0.07214268650805161,0.05274007162097343,0.05449455989013453,0.041444438933129435,0.04210449995506606,0.1974601110733921,0.13170126957468173,0.15005634427981548,0.12311344088554962,0.12794979265797565,0.15975803912968686,0.172989554842821,0.43577783420170785,0.3377959243019985,0.41672266568082966,0.5129896236268862,10.996724196106898
0.35000000000000003,0.006532075384956438,0.023867152001832634,0.011316728941720927,0.014006640459806761,0.05241730601152909,0.030380792638387843,0.03467880368157697,0.02215628586465836,0.023055308351892435,0.1017167872208656,0.06395857143700823,0.0721419731948587,0.052740070614627814,0.05449455863462112,0.04144443893099441,0.042104499952629625,0.1959818218420596,0.13168645141399146,0.15002789325200008,0.12311303253452834,0.12794925131414195,0.15972084758047025,0.17267440554945726,0.4189300627264906,0.33633516360399285,0.4127051245962246,0.32720751147741295,10.567134602434667
0.4,0.006532020133480127,0.023864983970974925,0.011316728776267883,0.014006640144002106,0.05239079046013686,0.030380779010992943,0.03467877740153965,0.022156285858939532,0.02305530834465294,0.10149757244520874,0.06395797638859821,0.07214088443289302,0.05274006858957816,0.054494556108523017,0.041444438925362086,0.04210449994620282,0.19429058266300564,0.13166394668167686,0.14998477952766875,0.12311221955194115,0.1279481748667646,0.15965096375347282,0.17221398882646827,0.4003589018477452,0.3342136061014078,0.40704864822195824,0.20227833023594277,10.246432248039575
0.45,0.006531957515988411,0.023862527136066135,0.011316728546670242,0.01400663968567738,0.05236075660266935,0.030380759240006428,0.03467873927841775,0.022156285848353822,0.02305530833125237,0.10124972788545714,0.0639571143120366,0.0721393078800259,0.05274006484826779,0.054494551442249545,0.04144443891214434,0.04210449993112231,0.1923924337538774,0.13163154493539894,0.14992286209977404,0.12311073571697659,0.12794621287167884,0.15953536961863865,0.17160943055766686,0.3803815348055511,0.33130939537033244,0.39956729872621544,0.12513484655855606,10.00804482895315
