Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_7s1/2(1),J_total_Fr_relativistic
0.0,0.00808044712708405,0.028997205036878637,0.013980450186242853,0.016253367024072367,0.0636311484351969,0.03707088369697428,0.04079518755294361,0.026196551924622946,0.02700576381926189,0.12781948131811618,0.08009935595964549,0.08792901997166674,0.06522734832350371,0.0670229988622878,0.05328528986429506,0.054018810895865146,0.2721935213298285,0.1792412392548286,0.1988414150612217,0.1727044268538182,0.17858395554043835,0.6982514240593851,0.5091110073177549,0.6070818323238051,2.704122394183575,13.988729853454682
0.05,0.008080440663724868,0.02899694990098362,0.013980450184388324,0.016253367023303864,0.06362800587748663,0.037070883654262136,0.040795187484090376,0.026196551924622564,0.02700576381926143,0.12779129610313048,0.0800993538114468,0.08792901654692677,0.06522734832330791,0.06702299886205194,0.053285289864295024,0.05401881089586511,0.27192245543857535,0.17924111904909656,0.1988412128126191,0.17270442664881006,0.17858395527660162,0.6940547651300946,0.509087359015006,0.6070229186954301,2.5200401283683043,13.79536493796132
0.1,0.008080421273692639,0.02899618450828709,0.013980450176353439,0.016253367016387528,0.06361857918666133,0.03707088326989599,0.040795186864491385,0.026196551924610005,0.027005763819246367,0.12770677963785482,0.08009933448745464,0.08792898574263552,0.06522734831685126,0.06702299885427493,0.05328528986429098,0.05401881089586053,0.2711109597882141,0.17924003991017456,0.19883939823560748,0.17270441992346486,0.17858394662574628,0.6816281474592356,0.5088796642000692,0.6065116524476291,2.0430389017813164,13.289227913612049
0.15000000000000002,0.00808038895712331,0.028994908903753024,0.013980450154724683,0.016253366989491775,0.06360287130911851,0.03707088177539422,0.040795184455429484,0.02619655192450541,0.027005763819120857,0.12756604937213178,0.08009925939731682,0.08792886606032083,0.06522734826310682,0.06702299878954392,0.05328528986421857,0.05401881089577856,0.269764122835532,0.17923585977243386,0.19883237597292508,0.17270436438961603,0.17858387524788955,0.661450474964195,0.5081021205875498,0.6046324125202677,1.4480547336256357,12.641769445477701
0.2,0.008080343714243461,0.028993123162315924,0.013980450107147518,0.016253366919566966,0.06358088715379055,0.03707087789064549,0.04079517819371116,0.026196551924023734,0.027005763818542774,0.12736930075865138,0.0800990643830288,0.08792855530786343,0.06522734801587979,0.06702299849180351,0.05328528986363955,0.05401881089512313,0.26789036689412543,0.17922505322957352,0.19881424678304938,0.17270411174162414,0.17858355086656394,0.6342838446297568,0.5061877673374564,0.6001236387617578,0.9051285380657241,12.018358792581385
0.25,0.008080285545370297,0.028990827388872684,0.013980450016328349,0.01625336677434993,0.06355263358955103,0.03707086982494523,0.0407951651936676,0.02619655192244711,0.027005763816650513,0.1271168068083979,0.08009865995709299,0.08792791105585186,0.0652273472079456,0.06702299751890035,0.053285289860704674,0.05401881089180137,0.26550136138016694,0.1792027775635721,0.19877694441262322,0.17270329785144806,0.17858250733821318,0.6011233481475209,0.5024850956017862,0.591686393382066,0.5070222846923008,11.50722626588233
0.30000000000000004,0.008080214450911645,0.02898802171827117,0.01398044986003728,0.016253366512370263,0.06351811944158628,0.03707085527844519,0.04079514174995293,0.026196551918306832,0.027005763811681297,0.1268089174703078,0.080097931634517,0.08792675127319667,0.06522734509055987,0.06702299496952419,0.05328528984964027,0.05401881087928023,0.26261190317184985,0.17916296316342176,0.1987104219967308,0.17270120228324,0.1785798250740741,0.5631340346512862,0.4963635881847256,0.5782776322603583,0.2641136187771287,11.115614998430472
0.35000000000000003,0.008080130431365946,0.028984706315295542,0.013980449611111669,0.016253366082958454,0.06347735548673519,0.037070831444014865,0.04079510334113655,0.026196551908975536,0.02700576380048182,0.12644605883715984,0.08009674035723523,0.08792485513874737,0.06522734033003513,0.06702298923869518,0.05328528981574155,0.05401881084092505,0.2592397658533495,0.17909842637968687,0.19860288298494885,0.17269658897869225,0.17857393204851096,0.521581014231735,0.487308605332164,0.5593169082372353,0.13995801189198886,10.806218904610594
0.4,0.00808003348732225,0.028980881374648326,0.01398044923746045,0.0162533654262558,0.06343035444780074,0.03707079500951286,0.04079504463408529,0.026196551890170405,0.02700576377791219,0.1260287321802809,0.08009492300914689,0.08792196402476071,0.06522733076353265,0.06702297772452008,0.053285289726628104,0.05401881074011659,0.2554055200578314,0.17900100239683386,0.19844105046377186,0.17268754152877666,0.1785624015482518,0.47775886518973576,0.4749907587982126,0.5347725306765557,0.0880957973930299,10.534331027987045
0.45,0.008079923619460208,0.02897654712092924,0.013980448702069256,0.016253364473226107,0.06337713098683762,0.037070742160466165,0.04079495948913061,0.02619655185536839,0.027005763736144477,0.12555751281620225,0.08009229301958216,0.08791778264720193,0.06522731311664887,0.06702295648948282,0.05328528951833269,0.05401881050453865,0.2511323275233362,0.17886169530715984,0.19821046782635013,0.17267130691026217,0.17854176512856465,0.43292595492877484,0.459302167856112,0.5051323780600987,0.07187723198010912,10.267492350846572
0.5,0.008079800828550057,0.028971703808610756,0.013980447963006324,0.016253363145669202,0.0633177016974214,0.03707066858315463,0.0407948409660148,0.0261965517951346,0.027005763663857214,0.12503304880893687,0.08008864105263792,0.08791198037702531,0.06522728268577978,0.06702291988004246,0.053285289074661395,0.05401881000288312,0.2464457118228911,0.17867084224775953,0.19789582305516637,0.17264416093313414,0.17850735798973472,0.38824815886312636,0.4403594374132435,0.4712916978221269,0.06896122145861483,9.989434814430336
0.55,0.008079665115452607,0.028966351722010432,0.013980446973429176,0.016253361356236222,0.063252085095905,0.03707056946809784,0.040794681330609484,0.026196551696365186,0.02700576354532767,0.12445605951207052,0.08008373577946869,0.08790419270578304,0.06522723298861981,0.06702286010877648,0.05328528819818606,0.054018809012138666,0.24137330901988313,0.17841828822246492,0.19748128844906038,0.17260130702373344,0.17845321136630618,0.34475499374814533,0.4184790032562726,0.43440029450311435,0.06838050896943339,9.696398376418609
0.6000000000000001,0.008079516481119238,0.02896049117525999,0.013980445681592093,0.016253359008446707,0.0631803016116693,0.03707043951394095,0.040794472062398744,0.026196551541446244,0.02700576335942365,0.12382733395536091,0.0800773247302777,0.08789402285815615,0.06522715538648974,0.06702276680372735,0.053285286571211836,0.05401880717361691,0.23594460172701498,0.17809356807844975,0.19695086744931095,0.17253681754566313,0.17837200284689506,0.3033096160193546,0.3941337463623504,0.3957072925746377,0.06606985826710766,9.391892157522568
0.65,0.008079354926591877,0.028954122512271162,0.013980444030854355,0.016253355996707453,0.06310237357637542,0.03707027293173581,0.040794203862718446,0.026196551307330364,0.027005763078496992,0.12314772908102177,0.0800691352224297,0.08788104354329372,0.06522703868248839,0.06702262652997852,0.05328528370510592,0.054018803935927916,0.23019064020904353,0.17768609204374758,0.19628874029653798,0.17244362388031412,0.1782550712027585,0.26459268634380595,0.36790050012331604,0.3564296710119272,0.06136759060977163,9.08253410552289
0.7000000000000001,0.008079180453002977,0.02894724610669833,0.01398044195968928,0.016253352206333158,0.06301832521222706,0.037070063449613326,0.04079386666374233,0.026196550964532703,0.02700576266718104,0.122418167835328,0.08005887536080239,0.08786479883618972,0.06522686869972204,0.06702242228880094,0.05328527887647689,0.05401879848324366,0.2241437542645593,0.17718533125603117,0.1954796005676801,0.1723135582228745,0.1780924977137169,0.229098922947922,0.3404068884701091,0.3176573002329166,0.05491835166914611,8.77546248902008
0.75,0.008078993061575515,0.028939862361897908,0.013980439401694016,0.01625334751356884,0.06292818261925189,0.037069804317842604,0.040793449638204714,0.026196550476048526,0.027005762081094557,0.1216396371216136,0.08004623510620995,0.08784480617972555,0.06522662784408122,0.06702213299996818,0.05328527104885599,0.05401878964738146,0.2178372596504752,0.1765809998207556,0.1945089751784405,0.17213744676848736,0.17787325153618494,0.19714434111982465,0.3122836955791378,0.2802962852864475,0.04763555032381991,8.476993229360067
0.8,0.00807879275362296,0.028931971710884526,0.013980436285600133,0.016253341785614023,0.06283197376161177,0.037069488314271995,0.04079294120984884,0.026196549796194415,0.027005761265454852,0.12081318562114292,0.08003088740746944,0.08782055849746336,0.06522629465620543,0.06702173297303646,0.053285258778747756,0.05401877580249422,0.211305162776341,0.17586323012190638,0.19336352116251385,0.17190525091119194,0.1775853926990093,0.16888172005899624,0.28412645951208404,0.24504553209696958,0.040287592270628385,8.19206925009994
