Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_total_Hg_relativistic
0.0,0.009130639451697549,0.032575886410026865,0.015823043840726116,0.017880813355480273,0.07168743518304774,0.04189656531487167,0.04533359358061053,0.029215277469753727,0.029973689794459128,0.1471603858067207,0.09245040258054185,0.10021167531901183,0.07533955501138104,0.07720472862113348,0.06493105740990768,0.06582000737490414,0.3405460041692271,0.22727682407349917,0.2520403303536054,0.26285149045118256,0.279321317192739,1.3634650640403398,11.050660261014167
0.05,0.009130630417636615,0.03257552716822798,0.015823043838891864,0.017880813354247377,0.07168295591120984,0.041896565236476446,0.045333593464371734,0.029215277469752894,0.029973689794458157,0.1471178395562208,0.09245039817735536,0.10021166873065057,0.07533955501080025,0.07720472862044425,0.06493105740990728,0.06582000737490368,0.34003747745860674,0.22727642510408094,0.2520396518087234,0.26285147681835014,0.27932129173631354,1.3368271229213873,10.996268782573742
0.1,0.0091306033155311,0.03257444946921067,0.015823043828946753,0.017880813343151652,0.07166951986804805,0.04189656453102217,0.04533359241839004,0.029215277469725465,0.029973689794426137,0.14699027858313082,0.09245035857536449,0.10021160948208947,0.07533955499165425,0.07720472859772468,0.06493105740985587,0.06582000737484411,0.3385167467152646,0.22727284995583494,0.2520335783822184,0.26285104045535984,0.27932048280882166,1.2604183864355372,10.840087279389861
0.15000000000000002,0.00913055814561286,0.03257265339210937,0.015823043797564607,0.017880813300003743,0.07164713236943085,0.041896561788188985,0.04533358835170656,0.029215277469496967,0.02997368979415937,0.14677793598767486,0.09245020472980618,0.10021137935600359,0.07533955483236218,0.07720472840871685,0.06493105740893804,0.0658200073737807,0.33599828123818015,0.22725904112804504,0.2520101622628101,0.26284756970242834,0.27931411846117954,1.1439025621318677,10.601370953944416
0.2,0.00913049490826832,0.03257013906880289,0.015823043722538087,0.017880813187827214,0.07161580227118279,0.041896554659063286,0.04533357778217882,0.029215277468444656,0.029973689792930792,0.14648119948790445,0.09244980534040491,0.10021078209893904,0.0753395541001008,0.07720472753995362,0.06493105740162428,0.06582000736530923,0.33250593555603014,0.22722349045832485,0.2519500339350312,0.2628325599586327,0.2792869909399013,1.0008661277604285,10.307114433559448
0.25,0.009130413604038455,0.0325669066838965,0.015823043572783125,0.01788081295486729,0.07157554196315428,0.04189653985856478,0.04533355584066008,0.02921527746500044,0.029973689788909626,0.14610061024980808,0.09244897751016333,0.10020954457885022,0.07533955170916194,0.07720472470374398,0.06493105736472134,0.06582000732257977,0.32807256462331086,0.2271506100866533,0.25182718868126763,0.2627872133405485,0.2792064961182719,0.8459881742754076,9.986335209571504
0.30000000000000004,0.009130314233618798,0.032562956474696876,0.015823043308345126,0.01788081253460307,0.07152636736092738,0.041896513168840264,0.045333516276842116,0.02921527745595672,0.02997368977835109,0.14563686125662745,0.09244748766228249,0.10020731839451386,0.07533954544987607,0.07720471728016016,0.06493105722636884,0.0658200071624517,0.3227394981620793,0.227021231286237,0.2516100321751254,0.2626791098672087,0.27901860305348086,0.692491151842199,9.66494175945799
0.35000000000000003,0.009130196797859416,0.0325582887311799,0.01582304288040695,0.01788081184576325,0.07146829789516587,0.041896469443619945,0.04533345146675317,0.02921527743557688,0.029973689754558133,0.14509079522449192,0.09244505270987304,0.10020368192579927,0.07533953139519275,0.07720470061485998,0.06493105680527127,0.06582000667532367,0.31655588668163437,0.2268132119310803,0.2512626341326686,0.2624613010208566,0.2786488551985156,0.5504715426814889,9.362402194485862
0.4,0.009130061297764893,0.03255290379595133,0.015823042231298653,0.01788081079234532,0.07140135649862019,0.04189640261353092,0.045333352421900466,0.029215277394512643,0.02997368970661803,0.1444634020734415,0.09244134147166216,0.10019814281079167,0.07533950319384777,0.07720466718385724,0.06493105570667505,0.06582000540520344,0.3095779345527064,0.22650212961679733,0.2507461303540862,0.2620742961256215,0.27800840194636683,0.42628077393460684,9.090555679047913
0.45,0.009129907734494314,0.032546802064200304,0.015823041294508983,0.017880809263638213,0.07132556959079975,0.0418963056923614,0.04533320880004438,0.029215277318530998,0.02997368961791702,0.1437558159648134,0.09243597632549407,0.10019014083290499,0.07533945126075114,0.07720460563845498,0.06493105316083983,0.065820002463828,0.3018680378512564,0.22606203483828483,0.2500202085875747,0.261450506187187,0.27700332674208744,0.3227708058413402,8.854183074064053
