Q,J(Q)
0.0,0.8488263631567752
0.05,0.842491864288223
0.1,0.8238625053812187
0.15000000000000002,0.7940153704745085
0.2,0.7546035459902487
0.25,0.7076720503745473
0.30000000000000004,0.6554496950699753
0.35000000000000003,0.600150000162216
0.4,0.543807123060585
0.45,0.4881615895407669
0.5,0.4345990979362689
0.55,0.3841365783771565
0.6000000000000001,0.33744432944037783
0.65,0.2948913504940367
0.7000000000000001,0.25660201023557944
0.75,0.22251473814336967
0.8,0.19243644062513038
0.8500000000000001,0.166089113798696
0.9,0.1431472914511401
0.9500000000000001,0.12326644276510398
1.0,0.1061032953945969
1.05,0.09132945082029426
1.1,0.07863973448951911
1.1500000000000001,0.067756613486115
1.2000000000000002,0.05843181554546242
1.25,0.050446058291234185
1.3,0.043607583351152814
1.35,0.037750004504495956
1.4000000000000001,0.032729828253816665
1.4500000000000002,0.028423888383032867
1.5,0.02472684899500847
1.55,0.02154886785661966
1.6,0.018813468286299973
1.6500000000000001,0.016455638581922498
1.7000000000000002,0.014420159217817892
1.75,0.012660146685444337
1.8,0.011135796600821996
1.85,0.009813305854041336
1.9000000000000001,0.008663952914927707
1.9500000000000002,0.00766331608361671
2.0,0.006790610905254201
2.0500000000000003,0.006028129769306987
2.1,0.005360768638835279
2.15,0.004775627751576318
2.2,0.00426167491533937
2.25,0.0038094616401385282
2.3000000000000003,0.0034108837911569576
2.35,0.0030589797093821445
2.4000000000000004,0.002747759839746011
2.45,0.0024720628442118156
2.5,0.002227433976056157
2.5500000000000003,0.002010022168565658
2.6,0.0018164928627674708
2.6500000000000004,0.0016439540796193118
2.7,0.0014898936457266676
2.75,0.001352125819943878
2.8000000000000003,0.0012287458513987352
2.85,0.0011180912363529943
2.9000000000000004,0.001018708639365162
2.95,0.0009293256097983228
3.0,0.0008488263631567752
3.0500000000000003,0.0007762310125256724
3.1,0.0007106777322814589
3.1500000000000004,0.0006514074173738536
3.2,0.0005977504694679717
3.25,0.0005491153982571853
3.3000000000000003,0.0005049789741280224
3.35,0.0004648777085878416
3.4000000000000004,0.00042840047271089295
3.45,0.0003951820923645687
3.5,0.0003648977830157352
3.5500000000000003,0.00033725830721223975
3.6,0.0003120057549911809
3.6500000000000004,0.00028890986198725486
3.7,0.0002677647923219795
3.75,0.00024838632379906066
3.8000000000000003,0.00023060938180634487
3.85,0.00021428587587641272
3.9000000000000004,0.0001992827992918553
3.95,0.00018548055761031647
4.0,0.00017277149667347346
4.05,0.0001610586046751596
4.1000000000000005,0.00015025436629937896
4.15,0.000140279749885462
4.2,0.0001310633111079716
4.25,0.00012254039883479766
4.3,0.00011465245070024164
4.3500000000000005,0.00010734636754491307
4.4,0.00010057395726832377
4.45,9.429143984490919e-05
4.5,8.845900629681843e-05
4.55,8.304042532013968e-05
4.6000000000000005,7.800269204483592e-05
4.65,7.331571408923911e-05
4.7,6.895203066174006e-05
4.75,6.488656097751208e-05
4.800000000000001,6.109637870714275e-05
4.8500000000000005,5.7560509565879656e-05
4.9,5.4259749494487805e-05
4.95,5.1176501182079805e-05
5.0,4.829462694337592e-05
5.050000000000001,4.559931619258473e-05
5.1000000000000005,4.307696595766799e-05
5.15,4.0715073055814184e-05
5.2,3.85021367066374e-05
5.25,3.642757049665924e-05
5.300000000000001,3.448162272938508e-05
5.3500000000000005,3.265530430179334e-05
5.4,3.094032334209063e-05
5.45,2.9329025926694148e-05
5.5,2.781434226792121e-05
5.550000000000001,2.6389737828967954e-05
5.6000000000000005,2.5049168880460496e-05
5.65,2.3787042064052533e-05
5.7,2.259817757400109e-05
5.75,2.1477775608052953e-05
5.800000000000001,2.042138577491635e-05
5.8500000000000005,1.942487917759457e-05
5.9,1.8484422920376597e-05
5.95,1.7596456812718185e-05
6.0,1.675767206595414e-05
6.050000000000001,1.596499179907154e-05
6.1000000000000005,1.5215553187916035e-05
6.15,1.4506691108438994e-05
6.2,1.3835923139135584e-05
6.25,1.3200935800859001e-05
6.300000000000001,1.2599571923889437e-05
6.3500000000000005,1.2029819042635146e-05
6.4,1.1489798727774993e-05
6.45,1.0977756774133829e-05
6.5,1.0492054170213168e-05
6.550000000000001,1.0031158782172685e-05
