Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_5s1/2(2),J_5p1/2(2),J_5p3/2(3),J_total_I_relativistic
0.0,0.015274536641485483,0.0547258126267103,0.0271100167646581,0.028461484849671204,0.12695314141451566,0.07506956679787885,0.07767194737891527,0.0515878539954789,0.05218062300560823,0.28311489953475005,0.18218975146697428,0.1889688719259193,0.15803262354302586,0.1600467013127582,0.8194178364708966,0.6228289595467479,0.6671271589436563,9.707005592042444
0.05,0.015274497379855522,0.054724140399407005,0.02711001675408665,0.02846148483698883,0.12692897011968712,0.07506956536350055,0.07767194567993749,0.05158785399542606,0.05218062300555151,0.2828273413134791,0.182189622852702,0.18896871714109334,0.15803262339785562,0.1600467011528161,0.8130003562457051,0.6227588771167811,0.6670277815453067,9.69310456488174
0.1,0.015274379595805824,0.05471912405708731,0.027110016660593435,0.02846148472285671,0.12685648552211365,0.07506955245991483,0.0776719303964741,0.05158785399368346,0.05218062300368088,0.28196652944593187,0.18218846845876063,0.18896732815128653,0.15803261863588414,0.1600466959072969,0.7940815234120608,0.622153375653399,0.66617454224611,9.64961131433627
0.15000000000000002,0.0152741832918569,0.054710764618394296,0.027110016298876705,0.028461484279065898,0.12673577542162037,0.07506950231476509,0.07767187100558391,0.05158785397917525,0.05218062298810701,0.2805380317947786,0.18218399822220963,0.18896195130331175,0.15803257931909145,0.16004665261096385,0.7636305341659716,0.6199426542235306,0.6630888169776646,9.571883984776338
0.2,0.015273908472209476,0.054699063780641634,0.027110015360216386,0.02846148312542175,0.12656698594839982,0.07506937207065932,0.07767171675770357,0.05158785391241776,0.05218062291644773,0.27855106004715613,0.1821724469594509,0.18894806415044743,0.15803240047826653,0.16004645574850876,0.7231619803708841,0.6146877805364409,0.6558507301135403,9.454305963119506
0.25,0.015273555142744298,0.05468402391917658,0.027110013412648216,0.028461480729974165,0.12635032125939843,0.07506910192956362,0.0776713968591033,0.05158785369417425,0.05218062268218671,0.2760183687585299,0.1821486504298537,0.18891947406456694,0.1580318244682684,0.16004582202757292,0.6746001605415213,0.6049685871410575,0.6426858103830871,9.292549783741155
0.30000000000000004,0.015273123311021868,0.05466564808648877,0.02711000990120739,0.028461476409339697,0.12608604311457497,0.07506861535413557,0.07767082072622372,0.051587853121951306,0.052180622067990796,0.27295611632622385,0.18210614923144763,0.1888684526573891,0.15803034172973357,0.16004419178353743,0.6201166343733222,0.5897313082613248,0.6224492421661358,9.08539968410562
0.35000000000000003,0.015272612986282092,0.05464394001106522,0.027110004148241506,0.028461469329115273,0.12577447033434216,0.075067819325185,0.07766987831079974,0.05158785183471247,0.05218062068639682,0.26938369014134106,0.1820373180344395,0.1887859025255775,0.15802707839221525,0.16004060653481175,0.5619617689039895,0.5685063324727824,0.5948756285645799,8.835598883306009
0.4,0.015272024179443865,0.054618904095992314,0.027109995353792604,0.028461458504383187,0.1254159781398668,0.07506660465422493,0.077668440494376,0.051587849246286205,0.05218061790838943,0.26532349872190003,0.1819335170826639,0.1886615520459479,0.15802068022116994,0.16003358336171455,0.5023093693310652,0.5414648034003736,0.5605724959336986,8.54963200738902
0.45,0.015271356903104568,0.0545905454173055,0.027109982596048018,0.028461442800307008,0.12501099737826157,0.07506484634985625,0.0776663595505235,0.05158784446804279,0.05218061278049785,0.26080073412154053,0.1817852624123373,0.18848417330121628,0.15800920267647933,0.16002099700895592,0.4431290034460029,0.5093368580049435,0.5208233372420134,8.23671493490784
