Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(2),J_5p1/2(1),J_total_In_relativistic
0.0,0.01670261406459814,0.06008234211823851,0.029833655976542632,0.031090266338013855,0.1418338241302003,0.08404830232890793,0.08658599347308568,0.0580606874244547,0.05864241278337039,0.33151798949460104,0.2156934967070693,0.22331575794678643,0.2056488280183688,0.20875315340042544,1.2069767040530355,1.0472805288112748,9.243837916463274
0.05,0.016702563073020222,0.06008013352463959,0.02983365595973487,0.03109026631819316,0.14180034201286343,0.08404829979098626,0.0865859905311438,0.058060687424324214,0.05864241278323143,0.33106505061850144,0.2156931899270824,0.22331539123096125,0.20564882635910664,0.20875315150581075,1.1881206249256755,1.046438483881627,9.204304236735803
0.1,0.016702410099577746,0.06007350828391893,0.029833655809731192,0.031090266139824196,0.1416999461133298,0.08404827696274945,0.08658596406967531,0.05806068742002158,0.05864241277864958,0.3297102217428167,0.2156904399827396,0.22331210508081822,0.20564877241416407,0.20875308995243191,1.133535493318906,1.039619339470686,9.085371440982726
0.15000000000000002,0.01670215514814448,0.06006246801606043,0.029833655227858538,0.03109026544627273,0.14153278765773927,0.08404818826592705,0.08658586126170022,0.058060687384210496,0.05864241274051537,0.3274654051540734,0.21567981299765795,0.22329941233396863,0.20564833307585656,0.20875258918640588,1.0487845725161231,1.017016528422949,8.88834286795968
0.2,0.01670179822517646,0.060047015420222664,0.029833653716555393,0.03109026364343635,0.14129911825253377,0.08404795795354758,0.0865855943283095,0.05806068721950034,0.058642412565125306,0.3243502361724226,0.21565243359895073,0.22326673436585387,0.2056463716506307,0.20875035676714881,0.9419699000906006,0.9699791731122888,8.620738620796876
0.25,0.016701339339711668,0.06002715427351755,0.02983365057971199,0.031090259900176127,0.14099928923056068,0.08404748043398105,0.0865850409362241,0.05806068668132579,0.058642411992077,0.3203917853167753,0.2155962495279433,0.22319974127390443,0.2056402037187125,0.20874334963814486,0.8223361212660697,0.8962315061411195,8.298715945900364
0.30000000000000004,0.01670077850336951,0.06000288942930176,0.029833644923146156,0.031090253148920412,0.14063375073918788,0.08404662072225356,0.08658404475133356,0.05806068527122023,0.05864241049066738,0.3156241509728427,0.2154963884098225,0.22308080910367736,0.20562478182801103,0.20872586849065708,0.6988824897134334,0.800704726333122,7.945118123460435
0.35000000000000003,0.016700115730350216,0.05997422681498203,0.02983363565521441,0.031090242086440165,0.14020305057397706,0.08404521501630813,0.0865824161451969,0.058060682101707166,0.05864240711611925,0.31008795182205445,0.21533559380487446,0.22288957630234224,0.20559197447191907,0.20868877618398224,0.5792796814307061,0.6927780718966051,7.58454367782457
0.4,0.016699351037434064,0.05994117342933594,0.029833621487557787,0.031090225174795136,0.1397078327624425,0.0840430713952484,0.08657993305066264,0.05806067573435825,0.058642400337312585,0.303829730412105,0.21509472507997326,0.22260357813723766,0.2055300835977253,0.2086190036422214,0.469243677925851,0.5825532025337908,7.238365976250007
0.45,0.016698484443980477,0.059903737339350026,0.0298336009359817,0.031090200642450008,0.13914883590337768,0.08403997063598438,0.08657634196196755,0.058060663992872893,0.0586423878380276,0.2969012810127599,0.21475330377847596,0.22219893544208547,0.2054236982713432,0.20849944853346775,0.37236756116559816,0.4781854409081622,6.921729370811027
0.5,0.01669751597192698,0.05986192767657754,0.029833572321469142,0.03109016648555948,0.13852689126815781,0.08403566714410544,0.08657135907390849,0.05806064375331883,0.0586423662940132,0.2893589162566983,0.21429008809176361,0.22165107283019966,0.20525392255533081,0.20830930025371036,0.29030658226957845,0.3848414673188556,6.64288244739902
0.55,0.016696445645788007,0.05981575463301842,0.02983353377132628,0.031090120469421105,0.13784292067131806,0.08402988999424049,0.08656467155395497,0.058060610713931864,0.05864233112847349,0.2812626879845988,0.2136836567622228,0.22093544144933108,0.20499895651463196,0.20802475573571735,0.2231700710965031,0.3048731815504125,6.404144826658674
0.6000000000000001,0.0166952734926536,0.05976522945652433,0.0298334832204595,0.03109006013009454,0.1370979341185587,0.08402234407463054,0.08655593894048634,0.05806055914710452,0.05864227624881321,0.2726755781839342,0.2129129842466724,0.22002822238447148,0.20463496144605642,0.2076200371784723,0.16998413009334853,0.23855293593076274,6.203579698460891
0.65,0.016693999542187928,0.059710364445732064,0.02983341841278275,0.031089982776185722,0.13629302724113712,0.08401271133013978,0.0865447946597011,0.05806048163639377,0.05864219376769757,0.26366267593680287,0.21195799017222422,0.21890698882089457,0.204137110354881,0.2070685918146967,0.12912743015726855,0.18488496116127098,6.036690342124411
0.7000000000000001,0.016692623826627697,0.059651172944528943,0.029833336902754016,0.03108988549079436,0.13542937852636766,0.08400065209746954,0.08653084765316131,0.05806036880154624,0.05864207371166091,0.25429035589453225,0.21080004792148738,0.21755130789067625,0.20348071393402528,0.2063443460916754,0.0986864826188687,0.14225831369899594,5.8977974290651
0.75,0.016691146380780415,0.059587669336054,0.02983323605703955,0.031089765133622906,0.13450824635465883,0.08398580652591847,0.08651368410740562,0.058060209014673174,0.05864190372064046,0.24462547301098472,0.20942243946494485,0.21594326654070428,0.20264231843277053,0.20542289826030583,0.07671286929936336,0.10888471707908375,5.781004274740956
0.8,0.016689567242022512,0.05951986903623929,0.02983311305630443,0.031089618343245102,0.13353096585417334,0.08396779607665447,0.08649286927659322,0.05805998811080618,0.05864166874191382,0.23473458713966502,0.20781074617490322,0.2140679095616943,0.2016006900332105,0.20428255793946706,0.0613882556508774,0.08305092171147835,5.680790383563641
0.8500000000000001,0.01668788645029733,0.059447788486895824,0.02983296489712795,0.031089441539532046,0.1324989455847931,0.08394622509313072,0.08646794938873102,0.058059689096127326,0.05864135072198272,0.22468322968816068,0.2059531681626258,0.21191358188860332,0.20033762512075973,0.2029051718517376,0.0511145348981821,0.06324002573869814,5.592321795838461
0.9,0.01668610404811297,0.05937144514834894,0.029832788394042083,0.031089230926233526,0.1314136640636078,0.08392068243499198,0.08643845362568926,0.05805929185719376,0.05864092829996929,0.21453522288954846,0.20384076753742383,0.20947217121915424,0.19883855208854484,0.201276705713508,0.04454954351622252,0.04817182058733061,5.511568859600054
0.9500000000000001,0.016684220080539994,0.05929085749162842,0.029832580181691413,0.031088982493712277,0.13027666614462133,0.08389074316757891,0.08640389616692823,0.058058772874467285,0.05864037650607602,0.2043520604596183,0.20146763376493104,0.20673925071961322,0.19709291425682965,0.19938757906766394,0.0406070435165352,0.03679881461394792,5.43530542371688
1.0,0.01668223459520902,0.05920604499021866,0.02983233671711254,0.031088692021828707,0.12908955926578017,0.08385597029894869,0.08636377828664181,0.058058104943414825,0.05863966646860673,0.1941923565266851,0.19883097189083032,0.20371412494863234,0.1950943428115881,0.1972327704220136,0.03843584778455925,0.028281461657564802,5.361042899188398
1.05,0.016680147642308137,0.05911702811137479,0.029832054282131083,0.03108835508297342,0.12785400957677312,0.0838159165561899,0.08631759049387284,0.05805725690636667,0.05863876513295533,0.18411136781043763,0.19593111670724592,0.20039978502108358,0.19284064242717827,0.1948117237629244,0.03738879470707622,0.0219562470810791,5.28693457096933
1.1,0.016677959274580212,0.05902382830701072,0.029831728985874224,0.031087967045244826,0.12657173796133087,0.08377012619271924,0.0862648147050704,0.05805619339820795,0.05863763499584314,0.17416059214599375,0.19277147790724578,0.19680278138300542,0.19033362052921904,0.19212809485042134,0.03698862810101942,0.017303792565672806,5.211671837637798
1.1500000000000001,0.016675669547320054,0.058926468004165546,0.029831356767396615,0.031087523075768935,0.12524451596796612,0.08371813681820583,0.08620492643853933,0.05805487460883663,0.058636233857926254,0.1643874446507772,0.18935842285816498,0.19293302434172716,0.18757879472324013,0.1891893778166158,0.036895015672609305,0.013920249579163341,5.134384552952075
1.2000000000000002,0.01667327851837144,0.05882497059505485,0.02983093339841744,0.031087018144158367,0.12387416166324014,0.08365948124277625,0.08613739702027763,0.0580532560651507,0.05863451459770476,0.1548350111587875,0.1857011048096011,0.18880352369102257,0.18458501282465647,0.18600645087667392,0.036874941759720135,0.011493097073350961,5.054551487192623
1.25,0.016670786248123997,0.058719360426713864,0.029830454486166297,0.03108644702610744,0.12246253542172118,0.08359368932720819,0.08606169579080408,0.058051288435130674,0.05863242496944786,0.14554187703437127,0.1818112451404122,0.18443007941710374,0.1813640172950991,0.18259307577572198,0.036777400194664606,0.009781367216672146,4.971923180103436
1.3,0.01666819279950997,0.058609662790239644,0.029829915476335483,0.031085804307120112,0.12101153566681344,0.08352028983092176,0.08597729230274702,0.05804891735636385,0.058629907427606785,0.13654202815174846,0.17770287866166723,0.17983093561690164,0.17792998173045693,0.1789653800903413,0.036512518540546116,0.00859983788631212,4.886457332083923
1.35,0.016665498238000825,0.058495903909639664,0.02982931165613617,0.031085084386367454,0.11952309457658473,0.08343881224972319,0.08588365849919104,0.058046083291116844,0.058626898979923556,0.12786481970438515,0.17339207106361973,0.1750264094706795,0.17429904217727293,0.17514134556529634,0.03603480805720566,0.00780656973691349,4.798265787217334
1.4000000000000001,0.016662702631603743,0.05837811093029453,0.02982863815745593,0.031084281480671168,0.11799917376860722,0.08334878863544452,0.08578027086305988,0.05804272140980608,0.05862333107116209,0.1195350075984447,0.16889661736843053,0.17003850646148394,0.17048884108172005,0.17114031990992767,0.035330029333513854,0.00729316445521924,4.7075716923763125
1.4500000000000002,0.01665980605085796,0.058256311907042724,0.029827889960114914,0.03108338962860964,0.11644175997765115,0.08324975538985209,0.08566661252814697,0.05803876150444517,0.0586191294990923,0.11157283648789199,0.16423572977649536,0.16489053210316795,0.16651809700415127,0.16698256428414637,0.03440510056679984,0.006977188583405222,4.614675302590332
1.5,0.016656808568830984,0.058130535791895525,0.029827061895217957,0.031082402694742852,0.11485286073983851,0.0831412550254638,0.08554217534278714,0.05803412793336691,0.058614214364051176,0.10399417801952959,0.15942972262527808,0.15960670930487753,0.16240620910024084,0.16268884426674363,0.033280492023982304,0.006796296975952411,4.519926975644856
1.55,0.016653710261114674,0.05800081242139054,0.029826148648599834,0.031081314373952444,0.1132345000965739,0.08302283788621848,0.08540646187758906,0.05802873959822949,0.058608500053091324,0.09681071256284654,0.15449970136753913,0.15421180923661948,0.1581729018877044,0.15828006848146897,0.03198460640644617,0.006703678849481389,4.423706057254681
1.6,0.01665051120582118,0.05786717250359236,0.02982514476436075,0.031080118195893045,0.11158871433122775,0.08289406382127612,0.08525898736911525,0.05802250995402381,0.058601895259410404,0.09003014758615022,0.14946726157005386,0.14873080223416868,0.1538379130062406,0.15377697623358194,0.030549716412979017,0.006664527998506483,4.326404544385149
1.6500000000000001,0.01664721148357876,0.05772964760474927,0.02982404464848914,0.031078807529550997,0.10991754775115375,0.08275450380559282,0.08509928159189924,0.05801534705250645,0.05859430303743813,0.08365646588784309,0.14435420297910412,0.14318853394938405,0.14942072450024899,0.14919987340343832,0.02900910396874525,0.006653304246283358,4.228414597644414
1.7000000000000002,0.016643811177527456,0.05758827013561493,0.029822842572568793,0.03107737558790646,0.10822304852718313,0.08260374150130652,0.08492689065172482,0.05800715361919194,0.058585620893643976,0.07769019707857397,0.13918226273429515,0.1376094306612281,0.14494033653862265,0.14456841435071463,0.02739511322422742,0.006651605873509684,4.130119139476952
1.75,0.016640310373314638,0.05744307333744435,0.029821532677567205,0.03107581543269482,0.10650726460225474,0.08244137475438448,0.08474137869365417,0.05799782716375305,0.058575740912822194,0.07212870601389278,0.13397287087035836,0.13201723645043825,0.14041508134864814,0.13990142659318636,0.025737888411303343,0.0066465142220500754,4.031884917695895
1.8,0.016636709159090417,0.05729409126767339,0.029820108977702063,0.031074119979263265,0.10477223968031739,0.08226701702141878,0.08454232951887712,0.057987260123400955,0.05856454991931364,0.06696649227532415,0.1287469303537731,0.12643478383404505,0.13586247439501933,0.13521677443311955,0.024064617188109497,0.0066293038402587354,3.934057533204099
1.85,0.01663300762550293,0.057141358785291606,0.02981856536438268,0.031072282001518303,0.10302000930608196,0.08208029872190774,0.08432934810505648,0.057975340038550816,0.058551929672339485,0.06219549526836914,0.12352462307710836,0.12088379847287786,0.1312990993989258,0.13053125741943386,0.02239914065888814,0.0065944362905903265,3.8369580285240126
