Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(3),J_6s1/2(2),J_total_Ir_relativistic
0.0,0.009626042124117667,0.03428887495656855,0.016701632373294126,0.01867214793560819,0.07561894887359398,0.044250355135081396,0.047571892489820355,0.030712834848237863,0.03144973952322447,0.1567533544050872,0.09861079318897943,0.10635975953347886,0.08054391873820699,0.08244923371642407,0.07211058470341229,0.07313729958359595,0.374535825083757,0.25129201118632966,0.2767377328877698,0.30468899587978926,0.3237926864814758,1.4406671536824265,11.138372915041677
0.05,0.00962603166005657,0.03428845711087434,0.016701632371371317,0.018672147934079248,0.07561370062916296,0.04425035503223085,0.04757189234214561,0.030712834848236673,0.031449739523223094,0.15670217472449013,0.0986107871016769,0.10635975064821716,0.08054391873724219,0.08244923371528617,0.07211058470341064,0.07313729958359401,0.3738732788380886,0.25129136191416324,0.2767366691073257,0.30468895178220196,0.32379260584218317,1.409257864459998,11.07410951112884
0.1,0.009626000267971108,0.03428720360766591,0.016701632359849537,0.018672147920319234,0.07559795820310385,0.04425035410672542,0.047571891013307416,0.03071283484819739,0.03144973952317774,0.15654874150635292,0.0986107323581378,0.10635967075238321,0.08054391870544307,0.08244923367778396,0.07211058470319927,0.07313729958334429,0.37189312938309366,0.25128554951260157,0.276727158209662,0.30468755793639923,0.3237900804279928,1.3195924953846576,10.890414296298864
0.15000000000000002,0.009625947948154757,0.034285114548560786,0.016701632321469987,0.018672147866810956,0.07557172851539999,0.044250350508415054,0.047571885847036186,0.03071283484787014,0.03144973952279992,0.15629337185847192,0.09861051972346996,0.10635936048283491,0.08054391844095539,0.08244923336589105,0.07211058469943389,0.07313729957889745,0.368617699321503,0.2512631338395444,0.27669055301362094,0.3046766787539969,0.32377063834041203,1.1841476603425594,10.612111492048767
0.2,0.009625874701096642,0.0342821901029046,0.016701632227472233,0.0186721477277003,0.07553502309363075,0.044250341156086406,0.04757187242012159,0.030712834846363085,0.031449739521059936,0.15593659308510138,0.0986099678381141,0.10635855542154922,0.08054391722559862,0.08244923193289098,0.07211058466952942,0.07313729954359778,0.364083713078954,0.25120555255485905,0.2765967941926158,0.3046307946666877,0.32369010830434974,1.0201726601522731,10.273380819986242
0.25,0.00962578052748152,0.03427843050774573,0.01670163203760055,0.018672147438808028,0.07548785806438878,0.044250321741014585,0.04757184454826469,0.030712834841430718,0.03144973951536526,0.15547914088017392,0.09860882426080257,0.10635688786666588,0.08054391325934585,0.08244922725717745,0.07211058451927946,0.0731372993663493,0.35834159167368534,0.2510878522703974,0.2764058743455874,0.3044964131494977,0.32345942635724123,0.8458151082967249,9.909926724071884
0.30000000000000004,0.009625665428189776,0.034273836067799844,0.016701631700112796,0.01867214691764631,0.07543025414127734,0.04425028673192878,0.04757179429425807,0.03071283482848026,0.03144973950041354,0.15492195681042428,0.09860676691887935,0.10635388929249608,0.08054390288269321,0.08244921502701963,0.07211058395888699,0.07313729870575285,0.35145449405268986,0.2508796624772573,0.2760697633320636,0.30418748882062696,0.3229425049075332,0.6767906681764919,9.552300861769705
0.35000000000000003,0.009625529404297391,0.03426840715540423,0.016701631151791834,0.018672146063439952,0.075362236609501,0.04425022938138501,0.047571711978481195,0.03071283479929893,0.03144973946672359,0.1542661851009279,0.09860340595626096,0.10634899347927863,0.08054387960071004,0.08244918759333948,0.07211058226363778,0.07313729670913176,0.34349713224684786,0.2505463664026521,0.2755346825589639,0.30358983009761403,0.3219701774307973,0.5243978911247026,9.22200030528634
0.4,0.009625372457075934,0.034262144210462114,0.016701630317959466,0.01867214475715233,0.07528383530706634,0.04425014173353725,0.047571586191694666,0.030712834740505585,0.03144973939884861,0.15351316873899376,0.0985982859666845,0.10634154028830754,0.080543832926071,0.08244913261185885,0.07211057787191859,0.07313729154189258,0.3345543934625276,0.2500504149627077,0.27474359959000033,0.3025734046751389,0.32036512168468795,0.39501311141511286,8.930591166504698
0.45,0.009625194587992528,0.0342550477403768,0.016701629112492903,0.018672142861516028,0.07519508460261351,0.04425001463329645,0.04757140381011333,0.030712834631731082,0.031449739273276794,0.15266444491566972,0.09859088859736106,0.10633078005314005,0.08054374706157187,0.08244903149988402,0.07211056777513501,0.07313727967560998,0.324719806796746,0.2493527252302173,0.27363880764865955,0.301008633039761,0.31796880743178346,0.2907010439878638,8.681085847825235
0.5,0.009624995798709821,0.034247118319975754,0.01670162743784375,0.018672140221068157,0.07509602336990279,0.044249837736864764,0.047571150012734806,0.030712834443532403,0.03144973905602532,0.15172173982730797,0.09858063550575269,0.10631587855296985,0.08054359944546567,0.08244885773643273,0.07211054666122516,0.07313725489248113,0.3140938953983692,0.24841410346552703,0.27216445723993127,0.29878212546189986,0.3146626287379689,0.21039130785041368,8.470432097007599
0.55,0.009624776091085958,0.03423835659142464,0.016701625185059518,0.018672136662190347,0.07498669495898398,0.04424959952363087,0.047570808300896404,0.03071283413504633,0.031449738699934754,0.15068696286267502,0.09856689164993605,0.10629592252996085,0.08054335918537908,0.08244857503731351,0.07211050578528228,0.07313720697852474,0.30278245653274566,0.2471966346524791,0.27026891832462824,0.2958084688347751,0.3103792557295869,0.15114218498316406,8.292130498106017
0.6000000000000001,0.009624535467174535,0.03422876326413126,0.016701622233807625,0.0186721319931534,0.07486714716408036,0.04424928730940998,0.047570360520030025,0.030712833651389222,0.03144973814167164,0.14956220020395744,0.09854896889092696,0.1062699257084219,0.08054298540854123,0.08244813543909181,0.07211043155625035,0.07313712009673808,0.2908948121480212,0.24566498530513545,0.2679068696725621,0.29203655807120815,0.3051041885017844,0.10919882650693334,8.13838831418972
0.65,0.009624273929224565,0.0342183391146395,0.016701618452401926,0.018672126004166605,0.07473743218822189,0.04424888726101074,0.04756978688358124,0.030712832920810083,0.03144973729844788,0.1483497078726913,0.09852612988343108,0.10623683527019759,0.08054242555754844,0.08244747732758616,0.07211030384639437,0.07313697085265831,0.27854207126282554,0.2437875735525449,0.26504103518011773,0.28745065877776793,0.2988699663027787,0.08073508429624063,8.001595814567395
0.7000000000000001,0.009623991479680424,0.03420708498651326,0.016701613697831713,0.018672118467431654,0.07459760660466654,0.044248384412109106,0.047569065999055485,0.030712831851604876,0.031449736064466466,0.147051904254116,0.09849759222977328,0.1061955387375838,0.08054161366188045,0.08244652344760647,0.07211009404877197,0.0731367260865366,0.26583544293165917,0.24153756953500902,0.26164351284973336,0.2820674204173471,0.2917462599244634,0.06229016529527842,7.875161828622574
0.75,0.009623688121181813,0.034195001790210434,0.01670160781579322,0.018672109137201198,0.07444773131515144,0.04424776268040774,0.047568174896150985,0.030712830328800615,0.03144973430710368,0.14567136213570372,0.09846253287025229,0.10614487121247485,0.08054046861586518,0.08244517893106851,0.07210976292574756,0.07313634044680148,0.2528846348794202,0.2388936992640218,0.25769666862008483,0.27593040597026935,0.28382868592845867,0.05096853988357611,7.753860074978132
0.8,0.009623363856563694,0.03418209050294692,0.016701600640723603,0.018672097749841986,0.07428787150501935,0.044247004886057754,0.04756708905693497,0.030712828210618482,0.03144973186283891,0.14421080029763594,0.09842009268188047,0.10608362291832873,0.08053889249376196,0.0824433293803954,0.07210925830733375,0.07313575381705875,0.2397963683487616,0.23584083561797045,0.2531935923733817,0.2691035712979505,0.27522829506556584,0.04448305013614982,7.633857766387269
