Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_5d3/2(1),J_6s1/2(2),J_total_La_relativistic
0.0,0.014036036807044206,0.05013962332127981,0.024778793413242663,0.02622716065897534,0.11464617951158369,0.06767470606068439,0.07035503317393799,0.04639712086811805,0.04700527472162845,0.24575924376018432,0.15712904574137296,0.16337875853369221,0.13039710585475006,0.13203592253949265,0.6001491277289843,0.4142610162321666,0.43488652936512057,0.5521816479786146,2.084119829417837,12.658382869352478
0.05,0.014036006109058101,0.05013833457414582,0.024778793406301233,0.02622716065057841,0.11462827415258924,0.06767470520987663,0.0703550321420164,0.04639712086809436,0.04700527472160279,0.2455676566405075,0.1571289849600116,0.16337868453620097,0.1303971058253096,0.13203592250730448,0.5974856696653836,0.4142532487674771,0.434876566651032,0.5521792792516219,1.9917192653184155,12.467775022925526
0.1,0.014035914015661089,0.05013446855275965,0.024778793345938726,0.026227160575011208,0.1145745758281857,0.06767469755539057,0.07035502285833761,0.046397120867312895,0.047005274720756454,0.24499384141392555,0.15712843899169424,0.1633780199613964,0.13039710485704675,0.1320359214487687,0.5895707576092519,0.4141843497599327,0.43478834142193856,0.5521096703417754,1.7401610570195944,11.947001717707767
0.15000000000000002,0.01403576052853704,0.050128025917099354,0.02477879311355916,0.026227160281170284,0.11448513776605317,0.06767466780487484,0.07035498677722335,0.04639712086080541,0.04700527471370885,0.2440406286594892,0.15712632226367734,0.16337544404738524,0.13039709683022213,0.13203591267482373,0.5766270993319452,0.41392242697095116,0.4344538101192346,0.5516212579364617,1.394181563986852,11.224691710617897
0.2,0.014035545650492339,0.05011900776689718,0.024778792511564725,0.02622715951730255,0.11436004857886926,0.06767459051715577,0.07035489304935981,0.04639712083085365,0.04700527468127174,0.24271271004254724,0.1571208430636044,0.16336877867811547,0.1303970601143626,0.1320358725493205,0.5590138817605336,0.413263342892477,0.43361510703170614,0.5498258232411508,1.0294108576811802,10.45049242444215
0.25,0.014035269385455768,0.050107415641292924,0.024778791263449004,0.026227157931134188,0.11419943211438956,0.06767443017119876,0.07035469861180303,0.04639712073289922,0.04700527457519208,0.24101659969459688,0.15710952958644173,0.16335502266251684,0.13039694100432045,0.13203574241081878,0.5372096971134104,0.41195210200703597,0.43195448607991593,0.5453684955149158,0.7057085959189892,9.74194003131386
0.30000000000000004,0.014034931738478354,0.0500932515183489,0.024778789013927372,0.026227155070051016,0.11400344724608723,0.06767414126234171,0.07035434831354813,0.04639712047595033,0.047005274296938876,0.238960580798332,0.15708926577460355,0.16333039883339234,0.1303966316658262,0.13203540453553045,0.5117903736626234,0.40970889488580037,0.42913016226700185,0.5368679162827912,0.45449189556200453,9.159706398705783
0.35000000000000003,0.014034532715733175,0.05007651781442668,0.02477878532910455,0.026227150381330198,0.11377228760487706,0.06767366842548975,0.07035377507622659,0.04639711989761709,0.047005273670679755,0.23655463801809248,0.15705633634225277,0.1632904130997568,0.1303959436579466,0.13203465333593456,0.4834032343319562,0.4062566930783075,0.4248133489396532,0.5234183211219486,0.2807809617861414,8.71234419826452
0.4,0.014034072324515116,0.05005721738342602,0.02477877969667917,0.026227143212423126,0.11350618125259566,0.06767294658487366,0.07035290008937456,0.046397118733943345,0.04700527241063275,0.233810376580507,0.15700648022390296,0.16322992437449277,0.13039457831268766,0.13203316322492584,0.4527394723143594,0.40134733747646306,0.41872202882620035,0.5048488867057451,0.17301278148989263,8.376305565370012
0.45,0.014033550573240584,0.05003535351588625,0.02477877152618524,0.026227132811289303,0.1132053902980541,0.06767190112988981,0.07035163303959645,0.04639711658423766,0.047005270083017345,0.23074092896152132,0.1569349515530402,0.16314322411261972,0.13039209540324176,0.13203045474013256,0.42050634709555795,0.3947835308335555,0.4106478956976813,0.48167465195498094,0.11330866469847832,8.116524171859364
0.5,0.014032967471447177,0.050010929937950636,0.024778760149270388,0.026227118326781013,0.11287021045662118,0.06767044811645608,0.07034987237283238,0.04639711287113996,0.047005266062865834,0.2273608502718865,0.1568365871612181,0.1630241240381554,0.13038788161607417,0.13202586061063806,0.3874007779028185,0.38643490757812426,0.40047421459140714,0.45486064423300293,0.08441128324782518,7.900104144126822
0.55,0.014032323029793315,0.049983950810194216,0.02477874482001069,0.026227098809078513,0.11250097055443373,0.06766849449323818,0.07034750558882628,0.04639710679619202,0.04700525948599125,0.2236860035515406,0.15670587949412307,0.16286605051262204,0.13038112035593047,0.13201849345652178,0.3540856704380949,0.37624725229210687,0.3881837861682319,0.42555300068635626,0.0728601294699647,7.7024050291719615
0.6000000000000001,0.014031617260057824,0.049954420726315625,0.024778724715261886,0.026227073210175512,0.11209803197846475,0.06766593835202249,0.07034440956678271,0.0463970972912101,0.04700524919644109,0.21973343628253195,0.15653705377005048,0.16266214390791503,0.1303707643583867,0.13200721674249627,0.3211699922212696,0.36424481681152004,0.37385750817758046,0.39487097285039446,0.06956301748341037,7.507935853734029
0.65,0.014030850175139472,0.04992234471169366,0.024778698935046826,0.026227040384414542,0.11166178807381102,0.06766266920143675,0.07034045092109763,0.046397082965786256,0.04700523368979705,0.21552124950896315,0.15632414815906331,0.16240536129171415,0.1303555124667005,0.13199062046655577,0.28919325134594265,0.3505264219550993,0.3576650242604542,0.3637856353107531,0.06909403866291144,7.308753570867754
0.7000000000000001,0.014030021789056464,0.04988772822180922,0.02477866650297885,0.026226999089071962,0.11119266348968691,0.06765856826314864,0.07033548638594896,0.046397062051270505,0.04700521105270914,0.21106846101007365,0.15606109573819682,0.16208858071511245,0.13033379175640242,0.13196700286251845,0.2586146708981535,0.33525654895123064,0.3398495530064389,0.3330715682578065,0.06863228873125939,7.102192170957341
0.75,0.014029132116945906,0.04985057714053338,0.024778626366720895,0.026226947984992154,0.11069111347573225,0.06765350878960368,0.07032936322743996,0.0463970323416097,0.04700517889907835,0.2063948640086247,0.15574180697919435,0.1617047054089247,0.13030374597264294,0.13193435914387658,0.2298070189387799,0.3186529038764003,0.32070920167895195,0.30330576346344496,0.06699771065489184,6.888821502874275
0.8,0.014028181175063196,0.0498108977782825,0.02477857739848003,0.026226885637270537,0.11015762313035686,0.06764735640230024,0.07032191968190048,0.046396991131439795,0.047005134303324814,0.2015208829112287,0.15536025154960623,0.1612467662455894,0.13026323099379652,0.1318903780295331,0.20305477554210588,0.300971994086258,0.3005769559474113,0.27489082834094347,0.06393456216581964,6.670925105166726
0.8500000000000001,0.014027168980781402,0.0497686968700413,0.02477851839553715,0.026226810515984942,0.10959270660295382,0.06763996944953904,0.0703129854188697,0.04639693515184663,0.04700507373119826,0.1964674275706023,0.15491053825431456,0.16070802090524858,0.13020981776313786,0.13183244648476303,0.17855610805114164,0.2824941347655831,0.27980119873015324,0.24808693687293495,0.059640762127085634,6.451487194244827
0.9,0.014026095552590582,0.04972398157325471,0.024778448080811488,0.026226720996974897,0.10899690625191673,0.06763119938252858,0.0703023820272089,0.046396860504225826,0.04700499296860436,0.19125574753271962,0.1543869920108555,0.16008204829432912,0.1301408028515893,0.13175766279806692,0.15642798833481467,0.2635090649185602,0.2587281526649163,0.22304379093083715,0.05448749145854822,6.2335754250810425
