Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(4),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(1),J_7s1/2(2),J_total_Np_relativistic
0.0,0.007273553831362263,0.026302117520199616,0.012584358624039317,0.015056992547557626,0.057713520339557185,0.03351939724744911,0.0375151317245115,0.024026647075935898,0.024880180646480093,0.11407317116114331,0.07135830316421521,0.07931528016111372,0.058347504546233095,0.06010955295264837,0.046505805840288225,0.04718628907385965,0.231172608877175,0.1514918392344603,0.16954618391482099,0.1412904217689062,0.14612211221513388,0.19536952349584688,0.5410349127403468,0.377783010702444,0.4433880212413318,0.6913385111512894,1.9690385946686118,14.576648335796508
0.05,0.007273548955008328,0.026301925776565253,0.012584358621990187,0.015056992547030546,0.057711170927469045,0.03351939722150949,0.03751513167906982,0.024026647075935693,0.02488018064647984,0.11405296465909759,0.07135830195682266,0.07931527811001252,0.05834750454614729,0.06010955295254336,0.04650580584028822,0.04718628907385964,0.23100102523892765,0.15149178627785376,0.1695460906577087,0.14129042172486275,0.1461221121588491,0.19536952323411444,0.5389871703583685,0.37777797090534243,0.44337665482485195,0.69132502528883,1.8910548280892425,14.416127123044
0.1,0.007273534325975555,0.026301350555023587,0.01258435861433022,0.015056992542286936,0.057704123296374574,0.033519396988073595,0.03751513127013938,0.02402664707592891,0.0248801806464715,0.11399236767810127,0.07135829109482242,0.07931525965896634,0.058347504543317275,0.060109552949080165,0.046505805840287365,0.04718628907385867,0.23048707561569684,0.15149131051151463,0.16954525321597533,0.14129042027651273,0.1461221103084618,0.19536949291662134,0.5328932703930701,0.3777331540994321,0.4432760991699609,0.6909540241078417,1.6766372655926998,13.973072435373581
0.15000000000000002,0.007273509944351037,0.026300391883658025,0.01258435859652189,0.015056992523840212,0.05769237926152016,0.033519396080393525,0.037515129680127345,0.02402664707587244,0.024880180646401996,0.1138914477527029,0.07135824887990726,0.07931518795903168,0.05834750451975438,0.06010955292024685,0.04650580584027204,0.047186289073841314,0.2296331578064261,0.15148946544767775,0.16954200790121277,0.14129040827222492,0.14612209497856976,0.1953690313836502,0.5228991788681313,0.37756211171375315,0.4428954016624469,0.688582097006068,1.375906096316066,13.345430944924605
0.2,0.0072734758102799306,0.02629904980927142,0.012584358561003314,0.015056992475881182,0.057675941847438524,0.03351939372090018,0.03751512554712329,0.024026647075612396,0.02488018064608185,0.11375031730434261,0.0713581392186968,0.07931500174273498,0.05834750441132467,0.06010955278757342,0.04650580584014933,0.04718628907370237,0.22844324795640011,0.15148468754891678,0.1695336127961678,0.14129035337820445,0.14612202491848922,0.1953660331877857,0.5092415765610843,0.3771292897008453,0.4419430557543097,0.680815235798084,1.049501564402488,12.65011032390138
0.25,0.007273431923965452,0.026297324397381815,0.012584358497189266,0.015056992376280704,0.05765481528663242,0.0335193888217191,0.03751511696601493,0.02402664707476123,0.02488018064503383,0.11356913343751049,0.07135791172818784,0.07931461554458547,0.05834750405681105,0.060109552353833896,0.0465058058395265,0.0471862890729972,0.2269228705067286,0.1514748169193586,0.16951629347712932,0.14129017536108962,0.14612179789333693,0.19535418332173698,0.4922383833183889,0.3762618608667944,0.44006281564780675,0.6639559403663111,0.7485234702844729,11.984443180622199
0.30000000000000004,0.0072733782856688745,0.02629521573221652,0.012584358391472573,0.015056992196593422,0.05762900501773296,0.033519379985392006,0.03751510149004862,0.024026647072525942,0.024880180642281438,0.11334809765510657,0.07135750188289197,0.07931392000852562,0.05834750312718054,0.06010955121658009,0.04650580583717448,0.04718628907033446,0.22507905657801414,0.1514571258326441,0.16948530579535903,0.1412897132447146,0.14612120911444776,0.19532053313220205,0.47227629218666206,0.37476451286606716,0.4368761198222628,0.6361690691319305,0.503465093980191,11.40638524290328
0.35000000000000003,0.007273314895709523,0.026292723916704463,0.012584358227225922,0.01505699190206255,0.05759851768313384,0.03351936550580361,0.03751507613283314,0.02402664706748772,0.024880180636077578,0.11308745549373715,0.07135683120316985,0.07931278228105948,0.05834750103563141,0.06010954865825059,0.046505805829953985,0.04718628906216096,0.2229202912346315,0.15142835466700322,0.16943501452354665,0.1412886859947231,0.14611990177668294,0.19524491900509133,0.44979603287936354,0.372435712411628,0.43202525824381693,0.5983362024137747,0.32374740630987975,10.934611369917842
0.4,0.007273241754464776,0.026289849072466853,0.012584357984804064,0.015056991451625739,0.05756336112610285,0.03351934336931284,0.03751503737078482,0.02402664705733334,0.024880180623573916,0.11278749607988812,0.07135580748413509,0.07931104648845014,0.05834749682915115,0.06010954351379966,0.04650580581092844,0.04718628904062705,0.22045645019239346,0.15138475470922386,0.16935898638214866,0.14128664871098331,0.1461173123892301,0.19510179773574898,0.42527618472437567,0.36908390829795784,0.42521184947620033,0.5532942084125826,0.20385682521465398,10.560190740792057
0.45,0.007273158862370052,0.026286591339806167,0.01258435764154641,0.015056990797921988,0.05752354438737258,0.033519311256087654,0.03751498114601171,0.024026647038538802,0.024880180600431484,0.1124485516081182,0.0713543250643667,0.0793085342960375,0.05834748906246666,0.06010953401698448,0.04650580576633999,0.047186288990167226,0.21769872664061532,0.1513221371908514,0.16925009570473168,0.14128294653650228,0.1461126138729785,0.19486356026474716,0.39921639731814884,0.3645422603952683,0.4162264543324054,0.5044955378725602,0.13098888882700083,10.26066195311486
0.5,0.007273066219918811,0.02628295087769343,0.01258435717178005,0.015056989887299628,0.05747907770121254,0.033519266541642445,0.03751490286963398,0.02402664700600567,0.024880180560373187,0.11207099674261331,0.07135226513353823,0.07930504554739662,0.05834747565541148,0.06010951762663311,0.0465058056710843,0.04718628888238575,0.2146595489482366,0.15123592783340895,0.16910064078668335,0.141276668613486,0.14610465952944157,0.19450387317194628,0.3721208538275904,0.35868075400804483,0.40496689185806595,0.454998030752645,0.09098080802031375,10.010965609772628
0.55,0.007272963827662545,0.0262789278637538,0.012584356546823137,0.015056988659825354,0.05742997249098511,0.03351920629857671,0.037514797425537344,0.02402664695265079,0.02488018049467905,0.11165524794363703,0.07134949607794451,0.07930035898073812,0.058347453734870026,0.06010949083438795,0.04650580548228821,0.047186288668801785,0.211352490111407,0.15112122610623568,0.16890246879224732,0.14126660442905029,0.14609193096079104,0.194000062956653,0.3444827340311752,0.3514149264141966,0.3914446525177944,0.40702987772342714,0.07162581267848463,9.78965949228595
0.6000000000000001,0.007272851686210769,0.02627452249425048,0.012584355734988702,0.015056987049294325,0.057376241364188195,0.03351912729851372,0.03751465917455601,0.024026646868950008,0.024880180391625022,0.1112017627206005,0.07134587386278428,0.0792942330196465,0.05834741946258487,0.06010944895558039,0.04650580513057131,0.0471862882709844,0.20779216987569044,0.15097286834186238,0.16864710697382962,0.1412512047975336,0.1460724928442652,0.19333428615111384,0.31677031293972346,0.34271083612777775,0.3757803919606906,0.36197213674617046,0.06384755023778844,9.581218694047854
