Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(2),J_6s1/2(2),J_total_Os_relativistic
0.0,0.009798252047522344,0.03488781631069881,0.017008378740274728,0.01895040321389179,0.07700527491397834,0.045080251213044396,0.048364208527970846,0.031244546897156677,0.0319743231494314,0.1601457995533626,0.10079601448827902,0.10854158817568159,0.08241664146426088,0.08433694286744901,0.07502037848083361,0.0761175537220711,0.387454885921533,0.26054835861799225,0.28640398510600795,0.3241840586028701,0.34498791893107766,1.471535573004446,11.17584907219863
0.05,0.009798241051656699,0.03488737655202515,0.01700837873830517,0.01895040321224605,0.07699973625395726,0.04508025110024694,0.04836420836766956,0.03124454689715533,0.03197432314942985,0.16009130701099658,0.10079600769108533,0.1085415783325688,0.08241664146311008,0.08433694286609422,0.07502037848083068,0.0761175537220676,0.3867268409380221,0.2605475836034685,0.28640272783549287,0.3241839854827587,0.3449877852352952,1.43812804893064,11.107449777330073
0.1,0.009798208064165707,0.034886057312870394,0.0170083787261175,0.01895040319743491,0.07698312279750792,0.04508025008523958,0.04836420692522119,0.031244546897110884,0.031974323149378724,0.15992794687948994,0.10079594656566981,0.10854148982733425,0.08241664142518298,0.08433694282144723,0.07502037848045531,0.07611755372161888,0.38455145300657606,0.2605406484184329,0.2863914924238159,0.3241816899289179,0.3449836311620606,1.3429362625383332,10.912275990093637
0.15000000000000002,0.00979815308536719,0.0348838587038275,0.017008378684876143,0.018950403139839228,0.07695544211352336,0.045080246138987076,0.04836420131730793,0.031244546896740635,0.03197432314895281,0.15965607122451325,0.10079570915621855,0.10854114614546241,0.08241664110976198,0.0843369424501775,0.07502037847377793,0.0761175537136401,0.38095478240920666,0.2605139201066331,0.2863482825436947,0.32416395314140856,0.34495202231267835,1.1996741816236085,10.617592522442312
0.2,0.009798076115790845,0.034880780909199036,0.017008378583193245,0.018950402990102498,0.07691670681033216,0.04508023588246181,0.048364186742783595,0.03124454689503558,0.03197432314699136,0.15927626542070197,0.10079509302027169,0.10854025446994442,0.08241663966058695,0.08433694074464826,0.07502037842084412,0.07611755365042899,0.3759796659892011,0.2604453249194355,0.28623772674957765,0.32409013683312177,0.34482308214768576,1.0271792261807993,10.260671532401087
0.25,0.009797977156178231,0.03487682418696866,0.01700837837713585,0.018950402679143934,0.07686693452596664,0.04508021459068657,0.04836415648924143,0.031244546889455285,0.03197432314057201,0.15878934605710912,0.10079381644851147,0.10853840773021117,0.08241663493224456,0.08433693518088708,0.07502037815550988,0.07611755333382883,0.36968484114786143,0.2603052844750757,0.2860129240569822,0.32387746074966006,0.34446053846472385,0.8450655608837643,9.880007812268163
0.30000000000000004,0.009797856207482757,0.03487198886876117,0.01700837801023591,0.01895040211817678,0.07680614791455359,0.0450801761983863,0.04836410194219418,0.03124454687480398,0.03197432312371802,0.158196358020134,0.10079152016040806,0.10853508744708398,0.08241662256490599,0.0843369206317131,0.0750203771687036,0.07611755215748686,0.3621437574374179,0.2600579577200975,0.28561785950624563,0.3233977248459357,0.3436652845263958,0.6700556977266184,9.50798576958307
0.35000000000000003,0.009797713270869656,0.034866275359791206,0.01700837741350317,0.018950401198731856,0.07673437462884339,0.04508011330724094,0.04836401259685155,0.031244546841791076,0.03197432308574293,0.15749857076909027,0.1007877694637969,0.1085296673504851,0.08241659482479555,0.08433688800645636,0.07502037419351627,0.07611754861484733,0.35344311175605275,0.25966272575377297,0.28499023895371384,0.32248882034459575,0.34220386987006474,0.5138777233858454,9.166788279034673
0.4,0.009797548347715969,0.03485968413880053,0.017008376505440917,0.01895039979268631,0.07665164729889715,0.04508001719472899,0.048363876072476046,0.0312445467752803,0.031974323009237395,0.1566974738237229,0.10078205686323957,0.10852141774042713,0.08241653923216302,0.08433682264408367,0.07502036651561428,0.07611753948432678,0.34368115072527283,0.25907584617981133,0.28406457199906526,0.32097710266333446,0.33984988243269554,0.38283544767839967,8.867721468367407
0.45,0.009797361439610507,0.034852215757983945,0.017008375192064558,0.01895039775229756,0.07655800350695616,0.04507987782454937,0.048363678129294055,0.031244546652232478,0.031974322867704304,0.15579477148699117,0.10077380509893394,0.10850951055588545,0.08241643700250972,0.08433670249138782,0.07502034893992075,0.0761175186135656,0.3329657895892236,0.2582521979881007,0.28277532510409287,0.3187028119900801,0.3364223485751296,0.2785967552680967,8.61298222690345
