Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(2),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(1),J_7s1/2(2),J_total_Pa_relativistic
0.0,0.00753425958306308,0.027167590068918758,0.013033805501862535,0.01543815354803695,0.05959889986441616,0.03465233804740632,0.03855442973429419,0.024713457899693224,0.025552076073445156,0.11839348696621808,0.07410455629537595,0.08200877341421135,0.06048049561688318,0.062250579141987485,0.0485289855309777,0.049222128751301254,0.2431251315532678,0.159515040031843,0.17771824914348355,0.14932290528687936,0.15426169355668878,0.2320417129063062,0.5689353752708644,0.3981119649051149,0.4616610836093745,0.6936263128935961,2.015358121689639,14.773698107102618
0.05,0.007534254228343844,0.02716737928741138,0.01303380549989299,0.015438153547440806,0.05959631410331965,0.03465233801682992,0.03855442968226462,0.02471345789969297,0.02555207607344485,0.11837095763608069,0.07410455483815566,0.08200877099361598,0.06048049561677149,0.06225057914185159,0.04852898553097769,0.04922212875130124,0.2429275228817054,0.1595149721658674,0.17771813245169688,0.14932290522185032,0.15426169347431135,0.23204170386135378,0.566566633706692,0.39810547569644,0.46164729792989895,0.693614047665547,1.9312966905231315,14.600310861262846
0.1,0.007534238164219778,0.02716674695382966,0.013033805492204103,0.015438153542075634,0.05958855752993619,0.0346523377416685,0.03855442921405256,0.024713457899684682,0.025552076073434744,0.118303396637897,0.0741045417289683,0.0820087492194702,0.06048049561308807,0.06225057913736999,0.04852898553097632,0.04922212875129969,0.24233570709658167,0.15951436256844828,0.17771708479298504,0.14932290308433377,0.15426169076735863,0.2320407827366123,0.5595230973760851,0.398047841082951,0.4615254923843758,0.6932744157885886,1.7011747855389854,14.123694899150863
0.15000000000000002,0.007534211390791819,0.027165693100993742,0.013033805473455364,0.015438153521211853,0.05957563227365465,0.03465233667175542,0.03855442739355813,0.024713457899615675,0.025552076073350544,0.11819088489561537,0.07410449078283983,0.0820086646107049,0.060480495582421946,0.0622505791000607,0.048528985530951835,0.049222128751272,0.24135270647695778,0.15951199920121062,0.177713026196002,0.14932288538004704,0.15426166835699004,0.2320291249791265,0.5479900202268836,0.3978283028461192,0.4610652411584202,0.6910832644812839,1.381203697898466,13.453951368263247
0.2,0.007534173908228189,0.02716421778360038,0.013033805434746765,0.015438153466968935,0.05955754188235868,0.03465233389057929,0.03855442266151519,0.0247134578992979,0.02555207607296272,0.11803355710683944,0.07410435845006505,0.08200844488532409,0.060480495441319865,0.06225057892840456,0.04852898553075584,0.0492221287510504,0.23998353022256594,0.15950588176675665,0.17770253236787206,0.14932280449623136,0.15426156603815203,0.231968235769893,0.5322669755735275,0.39727429589884633,0.4599170899703174,0.6838282149209711,1.0383705455856493,12.720612995653727
0.25,0.007534125716764395,0.027162321078217637,0.013033805363620048,0.01543815335431857,0.05953429132078087,0.03465232811593319,0.03855441283684088,0.02471345789825776,0.02555207607169317,0.11783160147987734,0.07410408395373583,0.0820079892392203,0.060480494980045506,0.06225057836730058,0.04852898552976139,0.04922212874992613,0.23823513290435097,0.15949325100909065,0.17768089724664832,0.1493225425135687,0.154261234900898,0.23177898209872605,0.512754718949205,0.3961680119840566,0.45765849975479267,0.6678785738445722,0.7276196032151784,12.028443158735744
0.30000000000000004,0.00753406681670323,0.02716000308327753,0.013033805244060462,0.015438153151089096,0.05950588696820011,0.034652317700822756,0.03855439511852305,0.02471345789552622,0.025552076068359054,0.11758525936663745,0.07410358948158434,0.08200716873479437,0.06048049377066219,0.06225057689635663,0.048528985526007574,0.04922212874568273,0.23611635698664402,0.1594706290430405,0.1776422187273444,0.1493218634455837,0.1542603774550862,0.231360701540955,0.48993801102632417,0.39426685584023896,0.4538476032519402,0.6412321676715469,0.4800148790347642,11.436067433960222
0.35000000000000003,0.007533997208414762,0.027157263919066543,0.013033805056499023,0.015438152817971187,0.05947233661548373,0.034652300634632434,0.038554366088043676,0.024713457889369593,0.02555207606084422,0.11729482479239312,0.07410278043144863,0.08200582679766938,0.0604804910502501,0.062250573588057,0.048528985514489406,0.049222128732663906,0.23363786009902865,0.15943387003916282,0.1775795057733782,0.14932035660906215,0.15425847710251278,0.2306278719917036,0.4643654818221391,0.3913255619467867,0.4480769022560848,0.6044543134289957,0.3032183198051567,10.958160802736874
0.4,0.007533916892336334,0.027154103727714048,0.013033804777815267,0.015438152308524815,0.05943364946147646,0.03465227454454892,0.038554321712335776,0.024713457876961453,0.02555207604569885,0.11696064388372406,0.07410154570947568,0.08200377981931584,0.06048048558028884,0.06225056693712944,0.04852898548415729,0.04922212869838479,0.2308120279109284,0.15937822042287744,0.17748480469673408,0.1493173743320601,0.15425472125013756,0.22953363557901835,0.4366277536843841,0.38711770673686063,0.440019801807971,0.5600939617490152,0.1891332350947283,10.580382839027376
0.45,0.007533825868972556,0.027150522673178617,0.013033804381340507,0.015438151569187458,0.05938983610873866,0.03465223669724056,0.03855425734727083,0.024713457853996257,0.0255520760176681,0.11658311419622303,0.07409975807998823,0.08200081786294534,0.06048047548344647,0.06225055466270302,0.04852898541311731,0.049222128618113606,0.22765287362338468,0.1592983875964326,0.17734934201953348,0.1493119675322427,0.1542479227534281,0.22807022140119013,0.4073350763582428,0.38145460660662933,0.42946476969608777,0.511455942250499,0.12268849107296723,10.275848671064805
