Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(3),J_total_phosphorus
0.0,0.05913474940280354,0.2506291224830321,0.898397139165137,0.13419039155074672,0.6155602636263322,0.11826949880560708,0.5012582449660642,0.8051423493044803,1.796794278330274,1.8466807908789966,5.068145162285422
0.05,0.05913254200127254,0.250471134128529,0.890952236349752,0.13419035402789947,0.6155028635394832,0.11826508400254508,0.500942268257058,0.8051421241673968,1.781904472699504,1.8465085906184497,5.052762539744954
0.1,0.05912592026046853,0.24999788402462422,0.8690336188240122,0.1341900172421876,0.6150046155939976,0.11825184052093705,0.49999576804924845,0.8051401034531256,1.7380672376480244,1.8450138467819928,5.006468796453328
0.15000000000000002,0.0591148855709469,0.24921150972867323,0.8338461940249763,0.13418871307870092,0.6131726396424494,0.1182297711418938,0.49842301945734646,0.8051322784722055,1.6676923880499526,1.8395179189273483,4.928995376048746
0.2,0.05909944024842406,0.24811554960993526,0.7872606726548955,0.13418534285663156,0.6087755831870794,0.11819888049684812,0.4962310992198705,0.8051120571397894,1.574521345309791,1.826326749561238,4.820390131727537
0.25,0.059079587533671256,0.24671490712601932,0.7316305095627401,0.13417839868718845,0.600544254851883,0.11815917506734251,0.49342981425203863,0.8050703921231307,1.4632610191254802,1.8016327645556491,4.681553165123642
0.30000000000000004,0.05905533159712836,0.24501580201018708,0.6695764919494949,0.13416599176526578,0.5874586250471037,0.11811066319425673,0.49003160402037416,0.8049959505915947,1.3391529838989897,1.762375875141311,4.514667076846527
0.35000000000000003,0.05902667755164712,0.24302570949767643,0.603768878165036,0.13414588638615746,0.5689511035607229,0.11805335510329425,0.48605141899535287,0.8048753183169448,1.207537756330072,1.7068533106821686,4.323371159427833
0.4,0.058993631476198155,0.24075328894306156,0.5367335090761708,0.13411553853646824,0.5449916317434514,0.11798726295239631,0.4815065778861231,0.8046932312188094,1.0734670181523416,1.6349748952303544,4.112628985440025
0.45,0.05895620045218562,0.23820830333916368,0.47070071167656247,0.13407213806159446,0.516058588505739,0.11791240090437125,0.47641660667832736,0.8044328283695668,0.9414014233531249,1.5481757655172173,3.8883390248226073
0.5,0.05891439261247383,0.23540153133661512,0.407506379341806,0.1340126535747112,0.4830269738674261,0.11782878522494766,0.47080306267323024,0.8040759214482672,0.815012758683612,1.4490809216022784,3.6568014496323356
0.55,0.05886821720165083,0.23234467338303366,0.34854559113044487,0.1339338793837972,0.44701614125943456,0.11773643440330166,0.4646893467660673,0.8036032763027832,0.6970911822608897,1.3410484237783038,3.4241686635113457
0.6000000000000001,0.05881768464471347,0.22905025355869763,0.2947721513960642,0.13383248375318219,0.40923563717713635,0.11763536928942694,0.45810050711739525,0.8029949025190931,0.5895443027921284,1.227706911531409,3.1959819932494526
