Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(3),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_6s1/2(2),J_total_Pr_relativistic
0.0,0.013475297834755423,0.04807163888677522,0.02372788102611419,0.025224742735895866,0.10924536964872071,0.06442538066647038,0.06715550244809974,0.04414190724127309,0.044760333361005177,0.2338435785245643,0.14920467809443788,0.15572146468574763,0.12371547100860225,0.12543989934073826,0.12543989934073826,0.5918548577509468,0.41047077495873013,0.4343926308808697,2.16718130202881,12.523789943702193
0.05,0.013475270557511618,0.048070501855609446,0.023727881020402,0.025224742728997357,0.10922982934289253,0.06442538000079162,0.06715550162973219,0.04414190724125666,0.04476033336098728,0.23367786407115432,0.14920463071388393,0.15572140589684838,0.12371547098747264,0.12543989931738417,0.12543989931738417,0.5893339069311931,0.41046324580921406,0.4343825589583354,2.0661949817998653,12.316354879853879
0.1,0.013475188726242862,0.0480670909407003,0.02372788097136479,0.02522474266691468,0.1091832224532196,0.06442537401165731,0.06715549426703199,0.044141907240714616,0.044760333360397066,0.23318146582312627,0.14920420504328433,0.1557208778187705,0.12371547029236546,0.12543989854917167,0.12543989854917167,0.5818400135284496,0.4103964742161746,0.43429341477591,1.7926023782572174,11.75259544971451
0.15000000000000002,0.013475052342337117,0.04806140667776054,0.02372788078331448,0.025224742425505965,0.10910559104153959,0.06442535073256929,0.06715546565023683,0.04414190723620053,0.04476033335548185,0.2323566135013149,0.14920255425492826,0.15571883040868514,0.12371546452769479,0.12543989217917073,0.12543989217917073,0.5695767707386227,0.4101427169982872,0.43395567927694817,1.4198844593703304,10.978942096403834
0.2,0.013474861408107597,0.048053449959472194,0.023727880296816956,0.025224741797933305,0.10899700513897437,0.06442529025198852,0.06715539130646926,0.04414190721542159,0.04476033333285688,0.23120700464997102,0.1491982794407687,0.1557135304791098,0.12371543814481609,0.12543986303188856,0.12543986303188856,0.5528727912833742,0.40950445258537704,0.4331099309761935,1.0322740432651196,10.163066082650353
0.25,0.013474615926792687,0.048043222035227776,0.0237278792887611,0.025224740494760537,0.10885756263819082,0.06442516476217174,0.0671552370646823,0.04414190714745693,0.04476033325885604,0.22973777686743566,0.149189448114772,0.15570258672069826,0.12371535249518772,0.1254397684330515,0.1254397684330515,0.5321664497566446,0.40823530778944617,0.4314378513338658,0.694215238399082,9.432922445961408
0.30000000000000004,0.013474315902555817,0.04803072451076819,0.023727877472455357,0.02522473814409005,0.10868738914291037,0.06442493862734261,0.06715495914629593,0.0441419069691461,0.04476033306471506,0.22795546935845384,0.14917361971075635,0.15568298413492485,0.123715129860721,0.12543952261709074,0.12543952261709074,0.5079860502288063,0.40606544808212575,0.4285990660404455,0.4371563334174427,8.850493488003956
0.35000000000000003,0.01347396134048532,0.04801595934771742,0.023727874497751822,0.025224734291738535,0.10848663777500972,0.06442456847099862,0.06715450428123869,0.04414190656772974,0.044760332627678485,0.22586797422963595,0.1491478776800972,0.155651127293328,0.1237146341753451,0.1254389755329857,0.1254389755329857,0.48092676273612917,0.40272834321738016,0.4242688139228486,0.26345944627833806,8.419779658442216
0.4,0.013473552246594245,0.047998928863014274,0.023727869951197734,0.025224728401451593,0.10825548893965203,0.06442400328209856,0.06715380984902843,0.04414190575984722,0.044760331748147086,0.22348447805895236,0.14910886769439982,0.15560289169549704,0.12371364929857791,0.1254378890236936,0.1254378890236936,0.4516258204250127,0.3979858986293687,0.41817178072465333,0.1584302976400141,8.111013197574264
0.45,0.013473088627820134,0.047979635728241384,0.023727863356214345,0.025224719855157042,0.10799415004898208,0.06442318453982165,0.06715280404444876,0.04414190426701793,0.04476033012300653,0.22081539437154415,0.14905284136878053,0.15553368236927273,0.1237118558100996,0.12543591147397526,0.12543591147397526,0.42073748426537727,0.39164944175287575,0.41010848504594655,0.10189810745172664,7.883927299263434
0.5,0.013472570492024777,0.04795808296885185,0.02372785417330303,0.025224707953256795,0.10770285520501206,0.06442204635653523,0.06715140606730087,0.04414190168775405,0.04476032731530186,0.21787228774610642,0.14897570484341927,0.15543849874626123,0.12370880735989534,0.12543255209142096,0.12543255209142096,0.3889091740861016,0.38359483674466704,0.39997206635169147,0.07545178636825457,7.702280860556637
0.55,0.013471997847993921,0.04793427396329379,0.023727841800278537,0.025224691914957117,0.1073818648424159,0.06442051563855626,0.067149526335636,0.04414189746647294,0.044760322720444584,0.21466779035739728,0.1488730714959061,0.15531200475580287,0.12370390762959987,0.12542715600394946,0.12542715600394946,0.356759955637138,0.3737709049909905,0.38775487411538495,0.06534580171828165,7.539666889534387
0.6000000000000001,0.013471370705436957,0.04790821244203324,0.023727825572529244,0.025224670878637088,0.10703146533203843,0.06441851226424117,0.06714706672180262,0.04414189085939647,0.04476031552916069,0.21121551182999704,0.1487403180056522,0.15514860301250868,0.12369638893760528,0.12541888132470436,0.12541888132470436,0.32486229428558844,0.36220119419199726,0.3735456136039612,0.06266758658400617,7.379797318119634
