Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(5),J_6s1/2(1),J_total_Pt_relativistic
0.0,0.009457508399070088,0.03370438780145017,0.016402022499958837,0.018401323378829822,0.07427205480765879,0.043443922169748364,0.04680347867913604,0.030198058888516607,0.030942113583291585,0.15345767730761944,0.09649151861516515,0.1042432054801298,0.07874112325650616,0.08063213932349558,0.0695126640238076,0.07048700878099814,0.3635474876017964,0.24371134228636326,0.2695389567380069,0.30360667743680064,0.3272207254901749,1.4892518208118608,10.250880158503653
0.05,0.009457498437947133,0.03370399062145228,0.01640202249807367,0.018401323377408026,0.07426707901776991,0.04344392207587928,0.04680347854293568,0.030198058888515553,0.030942113583290364,0.1534095832550832,0.09649151315727852,0.10424319744846738,0.07874112325569357,0.08063213932253514,0.06951266402380657,0.07048700878099694,0.36293705336312543,0.24371077784037165,0.2695380085428215,0.30360662160341956,0.3272206058061951,1.455256446807666,10.215551174835419
0.1,0.009457468554668655,0.033702799112604674,0.016402022487143102,0.018401323364612296,0.07425215375941915,0.0434439212311893,0.046803477317341684,0.03019805888848076,0.030942113583250053,0.15326539650217844,0.0964914640724463,0.10424312522544066,0.07874112322890964,0.0806321392908795,0.06951266402367513,0.07048700878084244,0.36111231049631287,0.24370572347672026,0.2695295289836686,0.30360486608117626,0.32721689134607485,1.3584444798020894,10.114699039909917
0.15000000000000002,0.009457418749505814,0.033700813368341055,0.01640202245134303,0.018401323314853727,0.07422728536503677,0.04344391794705603,0.04680347255242152,0.030198058888190958,0.030942113582914234,0.15302540294933858,0.09649127340698498,0.10424284473610798,0.07874112300611272,0.08063213902758254,0.06951266402133174,0.07048700877808858,0.3580928175171712,0.24368622308888857,0.2694968806851032,0.30359127090218946,0.32718867462402923,1.2128982376006245,9.9622134267637
0.2,0.009457349022910537,0.033698033544369205,0.01640202236430371,0.01840132318549126,0.07419248438361685,0.04344390941119373,0.04680346016843987,0.030198058886856338,0.03094211358136767,0.15269007805318818,0.09649077850304703,0.10424211688383503,0.07874112198218637,0.08063213781768068,0.06951266400269873,0.07048700875620095,0.35391077187271336,0.24363610050697704,0.26941321072745694,0.3035345192823695,0.3270738167343169,1.037899558132379,9.776864504055235
0.25,0.009457259375515508,0.03369445985864844,0.01640202218911537,0.018401322916842336,0.07414776557313846,0.04344389169077787,0.04680343446108152,0.030198058882488252,0.030942113576305913,0.15226008526562776,0.09648975289202942,0.10424060908459716,0.07874111864004445,0.08063213386915936,0.06951266390894019,0.07048700864612376,0.34861042144995047,0.24353356524592054,0.2692427107344627,0.3033703926147199,0.32675168098709906,0.8534288960922867,9.577673874741599
0.30000000000000004,0.00945714980813416,0.033690092591358044,0.016402021878336087,0.018401322432197834,0.07409314788996646,0.04344385973681372,0.04680338810875226,0.030198058871019128,0.030942113563015634,0.15173627385898078,0.09648790753732198,0.10423789739888217,0.07874110989422993,0.08063212353866868,0.06951266355860736,0.07048700823508,0.34224726347555723,0.243352021313883,0.2689422774311233,0.30299853039781877,0.32604702091534393,0.6764080942666655,9.380170483002571
0.35000000000000003,0.009457020321760653,0.03368493208485668,0.016402021374001905,0.01840132163784124,0.07402865447524325,0.04344380738974321,0.04680331218194689,0.030198058845174985,0.03094211353306847,0.15111967614754895,0.09648489241845118,0.10423346924525913,0.07874109026602784,0.08063210035964874,0.06951266249652888,0.07048700698989337,0.33488705252642675,0.24306104273822013,0.26846347985522506,0.30229049169489747,0.32475580306549695,0.5185949551395006,9.194454378579604
0.4,0.009456870917569856,0.03367897874363281,0.016402020607639196,0.018401320423072076,0.07395431263828574,0.04344372738628274,0.04680319615467009,0.030198058793103583,0.030942113472732066,0.15041150411876186,0.09648029844651686,0.1042267266753894,0.0787410509039363,0.08063205389000497,0.06951265973828932,0.07048700375893499,0.32660464411539336,0.2426274729560572,0.2677547253892539,0.301106465981384,0.3226818140337154,0.38621072660620714,9.025082626595937
0.45,0.00945670159691733,0.03367223303424615,0.01640201950027926,0.01840131866023358,0.07387015383700528,0.04344361136748297,0.04680302791789297,0.03019805869676187,0.030942113361102707,0.14961314548986118,0.09647365969874415,0.10421699018615987,0.07874097846592887,0.08063196839964705,0.06951265337926345,0.07048699631737564,0.3174827040705818,0.2420166011782643,0.26676351052823505,0.2993148796530918,0.31966988382122713,0.2808021439255674,8.872184660390769
