Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(6),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_7s1/2(2),J_total_Pu_relativistic
0.0,0.007197070361123458,0.02589194459054869,0.012367144078821222,0.014872542849031754,0.056804936103142516,0.032970811454463796,0.03701402277414793,0.023695603558260087,0.024556700247816105,0.11201094455372623,0.07004337154446683,0.07803076630608238,0.05733588006959771,0.05909519073053456,0.04556874824570854,0.046244433099180526,0.22584617946903962,0.1479076607984234,0.1660659159839411,0.13810686543195147,0.14298847209263724,0.2158467551519109,0.5381630945904952,0.3769834049479579,0.44979802850312656,2.09914101498213,14.568624320458323
0.01,0.007197070174945989,0.025891937273481776,0.012367144078746579,0.014872542849031351,0.056804846481497674,0.032970811454444485,0.03701402277411358,0.023695603558260087,0.024556700247816105,0.11201017829979035,0.07004337154357533,0.0780307663045535,0.05733588006959771,0.05909519073053456,0.04556874824570854,0.046244433099180526,0.2258397474910769,0.14790766076019418,0.16606591591544853,0.13810686543195067,0.14298847209263618,0.21584675515185855,0.5380826557785269,0.37698340083469795,0.44979801834387023,2.0953876027911598,14.560941978516345
0.02,0.007197069616413629,0.025891915322294914,0.012367144078520423,0.014872542849025384,0.056804577617457885,0.032970811454157034,0.03701402277360236,0.023695603558260087,0.024556700247816105,0.11200787957096789,0.07004337153033395,0.07803076628180236,0.05733588006959761,0.05909519073053443,0.04556874824570854,0.046244433099180526,0.2258204527109694,0.14790766019132984,0.1660659148962676,0.13810686543189898,0.14298847209256937,0.21584675513912688,0.5378414164086992,0.3769833396486381,0.4497978672512005,2.0841712998257518,14.537982391925663
0.03,0.007197068685526504,0.025891878737029687,0.012367144078136053,0.01487254284899957,0.05680412951370738,0.032970811452912946,0.037014022771389835,0.023695603558260087,0.024556700247816105,0.11200404846621222,0.070043371473043,0.07803076618333796,0.05733588006959655,0.05909519073053312,0.04556874824570854,0.046244433099180526,0.22578829858972263,0.1479076577295312,0.16606591048581457,0.13810686543135522,0.14298847209186727,0.21584675483326354,0.5374396075524895,0.37698307503135675,0.4497972140464871,2.0656229728039803,14.500006011496836
0.04,0.007197067382284831,0.0258918275177554,0.012367144077582316,0.014872542848930099,0.05680350217471979,0.03297081144956476,0.03701402276543529,0.023695603558260076,0.02455670024781609,0.11199868515043793,0.07004337131887367,0.07803076591835041,0.057335880069591116,0.05909519073052645,0.04556874824570854,0.046244433099180526,0.22574329089455897,0.1479076511050688,0.166065898618202,0.13810686542860606,0.14298847208831744,0.2158467520694765,0.5368776139068264,0.3769823636527212,0.4497954589809471,2.039957649865338,14.447440754829266
0.05,0.007197065706688914,0.02589176166456909,0.012367144076843596,0.01487254284878363,0.05680269560675818,0.032970811442506076,0.037014022752881834,0.023695603558260028,0.024556700247816036,0.11199178985450921,0.070043370993874,0.07803076535972357,0.05733588006957254,0.05909519073050362,0.04556874824570854,0.046244433099180526,0.225685437697238,0.14790763714193592,0.16606587360486555,0.13810686541920084,0.14298847207617338,0.21584673748325847,0.5361559731618862,0.37698086610886095,0.449791767042873,2.007470001747823,14.380872950525834
0.06,0.007197063658739139,0.025891681177595507,0.012367144075899809,0.014872542848517308,0.05680170981787479,0.032970811429671544,0.03701402273005644,0.023695603558259903,0.024556700247815887,0.1119833628752238,0.0700433704029771,0.07803076434405277,0.057335880069522525,0.05909519073044221,0.04556874824570854,0.046244433099180526,0.22561474937170567,0.14790761175946227,0.16606582813823875,0.13810686539390454,0.14298847204351187,0.21584668263920515,0.5352753751182026,0.37697814817358394,0.44978507255555533,1.9685282219329132,14.301035046373675
0.07,0.007197061238435981,0.02589158605698713,0.01236714407472642,0.014872542848078754,0.056800544817911025,0.032970811408537005,0.03701402269247015,0.023695603558259618,0.02455670024781554,0.11197340457529212,0.07004336943001195,0.07803076267166754,0.0573358800694081,0.05909519073030175,0.04556874824570854,0.046244433099180526,0.2255312385910736,0.14790756997438698,0.166065753296473,0.13810686533607267,0.14298847196884518,0.2158465193853599,0.5342366605552682,0.3769736823975334,0.4497740850340706,1.9235665008380427,14.208790458204046
0.08,0.007197058445780003,0.025891476302924165,0.01236714407329442,0.014872542847406063,0.056799200618497206,0.03297081137611948,0.03701402263481813,0.02369560355825904,0.024556700247814832,0.11196191538331188,0.0700433679377164,0.07803076010665956,0.05733588006917527,0.059095190730015915,0.0455687482457085,0.04624443309918048,0.22543492032392987,0.14790750590338952,0.16606563854919934,0.1381068652184531,0.14298847181699495,0.2158461099052208,0.5330408198544251,0.37696685004781155,0.44975729626052563,1.8730763293521608,14.10511602668468
0.09,0.007197055280771851,0.02589135191561453,0.01236714407157034,0.014872542846427809,0.05679767723305244,0.032970811328977306,0.03701402255097989,0.023695603558257974,0.024556700247813507,0.11194889579373817,0.07004336576775268,0.07803075637691533,0.057335880068741386,0.05909519072948329,0.04556874824570841,0.04624443309918038,0.2253258118299824,0.14790741276607774,0.16606547176432762,0.13810686499942154,0.14298847153423674,0.21584520923147912,0.5316889913794342,0.37695694337927255,0.44973298852914473,1.8175968968989047,13.99108262279293
