Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(1),J_5s1/2(1),J_total_Ru_relativistic
0.0,0.03767047718694115,0.13642333575392163,0.06794577656246334,0.14045354823585768,0.3310083408190484,0.19686810760288093,0.4036766910637553,0.27551596445384313,0.4167474914682888,0.8111790911981352,0.5360672060168896,1.1040002348676479,1.2179776894364283,0.9321426965993544,1.680126202628841,8.287802853894297
0.05,0.03767033198825857,0.13641688678645447,0.06794577649851456,0.14045354808899618,0.3309029745131198,0.1968680962948323,0.40367666547239905,0.27551596445188287,0.4167474914651855,0.8095625915265735,0.5360653749474795,1.1039959668683692,1.217977409952064,0.9321424407246626,1.6327404311472837,8.238681950726075
0.1,0.037669896396835094,0.13639754191559175,0.06794577592475844,0.1404535467674075,0.33058709070633496,0.19686799460382598,0.4036764353434814,0.2755159643872714,0.4167474913629019,0.8047339782925685,0.5360490011838552,1.103957818746445,1.2179686607388396,0.9321344572829995,1.49934925014447,8.100054903797586
0.15000000000000002,0.03766917042654323,0.13636530723476242,0.06794577369580553,0.14045354162890303,0.33006133396659454,0.19686759963565495,0.40367554157731306,0.2755159638498474,0.416747490512154,0.7967554333208089,0.535985965493022,1.1038110591242891,1.2179013438088293,0.932073334899396,1.3033302963409124,7.895159155514837
0.2,0.03766815410050279,0.13632019289572525,0.0679457679038062,0.14045352827258034,0.3293267760275023,0.19686657458492132,0.4036732222165486,0.2755159613801788,0.41674748660279337,0.785729024550529,0.5358244457791546,1.1034353883381491,1.2176227238350648,0.9318219826441456,1.0753744120386433,7.654325641170245
0.25,0.03766684745107928,0.13626221310263828,0.06794575588014848,0.14045350054293795,0.32838491198337577,0.1968644507521025,0.40366841723361124,0.27551595331998097,0.416747473844549,0.7717944107285141,0.5354953743931896,1.1026710306787086,1.2168253163068798,0.9311082547387016,0.8452010366532923,7.406604947609709
0.30000000000000004,0.03766525051988178,0.13619138610376383,0.06794573419783227,0.14045345053562877,0.32723765499086005,0.19686063034683648,0.40365977518179375,0.2755159322307628,0.41674744046513745,0.7551257397285824,0.5349156720720013,1.1013267157168902,1.2150402110850527,0.929524825898235,0.6354778155978538,7.173688234671113
0.35000000000000003,0.03766336335776007,0.13610773418081654,0.06794569867451733,0.14045336860484584,0.32588732950548716,0.1968543900570568,0.4036456616593621,0.27551588490814716,0.41674736556981523,0.735927845585087,0.5339920721442522,1.099189057630689,1.2116858541399387,0.9265785964312359,0.4593704179917346,6.967564640440746
0.4,0.0376611860248012,0.1360112836359642,0.06794564437624154,0.14045324337233134,0.32433666308924897,0.19684488535812344,0.4036241695223862,0.27551579002629095,0.4167472154176295,0.7144318703424356,0.5326253214739111,1.0960327748778775,1.206154207305988,0.921770032497498,0.3212663587607826,6.7914206460815105
0.45,0.037658718590325435,0.1359020647764936,0.06794556562180519,0.1404530617379982,0.32258877683271325,0.19683115553085873,0.4035931307690623,0.2755156154531898,0.41674693917980143,0.6908904519163441,0.5307145331776393,1.0916311696900476,1.1979031500856092,0.9146728872489454,0.21924223371139548,6.642289454322229
0.5,0.03765596113288155,0.13578011189715486,0.06794545598781641,0.1404528088921518,0.3206471744423439,0.19681212935245354,0.4035501300060984,0.2755153152832812,0.41674646425466244,0.6655726278584113,0.5281614703411343,1.0857663066277383,1.1865282226912939,0.9049911342021015,0.14786842938297842,6.513993742352502
0.55,0.03765291374024151,0.13564546326020113,0.06794530831439193,0.14045246832929703,0.3185157300504438,0.19678663141960576,0.40349251939642267,0.2755148266385649,0.41674569122121113,0.6387586071235211,0.5248745582829165,1.0782383868017962,1.1718004325958484,0.8925838009110636,0.10049036725482183,6.399497705340347
0.6000000000000001,0.03764957650939455,0.13549816107314144,0.06794511471150677,0.14045202186351452,0.3161986748114713,0.1967533890590289,0.4034174349771484,0.27551406629336445,0.41674448851954254,0.6107345579387949,0.520772452776629,1.0688739012621422,1.1536704801450384,0.8774606934172886,0.07069942165369904,6.292384435011706
0.65,0.03764594954654059,0.1353382514642273,0.06794486656598578,0.14045144964538778,0.3137005823543463,0.19671103977666043,0.40332181422748403,0.27551292718080295,0.41674268695103267,0.5817875502680535,0.5157870297165598,1.057532253568096,1.1322481241497615,0.859758513176008,0.05307168452263847,6.1875547231135855
0.7000000000000001,0.037642032967083044,0.13516578445569508,0.06794455454912894,0.14045073018046114,0.3110263531657211,0.19665813919353825,0.4032024147581812,0.27551127484101756,0.4167400740941756,0.5522007770227176,0.5098657043465098,1.0441106571922179,1.1077678825856647,0.8397078579249333,0.04339462333031684,6.081388860607362
