Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(2),J_5p1/2(2),J_5p3/2(1),J_total_Sb_relativistic
0.0,0.015962018492635555,0.05729548679087707,0.02841638913668419,0.029720195346206114,0.1340234585669634,0.07933012206844335,0.08189832573723482,0.05463511360737222,0.0552217013343681,0.3057158362461768,0.1976651978139471,0.2048100587079948,0.17772437057512028,0.18008585598726273,0.9598558654663761,0.7647389229342821,0.8168424277293201,9.50984662258759
0.05,0.01596197384276554,0.05729356965968597,0.028416389123426155,0.02972019533042484,0.13399511113822224,0.07933012017322423,0.08189832351705288,0.05463511360729038,0.0552217013342806,0.30535729141776946,0.19766500278692395,0.2048098250626806,0.17772437017355266,0.18008585554102688,0.9498860065751098,0.7645469778092671,0.8165785452657655,9.488480082334403
0.1,0.015961839894193336,0.05728781869261985,0.028416389005552378,0.029720195188405928,0.1339101070630404,0.07933010312488431,0.08189830354614479,0.054635113604591334,0.05522170133139516,0.3042843504253341,0.1976632532653323,0.20480772964935404,0.1777243570360322,0.18008584094668856,0.9206677913270723,0.7629215418883345,0.8143613797601021,9.422235818899445
0.15000000000000002,0.015961616650032425,0.057278235169024805,0.028416388548812253,0.029720194636186772,0.13376856088587263,0.07933003687842027,0.08189822594701529,0.05463511358212326,0.05522170130737584,0.302505059009204,0.1976564843533612,0.20479962575373858,0.17772424901025757,0.18008572099919185,0.8741871711123121,0.7571642529953624,0.8065999801473197,9.306089760908817
0.2,0.015961304115471763,0.057264821220559474,0.028416387362949467,0.0297201932007053,0.13357066321888392,0.07932986483544482,0.08189802443555115,0.054635113478759066,0.05522170119687807,0.3000327116152641,0.19763901513398863,0.20477872340127112,0.17772376038254287,0.18008517880085348,0.813477855648618,0.744043759080613,0.7891967935085517,9.135534097553844
0.25,0.015960902297775536,0.05724757983031813,0.02841638490194393,0.029720190220113157,0.1333166803001352,0.07932950805842845,0.08189760658768294,0.05463511314092402,0.05522170083574016,0.29688568104693125,0.19760308661489828,0.20473576711136246,0.17772219794749933,0.18008344652331246,0.7422634811877844,0.7210282140641646,0.7592796795925475,8.91005710038195
0.30000000000000004,0.01596041120628279,0.05722651483160383,0.02841638046435019,0.029720184844213824,0.13300695337718854,0.07932886556927064,0.0818968542109046,0.05463511225540814,0.05522169988918454,0.29308718458063227,0.19753904913401948,0.20465927679134624,0.17771821141557168,0.18007903116624638,0.66455351215579,0.6871144255631708,0.7162175504672124,8.635007088634193
0.35000000000000003,0.015959830852406976,0.05720163090635238,0.028416373193732088,0.029720176035025254,0.13264189791826408,0.07932781473084326,0.08189562381885727,0.0546351102641287,0.05522169776075256,0.28866499099764203,0.19743559377375194,0.2045358442114117,0.17770952841200516,0.18006942570264356,0.584258252897176,0.6430241459997567,0.6616603586664154,8.321253292952354
0.4,0.015959161249635374,0.057172933583208164,0.028416362079193316,0.029720162567466613,0.13222200265367293,0.07932621170977454,0.08189374720669126,0.054635106261686765,0.05522169348289073,0.2836510740494692,0.19728002114269846,0.20435047589322572,0.17769270590421823,0.18005084150274075,0.5048747496998809,0.5908602817596739,0.5988558192409676,7.983185416342324
0.45,0.01595840241352844,0.05714042923525302,0.02841634595600342,0.02972014303016848,0.13174782845082855,0.07932389201837883,0.08189103212444115,0.054635098876731125,0.0552216855902902,0.2780812187928133,0.19705853994300607,0.2040869720076266,0.17766292774683048,0.18001799509781016,0.4292735148069986,0.5334912404925508,0.5317060242168465,7.636111627707361
0.5,0.01595755436171902,0.05710412507738968,0.02841632350631882,0.029720115826405883,0.13122000702670175,0.07932067113328539,0.08188726304518804,0.05463508613830267,0.05522167197725441,0.2719945879821096,0.19675658707902727,0.20372833005023736,0.1776138726793739,0.17996397585405768,0.3595929561896892,0.4739303194793649,0.46394741459316463,7.293986236210281
0.55,0.015956617113911487,0.05706402916338147,0.02841629325999821,0.029720079175153357,0.13063923950212816,0.07931634518798283,0.08188220202434138,0.0546350653284797,0.055221649740529524,0.26543325627727116,0.19635916069454146,0.20325716166663757,0.1775376694587725,0.17988021209373475,0.29722976272296286,0.414874034721866,0.3986355019498321,6.967952860857043
0.6000000000000001,0.01595559069188076,0.057020150382550136,0.028416253595511747,0.029720031112261153,0.1300062948029002,0.0793106917361752,0.08187558964595498,0.05463503282277893,0.0552216150091771,0.2584417204020046,0.19585115745335072,0.20265611102835004,0.17742494696983455,0.1797565429641388,0.24290214537037172,0.35844810362235024,0.33794017655137354,6.665760186822178
0.65,0.015954475119471224,0.05697249845613389,0.028416202740943305,0.029719969491751607,0.12932200791307522,0.0793034705825428,0.08186714605159806,0.054634983919886554,0.055221562763197576,0.2510663935708758,0.19521770559091253,0.20190826359506905,0.17726497826221707,0.17958139324575526,0.19675892818988508,0.30613271798889113,0.2831665085864084,6.391854410227676
0.7000000000000001,0.015953270422595558,0.05692108393330812,0.028416138775084983,0.029719891987234598,0.1285872779864045,0.07929442467721813,0.08185657204693682,0.0546349126623979,0.05522148664272456,0.24335509249407458,0.19444448574036596,0.20099753489759023,0.17704590949638008,0.1793420394372761,0.15850935073462097,0.25880771689552107,0.23489845567858392,6.147876579839134
0.75,0.015951976629233443,0.056865918186871235,0.028416059628623036,0.02971979609344088,0.12780306632223534,0.07928328107002577,0.08184355028084593,0.05463481165033149,0.055221378749703405,0.2353565250762565,0.19351803224257716,0.1999090300859546,0.17675505847105605,0.1790249486580935,0.1275537086832558,0.21685913366214163,0.19318426293134175,5.93332661670708
0.8,0.01595059376943018,0.0568070134085984,0.028415963085414286,0.029719679127872062,0.1269703942126525,0.07926975192029587,0.08182774649156432,0.05463467184925347,0.055221229444041675,0.2271197865637102,0.19242600854679387,0.19862936634423037,0.17637926316735808,0.17861616758841833,0.1031014138641711,0.18030380580036084,0.15771380448187905,5.746230556940606
0.8500000000000001,0.0159491218752952,0.05674438260426623,0.02841584678385202,0.029719538232565804,0.12609034066801275,0.07925353555784545,0.08180881081413785,0.054634482394900936,0.055221027136273956,0.21869387138054752,0.19115745135113674,0.19714695180678668,0.17590525868948836,0.1781017368800913,0.08426912096770181,0.1489061308325255,0.12796465577816354,5.5837210116702405
0.9,0.01594756098100049,0.05667803958835149,0.028415708218320308,0.029719370375974802,0.12516404002837628,0.07923431759053164,0.0817863791431538,0.05463423039622666,0.05522075807881812,0.21012720725123593,0.18970297927285204,0.19545221624845655,0.17532006095858998,0.17746810697713236,0.0701563928343262,0.12227490381770321,0.1033109744376569,5.442495492428362
0.9500000000000001,0.015945911122778874,0.056607998978407334,0.028415544740735595,0.029719172354957978,0.12419267946865735,0.07921177205361545,0.08176007454456975,0.05463390073880388,0.05522040615791499,0.20146721745766588,0.18805496302925084,0.19353779049201184,0.1746113371866331,0.17670253364071323,0.05989969802939906,0.09993714467723674,0.0830983584342965,5.319150957609465
1.0,0.01594417233892225,0.05653427618912052,0.028415353562174398,0.02971894079688224,0.12317749640559894,0.07918556259603651,0.08172950871027308,0.054633475890527826,0.05521995268833827,0.19275991624964145,0.18620765530589062,0.19139863311535177,0.17376774607690282,0.1757934351315522,0.05270747193824463,0.08139065823152859,0.06669140227982362,5.210410073193233
1.05,0.01594234466977968,0.056456887426053495,0.028415131754585786,0.029718672161833045,0.12211977581492181,0.07915534369858686,0.08169428344887752,0.05463293571153059,0.055219376212936995,0.18404954154429234,0.18415727964711615,0.18903210459001035,0.17277923439090975,0.1747306974015863,0.04787982622406752,0.06613908667300768,0.05350112840747385,5.113260926212082
1.1,0.0159404281577554,0.05637584967907529,0.028414876252587373,0.029718362744931972,0.12102084746720775,0.07912076191888684,0.08165399220617044,0.054632257270188715,0.05521865230902924,0.17537822813812498,0.1819020787893205,0.18643799039401418,0.17163728054135258,0.17350591827624803,0.04481660214751499,0.05371359682903354,0.0429985202891993,5.0250320151865076
1.1500000000000001,0.01593842284730671,0.05629118071548534,0.0284145838553434,0.029718008678759372,0.11988208309124822,0.07908145715800856,0.08160822160856838,0.054631414667048954,0.05521775340360395,0.16678572373974218,0.17944232383944986,0.1836184758786779,0.1703350798395301,0.17211258605367502,0.04301713229108098,0.043684929042142086,0.0347190030790487,4.943421515672678
1.2000000000000002,0.01593632878494181,0.056202899072834704,0.028414251228523448,0.029717605935880093,0.11870489347372362,0.07903706394356085,0.08155655302291903,0.05463037886842777,0.0552166485992089,0.15830914923423983,0.17678028655766734,0.18057807670485482,0.16886766965660144,0.17054619190670167,0.042074531885194694,0.03566882767888571,0.028261385848565412,4.866496029357904
1.25,0.01593414601921746,0.056111024051449056,0.028413874906340293,0.029717150331470224,0.11749072550417429,0.07898721272404574,0.08149856412600397,0.05462911755135533,0.05521530351230747,0.149982803732037,0.17392017771824894,0.17732352948482552,0.16723199586048873,0.16880427876096482,0.04166673965241278,0.0293271426975976,0.02328368184537651,4.792670298912632
