Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_3d_one_electron,J_4s_one_electron,J_4p_one electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(1),J_3d(10),J_4p(4),J_total_Se
0.0,0.025545136909418075,0.09392448483098906,0.2468519975960741,0.04747847893381074,0.15056626837449189,0.11412748350569465,0.8385947065703246,0.6004847614081745,0.05109027381883615,0.18784896966197812,0.28487087360286445,0.4937039951921482,0.9033976102469513,1.6771894131406493,1.1412748350569466,2.401939045632698,7.141315016353072
0.05,0.02554496060081387,0.09391605074124372,0.24668010978758115,0.0474784787650452,0.15056621546165158,0.11412748347148856,0.8323518374626787,0.6004340328257501,0.05108992120162774,0.18783210148248744,0.2848708725902712,0.4933602195751623,0.9033972927699094,1.6647036749253574,1.1412748347148856,2.4017361313030006,7.128265048562701
0.1,0.02554443168565803,0.09389075218173148,0.24616527742417438,0.047478477245271364,0.15056574056229388,0.1141274823486594,0.8139330253895273,0.5999926575062717,0.05108886337131606,0.18778150436346297,0.28487086347162816,0.49233055484834876,0.9033944433737633,1.6278660507790546,1.141274823486594,2.399970630025087,7.088577733719255
0.15000000000000002,0.02554355019587751,0.09384860043389433,0.24530998254462918,0.047478471329879375,0.15056390168608422,0.11412747306816243,0.7842393320619554,0.5983640092935318,0.05108710039175502,0.18769720086778865,0.28487082797927626,0.49061996508925837,0.9033834101165052,1.5684786641239108,1.1412747306816242,2.3934560371741274,7.020867936424246
0.2,0.025542316184541537,0.0937896147870908,0.2441183254009869,0.04747845593165755,0.15055915009362336,0.11412743079109183,0.744682147742383,0.5944356983322945,0.051084632369083074,0.1875792295741816,0.2848707355899453,0.4882366508019738,0.9033549005617402,1.489364295484766,1.1412743079109182,2.377742793329178,6.923507545621786
0.25,0.0255407297256559,0.09371382320027544,0.24259597201440333,0.04747842390497101,0.1505493608539595,0.11412729436162583,0.6970609269616493,0.5870365986570717,0.0510814594513118,0.18742764640055087,0.28487054342982604,0.48519194402880667,0.903296165123757,1.3941218539232987,1.1412729436162583,2.348146394628287,6.795408950602097
0.30000000000000004,0.02553879091389003,0.09362126310235741,0.24075008495933992,0.04747836602970836,0.1505318732592426,0.11412694232760644,0.6434159124336585,0.5751900257827424,0.05107758182778006,0.18724252620471482,0.28487019617825016,0.48150016991867983,0.9031912395554557,1.286831824867317,1.1412694232760643,2.3007601031309695,6.636743064959232
0.35000000000000003,0.025536499864250578,0.09351198222972007,0.23858924085378266,0.04747827099938557,0.150503539239018,0.11412616531299666,0.5858741340671567,0.5583033593619071,0.051072999728501156,0.18702396445944014,0.28486962599631344,0.4771784817075653,0.903021235434108,1.1717482681343134,1.1412616531299666,2.2332134374476285,6.4493896660378365
0.4,0.02553385671171754,0.0933860393997971,0.23612333815464212,0.047478125417192325,0.15046077793766588,0.11412463677158916,0.5265058119999008,0.5362605283260454,0.05106771342343508,0.1867720787995942,0.28486875250315397,0.47224667630928424,0.9027646676259953,1.0530116239998015,1.1412463677158915,2.1450421133041817,6.237019993681338
0.45,0.025530861610859854,0.09324350513386914,0.2333634985719682,0.047477913802550925,0.15039963482366045,0.11412188423685873,0.4672046189453027,0.5094146344064345,0.05106172322171971,0.18648701026773828,0.28486748281530555,0.4667269971439364,0.9023978089419626,0.9344092378906054,1.1412188423685874,2.037658537625738,6.004827640275593
0.5,0.025527514735447742,0.0930844620668304,0.23032196482846068,0.04747761860929813,0.15031584398650857,0.1141172631100668,0.40960012423879233,0.47850255814525755,0.051055029470895484,0.1861689241336608,0.2848657116557888,0.46064392965692136,0.9018950639190515,0.8192002484775847,1.141172631100668,1.9140102325810302,5.759011770995601
0.55,0.02552381627807782,0.09290900511171786,0.2270119967432635,0.0474772202552519,0.15020489255272612,0.1141099348132537,0.35500531926787937,0.44451571819595603,0.05104763255615564,0.18581801022343572,0.2848633215315114,0.454023993486527,0.9012293553163567,0.7100106385357587,1.1410993481325369,1.7780628727838241,5.506155172566106
0.6000000000000001,0.025519766449825315,0.09271724137719792,0.22344776685585255,0.04747669716193178,0.15006208635532325,0.11409885080279146,0.30439739923892234,0.40856119513000694,0.05103953289965063,0.18543448275439584,0.28486018297159066,0.4468955337117051,0.9003725181319395,0.6087947984778447,1.1409885080279145,1.6342447805200278,5.252630337495069
0.65,0.02551536547993517,0.09250928986259507,0.2196442561472775,0.04747602580266364,0.14988261610172454,0.11408274352770294,0.2584265737906149,0.3717391515784997,0.05103073095987034,0.18501857972519015,0.28485615481598187,0.439288512294555,0.8992956966103473,0.5168531475812298,1.1408274352770293,1.4869566063139987,5.004126863578202
0.7000000000000001,0.02551061361556085,0.09228528097442883,0.21561714994072578,0.04747518075718371,0.14966162331579483,0.11406012496349129,0.2174458148338074,0.33505102817148225,0.0510212272311217,0.18457056194885765,0.28485108454310226,0.43123429988145157,0.897969739894769,0.4348916296676148,1.140601249634913,1.340204112685929,4.765343905487759
0.75,0.025505511121556575,0.09204535591942896,0.21138273380291192,0.04747413477105029,0.14939426531212355,0.11402929289463755,0.1815539989426991,0.2993424988753575,0.05101102224311315,0.18409071183885792,0.28484480862630174,0.42276546760582384,0.8963655918727413,0.3631079978853982,1.1402929289463755,1.19736999550143,4.539848524520042
0.8,0.025500058280325547,0.09178966603177549,0.2069577892116965,0.04747285881853179,0.14907577842992575,0.11398834469089375,0.15064552467755654,0.26527782035062203,0.05100011656065109,0.18357933206355098,0.2848371529111907,0.413915578423393,0.8944546705795545,0.3012910493551131,1.1398834469089376,1.0611112814024881,4.33007262820488
0.8500000000000001,0.025494255391723952,0.09151837208816038,0.20235948886285374,0.04747132216804144,0.14870153873786723,0.1139351979509119,0.12446076515943265,0.23333841836813404,0.050988510783447905,0.18303674417632076,0.2848279330082486,0.4047189777257075,0.8922092324272034,0.2489215303188653,1.1393519795091192,0.9333536734725362,4.1374085814214485
0.9,0.025488102773017923,0.09123164365516614,0.19760529170328409,0.04746949244954481,0.1482671194361902,0.11386761709021125,0.10263326421040786,0.2038376332100933,0.050976205546035845,0.1824632873103323,0.28481695469726886,0.39521058340656817,0.8896027166171412,0.20526652842081572,1.1386761709021125,0.8153505328403732,3.9623629797406474
0.9500000000000001,0.02548160075888871,0.09092965850157837,0.19271283803975842,0.047467335723633056,0.1477683442336062,0.11378324473893345,0.08473110232823437,0.1769444192650026,0.05096320151777742,0.18185931700315675,0.28480401434179836,0.38542567607951683,0.8866100654016373,0.16946220465646875,1.1378324473893344,0.7077776770600104,3.8047346034497003
1.0,0.02547474970147982,0.09061260209559219,0.1876998453293762,0.04746481655212222,0.14720133605988922,0.11367963669010074,0.07029115956606777,0.1527104742011098,0.05094949940295964,0.18122520419118437,0.2847888993127333,0.3753996906587524,0.8832080163593353,0.14058231913213554,1.1367963669010075,0.6108418968044392,3.6637918927625477
1.05,0.025467549970478877,0.090280667195024,0.18258400547148454,0.04746189807012214,0.14656256058253025,0.11355429909617595,0.05884600009907179,0.1310970704652003,0.050935099940957754,0.180561334390048,0.28477138842073285,0.3651680109429691,0.8793753634951815,0.11769200019814358,1.1355429909617596,0.5243882818608012,3.5384344702105937
1.1,0.025460001953226535,0.08993405352866769,0.17738288456729423,0.047458542059539276,0.14584886411729805,0.1134047266404937,0.049943787779279235,0.11199940182588351,0.05092000390645307,0.17986810705733539,0.28475125235723564,0.35476576913458846,0.8750931847037884,0.09988757555855847,1.134047266404937,0.44799760730353405,3.4273307664264303
1.1500000000000001,0.02545210605484482,0.08957296755939834,0.17211382618362603,0.0474547090239619,0.14505750564891365,0.11322844049717284,0.04316205011378432,0.09526740502462884,0.05090421210968964,0.17914593511879667,0.2847282541437714,0.34422765236725206,0.870345033893482,0.08632410022756865,1.1322844049717284,0.38106962009851536,3.3290292129308043
1.2000000000000002,0.025443862698377503,0.08919762231465767,0.1667938591534313,0.04745035826484225,0.1441861828019887,0.11302302502350013,0.03811629852529479,0.08072277964608754,0.050887725396755006,0.17839524462931533,0.2847021495890535,0.3335877183068626,0.8651170968119322,0.07623259705058957,1.1302302502350012,0.32289111858435016,3.2420439006038593
1.25,0.02543527232493586,0.08880823726736772,0.16143961087819564,0.047445447958854026,0.1432330517187628,0.11278616228756558,0.03446454808078337,0.06817238171082869,0.05087054464987172,0.17761647453473545,0.28467268775312415,0.3228792217563913,0.8593983103125769,0.06892909616156674,1.1278616228756557,0.27268952684331477,3.164917484887237
1.3,0.0254263353938439,0.08840503824973248,0.15606722698069156,0.04743993523627201,0.14219674090583556,0.11251566370738017,0.03190871600434392,0.05741839705788476,0.0508526707876878,0.17681007649946495,0.28463961141763205,0.3121344539613831,0.8531804454350134,0.06381743200868784,1.1251566370738018,0.22967358823153905,3.09626491541521
1.35,0.025417052382778093,0.08798825738332992,0.15069229800686176,0.04743377626019816,0.14107635920538825,0.11220949825402535,0.03019375963254622,0.04826578787062599,0.050834104765556186,0.17597651476665985,0.28460265756118897,0.3013845960137235,0.8464581552323295,0.06038751926509244,1.1220949825402535,0.19306315148250397,3.0348016816273073
