Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_5s1/2(1),J_total_Rb_relativistic
0.0,0.04421841525902994,0.16197044473321792,0.08099080556307718,0.16600066809066696,0.41167549115002233,0.2466702051764737,0.5034287403414641,0.35827583518288353,0.5411815875907577,1.117758253738672,0.7614485101578687,1.5577295990523508,4.131958604793984,10.083307160830469
0.05,0.04421818204987963,0.16195967976585915,0.08099080540859943,0.16600066774728975,0.4114753350967863,0.24667016907197606,0.5034286604861817,0.3582758351661936,0.5411815875645046,1.1137620889201505,0.7614381462655783,1.5577062868313294,3.9575286526146733,9.904636096989002
0.1,0.04421748243255497,0.1619273896467848,0.08099080401954373,0.166000664657441,0.4108754980075834,0.24666984456027902,0.5034279427754116,0.35827583461675877,0.5411815867002776,1.1018666085705355,0.7613461006420663,1.5574993844136624,3.480679522267031,9.41495866330993
0.15000000000000002,0.044216316437433886,0.16187358872104296,0.08099079862022462,0.16600065264469965,0.4098778695667876,0.24666858518490964,0.5034251576947633,0.35827583005527996,0.5411815795257194,1.0823469816088447,0.7609954936804466,1.55671212227775,2.8193292495574473,8.731894225575349
0.2,0.044214684115143114,0.16179830088385966,0.08099078458843749,0.16600062142412628,0.4084855875214306,0.24666532061936838,0.5034179390588441,0.35827580914797824,0.5411815466438263,1.0556491612939851,0.7601107266427346,1.554728472183477,2.1130147809021125,7.994533735025324
0.25,0.04421258553655356,0.16170155956087573,0.08099075546135832,0.1660005566158906,0.4067030201961917,0.246658567227373,0.5034030083008686,0.35827574114333716,0.5411814396995419,1.0223717437163544,0.758343815432324,1.55077491735833,1.4748798503232627,7.315497560572262
0.30000000000000004,0.04421002079277374,0.16158340768051474,0.08099070294379006,0.16600043976431764,0.40453574222381955,0.2466464426663505,0.5033762080453614,0.3582755639527429,0.5411811610806604,0.9832421911367742,0.755306740813923,1.543995794046818,0.9676187319933371,6.756963147141183
0.35000000000000003,0.04420698999514141,0.16144389763851785,0.08099061691874182,0.1660002483623199,0.4019905036973582,0.24662668435686122,0.503332544540002,0.35827516832334905,0.5411805390669978,0.9390888643629616,0.7506061793737896,1.533533349497381,0.605508040493212,6.332783626626633
0.4,0.044203493275213286,0.16128309125469192,0.0809904854603238,0.16599995588117494,0.3990751930051993,0.2465966715949411,0.5032662384138704,0.35827437965083414,0.5411792992993543,0.8908104923527153,0.7438769887739619,1.5186038180135568,0.3709924855972301,6.025152592573067
0.45,0.044199530784752916,0.16110105972192748,0.08099029484893683,0.16599953180559707,0.395798793661489,0.24655345104222479,0.5031707831294547,0.3582729380592886,0.5411770335654855,0.8393447585199723,0.7348113090237953,1.498562162137362,0.23300282968724761,5.802984475987534
