Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_total_Sb_relativistic
0.0,0.015612041261902028,0.05598521284869189,0.02775021895330082,0.029077791811946207,0.1304025331636061,0.07714683405631956,0.07973164255301739,0.05306828092972482,0.053657807054623266,0.2940287587414756,0.18962859785511518,0.196576324221592,0.16714270092931757,0.1693037798667611,0.8814724527414178,0.6827962773374558,0.7301488756404424,9.610100088510153
0.05,0.015611999413657353,0.05598342338535456,0.027750218941477854,0.029077791797814712,0.1303763790638214,0.07714683241016951,0.07973164061406561,0.05306828092965928,0.05365780705455306,0.29370822201455987,0.18962844019413067,0.19657613496316004,0.16714270069570628,0.1693037796085724,0.873610450379125,0.6826863067109445,0.7299953283245101,9.593150917655878
0.1,0.015611873869856324,0.055978055375547,0.02775021883661809,0.029077791670641992,0.13029795016970938,0.07714681760188982,0.07973162317235065,0.05306828092749791,0.053657807052237716,0.29274884486964886,0.18962702545024454,0.1965744370844084,0.167142693041092,0.16930377115065373,0.8504908566521089,0.6817437643534603,0.7286883678604297,9.54031632288034
0.15000000000000002,0.015611664633297889,0.055969109959733164,0.02775021843058995,0.029077791176147012,0.13016734662365306,0.07714676005723935,0.07973155539750584,0.0530682809095043,0.05365780703296267,0.2911572998368364,0.18962154924440988,0.19656786734110857,0.1671426299489224,0.16930370146285809,0.813462279827942,0.6783441002897534,0.724023263046899,9.446628733968385
0.2,0.015611371708646812,0.0559565890381885,0.027750217376644182,0.029077789890706886,0.12998473508538844,0.07714661060315647,0.079731379386092,0.053068280826716635,0.05365780694428142,0.28894461968063617,0.18960740673019874,0.19655090976222508,0.16714234363064714,0.16930338537176565,0.7646122226440084,0.6703990454814412,0.7132777525089802,9.306631109596413
0.25,0.015610995102433451,0.05594049527025367,0.027750215189618822,0.02907778722162501,0.12975034836649083,0.07714630064324104,0.07973101438165003,0.05306828055609886,0.053657806654408155,0.2861260668631553,0.18957829432975823,0.19651602708834207,0.1671414242326083,0.1693023710265309,0.7065548071648367,0.6560156071892214,0.6941752713509919,9.117196002946933
0.30000000000000004,0.01561053482305345,0.0559208320732903,0.027750211246225922,0.029077782407506116,0.12946448492033286,0.07714574240237493,0.07973035708136844,0.05306827984665588,0.05365780589451671,0.2827209540337803,0.1895263483504592,0.19645383946072525,0.1671390662856311,0.1692997716315078,0.6421827301524741,0.6340273421083574,0.6655875518438923,8.879496229392176
0.35000000000000003,0.015609990880767338,0.05589760362133951,0.027750204785419827,0.029077774518737984,0.12912750818918114,0.07714482923943441,0.07972928202796929,0.05306827825101047,0.05365780418548861,0.2787524186899739,0.18944231682938653,0.19635334527923762,0.16713389927822084,0.1692940808480126,0.5744188489502943,0.6042514100222319,0.6277793788631213,8.599510647764012
0.4,0.01560936328770004,0.05587081484348406,0.027750194908846736,0.029077762458079418,0.12873984581056275,0.07714343602675813,0.07972764208503197,0.053068275043073564,0.053657800749799055,0.2742471559177976,0.1893157601306076,0.1962021780288731,0.16712381920953084,0.1692829908224905,0.5059980808191803,0.5674553960117009,0.5822255323226382,8.287154616890646
0.45,0.015608652057840304,0.05584047142191502,0.027750180581375197,0.02907774496135399,0.1283019886854858,0.077141419594753,0.07972526899359958,0.05306826912256769,0.05365779440936902,0.2692351137901315,0.18913527515002793,0.19598689198349165,0.16710583779317642,0.1692632314305152,0.43930078900554675,0.5251171765898536,0.5311739849220274,7.954592310053976
0.5,0.015607857207040034,0.05580657978970426,0.027750160631707137,0.02907772059824903,0.12781448991154085,0.07713861923974762,0.07972197400755165,0.053068258907284234,0.05365778347034286,0.26374915656074666,0.18888873748385138,0.19569326905835627,0.16707596424979956,0.16923044718614633,0.37624743829685836,0.47909765608276556,0.477153892252075,7.6143873061359715
