Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(6),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_5f5/2(3),J_6s1/2(2),J_6p1/2(2),J_6p3/2(4),J_6d3/2(1),J_7s1/2(2),J_total_U_relativistic
0.0,0.0074034597121117865,0.026731925522060905,0.01280728704188849,0.015245458135624591,0.05864742301646459,0.03407996798578972,0.03802835773365425,0.024365706406041743,0.025211749387029747,0.11620560518975695,0.07271207150453612,0.0806410143891007,0.05939537573595589,0.06116102344516237,0.0474920539050274,0.04817836706280123,0.236990335449317,0.15539005303730766,0.17349653882158803,0.14513805235497276,0.15001398367157479,0.20982660501678085,0.5542522746956028,0.3874045387420481,0.45194148816492247,0.6910665543164036,1.9908270926400957,14.669158204363324
0.05,0.007403454601538035,0.026731724475417763,0.012807287039880913,0.01524545813506422,0.058644958377001115,0.03407996795763233,0.038028357685048766,0.024365706406041514,0.02521174938702947,0.11618427265347779,0.07271207017871155,0.08064101216234788,0.059395375735858125,0.06116102344504308,0.04749205390502739,0.04817836706280122,0.2368063678886351,0.15538999320741753,0.1734964347656752,0.14513805230179916,0.1500139836039401,0.20982660398524078,0.5520553588035655,0.3873988460507628,0.4519290284255572,0.6910538846578408,1.9100336516847098,14.502687103469283
0.1,0.0074034392698480375,0.02673112134560908,0.0128072870322173,0.015245458130020999,0.058637565114009464,0.03407996770423899,0.03802835724764857,0.02436570640603402,0.025211749387020293,0.1161202996949134,0.07271205825140825,0.08064099213153267,0.05939537573263383,0.06116102344110899,0.04749205390502632,0.04817836706280001,0.2362553635507324,0.1553894557397515,0.17349550044674805,0.145138050553564,0.15001398138089347,0.2098264892903927,0.5455200012816933,0.3873482526893857,0.451818864769033,0.6907039618336273,1.688337488331522,14.044081036571018
0.15000000000000002,0.007403413717135565,0.026730116162996125,0.01280728701397522,0.015245458110409182,0.05862524519339142,0.034079966718962046,0.03802835554694788,0.024365706405971632,0.02521174938694384,0.11601376021847604,0.07271201189728989,0.08064091429473957,0.05939537570578913,0.061161023408356406,0.047492053905007034,0.04817836706277819,0.2353400103360435,0.15538737168980746,0.17349188028554882,0.14513803606831818,0.15001396296970326,0.20982484466450052,0.5348100050982187,0.38715533881683123,0.4514021703600257,0.6884545270492749,1.3786396163285821,13.396868609059485
0.2,0.0074033779435569,0.026728708978177865,0.012807286976951372,0.015245458059421128,0.05860800189066836,0.03407996415777463,0.03802835112625528,0.024365706405684345,0.0252117493865917,0.11586477724362057,0.07271189148788651,0.08064071214774747,0.059395375582263696,0.061161023257656766,0.04749205390485269,0.048178367062603575,0.23406476438613083,0.15538197603530637,0.17348251767897038,0.14513796985799488,0.15001387886584253,0.2098149060097721,0.5201906339211786,0.3866678050332667,0.4503611292211817,0.6810392439691342,1.0445019180670587,12.683834223550171
0.25,0.007403331949330838,0.026726899861986234,0.012807286909662699,0.015245457953530203,0.05858583978950952,0.03407995883984916,0.038028341947920034,0.024365706404744,0.025211749385438964,0.1156735226734321,0.07271164171193714,0.08064029293174689,0.05939537517842063,0.061161022765018905,0.04749205390406943,0.0481783670617175,0.2324358148265718,0.15537083222660092,0.17346320828365702,0.1451377552640086,0.1500136064933567,0.2097786900822455,0.502017513127282,0.38569238972237746,0.44830926134247157,0.6648192033658664,0.7388290339912691,12.005862533879261
0.30000000000000004,0.00740327573473868,0.02672468890547951,0.012807286797347968,0.015245457762494842,0.058558764779672985,0.034079949248366624,0.03802832539504742,0.024365706402274524,0.02521174938241158,0.1154402169715186,0.0727111917432841,0.0806395379786688,0.05939537411952076,0.061161021473443815,0.047492053901112136,0.048178367058372355,0.23046103496581843,0.15535086600815332,0.17342867311319934,0.14513719858494806,0.15001290062198497,0.20968435899602433,0.4807220705486704,0.3840121660625272,0.4448389172552822,0.6378660025278086,0.4924291692599748,11.421330492753423
0.35000000000000003,0.007403209300124229,0.026722076219933815,0.012807286621969777,0.015245457449363767,0.058526784054360646,0.03407993353155588,0.03802829827370112,0.024365706396708504,0.025211749375587993,0.1151651287480749,0.07271045545573666,0.08063830315265903,0.05939537173736275,0.06116101856825014,0.04749205389203563,0.04817836704810664,0.22814992049857621,0.1553184079752788,0.17337264999489688,0.1451359621535078,0.1500113346448083,0.20949016197648845,0.4567943933416808,0.3814054142131439,0.439569193738592,0.6008641978351468,0.31395457217054046,10.947097494882676
0.4,0.007403132645893791,0.026719061936832704,0.012807286362217027,0.015245456970482374,0.05848990610698899,0.03407990950396232,0.03802825681559064,0.02436570638549052,0.025211749361835525,0.11484857425622651,0.07270933168416006,0.08063641938582713,0.059395366946955575,0.06116101272698607,0.04749205386812614,0.04817836702106814,0.22551351540453268,0.15526924419586932,0.17328800158041227,0.14513351236262323,0.1500082360851145,0.2091526405760863,0.43076449421187213,0.3776642140686179,0.4321880939795778,0.5564617096804478,0.19671616945117354,10.571677817194157
0.45,0.007403045772516164,0.026715646207854892,0.01280728599350783,0.015245456275500259,0.058448140727377765,0.03407987464794463,0.03802819668124109,0.024365706364727714,0.02521174933638222,0.11449091679999962,0.0727077045308864,0.08063369330600262,0.05939535810326729,0.06116100194527112,0.04749205381210899,0.04817836695772971,0.22256432636511744,0.15519867410562613,0.1731668377979803,0.14512906541357418,0.15000262003769005,0.20863427065824489,0.40318301837583553,0.3726110817650062,0.42248428616029504,0.5080041498708355,0.12685388404631154,10.270460047382443
