Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_5s1/2(1),J_total_Rb_relativistic
0.0,0.0455111266918851,0.16709296387557512,0.08361240783946039,0.1711548195511924,0.4287046633785802,0.2573504241458386,0.5248737606045996,0.37791239457042897,0.5707652347772934,1.2232596878564919,0.8560913569681486,1.7557393720373295,2.4216573181552574,8.883725530452082
0.05,0.04551087267651204,0.16708114987783207,0.08361240765801566,0.171154819149961,0.42847906203083586,0.2573503790785472,0.5248736612283064,0.37791239454378794,0.5707652347353775,1.2180700274144203,0.8560711686264614,1.7556932590361316,2.288720256184528,8.745294692240716
0.1,0.045510110642059794,0.16704571347226127,0.08361240602622237,0.1711548155395589,0.42780303015697674,0.257349974063629,0.5248727681957777,0.3779123936671454,0.57076523335616,1.202646721183887,0.8558928009098559,1.7552862884093345,1.9347938228556816,8.37464607847855
0.15000000000000002,0.04550884062352793,0.166986671416912,0.08361239968318634,0.1711548015032636,0.42667887955922423,0.2573484026067301,0.5248693035461096,0.37791238639406394,0.57076522191417,1.1774193239258637,0.8552188520768934,1.753751183064208,1.4688723162909711,7.8800985826051235
0.2,0.0455070626792453,0.1669040516254543,0.08361238319902516,0.17115476502453514,0.42511044759907907,0.2573443303265258,0.5248603264159605,0.37791235308933824,0.5707651695237841,1.1430794608661206,0.8535375553153779,1.7499307665973827,1.0079677436470251,7.377686415908855
0.25,0.045504776890864324,0.1667978931425846,0.08361234898227089,0.17115468930399122,0.42310307388789803,0.25733590947936125,0.524841766315013,0.37791224489079145,0.5707649993397909,1.1005464165296213,0.8502295412639204,1.7424372848823033,0.6311525921037493,6.94539353701216
0.30000000000000004,0.04550198336335303,0.16666824610964204,0.08361228729021584,0.171154552783129,0.42066356795933846,0.2573207990178352,0.5248084690544923,0.37791196339244953,0.570764556635893,1.050922792647144,0.8446452800004904,1.7298350305177423,0.3663209013731884,6.610130430144914
0.35000000000000003,0.045498682224984835,0.16651517172048247,0.08361218624218313,0.171154329174751,0.4178001682244007,0.25729618991342074,0.5247542546864815,0.37791133597937354,0.5707635700838631,0.9954435423606214,0.8361815451025135,1.710817464793715,0.20337331305084522,6.361121753557636
0.4,0.045494873627326016,0.16633874216767244,0.08361203183569901,0.1711539875000402,0.4145224925888124,0.2572588354045159,0.5246719866491009,0.377910087818224,0.5707616078315036,0.9354219730337439,0.8243466983592692,1.6843543328424013,0.115310627611581,6.171158277269891
0.45,0.04549055774522095,0.16613904057907722,0.08361180796553884,0.17115349213221712,0.4108414811865005,0.257205085768657,0.5245536511648434,0.3779078116385966,0.570758030183881,0.8721962409801501,0.8088076867456383,1.6497925825208004,0.07413394498610945,6.012591413597231
