event_number,record_index,step_number,vlm,pdg,track_id,E0_keV,Eprime_k_keV,E0_minus_Eprime_keV,px,py,pz,theta_deg,cos_theta,q_gamma_keV_c,Q_keV_c,Q_au,Q_abs_au
22,5,5,2,22,1,662.0,224.68902443,437.31097557,0.60421256,0.50234786,0.61852552,120.1554552,-0.50234786,798.85652845,-119.69604629,-32.11264918,32.11264918
114,5,5,2,22,1,662.0,185.11147363,476.88852637,-0.08737104,0.98859123,-0.12269344,171.33695046,-0.98859123,845.45946142,-134.49587907,-36.08322175,36.08322175
139,5,5,2,22,1,662.0,193.00326492,468.99673508,0.05282136,0.87571628,0.47992802,151.12986085,-0.87571628,836.22459803,-131.51784558,-35.28426014,35.28426014
160,5,5,2,22,1,662.0,188.47846153,473.52153847,-0.10723998,0.93927766,-0.32597096,159.93060025,-0.93927766,841.52280268,-133.22373107,-35.74192357,35.74192357
176,5,5,2,22,1,662.0,211.27833703,450.72166297,0.29493667,0.64670364,-0.7034108,130.29352931,-0.64670364,814.73098287,-124.67246193,-33.44774666,33.44774666
183,6,6,2,22,1,662.0,224.83161314,437.16838686,0.12246656,0.78477677,-0.60755853,141.7000366,-0.78477677,849.94311077,-162.1386165,-43.49935249,43.49935249
200,5,5,2,22,1,662.0,207.81376447,454.18623553,-0.61430393,0.68702548,-0.3881065,133.39510899,-0.68702548,818.81773255,-125.9646306,-33.79441608,33.79441608
212,5,5,2,22,1,662.0,187.54296073,474.45703927,0.17398227,0.95280155,-0.24879585,162.32641511,-0.95280155,842.61707906,-133.57695529,-35.83668831,35.83668831
213,5,5,2,22,1,662.0,195.46727978,466.53272022,0.35800965,0.84234103,-0.40285318,147.38815824,-0.84234103,833.3355879,-130.59070389,-35.03552197,35.03552197
241,5,5,2,22,1,662.0,193.44389707,468.55610293,-0.15138774,0.86968546,0.469818,150.42210837,-0.86968546,835.70816517,-131.35195352,-35.2397538,35.2397538
286,5,5,2,22,1,662.0,203.93305852,458.06694148,-0.64163923,0.73381718,0.22318478,137.20736353,-0.73381718,823.38857077,-127.41513044,-34.18356337,34.18356337
342,5,5,2,22,1,662.0,185.32302496,476.67697504,0.14602261,0.98544005,-0.08709363,170.2108294,-0.98544005,845.21226202,-134.41587965,-36.0617591,36.0617591
420,5,5,2,22,1,662.0,229.12993335,432.87006665,-0.8888042,0.45826922,-0.00405133,117.27548001,-0.45826922,793.57971185,-118.05717066,-31.67296349,31.67296349
582,5,5,2,22,1,662.0,189.04081487,472.95918513,-0.36242975,0.93121252,-0.03857359,158.62462004,-0.93121252,840.86482086,-133.01148663,-35.68498158,35.68498158
646,5,5,2,22,1,662.0,191.39331634,470.60668366,0.1703848,0.89798732,-0.4056942,153.89475821,-0.89798732,838.11076565,-132.1243169,-35.44696728,35.44696728
704,5,5,2,22,1,662.0,268.22729065,393.77270935,0.99107298,0.13319496,-0.00578282,97.65425625,-0.13319496,746.65373311,-103.83400051,-27.85710083,27.85710083
778,5,5,2,22,1,662.0,192.86006007,469.13993993,-0.4792378,0.87768222,-0.00224561,151.36402289,-0.87768222,836.39241934,-131.57176908,-35.29872701,35.29872701
803,6,6,2,22,1,662.0,193.32911611,468.67088389,0.16646371,0.9705203,0.17429912,166.05328611,-0.9705203,850.90660121,-143.99958838,-38.63292403,38.63292403
847,5,5,2,22,1,662.0,188.75045588,473.24954412,-0.21006405,0.93537078,-0.28452522,159.28812946,-0.93537078,841.20457287,-133.12106624,-35.71438014,35.71438014
878,5,5,2,22,1,662.0,187.49153633,474.50846367,0.27379944,0.95354887,0.12561217,162.46800243,-0.95354887,842.67722026,-133.59637727,-35.84189894,35.84189894
952,5,5,2,22,1,662.0,206.96569121,455.03430879,-0.5935333,0.69710131,0.4022039,134.19490197,-0.69710131,819.81723194,-126.28133573,-33.8793833,33.8793833
